surface	learned_card_id	component_recipe	workshop_learned_value_de	image_register_value_de	events	physical_pages	channel_class	surface_role
qokar	P942-K20	OK+AR	AUS DER QUELLE ANSETZEN	Bildplatz aktivieren; Quell- oder Bezugsstelle	8	f75r|f81v|f82r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
cheey	P942-K21	SH+EE+Y	LAENGER HALTEN	Bezug festhalten; zweiter Grad; dieser Bildplatz	15	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
sheey	P942-K21	SH+EE+Y	LAENGER HALTEN	Bezug festhalten; zweiter Grad; dieser Bildplatz	6	f69v|f81v|f82r|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
lchedy	P942-K22	L+CHD+DY	WEITER UMSETZEN; ENDE	Bildverbindung; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	20	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
or	P942-K23	OR	DER ANSATZ	Eintragsklasse	19	f10r|f55v|f67r2|f75r|f81v|f82r|f83r|f88r	PROSE_ONLY	PRIMARY_FORM
qor	P942-K23	OR	DER ANSATZ	Eintragsklasse	1	f75r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
otar	P942-K24	OT+AR	DANACH AUS DER QUELLE	nächster Bildplatz; Quell- oder Bezugsstelle	15	f10r|f55v|f67r2|f70v|f75r|f81v	BICHANNEL	PRIMARY_FORM
qotar	P942-K24	OT+AR	DANACH AUS DER QUELLE	nächster Bildplatz; Quell- oder Bezugsstelle	4	f75r|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qokey	P942-K25	OK+E+Y	KURZ ANSETZEN	Bildplatz aktivieren; erster Grad; dieser Bildplatz	9	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okey	P942-K25	OK+E+Y	KURZ ANSETZEN	Bildplatz aktivieren; erster Grad; dieser Bildplatz	6	f67r2|f69v|f70v|f75r|f82r	BICHANNEL	POSITION_OR_HAND_VARIANT
oldy	P942-K26	OL+DY	DAMIT FORTFAHREN; ENDE	dieselbe Reihe fortführen; Bildeintrag schließen	12	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	PROSE_ONLY	PRIMARY_FORM
qoldy	P942-K26	OL+DY	DAMIT FORTFAHREN; ENDE	dieselbe Reihe fortführen; Bildeintrag schließen	2	f75r|f81v	PROSE_ONLY	POSITION_OR_HAND_VARIANT
cheol	P942-K27	CHEO+L	DEN AUSZUG WEITERFUEHREN	lokaler Eintrag; Bildverbindung	13	f81v|f82r|f83r|f88r	PROSE_ONLY	PRIMARY_FORM
chckhy	P942-K28	CKH+Y	DURCH DEN DURCHLASS FUEHREN	Verbindung oder Durchlass; dieser Bildplatz	10	f13r|f55v|f75r|f81v|f82r	PROSE_ONLY	PRIMARY_FORM
ckhy	P942-K28	CKH+Y	DURCH DEN DURCHLASS FUEHREN	Verbindung oder Durchlass; dieser Bildplatz	2	f10r|f81v	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qckhsy	P942-K28	CKH+Y	DURCH DEN DURCHLASS FUEHREN	Verbindung oder Durchlass; dieser Bildplatz	1	f75r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
otedy	P942-K29	OT+E+DY	NAECHSTEN SCHRITT KURZ; ENDE	nächster Bildplatz; erster Grad; Bildeintrag schließen	8	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
qotedy	P942-K29	OT+E+DY	NAECHSTEN SCHRITT KURZ; ENDE	nächster Bildplatz; erster Grad; Bildeintrag schließen	5	f75r|f81v|f82r|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qoteedy	P942-K30	OT+EE+DY	NAECHSTEN SCHRITT LAENGER; ENDE	nächster Bildplatz; zweiter Grad; Bildeintrag schließen	8	f75r|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
oteedy	P942-K30	OT+EE+DY	NAECHSTEN SCHRITT LAENGER; ENDE	nächster Bildplatz; zweiter Grad; Bildeintrag schließen	3	f70v|f75r	BICHANNEL	POSITION_OR_HAND_VARIANT
oteey	P942-K31	OT+EE+Y	NAECHSTEN POSTEN LAENGER HALTEN	nächster Bildplatz; zweiter Grad; dieser Bildplatz	7	f69v|f70v|f82r	BICHANNEL	PRIMARY_FORM
qoteey	P942-K31	OT+EE+Y	NAECHSTEN POSTEN LAENGER HALTEN	nächster Bildplatz; zweiter Grad; dieser Bildplatz	4	f75r|f82r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
sar	P942-K32	S+AR	QUELLE WAEHLEN	Bildklasse auswählen; Quell- oder Bezugsstelle	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
am	P942-K33	AM_ADDR	AN DER INNENSTELLE	Innenplatz	10	f10r|f55v|f67r2|f70v|f75r|f88r	BICHANNEL	PRIMARY_FORM
cthy	P942-K34	CTH+Y	BIS BEREIT FUEHREN	Bereitschaftsklasse; dieser Bildplatz	7	f10r|f11r|f56r	PROSE_ONLY	PRIMARY_FORM
checthy	P942-K34	CTH+Y	BIS BEREIT FUEHREN	Bereitschaftsklasse; dieser Bildplatz	3	f75r|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
o	P942-K35	O	ARBEITSGANG AUSFUEHREN	Reihe aufrufen	8	f10r|f56r|f69v|f70v|f75r|f83r	BICHANNEL	PRIMARY_FORM
qo	P942-K35	O	ARBEITSGANG AUSFUEHREN	Reihe aufrufen	2	f75r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
otor	P942-K36	OT+OR	DER NAECHSTE ANSATZ	nächster Bildplatz; Eintragsklasse	7	f10r|f68r1|f70v|f83r|f88r	BICHANNEL	PRIMARY_FORM
qotor	P942-K36	OT+OR	DER NAECHSTE ANSATZ	nächster Bildplatz; Eintragsklasse	3	f10r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
r	P942-K37	R	ZUSTAND MARKIEREN	Zustandsmarke	10	f56r|f67r2|f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
saiin	P942-K38	S+AIIN	SOLLWERT WAEHLEN	Bildklasse auswählen; verzeichneter Sollwert	9	f67r2|f70v|f75r|f81v|f83r|f88r	BICHANNEL	PRIMARY_FORM
saii	P942-K38	S+AIIN	SOLLWERT WAEHLEN	Bildklasse auswählen; verzeichneter Sollwert	1	f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
chor	P942-K39	CH+OR	VOM ANSATZ ENTNEHMEN	Klasse oder Figur kennzeichnen; Eintragsklasse	9	f10r|f13r|f56r|f88r	PROSE_ONLY	PRIMARY_FORM
sain	P942-K40	S+AIN	EINHEIT WAEHLEN	Bildklasse auswählen; Einheit oder Index	9	f67r2|f75r|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
cheky	P942-K41	CHK+E+Y	KURZ BEHANDELN	Behandlungsklasse; erster Grad; dieser Bildplatz	6	f55v|f75r|f81v|f83r	PROSE_ONLY	PRIMARY_FORM
chekey	P942-K41	CHK+E+Y	KURZ BEHANDELN	Behandlungsklasse; erster Grad; dieser Bildplatz	1	f70v	IMAGE_ONLY	POSITION_OR_HAND_VARIANT
d	P942-K42	D_ADDR	DER BEZEICHNETE TEIL	Unterplatz	7	f11r|f13r|f56r|f69v|f82r	BICHANNEL	PRIMARY_FORM
sal	P942-K43	S+AL	ZIELSTELLE WAEHLEN	Bildklasse auswählen; Zielplatz	7	f67r2|f70v|f75r|f81v|f82r	BICHANNEL	PRIMARY_FORM
sheedy	P942-K44	SH+EE+DY	LAENGER HALTEN; ENDE	Bezug festhalten; zweiter Grad; Bildeintrag schließen	7	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
shol	P942-K45	SH+OL	WEITER HALTEN	Bezug festhalten; dieselbe Reihe fortführen	7	f13r|f56r|f70v|f81v|f83r	BICHANNEL	PRIMARY_FORM
cheor	P942-K46	CHEO+R	AUSZUG MARKIEREN	lokaler Eintrag; Zustandsmarke	6	f68r1|f69v|f82r|f88r	BICHANNEL	PRIMARY_FORM
cho	P942-K47	HO	SICHTBARER TEIL	Teil oder Mitglied der Bildklasse	6	f55v|f56r|f67r2|f69v|f70v	BICHANNEL	PRIMARY_FORM
