learned_card_id	component_recipe	workshop_learned_value_de	image_register_value_de	surface_variants	surface_variant_count	events	physical_pages	registers	learning_rule_de
P942-K19	D_ADDR+AR	AUS DEM BEZEICHNETEN TEIL	Unterplatz; Quell- oder Bezugsstelle	dar	1	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K20	OK+AR	AUS DER QUELLE ANSETZEN	Bildplatz aktivieren; Quell- oder Bezugsstelle	okar|qokar	2	21	f55v|f56r|f67r2|f69v|f75r|f81v|f82r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K21	SH+EE+Y	LAENGER HALTEN	Bezug festhalten; zweiter Grad; dieser Bildplatz	cheey|sheey	2	21	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K22	L+CHD+DY	WEITER UMSETZEN; ENDE	Bildverbindung; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	lchedy	1	20	f75r|f81v|f82r|f83r	BIOLOGICAL	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K23	OR	DER ANSATZ	Eintragsklasse	or|qor	2	20	f10r|f55v|f67r2|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K24	OT+AR	DANACH AUS DER QUELLE	nächster Bildplatz; Quell- oder Bezugsstelle	otar|qotar	2	19	f10r|f55v|f67r2|f70v|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K25	OK+E+Y	KURZ ANSETZEN	Bildplatz aktivieren; erster Grad; dieser Bildplatz	qokey|okey	2	15	f67r2|f69v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K26	OL+DY	DAMIT FORTFAHREN; ENDE	dieselbe Reihe fortführen; Bildeintrag schließen	oldy|qoldy	2	14	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K27	CHEO+L	DEN AUSZUG WEITERFUEHREN	lokaler Eintrag; Bildverbindung	cheol	1	13	f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K28	CKH+Y	DURCH DEN DURCHLASS FUEHREN	Verbindung oder Durchlass; dieser Bildplatz	chckhy|ckhy|qckhsy	3	13	f10r|f13r|f55v|f75r|f81v|f82r	BIOLOGICAL|HERBAL	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K29	OT+E+DY	NAECHSTEN SCHRITT KURZ; ENDE	nächster Bildplatz; erster Grad; Bildeintrag schließen	otedy|qotedy	2	13	f75r|f81v|f82r|f83r	BIOLOGICAL	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K30	OT+EE+DY	NAECHSTEN SCHRITT LAENGER; ENDE	nächster Bildplatz; zweiter Grad; Bildeintrag schließen	qoteedy|oteedy	2	11	f70v|f75r|f82r|f83r	BIOLOGICAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K31	OT+EE+Y	NAECHSTEN POSTEN LAENGER HALTEN	nächster Bildplatz; zweiter Grad; dieser Bildplatz	oteey|qoteey	2	11	f69v|f70v|f75r|f82r	BIOLOGICAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K32	S+AR	QUELLE WAEHLEN	Bildklasse auswählen; Quell- oder Bezugsstelle	sar	1	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K33	AM_ADDR	AN DER INNENSTELLE	Innenplatz	am	1	10	f10r|f55v|f67r2|f70v|f75r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K34	CTH+Y	BIS BEREIT FUEHREN	Bereitschaftsklasse; dieser Bildplatz	cthy|checthy	2	10	f10r|f11r|f56r|f75r|f83r	BIOLOGICAL|HERBAL	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K35	O	ARBEITSGANG AUSFUEHREN	Reihe aufrufen	o|qo	2	10	f10r|f56r|f69v|f70v|f75r|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K36	OT+OR	DER NAECHSTE ANSATZ	nächster Bildplatz; Eintragsklasse	otor|qotor	2	10	f10r|f68r1|f70v|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K37	R	ZUSTAND MARKIEREN	Zustandsmarke	r	1	10	f56r|f67r2|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K38	S+AIIN	SOLLWERT WAEHLEN	Bildklasse auswählen; verzeichneter Sollwert	saiin|saii	2	10	f67r2|f70v|f75r|f81v|f83r|f88r	BIOLOGICAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K39	CH+OR	VOM ANSATZ ENTNEHMEN	Klasse oder Figur kennzeichnen; Eintragsklasse	chor	1	9	f10r|f13r|f56r|f88r	HERBAL|PHARMA	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K40	S+AIN	EINHEIT WAEHLEN	Bildklasse auswählen; Einheit oder Index	sain	1	9	f67r2|f75r|f82r|f83r	BIOLOGICAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K41	CHK+E+Y	KURZ BEHANDELN	Behandlungsklasse; erster Grad; dieser Bildplatz	cheky|chekey	2	7	f55v|f70v|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K42	D_ADDR	DER BEZEICHNETE TEIL	Unterplatz	d	1	7	f11r|f13r|f56r|f69v|f82r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K43	S+AL	ZIELSTELLE WAEHLEN	Bildklasse auswählen; Zielplatz	sal	1	7	f67r2|f70v|f75r|f81v|f82r	BIOLOGICAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K44	SH+EE+DY	LAENGER HALTEN; ENDE	Bezug festhalten; zweiter Grad; Bildeintrag schließen	sheedy	1	7	f75r|f81v|f82r|f83r	BIOLOGICAL	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K45	SH+OL	WEITER HALTEN	Bezug festhalten; dieselbe Reihe fortführen	shol	1	7	f13r|f56r|f70v|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K46	CHEO+R	AUSZUG MARKIEREN	lokaler Eintrag; Zustandsmarke	cheor	1	6	f68r1|f69v|f82r|f88r	BIOLOGICAL|PHARMA|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
P942-K47	HO	SICHTBARER TEIL	Teil oder Mitglied der Bildklasse	cho	1	6	f55v|f56r|f67r2|f69v|f70v	HERBAL|ZODIAC	Eine Bedeutung als Ganzkarte lernen; q/s/ch/d-Varianten werden über dieselbe Komponentenfolge erkannt.
