profile	all_carriers	paragraph_counts	eligible_families	all_single_column_deficits
123	dchedy	[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	LUNG,KIDNEY,BLADDER,HYDROPS	"{""AQUA"":[{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":6},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":6}],""OCULUS"":[{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":6}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":6}],""SKIN"":[{""count"":2,""required"":2,""observed"":0}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}]}"
124	dcheol	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	BLADDER	"{""AQUA"":[{""count"":1,""required"":4,""observed"":3},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":3},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":3}],""OCULUS"":[{""count"":1,""required"":5,""observed"":3},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":3}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":3}],""SKIN"":[{""count"":1,""required"":4,""observed"":3},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":3}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":3}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":3}]}"
125	dchey dshees eses lchees lshl oeeedy ofshdy olched olsheol polchey	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":1}],""OCULUS"":[{""count"":1,""required"":5,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":1}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":1}],""SKIN"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":1}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":1}],""BLADDER"":[{""count"":1,""required"":3,""observed"":1}],""WOMB"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":1}]}"
126	dchol	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":2}],""OCULUS"":[{""count"":1,""required"":5,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":2}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":2}],""SKIN"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":2}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":2}],""BLADDER"":[{""count"":1,""required"":3,""observed"":2}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":2}]}"
127	dchy	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":2}],""OCULUS"":[{""count"":1,""required"":5,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":2}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":2}],""SKIN"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":2}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":2}],""BLADDER"":[{""count"":1,""required"":3,""observed"":2}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":2}]}"
128	dedy	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":2}],""OCULUS"":[{""count"":1,""required"":5,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":2}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":2}],""SKIN"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":2}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":2}],""BLADDER"":[{""count"":1,""required"":3,""observed"":2}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":2}]}"
129	deedy	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":2}],""OCULUS"":[{""count"":1,""required"":5,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":2}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":2}],""SKIN"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":2}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":2}],""BLADDER"":[{""count"":1,""required"":3,""observed"":2}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":2}]}"
130	dkshey olpoikhy oltydy opor qokopy qorar yrchey	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":1}],""OCULUS"":[{""count"":1,""required"":5,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":1}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":1}],""SKIN"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":1}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":1}],""BLADDER"":[{""count"":1,""required"":3,""observed"":1}],""WOMB"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":1}]}"
131	dl	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	BLADDER	"{""AQUA"":[{""count"":1,""required"":4,""observed"":3},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":3},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":3}],""OCULUS"":[{""count"":1,""required"":5,""observed"":3},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":3}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":3}],""SKIN"":[{""count"":1,""required"":4,""observed"":3},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":3}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":3}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":3}]}"
132	dol	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 3, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0]	HEAD,STOMACH,OCULUS,LIVER,SPLEEN,SKIN,LUNG,KIDNEY,BLADDER,WOMB,NERVOUS_TISSUE,HYDROPS	"{""AQUA"":[{""count"":2,""required"":13,""observed"":2},{""count"":3,""required"":6,""observed"":1},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}]}"
133	dolfchedy oithy pcheedy roly shectyhy	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":1}],""OCULUS"":[{""count"":1,""required"":5,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":1}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":1}],""SKIN"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":1}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":1}],""BLADDER"":[{""count"":1,""required"":3,""observed"":1}],""WOMB"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":1}]}"
134	dolshedy	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":2}],""OCULUS"":[{""count"":1,""required"":5,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":2}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":2}],""SKIN"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":2}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":2}],""BLADDER"":[{""count"":1,""required"":3,""observed"":2}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":2}]}"
135	dor	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	LUNG,KIDNEY,BLADDER,WOMB,NERVOUS_TISSUE,HYDROPS	"{""AQUA"":[{""count"":2,""required"":13,""observed"":1},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":5},{""count"":2,""required"":2,""observed"":1}],""STOMACH"":[{""count"":1,""required"":13,""observed"":5}],""OCULUS"":[{""count"":2,""required"":2,""observed"":1}],""LIVER"":[{""count"":1,""required"":9,""observed"":5}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":5}],""SKIN"":[{""count"":2,""required"":2,""observed"":1}]}"
136	dshedy	[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	LIVER,SPLEEN,LUNG,KIDNEY,BLADDER,WOMB,NERVOUS_TISSUE,HYDROPS	"{""AQUA"":[{""count"":2,""required"":13,""observed"":1},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":2,""required"":2,""observed"":1}],""STOMACH"":[{""count"":1,""required"":13,""observed"":11}],""OCULUS"":[{""count"":2,""required"":2,""observed"":1}],""SKIN"":[{""count"":2,""required"":2,""observed"":1}]}"
137	dsheol	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":2}],""OCULUS"":[{""count"":1,""required"":5,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":2}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":2}],""SKIN"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":2}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":2}],""BLADDER"":[{""count"":1,""required"":3,""observed"":2}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":2}]}"
138	dy	[4, 0, 2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 2, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]	HEAD,OCULUS,LIVER,SPLEEN,SKIN,LUNG,KIDNEY,BLADDER,WOMB,NERVOUS_TISSUE,HYDROPS	"{""AQUA"":[{""count"":2,""required"":13,""observed"":8},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":2},{""count"":5,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":11}]}"
139	dykeedy	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":2}],""OCULUS"":[{""count"":1,""required"":5,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":2}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":2}],""SKIN"":[{""count"":1,""required"":4,""observed"":2},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":2}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":2}],""BLADDER"":[{""count"":1,""required"":3,""observed"":2}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":2}]}"
140	dytary kechey lgl oinaly okaraly olcheckhy oll qokaiir qolkedy qolkshey rsheedar sheytchdy tchdarol tolsheol	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		"{""AQUA"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":1}],""OCULUS"":[{""count"":1,""required"":5,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":1}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":1}],""SKIN"":[{""count"":1,""required"":4,""observed"":1},{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":1}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":1}],""BLADDER"":[{""count"":1,""required"":3,""observed"":1}],""WOMB"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":1,""required"":2,""observed"":1},{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":1}]}"
141	fchedy	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	BLADDER	"{""AQUA"":[{""count"":2,""required"":13,""observed"":0},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":4},{""count"":2,""required"":2,""observed"":0}],""STOMACH"":[{""count"":1,""required"":13,""observed"":4}],""OCULUS"":[{""count"":1,""required"":5,""observed"":4},{""count"":2,""required"":2,""observed"":0}],""LIVER"":[{""count"":1,""required"":9,""observed"":4}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":4}],""SKIN"":[{""count"":2,""required"":2,""observed"":0}],""LUNG"":[{""count"":1,""required"":5,""observed"":4}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":4}],""WOMB"":[{""count"":2,""required"":1,""observed"":0}],""NERVOUS_TISSUE"":[{""count"":2,""required"":1,""observed"":0}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":4}]}"
142	kaiin	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	BLADDER,WOMB,NERVOUS_TISSUE	"{""AQUA"":[{""count"":2,""required"":13,""observed"":1},{""count"":3,""required"":6,""observed"":0},{""count"":4,""required"":6,""observed"":0},{""count"":5,""required"":2,""observed"":0}],""HEAD"":[{""count"":1,""required"":8,""observed"":4},{""count"":2,""required"":2,""observed"":1}],""STOMACH"":[{""count"":1,""required"":13,""observed"":4}],""OCULUS"":[{""count"":1,""required"":5,""observed"":4},{""count"":2,""required"":2,""observed"":1}],""LIVER"":[{""count"":1,""required"":9,""observed"":4}],""SPLEEN"":[{""count"":1,""required"":7,""observed"":4}],""SKIN"":[{""count"":2,""required"":2,""observed"":1}],""LUNG"":[{""count"":1,""required"":5,""observed"":4}],""KIDNEY"":[{""count"":1,""required"":5,""observed"":4}],""HYDROPS"":[{""count"":1,""required"":5,""observed"":4}]}"
