component_parse	candidate_card_count	candidate_card_nos	candidate_surfaces	raw_atomic_wordings_de	canonical_atomic_value_de	raw_wording_agreement	atomic_value_agreement	exact_card_requires_allograph_choice
O+CTH+OL+Y	1	PROC018	qoctholy	Arbeitsgang · bereit · fortsetzen · dieser Posten	Arbeitsgang · bereit · fortsetzen · dieser Posten	YES	YES	NO
O+DY	1	PROC041	ody	Arbeitsgang; Schritt schließen	Arbeitsgang; Schritt schließen	YES	YES	NO
O+IIN	1	PROC097	oiiin|soiiin	Arbeitsgang · Sollstufe	Arbeitsgang · Sollstufe	YES	YES	NO
O+Y+K+OR	1	PROC023	oykchor	diesen Posten zuführen	diesen Posten zuführen	YES	YES	NO
OK+AIIN	1	PROC038	okaiin|qokaiin	nach vorgeschriebenem Maß in Einsatz bringen	nach vorgeschriebenem Maß in Einsatz bringen	YES	YES	NO
OK+AIN	1	PROC080	okain|qokain	den laufenden Posten nach Portion ansetzen	den laufenden Posten nach Portion ansetzen	YES	YES	NO
OK+AIR	1	PROC138	okair	den laufenden Posten durch laufender Bestand ansetzen	den laufenden Posten durch laufender Bestand ansetzen	YES	YES	NO
OK+AL	1	PROC048	okal|qokal	den laufenden Posten an bezeichnete Stelle ansetzen	den laufenden Posten an bezeichnete Stelle ansetzen	YES	YES	NO
OK+AL+Y	1	PROC104	qokaly	diesen Posten an bezeichnete Stelle ansetzen	diesen Posten an bezeichnete Stelle ansetzen	YES	YES	NO
OK+AR	1	PROC113	qokar	den laufenden Posten von dort ansetzen	den laufenden Posten von dort ansetzen	YES	YES	NO
OK+CH+E+O	1	PROC061	chokcheo	den Arbeitsgang kurz ansetzen und abziehen	den Arbeitsgang kurz ansetzen und abziehen	YES	YES	NO
OK+CHD+DY	2	PROC082|PROC091	qokchdy|okchedy|qokchedy	den laufenden Posten ansetzen und umsetzen; Schritt schließen	in Einsatz bringen, überführen und den Schritt schließen	YES	YES	YES
OK+E+DY	1	PROC067	qokedy	den laufenden Posten kurz ansetzen; Schritt schließen	den laufenden Posten kurz ansetzen; Schritt schließen	YES	YES	NO
OK+E+Y	1	PROC085	okey|qokey	diesen Posten kurz ansetzen	diesen Posten kurz ansetzen	YES	YES	NO
OK+EE+AL	1	PROC074	qokeedal	den laufenden Posten an bezeichnete Stelle länger ansetzen	den laufenden Posten an bezeichnete Stelle länger ansetzen	YES	YES	NO
OK+EE+DY	1	PROC100	qokeedy	den laufenden Posten länger ansetzen; Schritt schließen	den laufenden Posten länger ansetzen; Schritt schließen	YES	YES	NO
OK+EE+OL	1	PROC158	okeeol	fortsetzen den laufenden Posten länger ansetzen	fortsetzen den laufenden Posten länger ansetzen	YES	YES	NO
OK+EE+Y	1	PROC092	okeey|qokeey	den aktuellen Posten länger in Einsatz halten	den aktuellen Posten länger in Einsatz halten	YES	YES	NO
OK+EEE+DY	1	PROC119	qokeeedy	den laufenden Posten vollständig ansetzen; Schritt schließen	den laufenden Posten vollständig ansetzen; Schritt schließen	YES	YES	NO
OK+OK+Y	1	PROC060	qokokchy	diesen Posten ansetzen und ansetzen	diesen Posten ansetzen und ansetzen	YES	YES	NO
OK+OL	2	PROC037|PROC160	okchol|qokol	fortsetzen den laufenden Posten ansetzen	den aktuellen Posten weiter in Einsatz bringen	YES	YES	YES
OK+SH+E+DY	1	PROC141	qokshedy	den laufenden Posten kurz ansetzen und halten; Schritt schließen	den laufenden Posten kurz ansetzen und halten; Schritt schließen	YES	YES	NO
OK+Y	2	PROC008|PROC011	choky|oky|qoky|chokchy|okchy|qokchy	den aktuellen Posten in Einsatz bringen	den aktuellen Posten in Einsatz bringen	YES	YES	YES
OK+Y+LD+DY	1	PROC155	qokylddy	diesen Posten ansetzen und befestigen; Schritt schließen	diesen Posten ansetzen und befestigen; Schritt schließen	YES	YES	NO
OL	2	PROC013|PROC034	cheol|chol|ol|qol|sol|tol|dchol|schol	fortsetzen	fortsetzen	YES	YES	YES
OL+AL+Y	1	PROC153	olsaly	fortsetzen · bezeichnete Stelle · dieser Posten	fortsetzen · bezeichnete Stelle · dieser Posten	YES	YES	NO
OL+CHD+DY	1	PROC079	olchedy|qolchedy	fortsetzen den laufenden Posten umsetzen; Schritt schließen	fortsetzen den laufenden Posten umsetzen; Schritt schließen	YES	YES	NO
OL+DY	1	PROC047	oldy	fortsetzen; Schritt schließen	fortsetzen; Schritt schließen	YES	YES	NO
OL+K+AIN	1	PROC070	olkain|qolkain	fortsetzen den laufenden Posten nach Portion zuführen	fortsetzen den laufenden Posten nach Portion zuführen	YES	YES	NO
OL+OR	1	PROC022	cholor|olor	fortsetzen · Ansatz	fortsetzen · Ansatz	YES	YES	NO
OL+SH+E+DY	1	PROC114	solshedy	fortsetzen den laufenden Posten kurz halten; Schritt schließen	fortsetzen den laufenden Posten kurz halten; Schritt schließen	YES	YES	NO
OL+T+Y	1	PROC049	oltchy	fortsetzen diesen Posten eintragen	fortsetzen diesen Posten eintragen	YES	YES	NO
OL+Y	1	PROC154	qolchey	fortsetzen · dieser Posten	fortsetzen · dieser Posten	YES	YES	NO
OR	1	PROC016	chor|or|shor|sor	Ansatz	Ansatz	YES	YES	NO
OR+AIN	1	PROC050	orain	Ansatz · Portion	Ansatz · Portion	YES	YES	NO
OS	1	PROC005	os	Arbeitsfach	Arbeitsfach	YES	YES	NO
OT+AIIN	1	PROC112	otaiin|sotaiin	danach · vorgeschriebenes Maß	danach · vorgeschriebenes Maß	YES	YES	NO
OT+AL	1	PROC131	otal|qotal	danach · bezeichnete Stelle	danach · bezeichnete Stelle	YES	YES	NO
OT+AR	1	PROC089	otar	danach · von dort	danach · von dort	YES	YES	NO
OT+CH+OL	1	PROC012	qotchol	danach fortsetzen den laufenden Posten abziehen	danach fortsetzen den laufenden Posten abziehen	YES	YES	NO
OT+CH+OR	1	PROC020	otchor|qotchor	danach den Ansatz abziehen	danach den Ansatz abziehen	YES	YES	NO
OT+CHD+DY	2	PROC145|PROC166	otchedy|qotchedy|otchdy	danach den laufenden Posten umsetzen; Schritt schließen	danach überführen und den Schritt schließen	YES	YES	YES
OT+E+AIIN	1	PROC152	qotedaiin	danach · kurz · vorgeschriebenes Maß	danach · kurz · vorgeschriebenes Maß	YES	YES	NO
OT+E+DY	1	PROC135	otedy	danach · kurz; Schritt schließen	danach · kurz; Schritt schließen	YES	YES	NO
OT+EE+DY	1	PROC129	qoteedy	danach · länger; Schritt schließen	danach · länger; Schritt schließen	YES	YES	NO
OT+EE+Y	1	PROC109	oteey	danach · länger · dieser Posten	danach · länger · dieser Posten	YES	YES	NO
OT+O+AIN	1	PROC064	sotodan	danach · Arbeitsgang · Portion	danach · Arbeitsgang · Portion	YES	YES	NO
OT+OL	1	PROC021	otol	danach · fortsetzen	danach · fortsetzen	YES	YES	NO
OT+Y	2	PROC036|PROC065	qotchy|otchey	danach · dieser Posten	danach den aktuellen Posten wiederaufnehmen	YES	YES	YES
OT+Y+T+CH+OL	1	PROC007	otytchol	danach fortsetzen diesen Posten eintragen und abziehen	danach fortsetzen diesen Posten eintragen und abziehen	YES	YES	NO
P+CHD+AL	1	PROC134	pchedal	den laufenden Posten an bezeichnete Stelle hineingeben und umsetzen	den laufenden Posten an bezeichnete Stelle hineingeben und umsetzen	YES	YES	NO
P+CHD+DY	1	PROC125	pchedy	den laufenden Posten hineingeben und umsetzen; Schritt schließen	den laufenden Posten hineingeben und umsetzen; Schritt schließen	YES	YES	NO
P+Y	1	PROC030	cphy	diesen Posten hineingeben	diesen Posten hineingeben	YES	YES	NO
R+AL	1	PROC081	ral	den laufenden Posten an bezeichnete Stelle abkühlen	den laufenden Posten an bezeichnete Stelle abkühlen	YES	YES	NO
R+AL+Y	1	PROC172	raly	diesen Posten an bezeichnete Stelle abkühlen	diesen Posten an bezeichnete Stelle abkühlen	YES	YES	NO
R+OL	1	PROC071	rol	fortsetzen den laufenden Posten abkühlen	fortsetzen den laufenden Posten abkühlen	YES	YES	NO
R+SH+E+AL	1	PROC126	rsheal	den laufenden Posten an bezeichnete Stelle kurz abkühlen und halten	den laufenden Posten an bezeichnete Stelle kurz abkühlen und halten	YES	YES	NO
R+SHED+DY	1	PROC128	rshedy	den laufenden Posten abkühlen und absetzen; Schritt schließen	den laufenden Posten abkühlen und absetzen; Schritt schließen	YES	YES	NO
SH	1	PROC058	sh	den laufenden Posten halten	den laufenden Posten halten	YES	YES	NO
SH+CKH+E+DY	1	PROC099	shckhedy	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	YES	YES	NO
SH+E+CKH+AL	1	PROC073	sheckhal	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	YES	YES	NO
SH+E+CKH+Y	1	PROC110	sheckhy	diesen Posten durch Durchlass kurz halten	diesen Posten durch Durchlass kurz halten	YES	YES	NO
SH+E+CTH+CHD+Y	1	PROC136	shecthedchy	diesen Posten kurz halten und umsetzen bis bereit	diesen Posten kurz halten und umsetzen bis bereit	YES	YES	NO
SH+E+CTH+Y	1	PROC143	shecthy	diesen Posten kurz halten bis bereit	diesen Posten kurz halten bis bereit	YES	YES	NO
SH+E+DY	1	PROC111	dshedy	den laufenden Posten kurz halten; Schritt schließen	den laufenden Posten kurz halten; Schritt schließen	YES	YES	NO
SH+E+OL	1	PROC096	dsheol	fortsetzen den laufenden Posten kurz halten	fortsetzen den laufenden Posten kurz halten	YES	YES	NO
SH+E+Y	1	PROC122	tshey	diesen Posten kurz halten	diesen Posten kurz halten	YES	YES	NO
SH+EE+DY	1	PROC139	sheedy	den laufenden Posten länger halten; Schritt schließen	den laufenden Posten länger halten; Schritt schließen	YES	YES	NO
SH+EE+Y	2	PROC031|PROC157	cheey|shey|sheey	diesen Posten länger halten	den aktuellen Posten länger halten	YES	YES	YES
SH+K+CHD+DY	1	PROC077	sshkchdy	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	YES	YES	NO
SH+O+AL	1	PROC027	schoal	den Arbeitsgang an bezeichnete Stelle halten	den Arbeitsgang an bezeichnete Stelle halten	YES	YES	NO
SH+O+Y+T+Y	1	PROC033	shoyty	diesen Posten halten und eintragen	diesen Posten halten und eintragen	YES	YES	NO
SH+Y+AIIN	1	PROC029	shfydaiin	diesen Posten nach vorgeschriebenes Maß halten	diesen Posten nach vorgeschriebenes Maß halten	YES	YES	NO
SHED+AL	1	PROC142	shedal	den laufenden Posten an bezeichnete Stelle absetzen	den laufenden Posten an bezeichnete Stelle absetzen	YES	YES	NO
SHED+DY	1	PROC078	cheedy|shedy|tedy	absetzen und den Schritt schließen	absetzen und den Schritt schließen	YES	YES	NO
SOLK+AIIN	1	PROC105	solkaiin	den laufenden Posten nach vorgeschriebenes Maß auffangen	den laufenden Posten nach vorgeschriebenes Maß auffangen	YES	YES	NO
SOLK+E+Y	1	PROC164	solkey	diesen Posten kurz auffangen	diesen Posten kurz auffangen	YES	YES	NO
SOLK+EE+DY	1	PROC098	olkeedy|solkeedy	den laufenden Posten länger auffangen; Schritt schließen	den laufenden Posten länger auffangen; Schritt schließen	YES	YES	NO
SOLK+EE+Y	1	PROC170	solkeey	diesen Posten länger auffangen	diesen Posten länger auffangen	YES	YES	NO
SOLK+Y	1	PROC087	qolky	diesen Posten auffangen	diesen Posten auffangen	YES	YES	NO
T+CH+O+DY	1	PROC032	tchody	den Arbeitsgang eintragen und abziehen; Schritt schließen	den Arbeitsgang eintragen und abziehen; Schritt schließen	YES	YES	NO
T+E+Y	1	PROC090	ytey	diesen Posten kurz eintragen	diesen Posten kurz eintragen	YES	YES	NO
T+SH+OL	1	PROC026	tshol	fortsetzen den laufenden Posten eintragen und halten	fortsetzen den laufenden Posten eintragen und halten	YES	YES	NO
T+Y	1	PROC004	chety|chty	den aktuellen Posten eintragen	den aktuellen Posten eintragen	YES	YES	NO
TALAM	1	PROC043	talam	den laufenden Posten verwahren	den laufenden Posten verwahren	YES	YES	NO
Y	1	PROC019	chey|chy|dy|shy|sy|y	dieser Posten	dieser Posten	YES	YES	NO
Y+CH+E+OR	1	PROC015	ycheor	diesen Posten kurz abziehen	diesen Posten kurz abziehen	YES	YES	NO
Y+K+AIIN	1	PROC044	ykaiin	diesen Posten nach vorgeschriebenes Maß zuführen	diesen Posten nach vorgeschriebenes Maß zuführen	YES	YES	NO
Y+K+AIN	2	PROC039|PROC040	ykain|ykan	diesen Posten nach Portion zuführen	dem aktuellen Posten eine Portion zugeben	YES	YES	YES
