locus	group_index	raw_group	hypothesis_meaning	rule_id	supplied_words	uncertainty
f17r.5	7	dair	Anteil Β	dair	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_without_number_commitment
f17r.5	8	cthey	Arzneiform A	cthey	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_without_ordinal_commitment
f17r.5	9	qody	fertige Zubereitung	qody	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f17r.6	1	tsho	[unaufgelöst: tsho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.6	2	qof	[unaufgelöst: qof]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.6	3	cho	[unaufgelöst: cho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.6	4	qokcheor	[unaufgelöst: qokcheor]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f17r.6	5	cheteg	[unaufgelöst: cheteg]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.8	1	fcho	[unaufgelöst: fcho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.8	2	kshy	[unaufgelöst: kshy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.8	3	otor	[unaufgelöst: otor]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.8	4	sheol	[unaufgelöst: sheol]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.8	5	ocphal	[unaufgelöst: ocphal]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.8	6	opsheas	[unaufgelöst: opsheas]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.8	7	cthodaiin	[unaufgelöst: cthodaiin]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.8	8	oty	[unaufgelöst: oty]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.9	1	okaiin	Zubereitung	okaiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f21r.9	2	sho	gegen	sho	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f21r.9	3	tshaiin	[unaufgelöst: tshaiin]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.9	4	chkaiin	wirksam	chkaiin	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f21r.9	5	sh	[unaufgelöst: sh]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.9	6	cthey	Arzneiform A	cthey	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_without_ordinal_commitment
f21r.9	7	cthody	[unaufgelöst: cthody]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.9	8	cthy	Kraut	cthy	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f21r.9	9	s	je	s	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f21r.10	1	totchy	[unaufgelöst: totchy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.10	2	keor	[unaufgelöst: keor]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.10	3	chy	Hitzezustand	chy	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f21r.10	4	ky	[unaufgelöst: ky]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.10	5	qotaiin	schädlich für	qotaiin	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f21r.10	6	qotchol	[unaufgelöst: qotchol]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.10	7	ty	[unaufgelöst: ty]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.10	8	ctheey	[unaufgelöst: ctheey]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.10	9	otaiin	[unaufgelöst: otaiin]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.11	1	shol	feucht	shol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f21r.11	2	chol	trocken	chol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f21r.11	3	shol	feucht	shol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f21r.11	4	tchol	[unaufgelöst: tchol]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.11	5	chcthy	[unaufgelöst: chcthy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.11	6	otyky	[unaufgelöst: otyky]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.11	7	shey	schädlich für	shey	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f21r.11	8	yteol	[unaufgelöst: yteol]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.11	9	shody	[unaufgelöst: shody]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.12	1	ykeey	[unaufgelöst: ykeey]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.12	2	chor	Blüten	chor	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f21r.12	3	sheey	[unaufgelöst: sheey]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.12	4	ysheol	[unaufgelöst: ysheol]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f21r.12	5	chor	Blüten	chor	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f21r.12	6	chol	trocken	chol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f21r.12	7	daiin	Grad Γ	daiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_axis_without_number_commitment
f21r.12	8	chkaiin	wirksam	chkaiin	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f32v.7	1	ksho	[unaufgelöst: ksho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.7	2	cphos	[unaufgelöst: cphos]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.7	3	she	[unaufgelöst: she]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.7	4	sheaiin	[unaufgelöst: sheaiin]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.7	5	otshcho	[unaufgelöst: otshcho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.7	6	r	[unaufgelöst: r]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.7	7	dain	Grad Β	dain	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_axis_without_number_commitment
f32v.7	8	shckhy	[unaufgelöst: shckhy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.7	9	s	je	s	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f32v.7	10	odan	[unaufgelöst: odan]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.8	1	otchol	[unaufgelöst: otchol]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.8	2	daiin	Grad Γ	daiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_axis_without_number_commitment
f32v.8	3	daiin	Grad Γ	daiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_axis_without_number_commitment
f32v.8	4	ctho	[unaufgelöst: ctho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.8	5	daiin	Grad Γ	daiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_axis_without_number_commitment
f32v.8	6	qotaiin	schädlich für	qotaiin	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f32v.8	7	otchy	[unaufgelöst: otchy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.8	8	d	[unaufgelöst: d]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.8	9	shan	[unaufgelöst: shan]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.9	1	qotchy	Ausgleich durch	qotchy	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f32v.9	2	cfhy	[unaufgelöst: cfhy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.9	3	skey	[unaufgelöst: skey]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.9	4	chocthy	[unaufgelöst: chocthy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.9	5	daiin	Grad Γ	daiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_axis_without_number_commitment
f32v.9	6	cthaiin	[unaufgelöst: cthaiin]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.9	7	daiin	Grad Γ	daiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_axis_without_number_commitment
f32v.10	1	sho	gegen	sho	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f32v.10	2	keol	[unaufgelöst: keol]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.10	3	chor	Blüten	chor	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f32v.10	4	chol	trocken	chol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f32v.10	5	daiin	Grad Γ	daiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_axis_without_number_commitment
f32v.10	6	cpho	[unaufgelöst: cpho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.10	7	l	[unaufgelöst: l]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.10	8	cthol	[unaufgelöst: cthol]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.10	9	da	[unaufgelöst: da]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f32v.10	10	ar	Anteil	ar	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f32v.11	1	ol	auch	ol	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f32v.11	2	sho	gegen	sho	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f32v.11	3	chy	Hitzezustand	chy	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f29v.1	1	kooiin	Wurzelstockmaterial	kooiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.1	2	shor	Früchte	shor	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.1	3	chetchy	[unaufgelöst: chetchy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.1	4	ol	auch	ol	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f29v.1	5	ls	[unaufgelöst: ls]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.1	6	shytchy	[unaufgelöst: shytchy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.1	7	cthy	Kraut	cthy	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.1	8	shy	[unaufgelöst: shy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.1	9	cho	[unaufgelöst: cho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.1	10	shy	[unaufgelöst: shy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.1	11	daiin	Grad Γ	daiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_axis_without_number_commitment
f29v.2	1	qotcheaiin	[unaufgelöst: qotcheaiin]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.2	2	s	je	s	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.2	3	chol	trocken	chol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.2	4	chol	trocken	chol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.2	5	cthy	Kraut	cthy	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.2	6	chey	[unaufgelöst: chey]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.2	7	cthold	[unaufgelöst: cthold]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.2	8	ytchor	[unaufgelöst: ytchor]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.2	9	dary	[unaufgelöst: dary]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.3	1	chol	trocken	chol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.3	2	chol	trocken	chol	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.3	3	kor	[unaufgelöst: kor]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.3	4	shey	schädlich für	shey	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f29v.3	5	odaiin	[unaufgelöst: odaiin]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.3	6	qotchy	Ausgleich durch	qotchy	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f29v.3	7	taiin	[unaufgelöst: taiin]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.3	8	s	je	s	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.3	9	she	[unaufgelöst: she]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.3	10	otey	[unaufgelöst: otey]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.3	11	sy	[unaufgelöst: sy]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.4	1	ysho	[unaufgelöst: ysho]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.4	2	otshy	kalt-feucht	otshy	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.4	3	okaiin	Zubereitung	okaiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.4	4	cthy	Kraut	cthy	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.4	5	oltchy	kalt-trocken	oltchy	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.4	6	s	je	s	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
f29v.4	7	shot	[unaufgelöst: shot]	UNRESOLVED	Keine syntaktische Glättung in dieser Tabelle	NO_MEANING_ASSIGNED
f29v.4	8	sho	gegen	sho	Keine syntaktische Glättung in dieser Tabelle	new_P09_working_hypothesis
f29v.4	9	okaiin	Zubereitung	okaiin	Keine syntaktische Glättung in dieser Tabelle	old_GDT809_assumption
