statement_id	page	record	observed_surface_sequence	surface_sequence_occurrences	image_owner_de	surface_plus_owner_occurrences	recovered_card_sequence	recovered_spoken_sequence_de	recovered_instruction_de	resolution_class	functional_instruction_ambiguity_after_owner	exact_occurrence_identity_required
B1-S006	f81v	B1	qokain shckhy dl ral	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC080[OK+AIN] | PROC075[CKH+Y] | PROC072[L] | PROC081[R+AL]	ansetzen · Portion | Durchlass · dieser Posten | führen | abkühlen · bezeichnete Stelle	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: gib einen Teil hinein → durchleiten → abkühlen lassen. Angaben: Durchlass · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S007	f81v	B1	qokchdy	3	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC082[OK+CHD+DY]	ansetzen · umsetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einsetzen + überführen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B1-S008	f81v	B1	chey ol cheky ol shedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC019[Y] | PROC013[OL] | PROC083[CHK+E+Y] | PROC013[OL] | PROC078[SHED+DY]	dieser Posten | fortsetzen | wärmen · kurz · dieser Posten | fortsetzen | absetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → absetzen lassen. Angaben: dies | fort | fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S009	f81v	B1	qokedy	3	gemeinsame zweireihige Figuren-/Beckenstation	3	PROC067[OK+E+DY]	ansetzen · kurz · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	REPEATED_SAME_OWNER_AND_INSTRUCTION	NO	NO
B1-S010	f81v	B1	qokedy	3	gemeinsame zweireihige Figuren-/Beckenstation	3	PROC067[OK+E+DY]	ansetzen · kurz · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	REPEATED_SAME_OWNER_AND_INSTRUCTION	NO	NO
B1-S011	f81v	B1	chckhy qoky	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC075[CKH+Y] | PROC008[OK+Y]	Durchlass · dieser Posten | ansetzen · dieser Posten	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einleiten. Angaben: Durchlass · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S012	f81v	B1	lsho qokey lshedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC084[LSH+O] | PROC085[OK+E+Y] | PROC086[LSH+E+DY]	waschen · Arbeitsgang | ansetzen · kurz · dieser Posten | waschen · kurz · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: waschen → wirken lassen → durchwaschen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S013	f81v	B1	lshedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC086[LSH+E+DY]	waschen · kurz · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: durchwaschen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S014	f81v	B1	chedy qolky lchedal qol otar	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC042[CHD+Y] | PROC087[SOLK+Y] | PROC088[L+CHD+AL] | PROC013[OL] | PROC089[OT+AR]	umsetzen · dieser Posten | auffangen · dieser Posten | führen · umsetzen · bezeichnete Stelle | fortsetzen | danach · von dort	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → auffangen → hinleiten + umfüllen. Angaben: fort | danach · davon.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S015	f81v	B1	ytey okchedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC090[T+E+Y] | PROC091[OK+CHD+DY]	eintragen · kurz · dieser Posten | ansetzen · umsetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: übertragen → einsetzen + überführen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S016	f81v	B1	qokal okeey qol cheedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC048[OK+AL] | PROC092[OK+EE+Y] | PROC013[OL] | PROC078[SHED+DY]	ansetzen · bezeichnete Stelle | ansetzen · länger · dieser Posten | fortsetzen | absetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: anlegen → wirken lassen → absetzen lassen. Angaben: fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S017	f81v	B1	sal teol dchdy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC055[AL] | PROC093[E+OL] | PROC094[CHD+DY]	bezeichnete Stelle | kurz · fortsetzen | umsetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umfüllen. Angaben: Ziel | kurz · fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S018	f81v	B1	ly dsheol oiiin olkeedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC095[L+Y] | PROC096[SH+E+OL] | PROC097[O+IIN] | PROC098[SOLK+EE+DY]	führen · dieser Posten | halten · kurz · fortsetzen | Arbeitsgang · Sollstufe | auffangen · länger · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führen → stehen lassen → auffangen und stehen lassen. Angaben: Gang · Sollstufe.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S019	f81v	B1	tedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC078[SHED+DY]	absetzen · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: absetzen lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S020	f81v	B1	cheky shckhedy	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC083[CHK+E+Y] | PROC099[SH+CKH+E+DY]	wärmen · kurz · dieser Posten | halten · Durchlass · kurz · Schluss	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → zurückhalten.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B1-S021	f81v	B1	chal	1	gemeinsame zweireihige Figuren-/Beckenstation	1	PROC055[AL]	bezeichnete Stelle	Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nur die Angaben. Angaben: Ziel.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S001	f82r	B2	dchedy	1	oberes Beckenpaar mit Zylinder	1	PROC076[CHD+DY]	umsetzen · Schluss	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: führe zur nächsten Station.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S002	f82r	B2	qolchedy	2	oberes Beckenpaar mit Zylinder	1	PROC079[OL+CHD+DY]	fortsetzen · umsetzen · Schluss	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: führe zur nächsten Station.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B2-S003	f82r	B2	qokain dy qokeedy	1	oberes Beckenpaar mit Zylinder	1	PROC080[OK+AIN] | PROC019[Y] | PROC100[OK+EE+DY]	ansetzen · Portion | dieser Posten | ansetzen · länger · Schluss	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: gib einen Teil hinein → einwirken lassen. Angaben: dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S004	f82r	B2	qokal lcheckhy lched qokeey lcheckhedy	1	oberes Beckenpaar mit Zylinder	1	PROC048[OK+AL] | PROC101[L+CKH+Y] | PROC102[L+CHD] | PROC092[OK+EE+Y] | PROC103[L+CKH+E+DY]	ansetzen · bezeichnete Stelle | führen · Durchlass · dieser Posten | führen · umsetzen | ansetzen · länger · dieser Posten | führen · Durchlass · kurz · Schluss	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S005	f82r	B2	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	1	oberes Beckenpaar mit Zylinder	1	PROC104[OK+AL+Y] | PROC105[SOLK+AIIN] | PROC075[CKH+Y] | PROC038[OK+AIIN] | PROC038[OK+AIIN] | PROC106[O+CTH+E+OL] | PROC107[CHK+EE+Y] | PROC108[L+DY]	ansetzen · bezeichnete Stelle · dieser Posten | auffangen · vorgeschriebenes Maß | Durchlass · dieser Posten | ansetzen · vorgeschriebenes Maß | ansetzen · vorgeschriebenes Maß | Arbeitsgang · bereit · kurz · fortsetzen | wärmen · länger · dieser Posten | führen · Schluss	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen. Angaben: Durchlass · dies | Gang · bereit · kurz · fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S006	f82r	B2	oteey qokal sheckhy qoky	1	oberes Beckenpaar mit Zylinder	1	PROC109[OT+EE+Y] | PROC048[OK+AL] | PROC110[SH+E+CKH+Y] | PROC008[OK+Y]	danach · länger · dieser Posten | ansetzen · bezeichnete Stelle | halten · kurz · Durchlass · dieser Posten | ansetzen · dieser Posten	Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → zurückhalten → setze dies ein. Angaben: danach · länger · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S007	f82r	B2	dshedy	1	mittleres linkes Handgerät mit Inline-Knoten	1	PROC111[SH+E+DY]	halten · kurz · Schluss	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S008	f82r	B2	sotaiin qokar shedy	1	mittleres linkes Handgerät mit Inline-Knoten	1	PROC112[OT+AIIN] | PROC113[OK+AR] | PROC078[SHED+DY]	danach · vorgeschriebenes Maß | ansetzen · von dort | absetzen · Schluss	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: gib davon nach Maß zu → absetzen lassen. Angaben: danach · Maß.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S009	f82r	B2	solshedy	1	mittleres linkes Handgerät mit Inline-Knoten	1	PROC114[OL+SH+E+DY]	fortsetzen · halten · kurz · Schluss	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S010	f82r	B2	qokeey qoky ls cheey	1	mittleres linkes Handgerät mit Inline-Knoten	1	PROC092[OK+EE+Y] | PROC008[OK+Y] | PROC115[LS] | PROC031[SH+EE+Y]	ansetzen · länger · dieser Posten | ansetzen · dieser Posten | weiter | halten · länger · dieser Posten	Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: wirken lassen → setze dies ein → stehen lassen. Angaben: weiter.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S011	f82r	B2	okain char okain qokeedy	1	mittlere rechte unklare Station	1	PROC080[OK+AIN] | PROC003[AR] | PROC080[OK+AIN] | PROC100[OK+EE+DY]	ansetzen · Portion | von dort | ansetzen · Portion | ansetzen · länger · Schluss	Bildort: mittlere rechte unklare Station. Arbeitsfolge: gib einen Teil hinein → gib einen Teil hinein → einwirken lassen. Angaben: davon.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S012	f82r	B2	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	1	mittlere rechte unklare Station	1	PROC116[L+CH+Y] | PROC031[SH+EE+Y] | PROC117[CTH+E+Y] | PROC092[OK+EE+Y] | PROC118[L+EE+Y] | PROC009[AIIN] | PROC019[Y] | PROC119[OK+EEE+DY]	führen · abziehen · dieser Posten | halten · länger · dieser Posten | bereit · kurz · dieser Posten | ansetzen · länger · dieser Posten | führen · länger · dieser Posten | vorgeschriebenes Maß | dieser Posten | ansetzen · vollständig · Schluss	Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S013	f82r	B2	lchedy	5	unteres grünes Mehrfigurenbecken	1	PROC120[L+CHD+DY]	führen · umsetzen · Schluss	Bildort: unteres grünes Mehrfigurenbecken. Arbeitsfolge: abführen + überführen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B2-S014	f82r	B2	lar	1	unteres grünes Mehrfigurenbecken	1	PROC121[L+AR]	führen · von dort	Bildort: unteres grünes Mehrfigurenbecken. Arbeitsfolge: ableiten.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S015	f82r	B2	tshey qokeedy	1	kleine Randstationen des unteren Beckens	1	PROC122[SH+E+Y] | PROC100[OK+EE+DY]	halten · kurz · dieser Posten | ansetzen · länger · Schluss	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: stehen lassen → einwirken lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S016	f82r	B2	cheal lchedar ches aiin oteey qokaiin okey pchedy	1	kleine Randstationen des unteren Beckens	1	PROC055[AL] | PROC123[L+CHD+AR] | PROC124[CH+E+S] | PROC009[AIIN] | PROC109[OT+EE+Y] | PROC038[OK+AIIN] | PROC085[OK+E+Y] | PROC125[P+CHD+DY]	bezeichnete Stelle | führen · umsetzen · von dort | abziehen · kurz · teilen | vorgeschriebenes Maß | danach · länger · dieser Posten | ansetzen · vorgeschriebenes Maß | ansetzen · kurz · dieser Posten | hineingeben · umsetzen · Schluss	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S017	f82r	B2	rsheal daldy	1	kleine Randstationen des unteren Beckens	1	PROC126[R+SH+E+AL] | PROC127[AL+DY]	abkühlen · halten · kurz · bezeichnete Stelle | bezeichnete Stelle · Schluss	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: abkühlen lassen + ruhen lassen. Angaben: Ziel; Schritt schließen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S018	f82r	B2	qokeedy	5	kleine Randstationen des unteren Beckens	2	PROC100[OK+EE+DY]	ansetzen · länger · Schluss	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: einwirken lassen.	REPEATED_SAME_OWNER_AND_INSTRUCTION	NO	NO
