case_id	phase	statement_id	page	record	source_instruction_de	semantic_component_sequence	invariant_command_sequence_de	selected_card_sequence	reconstructed_surface_sequence	source_surface_sequence	context_card_choices	desk_surface_choices	local_exemplar_surface_choices	exact_roundtrip
C1	OPERATE_OR_APPLY	B1-S009	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	PROC067	qokedy	qokedy	0	0	0	YES
C1	OPERATE_OR_APPLY	B1-S010	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einwirken lassen.	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	PROC067	qokedy	qokedy	0	0	0	YES
C1	OPERATE_OR_APPLY	B1-S011	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: einleiten. Angaben: Durchlass · dies.	CKH+Y | OK+Y	DURCHLASSKANAL · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN	PROC075 | PROC008	chckhy qoky	chckhy qoky	1	1	1	YES
C1	OPERATE_OR_APPLY	B1-S012	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: waschen → wirken lassen → durchwaschen.	LSH+O | OK+E+Y | LSH+E+DY	WASCHEN · ARBEITSGANG | ANSETZEN · KURZ · ARBEITSPOSTEN | WASCHEN · KURZ; SCHLUSS	PROC084 | PROC085 | PROC086	lsho qokey lshedy	lsho qokey lshedy	0	0	1	YES
C1	OPERATE_OR_APPLY	B1-S013	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: durchwaschen.	LSH+E+DY	WASCHEN · KURZ; SCHLUSS	PROC086	lshedy	lshedy	0	0	0	YES
C1	OPERATE_OR_APPLY	B1-S014	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umschöpfen → auffangen → hinleiten + umfüllen. Angaben: fort | danach · davon.	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	UMSETZEN · ARBEITSPOSTEN | AUFFANGEN · ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN · ZIELSTELLE | FORTSETZEN | DANACH · VORRAT	PROC042 | PROC087 | PROC088 | PROC013 | PROC089	chedy qolky lchedal qol otar	chedy qolky lchedal qol otar	2	1	1	YES
C1	OPERATE_OR_APPLY	B1-S015	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: übertragen → einsetzen + überführen.	T+E+Y | OK+CHD+DY	EINTRAGEN · KURZ · ARBEITSPOSTEN | ANSETZEN · UMSETZEN; SCHLUSS	PROC090 | PROC091	ytey okchedy	ytey okchedy	1	1	0	YES
C1	OPERATE_OR_APPLY	B1-S016	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: anlegen → wirken lassen → absetzen lassen. Angaben: fort.	OK+AL | OK+EE+Y | OL | SHED+DY	ANSETZEN · ZIELSTELLE | ANSETZEN · LANG · ARBEITSPOSTEN | FORTSETZEN | ABSETZEN; SCHLUSS	PROC048 | PROC092 | PROC013 | PROC078	qokal okeey qol cheedy	qokal okeey qol cheedy	1	0	4	YES
C1	OPERATE_OR_APPLY	B1-S017	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: umfüllen. Angaben: Ziel | kurz · fort.	AL | E+OL | CHD+DY	ZIELSTELLE | KURZ · FORTSETZEN | UMSETZEN; SCHLUSS	PROC055 | PROC093 | PROC094	sal teol dchdy	sal teol dchdy	1	0	1	YES
C1	OPERATE_OR_APPLY	B1-S018	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: führen → stehen lassen → auffangen und stehen lassen. Angaben: Gang · Sollstufe.	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	WEITERLEITEN · ARBEITSPOSTEN | HALTEN · KURZ · FORTSETZEN | ARBEITSGANG · ARBEITSSTUFE | AUFFANGEN · LANG; SCHLUSS	PROC095 | PROC096 | PROC097 | PROC098	ly dsheol oiiin olkeedy	ly dsheol oiiin olkeedy	0	0	2	YES
C1	OPERATE_OR_APPLY	B1-S019	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: absetzen lassen.	SHED+DY	ABSETZEN; SCHLUSS	PROC078	tedy	tedy	0	0	1	YES
C1	OPERATE_OR_APPLY	B1-S020	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: warm halten → zurückhalten.	CHK+E+Y | SH+CKH+E+DY	WAERMEN · KURZ · ARBEITSPOSTEN | HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	PROC083 | PROC099	cheky shckhedy	cheky shckhedy	0	0	0	YES
C1	OPERATE_OR_APPLY	B1-S021	f81v	B1	Setze zweifach gezogener und ausgewrungener Bluetenauszug an gemeinsame zweireihige Figuren-/Beckenstation ein. Therapeutische Lesung: Bildort: gemeinsame zweireihige Figuren-/Beckenstation. Arbeitsfolge: setze nur die Angaben. Angaben: Ziel.	AL	ZIELSTELLE	PROC055	chal	chal	0	0	1	YES
C2	PREPARE_PRODUCT	H2-S001	f10r	H2	Den zurueckbehaltenen Pflanzenrest oder zweiten Teil abziehen, an Ansatz und Mass binden und bis zur Bereitschaft weiterziehen.	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ | BEREIT · ARBEITSPOSTEN | ANSATZ | BEREIT · SOLLMASS | ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN | ARBEITSPOSTEN | ARBEITSPOSTEN | SOLLMASS | ARBEITSPOSTEN	PROC015 | PROC014 | PROC016 | PROC017 | PROC018 | PROC019 | PROC019 | PROC009 | PROC019	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	0	0	6	YES
C2	PREPARE_PRODUCT	H2-S002	f10r	H2	Vom fortgefuehrten Ansatz einen gemessenen Nachauszug abnehmen; den Rest im Gefaess weiterfuehren.	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	DANACH · ABNEHMEN · ANSATZ | ANSATZ | DANACH · FORTSETZEN | FORTSETZEN | FORTSETZEN · ANSATZ | FORTSETZEN | SOLLMASS | VORRAT	PROC020 | PROC016 | PROC021 | PROC013 | PROC022 | PROC013 | PROC009 | PROC003	qotchor chor otol chol cholor chol daiin dar	qotchor chor otol chol cholor chol daiin dar	2	2	5	YES
C2	PREPARE_PRODUCT	H2-S003	f10r	H2	Den Ansatz zweimal mit frischem Pflanzenstoff oder Medium nachbeschicken und die naechste verbrauchte Portion entfernen.	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ | ANSATZ | ANSATZ | ARBEITSPOSTEN | ZUDOSIEREN · ARBEITSSTUFE | ARBEITSPOSTEN | ABNEHMEN · ARBEITSGANG · SOLLMASS	PROC023 | PROC016 | PROC016 | PROC019 | PROC024 | PROC019 | PROC025	oykchor shor chor chy kaiiin dy chodaiin	oykchor shor chor chy kaiiin dy chodaiin	0	0	4	YES
C2	OPERATE_OR_APPLY	B2-S001	f82r	B2	Setze zweifach nachbeschickter standardisierter Zweitauszug an oberes Beckenpaar mit Zylinder ein. Therapeutische Lesung: Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: führe zur nächsten Station.	CHD+DY	UMSETZEN; SCHLUSS	PROC076	dchedy	dchedy	1	0	1	YES
C2	OPERATE_OR_APPLY	B2-S002	f82r	B2	Setze zweifach nachbeschickter standardisierter Zweitauszug an oberes Beckenpaar mit Zylinder ein. Therapeutische Lesung: Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: führe zur nächsten Station.	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	PROC079	qolchedy	qolchedy	0	0	1	YES
C2	OPERATE_OR_APPLY	B2-S003	f82r	B2	Setze zweifach nachbeschickter standardisierter Zweitauszug an oberes Beckenpaar mit Zylinder ein. Therapeutische Lesung: Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: gib einen Teil hinein → einwirken lassen. Angaben: dies.	OK+AIN | Y | OK+EE+DY	ANSETZEN · PORTION | ARBEITSPOSTEN | ANSETZEN · LANG; SCHLUSS	PROC080 | PROC019 | PROC100	qokain dy qokeedy	qokain dy qokeedy	0	0	2	YES
C2	OPERATE_OR_APPLY	B2-S004	f82r	B2	Setze zweifach nachbeschickter standardisierter Zweitauszug an oberes Beckenpaar mit Zylinder ein. Therapeutische Lesung: Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → durchleiten → führen + umsetzen → wirken lassen → durchleiten.	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	ANSETZEN · ZIELSTELLE | WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN | WEITERLEITEN · UMSETZEN | ANSETZEN · LANG · ARBEITSPOSTEN | WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	PROC048 | PROC101 | PROC102 | PROC092 | PROC103	qokal lcheckhy lched qokeey lcheckhedy	qokal lcheckhy lched qokeey lcheckhedy	0	0	2	YES
C2	OPERATE_OR_APPLY	B2-S005	f82r	B2	Setze zweifach nachbeschickter standardisierter Zweitauszug an oberes Beckenpaar mit Zylinder ein. Therapeutische Lesung: Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → bis zum Maß auffangen → einleiten → einleiten → warm halten → abführen. Angaben: Durchlass · dies | Gang · bereit · kurz · fort.	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN | AUFFANGEN · SOLLMASS | DURCHLASSKANAL · ARBEITSPOSTEN | ANSETZEN · SOLLMASS | ANSETZEN · SOLLMASS | ARBEITSGANG · BEREIT · KURZ · FORTSETZEN | WAERMEN · LANG · ARBEITSPOSTEN | WEITERLEITEN; SCHLUSS	PROC104 | PROC105 | PROC075 | PROC038 | PROC038 | PROC106 | PROC107 | PROC108	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	1	0	3	YES
C2	OPERATE_OR_APPLY	B2-S006	f82r	B2	Setze zweifach nachbeschickter standardisierter Zweitauszug an oberes Beckenpaar mit Zylinder ein. Therapeutische Lesung: Bildort: oberes Beckenpaar mit Zylinder. Arbeitsfolge: anlegen → zurückhalten → setze dies ein. Angaben: danach · länger · dies.	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	DANACH · LANG · ARBEITSPOSTEN | ANSETZEN · ZIELSTELLE | HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN	PROC109 | PROC048 | PROC110 | PROC008	oteey qokal sheckhy qoky	oteey qokal sheckhy qoky	1	1	1	YES
C2	OPERATE_OR_APPLY	B2-S007	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an mittleres linkes Handgerät mit Inline-Knoten ein. Therapeutische Lesung: Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen.	SH+E+DY	HALTEN · KURZ; SCHLUSS	PROC111	dshedy	dshedy	0	0	0	YES
C2	OPERATE_OR_APPLY	B2-S008	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an mittleres linkes Handgerät mit Inline-Knoten ein. Therapeutische Lesung: Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: gib davon nach Maß zu → absetzen lassen. Angaben: danach · Maß.	OT+AIIN | OK+AR | SHED+DY	DANACH · SOLLMASS | ANSETZEN · VORRAT | ABSETZEN; SCHLUSS	PROC112 | PROC113 | PROC078	sotaiin qokar shedy	sotaiin qokar shedy	0	0	2	YES
C2	OPERATE_OR_APPLY	B2-S009	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an mittleres linkes Handgerät mit Inline-Knoten ein. Therapeutische Lesung: Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: ruhen lassen.	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ; SCHLUSS	PROC114	solshedy	solshedy	0	0	0	YES
C2	OPERATE_OR_APPLY	B2-S010	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an mittleres linkes Handgerät mit Inline-Knoten ein. Therapeutische Lesung: Bildort: mittleres linkes Handgerät mit Inline-Knoten. Arbeitsfolge: wirken lassen → setze dies ein → stehen lassen. Angaben: weiter.	OK+EE+Y | OK+Y | OL | SH+EE+Y	ANSETZEN · LANG · ARBEITSPOSTEN | ANSETZEN · ARBEITSPOSTEN | FORTSETZEN | HALTEN · LANG · ARBEITSPOSTEN	PROC092 | PROC008 | PROC115 | PROC031	qokeey qoky ls cheey	qokeey qoky ls cheey	3	2	1	YES
C2	OPERATE_OR_APPLY	B2-S011	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an mittlere rechte unklare Station ein. Therapeutische Lesung: Bildort: mittlere rechte unklare Station. Arbeitsfolge: gib einen Teil hinein → gib einen Teil hinein → einwirken lassen. Angaben: davon.	OK+AIN | AR | OK+AIN | OK+EE+DY	ANSETZEN · PORTION | VORRAT | ANSETZEN · PORTION | ANSETZEN · LANG; SCHLUSS	PROC080 | PROC003 | PROC080 | PROC100	okain char okain qokeedy	okain char okain qokeedy	0	0	3	YES
C2	OPERATE_OR_APPLY	B2-S012	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an mittlere rechte unklare Station ein. Therapeutische Lesung: Bildort: mittlere rechte unklare Station. Arbeitsfolge: führen + abnehmen → stehen lassen → wirken lassen → führen → setze voll an; schließe. Angaben: bereit · kurz · dies | Maß | dies.	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN | HALTEN · LANG · ARBEITSPOSTEN | BEREIT · KURZ · ARBEITSPOSTEN | ANSETZEN · LANG · ARBEITSPOSTEN | WEITERLEITEN · LANG · ARBEITSPOSTEN | SOLLMASS | ARBEITSPOSTEN | ANSETZEN · VOLL; SCHLUSS	PROC116 | PROC031 | PROC117 | PROC092 | PROC118 | PROC009 | PROC019 | PROC119	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	1	1	4	YES
C2	OPERATE_OR_APPLY	B2-S013	f82r	B2	Setze mehrfach beschickter konzentrierter Pflanzenauszug an unteres grünes Mehrfigurenbecken ein. Therapeutische Lesung: Bildort: unteres grünes Mehrfigurenbecken. Arbeitsfolge: abführen + überführen.	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	PROC120	lchedy	lchedy	0	0	0	YES
C2	OPERATE_OR_APPLY	B2-S014	f82r	B2	Setze mehrfach beschickter konzentrierter Pflanzenauszug an unteres grünes Mehrfigurenbecken ein. Therapeutische Lesung: Bildort: unteres grünes Mehrfigurenbecken. Arbeitsfolge: ableiten.	L+AR	WEITERLEITEN · VORRAT	PROC121	lar	lar	0	0	0	YES
C2	OPERATE_OR_APPLY	B2-S015	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an kleine Randstationen des unteren Beckens ein. Therapeutische Lesung: Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: stehen lassen → einwirken lassen.	SH+E+Y | OK+EE+DY	HALTEN · KURZ · ARBEITSPOSTEN | ANSETZEN · LANG; SCHLUSS	PROC122 | PROC100	tshey qokeedy	tshey qokeedy	0	0	0	YES
C2	OPERATE_OR_APPLY	B2-S016	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an kleine Randstationen des unteren Beckens ein. Therapeutische Lesung: Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: ableiten + umfüllen → abnehmen + abteilen → setze nach Maß an → wirken lassen → einfüllen + überführen. Angaben: Ziel | Maß | danach · länger · dies.	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	ZIELSTELLE | WEITERLEITEN · UMSETZEN · VORRAT | ABNEHMEN · KURZ · TEILEN | SOLLMASS | DANACH · LANG · ARBEITSPOSTEN | ANSETZEN · SOLLMASS | ANSETZEN · KURZ · ARBEITSPOSTEN | EINFUELLEN · UMSETZEN; SCHLUSS	PROC055 | PROC123 | PROC124 | PROC009 | PROC109 | PROC038 | PROC085 | PROC125	cheal lchedar ches aiin oteey qokaiin okey pchedy	cheal lchedar ches aiin oteey qokaiin okey pchedy	0	0	4	YES
C2	OPERATE_OR_APPLY	B2-S017	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an kleine Randstationen des unteren Beckens ein. Therapeutische Lesung: Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: abkühlen lassen + ruhen lassen. Angaben: Ziel; Schritt schließen.	R+SH+E+AL | AL+DY	KUEHLEN · HALTEN · KURZ · ZIELSTELLE | ZIELSTELLE; SCHLUSS	PROC126 | PROC127	rsheal daldy	rsheal daldy	0	0	0	YES
C2	OPERATE_OR_APPLY	B2-S018	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an kleine Randstationen des unteren Beckens ein. Therapeutische Lesung: Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: einwirken lassen.	OK+EE+DY	ANSETZEN · LANG; SCHLUSS	PROC100	qokeedy	qokeedy	0	0	0	YES
C2	OPERATE_OR_APPLY	B2-S019	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an kleine Randstationen des unteren Beckens ein. Therapeutische Lesung: Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: auskühlen lassen + absetzen lassen.	R+SHED+DY	KUEHLEN · ABSETZEN; SCHLUSS	PROC128	rshedy	rshedy	0	0	0	YES
C2	OPERATE_OR_APPLY	B2-S020	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an kleine Randstationen des unteren Beckens ein. Therapeutische Lesung: Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: setze nur die Angaben. Angaben: danach · länger; Schritt schließen.	OT+EE+DY	DANACH · LANG; SCHLUSS	PROC129	qoteedy	qoteedy	0	0	0	YES
C2	OPERATE_OR_APPLY	B2-S021	f82r	B2	Setze abgemessene warme Auflage oder dicke Waschzubereitung an kleine Randstationen des unteren Beckens ein. Therapeutische Lesung: Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: einwirken lassen.	OK+EE+DY	ANSETZEN · LANG; SCHLUSS	PROC100	qokeedy	qokeedy	0	0	0	YES
