teaching_unit_id	sign	pass1010_value_de	pass1012_class	semantic_kind	single_core_value_de	allowed_contextual_realization_de	forbidden_rescue_de	root_mentions	event_occurrences	statement_count	page_count	register_count	pages	registers	surface_examples	forward_rule_de
R-D_ADDR	D_ADDR	TEIL	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	TEILADRESSE	lokalen Teil des sichtbaren Besitzers adressieren	kein portables Wort TEIL und kein bestimmtes Pflanzenorgan	340	332	183	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	dar|cheedy|dair|d|dol|qokeody|dor|chody	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-SH	SH	HALTEN	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	HALTEN	halten, stehen lassen oder einen Zustand bewahren	kein Stängel, Wasser oder Absetzen ohne weitere Karte	371	371	217	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	shey|cheey|sheey|sheedy|shol|sheol|shckhy|shor	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-AR	AR	QUELLE	PORTABLE_CORE_MEANING	REFERENT_SEQUENCE_OR_RELATION_CORE	AUSGANG	Vorrat, Ausgangsstelle oder Ausgangsplatz	kein Wasser, Wurzel oder Quelle als Stoffname	257	254	149	19	4	f10r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	dar|ar|okar|qokar|otar|sar|kar|shear	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-K	K	GEBEN	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	GEBEN	zugeben, zuweisen oder an eine Stelle geben	kein spezieller Zusatz, Trank oder Guss ohne Besitzer	235	232	132	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	keey|keedy|kar|kal|ykeey|kain|lkedy|kchol	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-AIIN	AIIN	MASS	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	MASS	vorgeschriebene Menge, Wert oder Einstellung	keine Zahl, Zeitdauer oder Einheit ohne separate Angabe	371	371	178	19	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	daiin|aiin|qokaiin|saiin|okaiin|olaiin|otaiin|qotaiin	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-S	S	AUSWÄHLEN	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	WÄHLEN	Material, Station oder Diagrammplatz auswählen	kein bestimmtes Objekt und keine Probe ohne Zusatzkarte	240	236	143	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	s|sain|saiin|sar|sal|sor|chos|ches	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-CHD	CHD	UMSETZEN	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	UMSETZEN	Posten zwischen zwei lokalen Zuständen oder Stellen versetzen	keine Richtung, Wärme oder Flüssigkeit ohne Anker	256	256	192	12	4	f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	chedy|lchedy|chdy|pchedy|chedaiin|olchedy|qokchdy|qopchedy	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-OR	OR	ANSATZ	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	ANSATZ	laufende Zubereitung, Arbeitskonfiguration oder Eintragsverband	kein Wein, Öl, Sud oder Gefäß	228	225	108	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	or|chor|shor|sor|dor|otor|lor|sheor	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-L	L	LEITEN	PORTABLE_CORE_MEANING	REFERENT_SEQUENCE_OR_RELATION_CORE	VERBINDUNG	über eine sichtbare oder textlich gesetzte Verbindung weitergeben	keine Flussrichtung und kein Rohr ohne Bildanker	215	215	159	15	4	f11r|f55v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	lchedy|cheol|l|lol|lchey|lo|ldy|lkedy	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-T	T	STELLEN	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	EINSTELLEN	Menge, Stufe, Stellung oder Arbeitswert einstellen	kein Erhitzen, Füllen oder Körperteil	139	138	96	20	4	f10r|f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	tchedy|sheety|ytedy|yty|taiin|tchol|tal|tedy	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-AIN	AIN	PORTION	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	PORTION	Teilmenge, Füllung oder einzelne Zelle	kein Tuch, Gefäß oder feste Maßeinheit	187	187	127	16	4	f10r|f11r|f17r|f18r|f55v|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	qokain|dain|sain|ain|okain|kain|otain|qotain	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-R	R	MERKEN	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	MARKIEREN	Zustand, Stelle oder Eintrag kennzeichnen	kein Kühlen, Wärme oder Prüfergebnis	103	103	77	18	4	f10r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	r|cheor|raiin|dary|rol|daram|sodar|ror	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-P	P	EINSETZEN	PORTABLE_CORE_MEANING	CONTENT_OR_OPERATION_CORE	EINSETZEN	Material, Einsatz oder Eintrag in einen lokalen Rahmen setzen	kein Beginnmarker, Gefäß oder Richtung allein	103	103	70	18	4	f10r|f13r|f17r|f18r|f55v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	pchedy|qopchedy|qopchy|pchedar|polshy|opchdy|pchocthy|pchodol	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-CTH	CTH	BEREIT	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	BEREIT	einen erreichten Arbeitszustand als bereit kennzeichnen	kein gebrauchsfertig, klar oder gekocht ohne lokale Stütze	88	88	55	17	4	f10r|f11r|f17r|f18r|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	cthy|chcthy|cthol|shecthy|checthy|shcthy|cthey|cthar	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-SHED	SHED	ABSETZEN	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	ABSETZEN	einen Posten stehen und sich setzen lassen	kein allgemeiner Schluss, Bad oder Waschgang	110	110	107	8	2	f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|PHARMA	shedy|shedaiin|shedal|rshedy|shed|lshed|opshey|qotedshedy	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-CKH	CKH	DURCHLASS	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	DURCHLASS	lokaler Durchgang, Anschluss oder Passage	kein Filtertuch, Auslass oder Richtung ohne Bildanker	104	104	84	18	4	f10r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	chckhy|shckhy|checkhy|qockhey|chckhey|shckhedy|sheckhy|qockhol	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-AM_ADDR	AM_ADDR	INNEN	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	INNENADRESSE	inneren lokalen Platz markieren	kein universelles in, Gefäß oder Innenbecken	59	59	39	17	4	f10r|f17r|f18r|f55v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	am|otam|dam|om|cheom|sam|daram|ydam	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-CHEO	CHEO	AUSZUG	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	AUSZUG	gewonnener oder weitergeführter Arbeitsauszug	kein Wasser, Wein, Öl oder Diagrammwort; bei Labels nur lokale Adresse	107	107	61	16	4	f10r|f17r|f55v|f56r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	cheol|cheor|cheody|cheo|cheos|cheoky|cheom|tcheol	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-DA	DA	ZWEIT	FORMAL_CONTROL_NOT_CONTENT_WORD	GRADE_BOUNDARY_OR_ENTRY_CONTROL	ZWEITE STUFE	zweiten lokalen Gang oder zweite Position anzeigen	kein bestimmtes Gefäß, Material oder zeitliches danach	34	34	27	13	4	f17r|f18r|f55v|f67r2|f68r1|f75r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	dary|dam|daiiin|daram|sodar|ydam|das|odaeiin	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-CARRIER_Q	CARRIER_Q	BEGINN	FORMAL_CONTROL_NOT_CONTENT_WORD	GRADE_BOUNDARY_OR_ENTRY_CONTROL	BEGINNMARKER	neuen lokalen Eintrag oder Gang eröffnen	kein Lautwert, Stoff oder eigenes Aktionsverb	60	60	48	14	4	f10r|f11r|f17r|f55v|f67r2|f68r1|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	qopchedy|qoaiin|qody|qockhol|qool|qocheey|qoeedy|qoor	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-A_ADDR	A_ADDR	ORT	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	ORTSADRESSE	eine lokale Bild- oder Diagrammstelle adressieren	kein portables Wort ORT und kein Zieloperator	34	34	29	14	4	f10r|f17r|f55v|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f88r|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	as|daram|qoay|kaiiin|ykaky|otaky|choeea|ay	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-AIR	AIR	LAUF	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	LAUF	Flüssigkeits-, Arbeits- oder Ringlauf mit gemeinsamem Wegkern	nicht universal Wasser und nicht Rücklauf, Einlass oder Richtung	38	38	33	14	4	f10r|f11r|f17r|f18r|f55v|f67r2|f72r|f75r|f76r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	dair|air|ydair|qokair|chair|ypaim|pdrairdy|ychair	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-CHK	CHK	BEHANDELN	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	BEARBEITEN	unspezifizierte Fachbearbeitung des aktiven Postens	nicht frei zu Wärme, Mischen, Mahlen, Waschen oder Baden ausbauen	46	46	42	16	4	f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	cheky|cheeky|chekaiin|chekar|chekain|chkedy|ychekchy|ychekch	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-IIN	IIN	STUFE	FORMAL_CONTROL_NOT_CONTENT_WORD	GRADE_BOUNDARY_OR_ENTRY_CONTROL	STUFE	benannte Arbeits- oder Diagrammstufe	nicht mit AIIN=MASS verschmelzen und keine konkrete Zahl erfinden	37	37	34	14	4	f10r|f13r|f17r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	oiin|daiiin|oiiin|doiin|oin|soiiin|doiir|kaiiin	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-S_ADDR	S_ADDR	SONDERORT	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	SONDERADRESSE	besonders bezeichneten lokalen Platz markieren	kein Stern-, Material- oder Stationswort außerhalb des Besitzers	13	13	13	7	3	f67r2|f71v|f72r|f77r|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	oteos|chees|yteos|oteeos|oteees|kesd	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-SOLK	SOLK	AUFFANGEN	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	AUFFANGEN	an einer lokalen Sammel- oder Empfangsstelle aufnehmen	kein bestimmtes Becken, Gefäß, Sieb oder Ergebnis	30	30	29	8	2	f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	BIOLOGICAL|PHARMA	olkeedy|olkeey|olkedy|solkeey|olky|qolkain|solkeedy|olkar	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-EEE	EEE	GRAD III	FORMAL_CONTROL_NOT_CONTENT_WORD	GRADE_BOUNDARY_OR_ENTRY_CONTROL	GRAD III	dritte oder volle Stufe derselben aktiven Handlung	kein automatischer Abschluss und kein vollständig als eigenes Verb	23	23	20	11	4	f13r|f55v|f68r1|f71v|f72r|f76r|f77r|f82r|f83r|f88r|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	qokeeey|qokeeedy|keeedy|oeees|oeeed|choctheeey|teeey|eteeey	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-LSH	LSH	SPÜLEN	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	SPÜLEN	mit einem vorhandenen Arbeitsmedium durchwaschen	kein Wasserstoffwort, Körperwäsche oder Ringlauf ohne Besitzer	22	22	21	8	3	f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r	BIOLOGICAL|CELESTIAL|PHARMA	lshedy|lsheedy|okalshey|lsh|ofalsheky|salshcthdy|lshety|lsho	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-LOCAL_CHAR_F	LOCAL_CHAR_F	NEBENWEG	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	NEBENADRESSE	lokalen Nebenplatz oder Zweig markieren	kein portabler Nebenweg und keine Flussrichtung	13	13	13	8	4	f17r|f55v|f67r2|f77r|f81v|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	fshody|qof|keeyfar|ofar|ofydy|qofair|lfcheal|ofalsheky	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-CPH	CPH	UMLEITEN	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	UMLEITEN	auf einen alternativen lokalen Weg oder Empfänger setzen	keine Richtung und kein Nachseihen ohne sichtbare Alternative	20	20	17	12	4	f11r|f17r|f56r|f68r1|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	cphol|cphy|cphor|cphaldy|ychocphy|chcphy|chcphdy|chcphedy	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-HO	HO	TEILSTOFF	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	STOFFKLASSE	lokale Material- oder Unterklasse aus dem Besitzer übernehmen	kein universeller Teilstoff, Pflanze oder Badezusatz	16	16	12	7	2	f13r|f17r|f18r|f55v|f56r|f88v|f89r	HERBAL|PHARMA	cho|chom|chockhy|shochy|chog|chochor|chodaly|choy	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-AN	AN	ZUSATZ	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	ZUSATZKLASSE	lokalen Zusatztyp aus dem Exemplar übernehmen	kein portables Zusatzwort und keine konkrete Zutat	7	7	7	5	3	f55v|f56r|f67r2|f75r|f76r	BIOLOGICAL|CELESTIAL|HERBAL	ykeesan|ykan|sotodan|dokan|qokan|qotan|poleedaran	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-G_LABEL	G_LABEL	PRÜFEN	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	PRÜFZEICHEN	lokale Prüf- oder Kennzeichnungsstelle markieren	kein universelles prüfen, klar oder Farbe	4	4	3	3	3	f67r2|f82r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	og|qsg|rag|doigom	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-CFH	CFH	TRENNEN	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	TRENNEN	Teil, Fraktion oder Lauf voneinander trennen	kein Auswringen, Pressen oder Filtern ohne weitere Karte	5	5	5	5	3	f10r|f11r|f13r|f67r2|f76r	BIOLOGICAL|CELESTIAL|HERBAL	cfhy|cfholdy|chocfhy|chcfhdy	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-LOCAL_CHAR_G	LOCAL_CHAR_G	EINMAL	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	EINER-MARKE	lokalen Einzelplatz oder einfachen Durchgang markieren	kein portables einmal und keine Zahl Eins	10	10	10	8	4	f13r|f17r|f18r|f56r|f67r2|f77r|f83r|f88r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	dchg|chog|opydg|cheteg|ytcharg|kcharg|giin|dag	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
