statement_id	record_unit_id	page	register_grammar	shared_surface_skeleton	collapsed_units	carried_header_roles	ordered_payload_chunks	local_order_inversions	fit_class	spoken_source_reading_de
H4-S004	H4	f55v	HERBAL_ARTICLE	aiin okal chor chey	aiin | okal | chor | chey	MEASURE	ACTION>OBJECT>OBJECT	0	DIRECT_REGISTER_TEMPLATE	nach Sollmaß am Ziel ansetzen den Ansatz diesen Posten
H5-S001	H5	f56r	HERBAL_ARTICLE	aiin choky al	aiin | choky | al	MEASURE	ACTION>TARGET	0	DIRECT_REGISTER_TEMPLATE	nach Sollmaß den Posten ansetzen zum Ziel
H5-S002	H5	f56r	HERBAL_ARTICLE	choky	choky	NONE	ACTION	0	DIRECT_REGISTER_TEMPLATE	den Posten ansetzen
H5-S006	H5	f56r	HERBAL_ARTICLE	otchey aiin	otchey | aiin	NONE	ORDER>MEASURE	0	DIRECT_REGISTER_TEMPLATE	danach den nächsten Posten nach Sollmaß
B1-S002	B1	f81v	BIOLOGICAL_CELL	okaiin okal char cheol al cheol cholor cheol aiin aiin	okaiin | okal | char | cheol | al | CARRY_BATCH_FRAME | aiin | aiin	NONE	ACTION>ACTION>SOURCE>LINK>TARGET>LINK>MEASURE>MEASURE	1	ONE_LOCAL_CARRY_OR_FRONTING	das Sollmaß einstellen am Ziel ansetzen aus der Quelle weiterführen zum Ziel weiterführen den vorigen Ansatz weiterführen weiterführen nach Sollmaß nach Sollmaß
B1-S003	B1	f81v	BIOLOGICAL_CELL	cheol	cheol	NONE	LINK	0	DIRECT_REGISTER_TEMPLATE	weiterführen
B1-S004	B1	f81v	BIOLOGICAL_CELL	chdy cheol	chdy | cheol	NONE	ACTION>LINK	0	DIRECT_REGISTER_TEMPLATE	den Posten umsetzen weiterführen
B1-S008	B1	f81v	BIOLOGICAL_CELL	chey cheol cheol	chey | cheol | cheol	NONE	OBJECT>LINK>LINK	2	STACKED_CELL_REQUIRES_LOCAL_REORDERING	diesen Posten weiterführen weiterführen
B1-S011	B1	f81v	BIOLOGICAL_CELL	choky	choky	NONE	ACTION	0	DIRECT_REGISTER_TEMPLATE	den Posten ansetzen
B1-S014	B1	f81v	BIOLOGICAL_CELL	chdy cheol	chdy | cheol	NONE	ACTION>LINK	0	DIRECT_REGISTER_TEMPLATE	den Posten umsetzen weiterführen
B1-S016	B1	f81v	BIOLOGICAL_CELL	okal cheol	okal | cheol	NONE	ACTION>LINK	0	DIRECT_REGISTER_TEMPLATE	am Ziel ansetzen weiterführen
B1-S017	B1	f81v	BIOLOGICAL_CELL	al	al	NONE	TARGET	0	DIRECT_REGISTER_TEMPLATE	zum Ziel
B1-S021	B1	f81v	BIOLOGICAL_CELL	al	al	NONE	TARGET	0	DIRECT_REGISTER_TEMPLATE	zum Ziel
B2-S003	B2	f82r	BIOLOGICAL_CELL	chey	chey	NONE	OBJECT	0	DIRECT_REGISTER_TEMPLATE	diesen Posten
B2-S004	B2	f82r	BIOLOGICAL_CELL	okal	okal	NONE	ACTION	0	DIRECT_REGISTER_TEMPLATE	am Ziel ansetzen
B2-S005	B2	f82r	BIOLOGICAL_CELL	okaiin okaiin	okaiin | okaiin	NONE	ACTION>ACTION	0	DIRECT_REGISTER_TEMPLATE	das Sollmaß einstellen das Sollmaß einstellen
B2-S006	B2	f82r	BIOLOGICAL_CELL	okal choky	okal | choky	NONE	ACTION>ACTION	0	DIRECT_REGISTER_TEMPLATE	am Ziel ansetzen den Posten ansetzen
B2-S010	B2	f82r	BIOLOGICAL_CELL	choky cheey	choky | cheey	NONE	ACTION>STATE	0	DIRECT_REGISTER_TEMPLATE	den Posten ansetzen bis zum Ergebnis
B2-S011	B2	f82r	BIOLOGICAL_CELL	char	char	NONE	SOURCE	0	DIRECT_REGISTER_TEMPLATE	aus der Quelle
B2-S012	B2	f82r	BIOLOGICAL_CELL	cheey aiin chey	cheey | aiin | chey	NONE	STATE>MEASURE>OBJECT	0	DIRECT_REGISTER_TEMPLATE	bis zum Ergebnis nach Sollmaß diesen Posten
B2-S016	B2	f82r	BIOLOGICAL_CELL	al aiin okaiin	al | aiin | okaiin	TARGET|MEASURE	ACTION	0	DIRECT_REGISTER_TEMPLATE	zum Ziel nach Sollmaß das Sollmaß einstellen
B3-S003	B3	f83r	BIOLOGICAL_CELL	chey aiin chey	PAIRED_MEASURE_FRAME	NONE	OBJECT	0	DIRECT_REGISTER_TEMPLATE	diesen Posten nach Sollmaß diesen Posten
B3-S004	B3	f83r	BIOLOGICAL_CELL	okaiin char	okaiin | char	NONE	ACTION>SOURCE	0	DIRECT_REGISTER_TEMPLATE	das Sollmaß einstellen aus der Quelle
B3-S006	B3	f83r	BIOLOGICAL_CELL	okal	okal	NONE	ACTION	0	DIRECT_REGISTER_TEMPLATE	am Ziel ansetzen
B3-S007	B3	f83r	BIOLOGICAL_CELL	okaiin chdy	okaiin | chdy	NONE	ACTION>ACTION	0	DIRECT_REGISTER_TEMPLATE	das Sollmaß einstellen den Posten umsetzen
B3-S009	B3	f83r	BIOLOGICAL_CELL	choky	choky	NONE	ACTION	0	DIRECT_REGISTER_TEMPLATE	den Posten ansetzen
B3-S011	B3	f83r	BIOLOGICAL_CELL	choky chdy	choky | chdy	NONE	ACTION>ACTION	0	DIRECT_REGISTER_TEMPLATE	den Posten ansetzen den Posten umsetzen
B3-S012	B3	f83r	BIOLOGICAL_CELL	chor	chor	NONE	OBJECT	0	DIRECT_REGISTER_TEMPLATE	den Ansatz
B3-S013	B3	f83r	BIOLOGICAL_CELL	okaiin	okaiin	NONE	ACTION	0	DIRECT_REGISTER_TEMPLATE	das Sollmaß einstellen
B3-S020	B3	f83r	BIOLOGICAL_CELL	al	al	NONE	TARGET	0	DIRECT_REGISTER_TEMPLATE	zum Ziel
B3-S021	B3	f83r	BIOLOGICAL_CELL	okaiin checthy al chey aiin chey al checthy	okaiin | STATE_TARGET_PAIR_ENVELOPE	NONE	ACTION>OBJECT	0	DIRECT_REGISTER_TEMPLATE	das Sollmaß einstellen den Posten bereit halten zum Ziel diesen Posten nach Sollmaß diesen Posten zum Ziel den Posten bereit halten
B3-S026	B3	f83r	BIOLOGICAL_CELL	chdy checthy	chdy | checthy	NONE	ACTION>STATE	0	DIRECT_REGISTER_TEMPLATE	den Posten umsetzen den Posten bereit halten
B3-S029	B3	f83r	BIOLOGICAL_CELL	cheol	cheol	NONE	LINK	0	DIRECT_REGISTER_TEMPLATE	weiterführen
B3-S030	B3	f83r	BIOLOGICAL_CELL	choky aiin	choky | aiin	NONE	ACTION>MEASURE	0	DIRECT_REGISTER_TEMPLATE	den Posten ansetzen nach Sollmaß
B3-S032	B3	f83r	BIOLOGICAL_CELL	chdy	chdy	NONE	ACTION	0	DIRECT_REGISTER_TEMPLATE	den Posten umsetzen
B3-S034	B3	f83r	BIOLOGICAL_CELL	checthy chety	checthy | chety	STATE	ACTION	0	DIRECT_REGISTER_TEMPLATE	den Posten bereit halten einen Teil abteilen
B4-S003	B4	f83r	BIOLOGICAL_CELL	chdy otchey choky cheol	chdy | otchey | choky | cheol	NONE	ACTION>ORDER || ACTION>LINK	0	DIRECT_REGISTER_TEMPLATE	den Posten umsetzen danach den nächsten Posten den Posten ansetzen weiterführen
B4-S005	B4	f83r	BIOLOGICAL_CELL	chdy	chdy	NONE	ACTION	0	DIRECT_REGISTER_TEMPLATE	den Posten umsetzen
B4-S008	B4	f83r	BIOLOGICAL_CELL	aiin cheeky	aiin | cheeky	MEASURE	ACTION	0	DIRECT_REGISTER_TEMPLATE	nach Sollmaß den Posten länger wärmen
B4-S010	B4	f83r	BIOLOGICAL_CELL	oldy	oldy	NONE	CLOSE	0	DIRECT_REGISTER_TEMPLATE	weiterführen und schließen
B4-S011	B4	f83r	BIOLOGICAL_CELL	aiin chdy cheol	aiin | chdy | cheol	MEASURE	ACTION>LINK	0	DIRECT_REGISTER_TEMPLATE	nach Sollmaß den Posten umsetzen weiterführen
B4-S014	B4	f83r	BIOLOGICAL_CELL	chor chey	chor | chey	NONE	OBJECT>OBJECT	0	DIRECT_REGISTER_TEMPLATE	den Ansatz diesen Posten
B4-S015	B4	f83r	BIOLOGICAL_CELL	cheey	cheey	NONE	STATE	0	DIRECT_REGISTER_TEMPLATE	bis zum Ergebnis
B4-S016	B4	f83r	BIOLOGICAL_CELL	al	al	NONE	TARGET	0	DIRECT_REGISTER_TEMPLATE	zum Ziel
B5-S003	B5	f83r	BIOLOGICAL_CELL	al cheol aiin cheol chdy	al | cheol | aiin | cheol | chdy	TARGET|LINK|MEASURE|LINK	ACTION	0	DIRECT_REGISTER_TEMPLATE	zum Ziel weiterführen nach Sollmaß weiterführen den Posten umsetzen
B6-S001	B6	f83r	BIOLOGICAL_CELL	cheol aiin cheol chey	cheol | aiin | cheol | chey	NONE	LINK>MEASURE>LINK>OBJECT	1	ONE_LOCAL_CARRY_OR_FRONTING	weiterführen nach Sollmaß weiterführen diesen Posten
