channel_ordinal	side	visible_affix	observation_count	target_count	recipe_extension_variant_count	recipe_extension_variants	recipe_extension_counts	dominant_recipe_extension	dominant_recipe_count	channel_class	target_surfaces	anchor_recipes	guard
17	LEFT	pof	1	1	1	P+O+LOCAL_CHAR_F	P+O+LOCAL_CHAR_F:1	P+O+LOCAL_CHAR_F	1	SINGLETON_VISIBLE_CHANNEL	pofochey	O+CH+E+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
18	LEFT	qoe	1	1	1	CARRIER_Q+O+E	CARRIER_Q+O+E:1	CARRIER_Q+O+E	1	SINGLETON_VISIBLE_CHANNEL	qoekedy	K+E+DY	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
19	LEFT	qotch	1	1	1	OT+CH	OT+CH:1	OT+CH	1	SINGLETON_VISIBLE_CHANNEL	qotchoiin	O+IIN	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
20	LEFT	r	1	1	1	R	R:1	R	1	SINGLETON_VISIBLE_CHANNEL	rotaiin	OT+AIIN	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
21	LEFT	s	1	1	1	S	S:1	S	1	SINGLETON_VISIBLE_CHANNEL	soaiin	O+AIIN	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
22	LEFT	sh	3	3	1	SH	SH:3	SH	3	REPEATED_INVARIANT_VISIBLE_CHANNEL	shckhar|shokaiir|shytchy	CH+K+AR|OK+IIN+R|Y+T	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
23	LEFT	shckh	1	1	1	SH+CH+K	SH+CH+K:1	SH+CH+K	1	SINGLETON_VISIBLE_CHANNEL	shckheody	E+O	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
24	LEFT	t	3	3	1	T	T:3	T	3	REPEATED_INVARIANT_VISIBLE_CHANNEL	tcheo|tosheo|tydy	CH+E+O|O+SH+E+O|Y+DY	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
25	LEFT	tsh	1	1	1	T+SH	T+SH:1	T+SH	1	SINGLETON_VISIBLE_CHANNEL	tshokeody	OK+E+O+D_ADDR+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
26	LEFT	y	3	3	1	Y	Y:3	Y	3	REPEATED_INVARIANT_VISIBLE_CHANNEL	yches|yshedair|ysheeod	CH+E+S|SH+E+D_ADDR|SH+EE+O	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
27	LEFT	yke	1	1	1	Y+K+E	Y+K+E:1	Y+K+E	1	SINGLETON_VISIBLE_CHANNEL	ykesho	SH+O	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
28	LEFT	ykee	1	1	1	Y+K+EE	Y+K+EE:1	Y+K+EE	1	SINGLETON_VISIBLE_CHANNEL	ykeedar	D_ADDR+AR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
29	RIGHT	aiin	2	2	1	AIIN	AIIN:2	AIIN	2	REPEATED_INVARIANT_VISIBLE_CHANNEL	choraiin|qopaiin	CARRIER_Q+O+P|CH+OR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
30	RIGHT	air	1	1	1	AIR	AIR:1	AIR	1	SINGLETON_VISIBLE_CHANNEL	yshedair	SH+E+D_ADDR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
31	RIGHT	akeo	1	1	1	A_ADDR+K+E+O	A_ADDR+K+E+O:1	A_ADDR+K+E+O	1	SINGLETON_VISIBLE_CHANNEL	chepakeo	CH+E+P	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
32	RIGHT	al	1	1	1	AL	AL:1	AL	1	SINGLETON_VISIBLE_CHANNEL	dairal	D_ADDR+AIR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
33	RIGHT	alchy	1	1	1	AL+CH+Y	AL+CH+Y:1	AL+CH+Y	1	SINGLETON_VISIBLE_CHANNEL	kodalchy	K+O+D_ADDR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
34	RIGHT	am	1	1	1	AM_ADDR	AM_ADDR:1	AM_ADDR	1	SINGLETON_VISIBLE_CHANNEL	ofaram	O+LOCAL_CHAR_F+AR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
35	RIGHT	arshy	1	1	1	AR+SH+Y	AR+SH+Y:1	AR+SH+Y	1	SINGLETON_VISIBLE_CHANNEL	dolarshy	D_ADDR+OL	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
36	RIGHT	cheey	1	1	1	CH+EE+Y	CH+EE+Y:1	CH+EE+Y	1	SINGLETON_VISIBLE_CHANNEL	dytcheey	Y+T	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
37	RIGHT	chy	3	3	1	CH+Y	CH+Y:3	CH+Y	3	REPEATED_INVARIANT_VISIBLE_CHANNEL	ckhochy|fshodchy|shytchy	CH+K+O|SH+O+D_ADDR|Y+T	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
38	RIGHT	d	5	5	1	D_ADDR	D_ADDR:5	D_ADDR	5	REPEATED_INVARIANT_VISIBLE_CHANNEL	cheod|dard|qokshd|sheod|ysheeod	CH+E+O|D_ADDR+AR|OK+SH|SH+E+O|SH+EE+O	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
39	RIGHT	daiir	1	1	1	DA+IIN+R	DA+IIN+R:1	DA+IIN+R	1	SINGLETON_VISIBLE_CHANNEL	dsholdaiir	SH+OL	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
40	RIGHT	dy	6	6	2	DY|D_ADDR+Y	DY:5|D_ADDR+Y:1	DY	5	REPEATED_AMBIGUOUS_VISIBLE_CHANNEL	chady|chekeody|cpholdy|kardy|kcheody|shckheody	CH+A_ADDR|CH+E+O|CH+P+OL|E+O|K+AR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
41	RIGHT	eefy	1	1	1	EE+LOCAL_CHAR_F+Y	EE+LOCAL_CHAR_F+Y:1	EE+LOCAL_CHAR_F+Y	1	SINGLETON_VISIBLE_CHANNEL	shekeefy	SH+E+K	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
42	RIGHT	fchy	1	1	1	LOCAL_CHAR_F+CH+Y	LOCAL_CHAR_F+CH+Y:1	LOCAL_CHAR_F+CH+Y	1	SINGLETON_VISIBLE_CHANNEL	chefchy	CH+E	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
43	RIGHT	fol	1	1	1	LOCAL_CHAR_F+OL	LOCAL_CHAR_F+OL:1	LOCAL_CHAR_F+OL	1	SINGLETON_VISIBLE_CHANNEL	shofol	SH+O	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
44	RIGHT	fordaiin	1	1	1	LOCAL_CHAR_F+OR+D_ADDR+AIIN	LOCAL_CHAR_F+OR+D_ADDR+AIIN:1	LOCAL_CHAR_F+OR+D_ADDR+AIIN	1	SINGLETON_VISIBLE_CHANNEL	sholfordaiin	SH+OL	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
45	RIGHT	iis	1	1	1	IIN+S	IIN+S:1	IIN+S	1	SINGLETON_VISIBLE_CHANNEL	saiis	S+A_ADDR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
46	RIGHT	m	1	1	1	M_LOCAL	M_LOCAL:1	M_LOCAL	1	SINGLETON_VISIBLE_CHANNEL	cthom	CH+T+O	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
47	RIGHT	or	1	1	1	OR	OR:1	OR	1	SINGLETON_VISIBLE_CHANNEL	otalor	OT+AL	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
48	RIGHT	os	1	1	1	O+S	O+S:1	O+S	1	SINGLETON_VISIBLE_CHANNEL	chepos	CH+E+P	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
49	RIGHT	p	1	1	1	P	P:1	P	1	SINGLETON_VISIBLE_CHANNEL	chap	CH+A_ADDR	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
50	RIGHT	r	1	1	1	R	R:1	R	1	SINGLETON_VISIBLE_CHANNEL	fchedyr	CHD+Y	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
51	RIGHT	s	1	1	1	S	S:1	S	1	SINGLETON_VISIBLE_CHANNEL	okedals	OK+AL	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
52	RIGHT	ta	1	1	1	T+A_ADDR	T+A_ADDR:1	T+A_ADDR	1	SINGLETON_VISIBLE_CHANNEL	cheta	CH+E	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
53	RIGHT	y	3	3	1	Y	Y:3	Y	3	REPEATED_INVARIANT_VISIBLE_CHANNEL	chory|ltsholy|qoteoly	CH+OR|OT+E+OL|T+SH+OL	EXACT_VISIBLE_RESIDUE_AROUND_DIRECTION_ALIGNED_OLD_SURFACE_STEM
