target_surface	target_recipe	side	anchor_recipe	extension_recipe	extension_atom_count	interface_pair	old_interface_event_count	old_interface_recipe_count	old_interface_surfaces	deepest_joint_extension_atoms	deepest_joint_sequence	deepest_joint_old_event_count	full_arm_seen_with_anchor	aligned_visible_affix	visible_channel_class	visible_channel_observation_count	visible_channel_recipe_variants	guard
cheod	CH+E+O+D_ADDR	RIGHT	CH+E+O	D_ADDR	1	O>D_ADDR	114	73	cheeodam|cheeody|chekody|cheodain|chod|chodaiin|chodain|chodl|chody|cphodaiils|cphodal|ctheod|dairodain|darod|dod|fchodaiin|kchod|keeod|keeodaiin|keodar|kod|kodaiin|kodshey|lod|octhody|odaiim|odaiin|odain|odar|odchees|odl|odor|ods|okeeody|okeodaly|okeody|okodaiin|olsheody|opodchol|otcheodal|oteeodaiin|oteodar|otolodal|pchodol|podar|qodam|qodar|qodched|qodchy|qodcthy|qodeedy|qodom|qodor|qokeeod|qokeeody|qokeody|qokeoefy|qokod|sheody|sheshdy|shod|shodain|shodan|shodary|shorodo|socthody|sotodan|sqokeodaiin|talody|tchodar|tchodol|teodal|tshodeesy|ycheody|ychod|ykeodain|yokeody|ypod|ysheod	1	CH+E+O+D_ADDR	3	YES	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	5	D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chepakeo	CH+E+P+A_ADDR+K+E+O	RIGHT	CH+E+P	A_ADDR+K+E+O	4	P>A_ADDR	0	0	NONE	0	NONE	0	NO	akeo	SINGLETON_VISIBLE_CHANNEL	1	A_ADDR+K+E+O	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chepos	CH+E+P+O+S	RIGHT	CH+E+P	O+S	2	P>O	11	11	cpho|cphodaiils|cphodal|cphoy|opodchol|opom|podar|poeear|porachol|posalshy|ypod	0	NONE	0	NO	os	SINGLETON_VISIBLE_CHANNEL	1	O+S	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
cheta	CH+E+T+A_ADDR	RIGHT	CH+E	T+A_ADDR	2	E>T	17	15	chetchy|chetedy|cheteg|chetey|chetyry|eteeey|ety|etyd|lshety|qetal|qetchy|qeteiiin|schety|shetar|shetey|shoety	1	CH+E+T	7	NO	ta	SINGLETON_VISIBLE_CHANNEL	1	T+A_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
choekeey	CH+O+E+K+EE+Y	LEFT	K+EE+Y	CH+O+E	3	E>K	24	20	eky|oekain|oekshy|ofalsheky|qekaiin|qekeey|qekey|qoekeol|qoekeor|qoekol|shedkedy|shek|shekaiin|shekal|shekoiin|shekor|shekshey|sheky|shekydy|yekees	1	E+K+EE+Y	1	NO	choe	SINGLETON_VISIBLE_CHANNEL	1	CH+O+E	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
choiin	CH+O+IIN	LEFT	O+IIN	CH	1	CH>O	64	43	chcfhdy|chocfhey|chocfhy|chocthar|choctheeey|chocthey|chocthy|chod|chodaiin|chodain|chodl|chody|choeea|choer|chop|chopchal|chopchedy|chos|chosals|dchody|fchodaiin|kchoar|kchod|lcho|okcho|okchoal|okchom|okchoy|otchos|otchoshor|pchocthy|pchodol|polchoy|shopcho|tcho|tchodar|tchodol|tchody|ycho|ychocphy|ychod|ydchos|ykcho|ytalchos	0	NONE	0	NO	ch	REPEATED_INVARIANT_VISIBLE_CHANNEL	2	CH	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
cholpchd	OL+P+CHD	RIGHT	OL+P	CHD	1	P>CHD	30	12	chopchedy|lchpchdy|lpchedy|olpchedy|opchdy|opchedy|pchdy|pchedal|pchedar|pchedy|qepchedy|qopchedy	1	OL+P+CHD	2	YES	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
choraiin	CH+OR+AIIN	RIGHT	CH+OR	AIIN	1	OR>AIIN	5	3	ocphoraiin|oraiin|soraiir	0	NONE	0	NO	aiin	REPEATED_INVARIANT_VISIBLE_CHANNEL	2	AIIN	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
chory	CH+OR+Y	RIGHT	CH+OR	Y	1	OR>Y	9	7	dory|okorory|orchey|ory|rory|shory|sorcheey|sory|torchy	0	NONE	0	NO	y	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
ckhochy	CH+K+O+CH+Y	RIGHT	CH+K+O	CH+Y	2	O>CH	49	34	chcfhdy|cheockhy|cheocphy|chocfhey|chocfhy|chocthar|choctheeey|chocthey|chocthy|kochky|ocheol|ochey|ockhey|ockhy|ocphoraiin|octheol|octheolarl|octhody|octhole|octhor|octhyl|pchocthy|qocheey|qockhedy|qockhey|qockhol|qockhy|qocthey|qoctholy|qocthy|qokeochy|qopcholy|shocphedy|shocthy|socthody|tochol|tochso|ychocphy	0	NONE	0	NO	chy	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	CH+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
cpholdy	CH+P+OL+DY	RIGHT	CH+P+OL	DY	1	OL>DY	24	5	cfholdy|doldy|koldam|koldy|kosholdy|okoldy|oldy|qoldy|ytoldy	0	NONE	0	NO	dy	REPEATED_AMBIGUOUS_VISIBLE_CHANNEL	6	DY|D_ADDR+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
cthom	CH+T+O+M_LOCAL	RIGHT	CH+T+O	M_LOCAL	1	O>M_LOCAL	5	5	chotom|doigom|kom|lom|som	0	NONE	0	NO	m	SINGLETON_VISIBLE_CHANNEL	1	M_LOCAL	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dairal	D_ADDR+AIR+AL	RIGHT	D_ADDR+AIR	AL	1	AIR>AL	1	1	sairal	0	NONE	0	NO	al	SINGLETON_VISIBLE_CHANNEL	1	AL	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dalcheeeky	AL+CH+K+EEE+Y	LEFT	CH+K	AL	1	AL>CH	5	5	qokalchey|ralchey|salcheol|salchtedytar|ytalchos	0	NONE	0	NO	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dalcheeeky	AL+CH+K+EEE+Y	RIGHT	CH+K	EEE+Y	2	K>EEE	3	2	keeedy|ykeeey	0	NONE	0	NO	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dalky	AL+K+Y	LEFT	K+Y	AL	1	AL>K	1	1	alkain	0	NONE	0	NO	dal	SINGLETON_VISIBLE_CHANNEL	1	AL	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dard	D_ADDR+AR+D_ADDR	RIGHT	D_ADDR+AR	D_ADDR	1	AR>D_ADDR	1	1	dardardy	1	D_ADDR+AR+D_ADDR	1	YES	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	5	D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dcheol	D_ADDR+CH+E+O+L	LEFT	CH+E+O+L	D_ADDR	1	D_ADDR>CH	18	16	dchaiin|dchal|dchar|dchchy|dcheedy|dcheo|dcheokedy|dcheor|dchg|dchody|dchor|dchsed|odchees|oldckhy|qodcthy|ydchos	0	NONE	0	NO	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	4	D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dkar	D_ADDR+K+AR	LEFT	K+AR	D_ADDR	1	D_ADDR>K	3	3	dkain|dkshey|dky	0	NONE	0	NO	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	4	D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dolarshy	D_ADDR+OL+AR+SH+Y	RIGHT	D_ADDR+OL	AR+SH+Y	3	OL>AR	3	3	octheolarl|olar|solarol	0	NONE	0	NO	arshy	SINGLETON_VISIBLE_CHANNEL	1	AR+SH+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dsholdaiir	D_ADDR+SH+OL+DA+IIN+R	LEFT	SH+OL	D_ADDR	1	D_ADDR>SH	9	8	choldshy|dsheckhy|dshees|dshey|dsholyd|dshor|kodshey|qotedshedy	1	D_ADDR+SH+OL	1	YES	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	4	D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dsholdaiir	D_ADDR+SH+OL+DA+IIN+R	RIGHT	SH+OL	DA+IIN+R	3	OL>DA	1	1	oldal	0	NONE	0	NO	daiir	SINGLETON_VISIBLE_CHANNEL	1	DA+IIN+R	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dytcheey	D_ADDR+Y+T+CH+EE+Y	LEFT	Y+T	D_ADDR	1	D_ADDR>Y	117	59	aldy|altedy|chckhdy|chcthdy|cheedy|cheeody|chekody|chetedy|chkedy|chody|dcheedy|dcheokedy|dchy|deeedy|dychear|dykain|dylches|dypchy|kdchy|keeedy|lcheedy|lkeedy|lsheedy|lteedy|octhody|ofshdy|okeeody|okeody|olcthdy|olkshdy|olsheody|opshdy|otshdy|pdalshdy|poldy|qcthdys|qeeedy|qodchy|qoeedy|qofshy|qokeeody|qokeody|qokeoefy|qolkeedy|qopshdy|qosheedy|qotddyar|rshdy|rsheedy|salchtedytar|salshcthdy|shdy|sheckhdy|shecthedy|shedkedy|sheody|sheshdy|shlches|sholdy|socthody|soldy|solkeedy|talody|ycheody|ykeedy|yokeody	1	D_ADDR+Y+T	1	YES	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	4	D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
dytcheey	D_ADDR+Y+T+CH+EE+Y	RIGHT	Y+T	CH+EE+Y	3	T>CH	18	13	atchor|chetchy|chtchor|otytchol|qetchy|tchar|tcheol|tchey|tcho|tchodar|tchodol|tchody|tchor	1	Y+T+CH	1	NO	cheey	SINGLETON_VISIBLE_CHANNEL	1	CH+EE+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
fchdar	LOCAL_CHAR_F+CHD+AR	LEFT	CHD+AR	LOCAL_CHAR_F	1	LOCAL_CHAR_F>CHD	3	3	ofchdy|qofchdaiin|qofchedy	0	NONE	0	NO	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
fchedyr	LOCAL_CHAR_F+CHD+Y+R	LEFT	CHD+Y	LOCAL_CHAR_F	1	LOCAL_CHAR_F>CHD	3	3	ofchdy|qofchdaiin|qofchedy	1	LOCAL_CHAR_F+CHD+Y	2	YES	f	REPEATED_INVARIANT_VISIBLE_CHANNEL	2	LOCAL_CHAR_F	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
fchedyr	LOCAL_CHAR_F+CHD+Y+R	RIGHT	CHD+Y	R	1	Y>R	2	2	chetyry|sheyr	0	NONE	0	NO	r	SINGLETON_VISIBLE_CHANNEL	1	R	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
folchol	LOCAL_CHAR_F+OL+OL	LEFT	OL+OL	LOCAL_CHAR_F	1	LOCAL_CHAR_F>OL	3	3	cfhol|cfholdy|yfolaiin	0	NONE	0	NO	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	LEFT	SH+O+D_ADDR	LOCAL_CHAR_F	1	LOCAL_CHAR_F>SH	3	3	alfshed|fshody|ofshdy	0	NONE	0	NO	f	REPEATED_INVARIANT_VISIBLE_CHANNEL	2	LOCAL_CHAR_F	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	RIGHT	SH+O+D_ADDR	CH+Y	2	D_ADDR>CH	18	16	dchaiin|dchal|dchar|dchchy|dcheedy|dcheo|dcheokedy|dcheor|dchg|dchody|dchor|dchsed|odchees|oldckhy|qodcthy|ydchos	0	NONE	0	NO	chy	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	CH+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
kardy	K+AR+DY	RIGHT	K+AR	DY	1	AR>DY	3	3	dardardy|otardy|qokardy	0	NONE	0	NO	dy	REPEATED_AMBIGUOUS_VISIBLE_CHANNEL	6	DY|D_ADDR+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
kcheeky	K+CH+EE+K+Y	LEFT	K+Y	K+CH+EE	3	EE>K	5	3	cheekaiin|sheekchy|sheeky	1	EE+K+Y	3	NO	kchee	SINGLETON_VISIBLE_CHANNEL	1	K+CH+EE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
kcheody	K+CH+E+O+D_ADDR+Y	LEFT	CH+E+O	K	1	K>CH	21	16	chkchykoly|chykchy|kchaiin|kchal|kcharg|kcheedchdy|kcheey|kchey|kchoar|kchod|kchor|oykchor|sheekchy|ykchey|ykcho|ykchor|ytcharg	0	NONE	0	NO	k	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	K	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
kcheody	K+CH+E+O+D_ADDR+Y	RIGHT	CH+E+O	D_ADDR+Y	2	O>D_ADDR	114	73	cheeodam|cheeody|chekody|cheodain|chod|chodaiin|chodain|chodl|chody|cphodaiils|cphodal|ctheod|dairodain|darod|dod|fchodaiin|kchod|keeod|keeodaiin|keodar|kod|kodaiin|kodshey|lod|octhody|odaiim|odaiin|odain|odar|odchees|odl|odor|ods|okeeody|okeodaly|okeody|okodaiin|olsheody|opodchol|otcheodal|oteeodaiin|oteodar|otolodal|pchodol|podar|qodam|qodar|qodched|qodchy|qodcthy|qodeedy|qodom|qodor|qokeeod|qokeeody|qokeody|qokeoefy|qokod|sheody|sheshdy|shod|shodain|shodan|shodary|shorodo|socthody|sotodan|sqokeodaiin|talody|tchodar|tchodol|teodal|tshodeesy|ycheody|ychod|ykeodain|yokeody|ypod|ysheod	2	CH+E+O+D_ADDR+Y	1	YES	dy	REPEATED_AMBIGUOUS_VISIBLE_CHANNEL	6	DY|D_ADDR+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
kchody	K+CH+O+D_ADDR+Y	LEFT	CH+O+D_ADDR+Y	K	1	K>CH	21	16	chkchykoly|chykchy|kchaiin|kchal|kcharg|kcheedchdy|kcheey|kchey|kchoar|kchod|kchor|oykchor|sheekchy|ykchey|ykcho|ykchor|ytcharg	0	NONE	0	NO	k	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	K	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
kechody	K+E+CH+O+D_ADDR+Y	LEFT	CH+O+D_ADDR+Y	K+E	2	E>CH	35	20	checkhey|checkho|checkhy|checphedy|chekackhy|dsheckhy|eckhear|keeokechy|oeckhy|shechy|sheckhal|sheckhdy|sheckhedy|sheckhey|sheckhy|shecphy|shecthedchy|shecthedy|shecthy|ssheckhy|ssholshecthy	0	NONE	0	NO	ke	SINGLETON_VISIBLE_CHANNEL	1	K+E	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
keedey	K+EE+D_ADDR+E+Y	LEFT	E+Y	K+EE+D_ADDR	3	D_ADDR>E	2	2	dedy|lkedey	1	D_ADDR+E+Y	1	NO	keed	SINGLETON_VISIBLE_CHANNEL	1	K+EE+D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
keody	K+E+O+D_ADDR+Y	LEFT	O+D_ADDR+Y	K+E	2	E>O	206	84	cheo|cheoar|cheockhy|cheocphy|cheodain|cheodal|cheody|cheojam|cheok|cheokal|cheokam|cheokorchey|cheoky|cheol|cheoldy|cheols|cheom|cheor|cheorol|cheos|cheotey|cheoy|chokcheo|chteos|cpheody|ctheod|ctheody|dcheo|dcheokedy|dcheor|dorsheoy|eo|keodal|ksheo|lkeo|lkeopol|ocheol|okearcheol|okeo|okeodaly|okeody|okeom|okeos|okeosar|okeoy|olcheody|olcheol|olcheor|olsheody|osheo|otcheodal|oteeykeey|oteo|oteodar|oteody|oteokeey|oteos|oteoshar|pcheoly|qokcheody|qokcheor|qokeo|qokeochy|qokeodal|qokeody|qokeoefy|qokeom|qokeoy|qoteo|qoteody|salcheol|scheor|sheo|sheodal|sheody|sheom|sheos|sheshdy|sqokeodaiin|tcheol|teo|teodal|teody|ycheo|ycheody|ycheol|ycheor|ykeo|ykeodain|ykeody|yokeody|ysheod|yteody|yteoor|yteos|ytoeopchey	1	E+O+D_ADDR+Y	20	NO	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
kodalchy	K+O+D_ADDR+AL+CH+Y	RIGHT	K+O+D_ADDR	AL+CH+Y	3	D_ADDR>AL	12	9	cphodal|dalo|okedalor|okeodaly|otcheodal|otolodal|pdalshor|teodal|tshdal	0	NONE	0	NO	alchy	SINGLETON_VISIBLE_CHANNEL	1	AL+CH+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
kody	K+O+DY	LEFT	O+DY	K	1	K>O	21	20	chckho|checkho|cheeckhody|chekody|chekoy|ckho|ckhody|koay|kochky|kod|kodaiin|kodshey|koeam|koey|kom|kos|koshey|kosholdy|qkoy|shekoiin|ykoaiin	1	K+O+DY	2	YES	k	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	K	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
lkeol	L+K+E+OL	LEFT	K+E+OL	L	1	L>K	25	14	lkaiin|lkain|lkamo|lkar|lkchedy|lkedey|lkedy|lkeed|lkeedy|lkeey|lkeo|lkeopol|lkey|lky	0	NONE	0	NO	l	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	L	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
lodaiin	L+O+D_ADDR+AIIN	LEFT	O+D_ADDR+AIIN	L	1	L>O	11	7	dloo|dlos|lo|lochedy|lod|loiiin|lom	0	NONE	0	NO	l	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	L	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
ltsholy	L+T+SH+OL+Y	LEFT	T+SH+OL	L	1	L>T	6	5	ltaiin|ltain|ltary|ltedy|lteedy	0	NONE	0	NO	l	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	L	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
ltsholy	L+T+SH+OL+Y	RIGHT	T+SH+OL	Y	1	OL>Y	46	11	aroly|chkchykoly|choldy|choly|dsholyd|kolches|koly|loly|olchey|oly|qoctholy|qolchey|qolkeeoly|qoly|qopcholy|sheoly|ydoly|ykeeoly|ykoly	0	NONE	0	NO	y	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	RIGHT	O+LOCAL_CHAR_F+AR	AM_ADDR	1	AR>AM_ADDR	0	0	NONE	0	NONE	0	NO	am	SINGLETON_VISIBLE_CHANNEL	1	AM_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
okedals	OK+AL+S	RIGHT	OK+AL	S	1	AL>S	8	8	alsy|chals|chosals|dals|salsain|salsaly|sheals|ydals	0	NONE	0	NO	s	SINGLETON_VISIBLE_CHANNEL	1	S	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
okedam	OK+E+D_ADDR+AM_ADDR	RIGHT	OK+E+D_ADDR	AM_ADDR	1	D_ADDR>AM_ADDR	2	2	cheeodam|qodam	0	NONE	0	NO	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
olsheor	OL+SH+E+OR	LEFT	SH+E+OR	OL	1	OL>SH	16	7	dolshed|olshedy|olsheed|olsheedy|olshey|polshy|qolcheedy|qolsheedy|solshed|solshedy|solshey	0	NONE	0	NO	ol	SINGLETON_VISIBLE_CHANNEL	1	OL	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
otalor	OT+AL+OR	RIGHT	OT+AL	OR	1	AL>OR	7	4	alor|chealor|ldalor|okedalor|qokaloro|talor	0	NONE	0	NO	or	SINGLETON_VISIBLE_CHANNEL	1	OR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
