target_ordinal	surface	final_recipe	anchor_recipe	anchor_start_atom	anchor_atom_count	extension_direction	left_extension_recipe	right_extension_recipe	old_anchor_event_count	old_anchor_surface_count	old_anchor_surfaces	interface_count	old_supported_interface_count	all_interfaces_old	aligned_visible_match_count	any_visible_match_count	best_visible_stem_surface	best_visible_stem_event_count	best_visible_stem_char_start	best_visible_stem_direction	selected	guard
33	cthom	CH+T+O+M_LOCAL	CH+T+O	1	3	RIGHT_EXTENSION	NONE	M_LOCAL	2	1	ctho	1	1	YES	1	1	ctho	2	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
35	dairal	D_ADDR+AIR+AL	D_ADDR+AIR	1	2	RIGHT_EXTENSION	NONE	AL	9	1	dair	1	1	YES	1	1	dair	9	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
39	dalcheeeky	AL+CH+K+EEE+Y	CH+K	2	2	BOTH_SIDES	AL	EEE+Y	1	1	chckh	2	2	YES	0	0	NONE	0	0	NONE	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
40	dalky	AL+K+Y	K+Y	2	2	LEFT_EXTENSION	AL	NONE	7	2	kchy|ky	1	1	YES	1	1	ky	3	4	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
42	dard	D_ADDR+AR+D_ADDR	D_ADDR+AR	1	2	RIGHT_EXTENSION	NONE	D_ADDR	47	1	dar	1	1	YES	1	1	dar	47	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
44	dcheol	D_ADDR+CH+E+O+L	D_ADDR+CH+E+O	1	4	RIGHT_EXTENSION	NONE	L	1	1	dcheo	1	1	YES	1	1	dcheo	1	1	RIGHT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
44	dcheol	D_ADDR+CH+E+O+L	CH+E+O+L	2	4	LEFT_EXTENSION	D_ADDR	NONE	29	1	cheol	1	1	YES	1	1	cheol	29	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
45	dkar	D_ADDR+K+AR	K+AR	2	2	LEFT_EXTENSION	D_ADDR	NONE	6	2	kar|skar	1	1	YES	1	1	kar	5	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
47	dolarshy	D_ADDR+OL+AR+SH+Y	D_ADDR+OL	1	2	RIGHT_EXTENSION	NONE	AR+SH+Y	13	2	dchol|dol	1	1	YES	1	1	dol	10	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
47	dolarshy	D_ADDR+OL+AR+SH+Y	OL+AR	2	2	BOTH_SIDES	D_ADDR	SH+Y	1	1	olar	2	1	NO	1	1	olar	1	2	BOTH_SIDES	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
47	dolarshy	D_ADDR+OL+AR+SH+Y	SH+Y	4	2	LEFT_EXTENSION	D_ADDR+OL+AR	NONE	1	1	shchey	1	0	NO	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
48	dsholdaiir	D_ADDR+SH+OL+DA+IIN+R	SH+OL	2	2	BOTH_SIDES	D_ADDR	DA+IIN+R	18	1	shol	2	2	YES	1	1	shol	18	2	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
48	dsholdaiir	D_ADDR+SH+OL+DA+IIN+R	DA+IIN	4	2	BOTH_SIDES	D_ADDR+SH+OL	R	5	1	daiiin	2	2	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
50	dytcheey	D_ADDR+Y+T+CH+EE+Y	D_ADDR+Y	1	2	RIGHT_EXTENSION	NONE	T+CH+EE+Y	2	1	dchy	1	1	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
50	dytcheey	D_ADDR+Y+T+CH+EE+Y	Y+T	2	2	BOTH_SIDES	D_ADDR	CH+EE+Y	1	1	yt	2	2	YES	1	1	yt	1	2	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
52	fchdar	LOCAL_CHAR_F+CHD+AR	CHD+AR	2	2	LEFT_EXTENSION	LOCAL_CHAR_F	NONE	3	1	chedar	1	1	YES	0	0	NONE	0	0	NONE	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
53	fchedyr	LOCAL_CHAR_F+CHD+Y+R	CHD+Y	2	2	BOTH_SIDES	LOCAL_CHAR_F	R	107	3	chdy|chedchy|chedy	2	2	YES	1	1	chedy	90	2	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
54	folchol	LOCAL_CHAR_F+OL+OL	OL+OL	2	2	LEFT_EXTENSION	LOCAL_CHAR_F	NONE	2	1	olol	1	1	YES	0	0	NONE	0	0	NONE	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
55	fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	SH+O+D_ADDR	2	3	BOTH_SIDES	LOCAL_CHAR_F	CH+Y	2	1	shod	2	2	YES	1	1	shod	2	2	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
55	fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	D_ADDR+CH+Y	4	3	LEFT_EXTENSION	LOCAL_CHAR_F+SH+O	NONE	1	1	dchchy	1	1	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
56	kardy	K+AR+DY	K+AR	1	2	RIGHT_EXTENSION	NONE	DY	6	2	kar|skar	1	1	YES	1	1	kar	5	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
57	kcheeky	K+CH+EE+K+Y	K+Y	4	2	LEFT_EXTENSION	K+CH+EE	NONE	7	2	kchy|ky	1	1	YES	1	1	ky	3	6	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
58	kcheody	K+CH+E+O+D_ADDR+Y	CH+E+O	2	3	BOTH_SIDES	K	D_ADDR+Y	6	1	cheo	2	2	YES	1	1	cheo	6	2	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
58	kcheody	K+CH+E+O+D_ADDR+Y	O+D_ADDR+Y	4	3	LEFT_EXTENSION	K+CH+E	NONE	1	1	qodchy	1	1	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
59	kchody	K+CH+O+D_ADDR+Y	K+CH+O+D_ADDR	1	4	RIGHT_EXTENSION	NONE	Y	1	1	kchod	1	1	YES	1	1	kchod	1	1	RIGHT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
59	kchody	K+CH+O+D_ADDR+Y	CH+O+D_ADDR+Y	2	4	LEFT_EXTENSION	K	NONE	8	1	chody	1	1	YES	1	1	chody	8	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
60	kechody	K+E+CH+O+D_ADDR+Y	CH+O+D_ADDR+Y	3	4	LEFT_EXTENSION	K+E	NONE	8	1	chody	1	1	YES	1	1	chody	8	3	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
61	keedey	K+EE+D_ADDR+E+Y	E+Y	4	2	LEFT_EXTENSION	K+EE+D_ADDR	NONE	5	3	edy|ey|qey	1	1	YES	1	1	ey	3	5	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
63	keody	K+E+O+D_ADDR+Y	O+D_ADDR+Y	3	3	LEFT_EXTENSION	K+E	NONE	1	1	qodchy	1	1	YES	0	0	NONE	0	0	NONE	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
64	kodalchy	K+O+D_ADDR+AL+CH+Y	K+O+D_ADDR	1	3	RIGHT_EXTENSION	NONE	AL+CH+Y	1	1	kod	1	1	YES	1	1	kod	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
66	kody	K+O+DY	O+DY	2	2	LEFT_EXTENSION	K	NONE	5	1	ody	1	1	YES	1	1	ody	5	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
68	lkeol	L+K+E+OL	K+E+OL	2	3	LEFT_EXTENSION	L	NONE	4	1	keol	1	1	YES	1	1	keol	4	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
69	lodaiin	L+O+D_ADDR+AIIN	L+O+D_ADDR	1	3	RIGHT_EXTENSION	NONE	AIIN	1	1	lod	1	1	YES	1	1	lod	1	1	RIGHT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
69	lodaiin	L+O+D_ADDR+AIIN	O+D_ADDR+AIIN	2	3	LEFT_EXTENSION	L	NONE	6	1	odaiin	1	1	YES	1	1	odaiin	6	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
72	ltsholy	L+T+SH+OL+Y	T+SH+OL	2	3	BOTH_SIDES	L	Y	1	1	tshol	2	2	YES	1	1	tshol	1	2	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
73	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	O+LOCAL_CHAR_F+AR	1	3	RIGHT_EXTENSION	NONE	AM_ADDR	1	1	ofar	1	0	NO	1	1	ofar	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
75	okedals	OK+AL+S	OK+AL	1	2	RIGHT_EXTENSION	NONE	S	47	5	chokal|chykald|okal|okedal|qokal	1	1	YES	1	1	okedal	2	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
75	okedals	OK+AL+S	AL+S	2	2	LEFT_EXTENSION	OK	NONE	1	1	dals	1	1	YES	1	1	dals	1	4	LEFT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
76	okedam	OK+E+D_ADDR+AM_ADDR	OK+E+D_ADDR	1	3	RIGHT_EXTENSION	NONE	AM_ADDR	3	1	qoked	1	1	YES	0	0	NONE	0	0	NONE	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
78	olsheor	OL+SH+E+OR	SH+E+OR	2	3	LEFT_EXTENSION	OL	NONE	5	1	sheor	1	1	YES	1	1	sheor	5	3	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
79	otalor	OT+AL+OR	OT+AL	1	2	RIGHT_EXTENSION	NONE	OR	16	3	chotal|otal|qotal	1	1	YES	1	1	otal	6	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
79	otalor	OT+AL+OR	AL+OR	2	2	LEFT_EXTENSION	OT	NONE	3	2	alor|chealor	1	1	YES	1	1	alor	2	3	LEFT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
81	pchof	P+CH+O+LOCAL_CHAR_F	O+LOCAL_CHAR_F	3	2	LEFT_EXTENSION	P+CH	NONE	1	1	qof	1	1	YES	0	0	NONE	0	0	NONE	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
83	pofochey	P+O+LOCAL_CHAR_F+O+CH+E+Y	O+CH+E+Y	4	4	LEFT_EXTENSION	P+O+LOCAL_CHAR_F	NONE	1	1	ochey	1	1	YES	1	1	ochey	1	4	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
84	psheody	P+SH+E+O+D_ADDR+Y	SH+E+O+D_ADDR+Y	2	5	LEFT_EXTENSION	P	NONE	5	2	sheody|sheshdy	1	1	YES	1	1	sheody	4	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
85	pydaiin	P+Y+D_ADDR+AIIN	Y+D_ADDR+AIIN	2	3	LEFT_EXTENSION	P	NONE	5	1	ydaiin	1	1	YES	1	1	ydaiin	5	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
88	qoekedy	CARRIER_Q+O+E+K+E+DY	K+E+DY	4	3	LEFT_EXTENSION	CARRIER_Q+O+E	NONE	1	1	kedy	1	1	YES	1	1	kedy	1	4	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
94	qokshd	OK+SH+D_ADDR	OK+SH	1	2	RIGHT_EXTENSION	NONE	D_ADDR	1	1	qoksh	1	1	YES	1	1	qoksh	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
95	qopaiin	CARRIER_Q+O+P+AIIN	CARRIER_Q+O+P	1	3	RIGHT_EXTENSION	NONE	AIIN	1	1	qop	1	1	YES	1	1	qop	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
96	qotchoiin	OT+CH+O+IIN	O+IIN	3	2	LEFT_EXTENSION	OT+CH	NONE	13	4	oiiiin|oiiin|oiin|oin	1	1	YES	1	1	oiin	6	6	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
98	qoteeod	OT+EE+O+D_ADDR	OT+EE+O	1	3	RIGHT_EXTENSION	NONE	D_ADDR	1	1	oteeo	1	1	YES	0	1	oteeo	1	2	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
99	qoteoly	OT+E+OL+Y	OT+E+OL	1	3	RIGHT_EXTENSION	NONE	Y	6	2	oteol|qoteol	1	1	YES	1	2	qoteol	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
100	rotaiin	R+OT+AIIN	OT+AIIN	2	2	LEFT_EXTENSION	R	NONE	20	3	chotaiin|otaiin|qotaiin	1	0	NO	1	1	otaiin	9	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
101	saiis	S+A_ADDR+IIN+S	S+A_ADDR	1	2	RIGHT_EXTENSION	NONE	IIN+S	1	1	sa	1	1	YES	1	1	sa	1	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
103	shckhar	SH+CH+K+AR	CH+K+AR	2	3	LEFT_EXTENSION	SH	NONE	4	3	chekar|chkar|ckhar	1	1	YES	1	1	ckhar	1	3	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
104	shckheody	SH+CH+K+E+O+DY	CH+K	2	2	BOTH_SIDES	SH	E+O+DY	1	1	chckh	2	2	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
104	shckheody	SH+CH+K+E+O+DY	E+O	4	2	BOTH_SIDES	SH+CH+K	DY	2	1	eo	2	2	YES	1	1	eo	2	6	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
104	shckheody	SH+CH+K+E+O+DY	O+DY	5	2	LEFT_EXTENSION	SH+CH+K+E	NONE	5	1	ody	1	1	YES	1	1	ody	5	7	LEFT_EXTENSION	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
112	shekeefy	SH+E+K+EE+LOCAL_CHAR_F+Y	SH+E+K	1	3	RIGHT_EXTENSION	NONE	EE+LOCAL_CHAR_F+Y	2	1	shek	1	1	YES	1	1	shek	2	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
117	sheod	SH+E+O+D_ADDR	SH+E+O	1	3	RIGHT_EXTENSION	NONE	D_ADDR	5	1	sheo	1	1	YES	1	1	sheo	5	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
120	shofol	SH+O+LOCAL_CHAR_F+OL	SH+O	1	2	RIGHT_EXTENSION	NONE	LOCAL_CHAR_F+OL	10	1	sho	1	1	YES	1	1	sho	10	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
120	shofol	SH+O+LOCAL_CHAR_F+OL	O+LOCAL_CHAR_F	2	2	BOTH_SIDES	SH	OL	1	1	qof	2	2	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
121	shokaiir	SH+OK+IIN+R	OK+IIN+R	2	3	LEFT_EXTENSION	SH	NONE	2	1	okaiir	1	1	YES	1	1	okaiir	2	3	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
122	sholfordaiin	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	SH+OL	1	2	RIGHT_EXTENSION	NONE	LOCAL_CHAR_F+OR+D_ADDR+AIIN	18	1	shol	1	1	YES	1	1	shol	18	1	RIGHT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
126	shytchy	SH+Y+T+CH+Y	SH+Y	1	2	RIGHT_EXTENSION	NONE	T+CH+Y	1	1	shchey	1	1	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
126	shytchy	SH+Y+T+CH+Y	Y+T	2	2	BOTH_SIDES	SH	CH+Y	1	1	yt	2	2	YES	1	1	yt	1	3	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
127	soaiin	S+O+AIIN	O+AIIN	2	2	LEFT_EXTENSION	S	NONE	2	1	oaiin	1	1	YES	1	1	oaiin	2	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
