component	selected_value_de	event_id	page	statement_id	owner_de	surface	component_recipe	role_question	full_statement_de
AIIN	SOLLMASS	E190	f82r	B2-S008	mittleres linkes Handgerät mit Inline-Knoten	sotaiin	OT+AIIN	What prescribed value should be reached?	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann stehen lassen; den Schritt schliessen.
AIN	PORTION	E198	f82r	B2-S011	mittlere rechte unklare Station	okain	OK+AIN	How much working material is handled?	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.
AIN	PORTION	E200	f82r	B2-S011	mittlere rechte unklare Station	okain	OK+AIN	How much working material is handled?	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.
AIIN	SOLLMASS	E207	f82r	B2-S012	unteres grünes Mehrfigurenbecken	daiin	AIIN	What prescribed value should be reached?	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.
S	PROBE	E216	f82r	B2-S016	kleine Randstationen des unteren Beckens	ches	CH+E+S	What small item is taken for checking?	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.
AIIN	SOLLMASS	E217	f82r	B2-S016	kleine Randstationen des unteren Beckens	aiin	AIIN	What prescribed value should be reached?	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.
AIIN	SOLLMASS	E219	f82r	B2-S016	kleine Randstationen des unteren Beckens	qokaiin	OK+AIIN	What prescribed value should be reached?	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz eine Probe entnehmen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einbringen, umsetzen und schliessen.
AIIN	SOLLMASS	E233	f83r	B3-S003	obere offene Fächerstation am Rand	daiin	AIIN	What prescribed value should be reached?	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.
AIIN	SOLLMASS	E236	f83r	B3-S004	obere offene Fächerstation am Rand	qokaiin	OK+AIIN	What prescribed value should be reached?	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.
AIIN	SOLLMASS	E243	f83r	B3-S007	mittlere Randfigur im runden Gefäß	qokaiin	OK+AIIN	What prescribed value should be reached?	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.
AIIN	SOLLMASS	E256	f83r	B3-S013	untere Randfigur im korbartigen Gefäß	qokaiin	OK+AIIN	What prescribed value should be reached?	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.
AIN	PORTION	E257	f83r	B3-S013	untere Randfigur im korbartigen Gefäß	chkain	K+AIN	How much working material is handled?	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.
AIIN	SOLLMASS	E270	f83r	B3-S021	unverbundener Zwischenbereich	qokaiin	OK+AIIN	What prescribed value should be reached?	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.
AIIN	SOLLMASS	E274	f83r	B3-S021	unverbundener Zwischenbereich	saiin	AIIN	What prescribed value should be reached?	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.
AIIN	SOLLMASS	E286	f83r	B3-S026	unverbundener Zwischenbereich	chldaiin	L+AIIN	What prescribed value should be reached?	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.
AIN	PORTION	E288	f83r	B3-S026	unverbundener Zwischenbereich	qokain	OK+AIN	How much working material is handled?	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.
AIIN	SOLLMASS	E299	f83r	B3-S030	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	saiin	AIIN	What prescribed value should be reached?	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.
AIN	PORTION	E303	f83r	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	chedain	CHD+AIN	How much working material is handled?	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
AIIN	SOLLMASS	E305	f83r	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	qotedaiin	OT+E+AIIN	What prescribed value should be reached?	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
AIIN	SOLLMASS	E306	f83r	B3-S032	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otaiin	OT+AIIN	What prescribed value should be reached?	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
IIN	STUFE	E309	f83r	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	soiiin	O+IIN	At which process stage is the work?	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
AIIN	SOLLMASS	E312	f83r	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	otaiin	OT+AIIN	What prescribed value should be reached?	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
AIN	PORTION	E327	f83r	B4-S005	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	dain	AIN	How much working material is handled?	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.
AIIN	SOLLMASS	E332	f83r	B4-S008	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	saiin	AIIN	What prescribed value should be reached?	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.
AIIN	SOLLMASS	E338	f83r	B4-S011	linke Hauptstation mit offenem Fransenlauf	saiin	AIIN	What prescribed value should be reached?	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.
AIN	PORTION	E341	f83r	B4-S011	linke Hauptstation mit offenem Fransenlauf	okain	OK+AIN	How much working material is handled?	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.
AIN	PORTION	E352	f83r	B4-S015	linke Hauptstation mit offenem Fransenlauf	qokain	OK+AIN	How much working material is handled?	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.
AIN	PORTION	E354	f83r	B4-S015	linke Hauptstation mit offenem Fransenlauf	kain	K+AIN	How much working material is handled?	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.
AIN	PORTION	E358	f83r	B4-S016	rechte Hauptstation mit S-Lauf und Mehrarmknoten	qolkain	OL+K+AIN	How much working material is handled?	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, stehen lassen und schliessen.
AIIN	SOLLMASS	E369	f83r	B5-S003	linke Fransenstation im B5-Nachtrag	aiin	AIIN	What prescribed value should be reached?	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.
IIN	STUFE	E371	f83r	B5-S003	linke Fransenstation im B5-Nachtrag	daiiin	DA+IIN	At which process stage is the work?	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.
AIIN	SOLLMASS	E377	f83r	B6-S001	rechter S-Lauf im B6-Nachtrag	daiin	AIIN	What prescribed value should be reached?	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.
AIN	PORTION	E379	f83r	B6-S001	rechter S-Lauf im B6-Nachtrag	dain	AIN	How much working material is handled?	An der rechten S-Lauf-Nebenstation: Den Posten laenger an der Sammelstelle halten, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.
