clause_id	instruction_id	record	page	clause_no	anchor_card_no	action_components	member_card_nos	source_position_ids	visible_event_ids	attachment_status	reparsed_clause_de	component_values_unchanged
I003-C04	I003	H3	f11r	4	PROC029	SH	PROC029	SRC_E042	E042	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß halten	YES
I003-C05	I003	H3	f11r	5	PROC030	P	PROC030	SRC_E043	E043	DIRECT_ACTION_BUNDLE	den laufenden Posten hineingeben	YES
I003-C06	I003	H3	f11r	6	PROC031	SH	PROC031	SRC_E044	E044	DIRECT_ACTION_BUNDLE	den laufenden Posten länger halten	YES
I003-C07	I003	H3	f11r	7	PROC032	T|CH	PROC032	SRC_E045	E045	DIRECT_ACTION_BUNDLE	den laufenden Posten im Arbeitsgang eintragen und abziehen und den Schritt schließen	YES
I004-C01	I004	H3	f11r	1	PROC033	SH|T	PROC033	SRC_E046	E046	DIRECT_ACTION_BUNDLE	den laufenden Posten im Arbeitsgang halten und eintragen	YES
I004-C02	I004	H3	f11r	2	PROC035	K	PROC034|PROC019|PROC035	SRC_E047|SRC_E048|SRC_E049	E047|E048|E049	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter zuführen	YES
I004-C03	I004	H3	f11r	3	PROC037	OK	PROC019|PROC009|PROC036|PROC037|PROC014|PROC019	SRC_E050|SRC_E051|SRC_E052|SRC_E053|SRC_E054|SRC_E055	E050|E051|E052|E053|E054|E055	DIRECT_ACTION_BUNDLE	danach den laufenden Posten weiter nach vorgeschriebenem Maß bis bereit ansetzen	YES
I005-C01	I005	H4	f55v	1	PROC038	OK	PROC038	SRC_E056	E056	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß ansetzen	YES
I005-C02	I005	H4	f55v	2	PROC039	K	PROC009|PROC039	SRC_E057|SRC_E058	E057|E058	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß als Portion zuführen	YES
I005-C03	I005	H4	f55v	3	PROC040	K	PROC040|PROC041	SRC_E059|SRC_E060	E059|E060	DIRECT_ACTION_BUNDLE	den laufenden Posten als Portion im Arbeitsgang zuführen und den Schritt schließen	YES
I006-C01	I006	H4	f55v	1	PROC042	CHD	PROC009|PROC042	SRC_E061|SRC_E062	E061|E062	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß umsetzen	YES
I006-C02	I006	H4	f55v	2	PROC043	TALAM	PROC043	SRC_E063	E063	DIRECT_ACTION_BUNDLE	den laufenden Posten verwahren	YES
I006-C03	I006	H4	f55v	3	PROC044	K	PROC044	SRC_E064	E064	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß zuführen	YES
I006-C04	I006	H4	f55v	4	PROC045	CH	PROC045	SRC_E065	E065	DIRECT_ACTION_BUNDLE	den laufenden Posten von dort im Arbeitsgang kurz abziehen	YES
I006-C05	I006	H4	f55v	5	PROC046	CHK	PROC046|PROC047	SRC_E066|SRC_E067	E066|E067	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter länger wärmen und den Schritt schließen	YES
I007-C01	I007	H4	f55v	1	PROC048	OK	PROC009|PROC048	SRC_E068|SRC_E069	E068|E069	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß an der bezeichneten Stelle ansetzen	YES
I007-C02	I007	H4	f55v	2	PROC049	T	PROC049|PROC016|PROC019|PROC050	SRC_E070|SRC_E071|SRC_E072|SRC_E073	E070|E071|E072|E073	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter als Portion eintragen	YES
I008-C01	I008	H5	f56r	1	PROC051	CH	PROC051	SRC_E074	E074	DIRECT_ACTION_BUNDLE	den Ansatz abziehen	YES
I008-C02	I008	H5	f56r	2	PROC054	K	PROC052|PROC053|PROC009|PROC052|PROC054	SRC_E075|SRC_E076|SRC_E077|SRC_E078|SRC_E079	E075|E076|E077|E078|E079	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter nach vorgeschriebenem Maß an der bezeichneten Stelle zuführen	YES
I008-C03	I008	H5	f56r	3	PROC020	CH	PROC020	SRC_E080	E080	DIRECT_ACTION_BUNDLE	danach den Ansatz abziehen	YES
I008-C04	I008	H5	f56r	4	PROC008	OK	PROC008	SRC_E081	E081	DIRECT_ACTION_BUNDLE	den laufenden Posten ansetzen	YES
I008-C05	I008	H5	f56r	5	PROC008	OK	PROC055|PROC034|PROC056|PROC008	SRC_E082|SRC_E083|SRC_E084|SRC_E085	E082|E083|E084|E085	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter an der bezeichneten Stelle ansetzen	YES
I008-C06	I008	H5	f56r	6	PROC057	CH	PROC057	SRC_E086	E086	DIRECT_ACTION_BUNDLE	den laufenden Posten durch den Durchlass im Arbeitsgang länger abziehen und den Schritt schließen	YES
I009-C01	I009	H5	f56r	1	PROC058	SH	PROC058	SRC_E087	E087	DIRECT_ACTION_BUNDLE	den laufenden Posten halten	YES
I009-C02	I009	H5	f56r	2	PROC059	K	PROC052|PROC059	SRC_E088|SRC_E089	E088|E089	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz zuführen	YES
I009-C03	I009	H5	f56r	3	PROC060	OK|OK	PROC060	SRC_E090	E090	DIRECT_ACTION_BUNDLE	den laufenden Posten erneut ansetzen	YES
I009-C04	I009	H5	f56r	4	PROC011	OK	PROC011	SRC_E091	E091	DIRECT_ACTION_BUNDLE	den laufenden Posten ansetzen	YES
I009-C05	I009	H5	f56r	5	PROC061	OK|CH	PROC061	SRC_E092	E092	DIRECT_ACTION_BUNDLE	den laufenden Posten im Arbeitsgang kurz ansetzen und abziehen	YES
I009-C06	I009	H5	f56r	6	PROC062	K	PROC062	SRC_E093	E093	DIRECT_ACTION_BUNDLE	den laufenden Posten an der bezeichneten Stelle zuführen	YES
I009-C07	I009	H5	f56r	7	PROC011	OK	PROC052|PROC011	SRC_E094|SRC_E095	E094|E095	DIRECT_ACTION_BUNDLE	den laufenden Posten ansetzen	YES
I009-C08	I009	H5	f56r	8	PROC063	K	PROC063	SRC_E096	E096	DIRECT_ACTION_BUNDLE	die Gabe von dort zuführen	YES
I009-C09	I009	H5	f56r	9	PROC066	K	PROC064|PROC065|PROC066|PROC009	SRC_E097|SRC_E098|SRC_E099|SRC_E100	E097|E098|E099|E100	DIRECT_ACTION_BUNDLE	danach den laufenden Posten weiter nach vorgeschriebenem Maß als Portion im Arbeitsgang kurz zuführen	YES
I010-C01	I010	B1	f81v	1	PROC067	OK	PROC067	SRC_E101	E101	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz ansetzen und den Schritt schließen	YES
I011-C01	I011	B1	f81v	1	PROC038	OK	PROC038	SRC_E102	E102	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß ansetzen	YES
I011-C02	I011	B1	f81v	2	PROC068	K	PROC068	SRC_E103	E103	DIRECT_ACTION_BUNDLE	den laufenden Posten im Lauf zuführen	YES
I011-C03	I011	B1	f81v	3	PROC048	OK	PROC048	SRC_E104	E104	DIRECT_ACTION_BUNDLE	den laufenden Posten an der bezeichneten Stelle ansetzen	YES
I011-C04	I011	B1	f81v	4	PROC069	K	PROC003|PROC013|PROC069	SRC_E105|SRC_E106|SRC_E107	E105|E106|E107	DIRECT_ACTION_BUNDLE	eine Portion weiter von dort zuführen	YES
I011-C05	I011	B1	f81v	5	PROC070	K	PROC070	SRC_E108	E108	DIRECT_ACTION_BUNDLE	eine Portion weiter zuführen	YES
I011-C06	I011	B1	f81v	6	PROC071	R	PROC055|PROC013|PROC071	SRC_E109|SRC_E110|SRC_E111	E109|E110|E111	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter an der bezeichneten Stelle abkühlen	YES
I011-C07	I011	B1	f81v	7	PROC072	L	PROC072	SRC_E112	E112	DIRECT_ACTION_BUNDLE	den laufenden Posten führen	YES
I011-C08	I011	B1	f81v	8	PROC073	SH	PROC022|PROC013|PROC073	SRC_E113|SRC_E114|SRC_E115	E113|E114|E115	DIRECT_ACTION_BUNDLE	den Ansatz weiter an der bezeichneten Stelle durch den Durchlass kurz halten	YES
I011-C09	I011	B1	f81v	9	PROC074	OK	PROC009|PROC074	SRC_E116|SRC_E117	E116|E117	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß an der bezeichneten Stelle länger ansetzen	YES
I011-C10	I011	B1	f81v	10	PROC076	CHD	PROC009|PROC075|PROC076	SRC_E118|SRC_E119|SRC_E120	E118|E119|E120	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß durch den Durchlass umsetzen und den Schritt schließen	YES
I012-C01	I012	B1	f81v	1	PROC077	SH|K|CHD	PROC013|PROC077	SRC_E121|SRC_E122	E121|E122	COMPLEX_MULTI_ACTION	den laufenden Posten weiter halten und zuführen und umsetzen und den Schritt schließen	YES
I013-C01	I013	B1	f81v	1	PROC042	CHD	PROC042	SRC_E123	E123	DIRECT_ACTION_BUNDLE	den laufenden Posten umsetzen	YES
I013-C02	I013	B1	f81v	2	PROC078	SHED	PROC013|PROC078	SRC_E124|SRC_E125	E124|E125	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter absetzen und den Schritt schließen	YES
I014-C01	I014	B1	f81v	1	PROC079	CHD	PROC079	SRC_E126	E126	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter umsetzen und den Schritt schließen	YES
I015-C01	I015	B1	f81v	1	PROC080	OK	PROC080	SRC_E127	E127	DIRECT_ACTION_BUNDLE	eine Portion ansetzen	YES
I015-C02	I015	B1	f81v	2	PROC072	L	PROC075|PROC072	SRC_E128|SRC_E129	E128|E129	DIRECT_ACTION_BUNDLE	den laufenden Posten durch den Durchlass führen	YES
I015-C03	I015	B1	f81v	3	PROC081	R	PROC081	SRC_E130	E130	DIRECT_ACTION_BUNDLE	den laufenden Posten an der bezeichneten Stelle abkühlen	YES
I015-C04	I015	B1	f81v	4	PROC082	OK|CHD	PROC082	SRC_E131	E131	DIRECT_ACTION_BUNDLE	den laufenden Posten ansetzen und umsetzen und den Schritt schließen	YES
I016-C01	I016	B1	f81v	1	PROC083	CHK	PROC019|PROC013|PROC083	SRC_E132|SRC_E133|SRC_E134	E132|E133|E134	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter kurz wärmen	YES
I016-C02	I016	B1	f81v	2	PROC078	SHED	PROC013|PROC078	SRC_E135|SRC_E136	E135|E136	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter absetzen und den Schritt schließen	YES
I017-C01	I017	B1	f81v	1	PROC067	OK	PROC067	SRC_E137	E137	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz ansetzen und den Schritt schließen	YES
I018-C01	I018	B1	f81v	1	PROC067	OK	PROC067	SRC_E138	E138	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz ansetzen und den Schritt schließen	YES
I019-C01	I019	B1	f81v	1	PROC008	OK	PROC075|PROC008	SRC_E139|SRC_E140	E139|E140	DIRECT_ACTION_BUNDLE	den laufenden Posten durch den Durchlass ansetzen	YES
I019-C02	I019	B1	f81v	2	PROC084	LSH	PROC084	SRC_E141	E141	DIRECT_ACTION_BUNDLE	den laufenden Posten im Arbeitsgang waschen	YES
I019-C03	I019	B1	f81v	3	PROC085	OK	PROC085	SRC_E142	E142	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz ansetzen	YES
I019-C04	I019	B1	f81v	4	PROC086	LSH	PROC086	SRC_E143	E143	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz waschen und den Schritt schließen	YES
I020-C01	I020	B1	f81v	1	PROC086	LSH	PROC086	SRC_E144	E144	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz waschen und den Schritt schließen	YES
I021-C01	I021	B1	f81v	1	PROC042	CHD	PROC042	SRC_E145	E145	DIRECT_ACTION_BUNDLE	den laufenden Posten umsetzen	YES
I021-C02	I021	B1	f81v	2	PROC087	SOLK	PROC087	SRC_E146	E146	DIRECT_ACTION_BUNDLE	den laufenden Posten auffangen	YES
I021-C03	I021	B1	f81v	3	PROC088	L|CHD	PROC088	SRC_E147	E147	DIRECT_ACTION_BUNDLE	den laufenden Posten an der bezeichneten Stelle führen und umsetzen	YES
I021-C04	I021	B1	f81v	4	PROC090	T	PROC013|PROC089|PROC090	SRC_E148|SRC_E149|SRC_E150	E148|E149|E150	DIRECT_ACTION_BUNDLE	danach den laufenden Posten weiter von dort kurz eintragen	YES
I021-C05	I021	B1	f81v	5	PROC091	OK|CHD	PROC091	SRC_E151	E151	DIRECT_ACTION_BUNDLE	den laufenden Posten ansetzen und umsetzen und den Schritt schließen	YES
I022-C01	I022	B1	f81v	1	PROC048	OK	PROC048	SRC_E152	E152	DIRECT_ACTION_BUNDLE	den laufenden Posten an der bezeichneten Stelle ansetzen	YES
I022-C02	I022	B1	f81v	2	PROC092	OK	PROC092	SRC_E153	E153	DIRECT_ACTION_BUNDLE	den laufenden Posten länger ansetzen	YES
I022-C03	I022	B1	f81v	3	PROC078	SHED	PROC013|PROC078	SRC_E154|SRC_E155	E154|E155	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter absetzen und den Schritt schließen	YES
I023-C01	I023	B1	f81v	1	PROC094	CHD	PROC055|PROC093|PROC094	SRC_E156|SRC_E157|SRC_E158	E156|E157|E158	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter an der bezeichneten Stelle kurz umsetzen und den Schritt schließen	YES
I024-C01	I024	B1	f81v	1	PROC095	L	PROC095	SRC_E159	E159	DIRECT_ACTION_BUNDLE	den laufenden Posten führen	YES
I024-C02	I024	B1	f81v	2	PROC096	SH	PROC096	SRC_E160	E160	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter kurz halten	YES
I024-C03	I024	B1	f81v	3	PROC098	SOLK	PROC097|PROC098	SRC_E161|SRC_E162	E161|E162	DIRECT_ACTION_BUNDLE	den laufenden Posten im Arbeitsgang länger bis zur Sollstufe auffangen und den Schritt schließen	YES
I025-C01	I025	B1	f81v	1	PROC078	SHED	PROC078	SRC_E163	E163	DIRECT_ACTION_BUNDLE	den laufenden Posten absetzen und den Schritt schließen	YES
I026-C01	I026	B1	f81v	1	PROC083	CHK	PROC083	SRC_E164	E164	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz wärmen	YES
I026-C02	I026	B1	f81v	2	PROC099	SH	PROC099	SRC_E165	E165	DIRECT_ACTION_BUNDLE	den laufenden Posten durch den Durchlass kurz halten und den Schritt schließen	YES
I027-C01	I027	B1	f81v	1	INHERITED_FROM_RECORD	INHERITED_ACTION	PROC055	SRC_E166	E166	ELLIPTIC_INHERITED_ACTION	an der bezeichneten Stelle weiterarbeiten	YES
I028-C01	I028	B2	f82r	1	PROC076	CHD	PROC076	SRC_E167	E167	DIRECT_ACTION_BUNDLE	den laufenden Posten umsetzen und den Schritt schließen	YES
I029-C01	I029	B2	f82r	1	PROC079	CHD	PROC079	SRC_E168	E168	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter umsetzen und den Schritt schließen	YES
I030-C01	I030	B2	f82r	1	PROC080	OK	PROC080	SRC_E169	E169	DIRECT_ACTION_BUNDLE	eine Portion ansetzen	YES
I030-C02	I030	B2	f82r	2	PROC100	OK	PROC019|PROC100	SRC_E170|SRC_E171	E170|E171	DIRECT_ACTION_BUNDLE	den laufenden Posten länger ansetzen und den Schritt schließen	YES
I031-C01	I031	B2	f82r	1	PROC048	OK	PROC048	SRC_E172	E172	DIRECT_ACTION_BUNDLE	den laufenden Posten an der bezeichneten Stelle ansetzen	YES
I031-C02	I031	B2	f82r	2	PROC101	L	PROC101	SRC_E173	E173	DIRECT_ACTION_BUNDLE	den laufenden Posten durch den Durchlass führen	YES
I031-C03	I031	B2	f82r	3	PROC102	L|CHD	PROC102	SRC_E174	E174	DIRECT_ACTION_BUNDLE	den laufenden Posten führen und umsetzen	YES
I031-C04	I031	B2	f82r	4	PROC092	OK	PROC092	SRC_E175	E175	DIRECT_ACTION_BUNDLE	den laufenden Posten länger ansetzen	YES
I031-C05	I031	B2	f82r	5	PROC103	L	PROC103	SRC_E176	E176	DIRECT_ACTION_BUNDLE	den laufenden Posten durch den Durchlass kurz führen und den Schritt schließen	YES
I032-C01	I032	B2	f82r	1	PROC104	OK	PROC104	SRC_E177	E177	DIRECT_ACTION_BUNDLE	den laufenden Posten an der bezeichneten Stelle ansetzen	YES
I032-C02	I032	B2	f82r	2	PROC105	SOLK	PROC105	SRC_E178	E178	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß auffangen	YES
I032-C03	I032	B2	f82r	3	PROC038	OK	PROC075|PROC038	SRC_E179|SRC_E180_E181	E179|E180|E181	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß durch den Durchlass ansetzen	YES
I032-C04	I032	B2	f82r	4	PROC107	CHK	PROC106|PROC107	SRC_E182|SRC_E183	E182|E183	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter im Arbeitsgang zunächst kurz, dann länger bis bereit wärmen	YES
I032-C05	I032	B2	f82r	5	PROC108	L	PROC108	SRC_E184	E184	DIRECT_ACTION_BUNDLE	den laufenden Posten führen und den Schritt schließen	YES
I033-C01	I033	B2	f82r	1	PROC048	OK	PROC109|PROC048	SRC_E185|SRC_E186	E185|E186	DIRECT_ACTION_BUNDLE	danach den laufenden Posten an der bezeichneten Stelle länger ansetzen	YES
I033-C02	I033	B2	f82r	2	PROC110	SH	PROC110	SRC_E187	E187	DIRECT_ACTION_BUNDLE	den laufenden Posten durch den Durchlass kurz halten	YES
I033-C03	I033	B2	f82r	3	PROC008	OK	PROC008	SRC_E188	E188	DIRECT_ACTION_BUNDLE	den laufenden Posten ansetzen	YES
I033-C04	I033	B2	f82r	4	PROC111	SH	PROC111	SRC_E189	E189	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz halten und den Schritt schließen	YES
I034-C01	I034	B2	f82r	1	PROC113	OK	PROC112|PROC113	SRC_E190|SRC_E191	E190|E191	DIRECT_ACTION_BUNDLE	danach den laufenden Posten von dort nach vorgeschriebenem Maß ansetzen	YES
I034-C02	I034	B2	f82r	2	PROC078	SHED	PROC078	SRC_E192	E192	DIRECT_ACTION_BUNDLE	den laufenden Posten absetzen und den Schritt schließen	YES
I035-C01	I035	B2	f82r	1	PROC114	SH	PROC114	SRC_E193	E193	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter kurz halten und den Schritt schließen	YES
I036-C01	I036	B2	f82r	1	PROC092	OK	PROC092	SRC_E194	E194	DIRECT_ACTION_BUNDLE	den laufenden Posten länger ansetzen	YES
I036-C02	I036	B2	f82r	2	PROC008	OK	PROC008	SRC_E195	E195	DIRECT_ACTION_BUNDLE	den laufenden Posten ansetzen	YES
I036-C03	I036	B2	f82r	3	PROC031	SH	PROC115|PROC031	SRC_E196|SRC_E197	E196|E197	DIRECT_ACTION_BUNDLE	den laufenden Posten weiter länger halten	YES
I036-C04	I036	B2	f82r	4	PROC080	OK	PROC080	SRC_E198	E198	DIRECT_ACTION_BUNDLE	eine Portion ansetzen	YES
I036-C05	I036	B2	f82r	5	PROC080	OK	PROC003|PROC080	SRC_E199|SRC_E200	E199|E200	DIRECT_ACTION_BUNDLE	eine Portion von dort ansetzen	YES
I036-C06	I036	B2	f82r	6	PROC100	OK	PROC100	SRC_E201	E201	DIRECT_ACTION_BUNDLE	den laufenden Posten länger ansetzen und den Schritt schließen	YES
I037-C01	I037	B2	f82r	1	PROC116	L|CH	PROC116	SRC_E202	E202	DIRECT_ACTION_BUNDLE	den laufenden Posten führen und abziehen	YES
I037-C02	I037	B2	f82r	2	PROC031	SH	PROC031	SRC_E203	E203	DIRECT_ACTION_BUNDLE	den laufenden Posten länger halten	YES
I037-C03	I037	B2	f82r	3	PROC092	OK	PROC117|PROC092	SRC_E204|SRC_E205	E204|E205	DIRECT_ACTION_BUNDLE	den laufenden Posten zunächst kurz, dann länger bis bereit ansetzen	YES
I037-C04	I037	B2	f82r	4	PROC118	L	PROC118	SRC_E206	E206	DIRECT_ACTION_BUNDLE	den laufenden Posten länger führen	YES
I037-C05	I037	B2	f82r	5	PROC119	OK	PROC009|PROC019|PROC119	SRC_E207|SRC_E208|SRC_E209	E207|E208|E209	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß vollständig ansetzen und den Schritt schließen	YES
I038-C01	I038	B2	f82r	1	PROC120	L|CHD	PROC120	SRC_E210	E210	DIRECT_ACTION_BUNDLE	den laufenden Posten führen und umsetzen und den Schritt schließen	YES
I039-C01	I039	B2	f82r	1	PROC121	L	PROC121	SRC_E211	E211	DIRECT_ACTION_BUNDLE	den laufenden Posten von dort führen	YES
I039-C02	I039	B2	f82r	2	PROC122	SH	PROC122	SRC_E212	E212	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz halten	YES
I039-C03	I039	B2	f82r	3	PROC100	OK	PROC100	SRC_E213	E213	DIRECT_ACTION_BUNDLE	den laufenden Posten länger ansetzen und den Schritt schließen	YES
I040-C01	I040	B2	f82r	1	PROC123	L|CHD	PROC055|PROC123	SRC_E214|SRC_E215	E214|E215	DIRECT_ACTION_BUNDLE	den laufenden Posten von dort an der bezeichneten Stelle führen und umsetzen	YES
I040-C02	I040	B2	f82r	2	PROC124	CH|S	PROC124	SRC_E216	E216	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz abziehen und teilen	YES
I040-C03	I040	B2	f82r	3	PROC038	OK	PROC009|PROC109|PROC038	SRC_E217|SRC_E218|SRC_E219	E217|E218|E219	DIRECT_ACTION_BUNDLE	danach den laufenden Posten nach vorgeschriebenem Maß länger ansetzen	YES
I040-C04	I040	B2	f82r	4	PROC085	OK	PROC085	SRC_E220	E220	DIRECT_ACTION_BUNDLE	den laufenden Posten kurz ansetzen	YES
I040-C05	I040	B2	f82r	5	PROC125	P|CHD	PROC125	SRC_E221	E221	DIRECT_ACTION_BUNDLE	den laufenden Posten hineingeben und umsetzen und den Schritt schließen	YES
I041-C01	I041	B2	f82r	1	PROC126	R|SH	PROC126|PROC127	SRC_E222|SRC_E223	E222|E223	DIRECT_ACTION_BUNDLE	den laufenden Posten an der bezeichneten Stelle kurz abkühlen und halten und den Schritt schließen	YES
I042-C01	I042	B2	f82r	1	PROC100	OK	PROC100	SRC_E224	E224	DIRECT_ACTION_BUNDLE	den laufenden Posten länger ansetzen und den Schritt schließen	YES
I043-C01	I043	B2	f82r	1	PROC128	R|SHED	PROC128	SRC_E225	E225	DIRECT_ACTION_BUNDLE	den laufenden Posten abkühlen und absetzen und den Schritt schließen	YES
I044-C01	I044	B2	f82r	1	INHERITED_FROM_RECORD	INHERITED_ACTION	PROC129	SRC_E226	E226	ELLIPTIC_INHERITED_ACTION	danach länger einwirken lassen und den Schritt schließen	YES
I045-C01	I045	B2	f82r	1	PROC100	OK	PROC100	SRC_E227	E227	DIRECT_ACTION_BUNDLE	den laufenden Posten länger ansetzen und den Schritt schließen	YES
I046-C01	I046	B2	f82r	1	PROC130	L|CHD	PROC130	SRC_E228	E228	DIRECT_ACTION_BUNDLE	den laufenden Posten im Arbeitsgang führen und umsetzen und den Schritt schließen	YES
I047-C01	I047	B3	f83r	1	PROC098	SOLK	PROC098	SRC_E229	E229	DIRECT_ACTION_BUNDLE	den laufenden Posten länger auffangen und den Schritt schließen	YES
I048-C01	I048	B3	f83r	1	PROC132	CHK	PROC131|PROC132	SRC_E230|SRC_E231	E230|E231	DIRECT_ACTION_BUNDLE	danach den laufenden Posten an der bezeichneten Stelle länger wärmen und den Schritt schließen	YES
I049-C01	I049	B3	f83r	1	PROC120	L|CHD	PROC019|PROC009|PROC019|PROC120	SRC_E232|SRC_E233|SRC_E234|SRC_E235	E232|E233|E234|E235	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß führen und umsetzen und den Schritt schließen	YES
I050-C01	I050	B3	f83r	1	PROC038	OK	PROC038	SRC_E236	E236	DIRECT_ACTION_BUNDLE	den laufenden Posten nach vorgeschriebenem Maß ansetzen	YES
