alias_ordinal	alias_id	alias_class	event_id	statement_id	physical_page	register	owner_id	inherited_root	lexical_source_kind	lexical_source_event_id	lexical_source_atom_position	lexical_source_key	source_layer	guard
11	GDT581-I0011	ACTION_ALIAS	G407-E0036	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	T	SAME_STATEMENT_EVENT	G407-E0035	2	G407-E0035@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
12	GDT581-I0012	ACTION_ALIAS	G407-E0038	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	OK	SAME_STATEMENT_EVENT	G407-E0037	1	G407-E0037@1:OK	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
13	GDT581-I0013	ACTION_ALIAS	G407-E0041	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	S	SAME_STATEMENT_EVENT	G407-E0040	1	G407-E0040@1:S	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
14	GDT581-I0014	ACTION_ALIAS	G407-E0050	G407-S002	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	P	SAME_STATEMENT_EVENT	G407-E0049	2	G407-E0049@2:P	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
15	GDT581-I0015	ACTION_ALIAS	G407-E0060	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	T	SAME_STATEMENT_EVENT	G407-E0059	4	G407-E0059@4:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
16	GDT581-I0016	ACTION_ALIAS	G407-E0061	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	T	SAME_STATEMENT_EVENT	G407-E0059	4	G407-E0059@4:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
17	GDT581-I0017	ACTION_ALIAS	G407-E0062	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	T	SAME_STATEMENT_EVENT	G407-E0059	4	G407-E0059@4:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
18	GDT581-I0018	ACTION_ALIAS	G407-E0065	G407-S003	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	S	SAME_STATEMENT_EVENT	G407-E0064	3	G407-E0064@3:S	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
19	GDT581-I0019	ACTION_ALIAS	G407-E0069	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	SH	OWNER_DEFAULT	OWNER	OWNER	OWNER_DEFAULT:F1R_TEXT_BLOCK_B:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
20	GDT581-I0020	ACTION_ALIAS	G407-E0070	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	SH	OWNER_DEFAULT	OWNER	OWNER	OWNER_DEFAULT:F1R_TEXT_BLOCK_B:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
21	GDT581-I0021	ACTION_ALIAS	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0081	2	G407-E0081@2:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
22	GDT581-I0022	ACTION_ALIAS	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0081	2	G407-E0081@2:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
23	GDT581-I0023	ACTION_ALIAS	G407-E0087	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	K	SAME_STATEMENT_EVENT	G407-E0086	3	G407-E0086@3:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
24	GDT581-I0024	ACTION_ALIAS	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0094	1	G407-E0094@1:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
25	GDT581-I0025	ACTION_ALIAS	G407-E0096	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0094	1	G407-E0094@1:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
26	GDT581-I0026	ACTION_ALIAS	G407-E0097	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0094	1	G407-E0094@1:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
27	GDT581-I0027	ACTION_ALIAS	G407-E0098	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0094	1	G407-E0094@1:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
28	GDT581-I0028	ACTION_ALIAS	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0094	1	G407-E0094@1:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
29	GDT581-I0029	ACTION_ALIAS	G407-E0100	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0094	1	G407-E0094@1:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
30	GDT581-I0030	ACTION_ALIAS	G407-E0104	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	OK	SAME_STATEMENT_EVENT	G407-E0103	1	G407-E0103@1:OK	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
31	GDT581-I0031	ACTION_ALIAS	G407-E0107	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	K	SAME_STATEMENT_EVENT	G407-E0106	1	G407-E0106@1:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
32	GDT581-I0032	ACTION_ALIAS	G407-E0109	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	K	SAME_STATEMENT_EVENT	G407-E0108	3	G407-E0108@3:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
33	GDT581-I0033	ACTION_ALIAS	G407-E0111	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	R	SAME_STATEMENT_EVENT	G407-E0110	1	G407-E0110@1:R	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
34	GDT581-I0034	ACTION_ALIAS	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	K	SAME_STATEMENT_EVENT	G407-E0113	1	G407-E0113@1:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
35	GDT581-I0035	ACTION_ALIAS	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	K	SAME_STATEMENT_EVENT	G407-E0113	1	G407-E0113@1:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
36	GDT581-I0036	ACTION_ALIAS	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0118	1	G407-E0118@1:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
37	GDT581-I0037	ACTION_ALIAS	G407-E0123	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	K	SAME_STATEMENT_EVENT	G407-E0122	1	G407-E0122@1:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
38	GDT581-I0038	ACTION_ALIAS	G407-E0124	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	K	SAME_STATEMENT_EVENT	G407-E0122	1	G407-E0122@1:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
39	GDT581-I0039	ACTION_ALIAS	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	SH	SAME_STATEMENT_EVENT	G407-E0132	2	G407-E0132@2:SH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
40	GDT581-I0040	ACTION_ALIAS	G407-E0135	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	T	SAME_STATEMENT_EVENT	G407-E0134	2	G407-E0134@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
41	GDT581-I0041	ACTION_ALIAS	G407-E0141	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	P	SAME_STATEMENT_EVENT	G407-E0140	2	G407-E0140@2:P	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
42	GDT581-I0042	ACTION_ALIAS	G407-E0142	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	P	SAME_STATEMENT_EVENT	G407-E0140	2	G407-E0140@2:P	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
43	GDT581-I0043	ACTION_ALIAS	G407-E0143	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	P	SAME_STATEMENT_EVENT	G407-E0140	2	G407-E0140@2:P	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
44	GDT581-I0044	ACTION_ALIAS	G407-E0148	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	R	SAME_STATEMENT_EVENT	G407-E0147	3	G407-E0147@3:R	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
45	GDT581-I0045	ACTION_ALIAS	G407-E0149	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	R	SAME_STATEMENT_EVENT	G407-E0147	3	G407-E0147@3:R	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
46	GDT581-I0046	ACTION_ALIAS	G407-E0152	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	S	SAME_STATEMENT_EVENT	G407-E0151	4	G407-E0151@4:S	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
47	GDT581-I0047	ACTION_ALIAS	G407-E0155	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	CH	SAME_STATEMENT_EVENT	G407-E0154	1	G407-E0154@1:CH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
48	GDT581-I0048	ACTION_ALIAS	G407-E0156	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	CH	SAME_STATEMENT_EVENT	G407-E0154	1	G407-E0154@1:CH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
49	GDT581-I0049	ACTION_ALIAS	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	K	SAME_STATEMENT_EVENT	G407-E0157	2	G407-E0157@2:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
50	GDT581-I0050	ACTION_ALIAS	G407-E0159	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	K	SAME_STATEMENT_EVENT	G407-E0157	2	G407-E0157@2:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
51	GDT581-I0051	ACTION_ALIAS	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	CH	SAME_STATEMENT_EVENT	G407-E0162	3	G407-E0162@3:CH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
52	GDT581-I0052	ACTION_ALIAS	G407-E0169	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	R	SAME_STATEMENT_EVENT	G407-E0168	1	G407-E0168@1:R	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
53	GDT581-I0053	ACTION_ALIAS	G407-E0170	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	R	SAME_STATEMENT_EVENT	G407-E0168	1	G407-E0168@1:R	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
54	GDT581-I0054	ACTION_ALIAS	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	R	SAME_STATEMENT_EVENT	G407-E0168	1	G407-E0168@1:R	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
55	GDT581-I0055	ACTION_ALIAS	G407-E0172	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	R	SAME_STATEMENT_EVENT	G407-E0168	1	G407-E0168@1:R	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
56	GDT581-I0056	ACTION_ALIAS	G407-E0174	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	T	SAME_STATEMENT_EVENT	G407-E0173	2	G407-E0173@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
57	GDT581-I0057	ACTION_ALIAS	G407-E0177	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	K	SAME_STATEMENT_EVENT	G407-E0176	1	G407-E0176@1:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
58	GDT581-I0058	ACTION_ALIAS	G407-E0180	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	T	SAME_STATEMENT_EVENT	G407-E0179	2	G407-E0179@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
59	GDT581-I0059	ACTION_ALIAS	G407-E0181	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	T	SAME_STATEMENT_EVENT	G407-E0179	2	G407-E0179@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
60	GDT581-I0060	ACTION_ALIAS	G407-E0185	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	OK	SAME_STATEMENT_EVENT	G407-E0184	1	G407-E0184@1:OK	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
61	GDT581-I0061	ACTION_ALIAS	G407-E0186	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	OK	SAME_STATEMENT_EVENT	G407-E0184	1	G407-E0184@1:OK	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
62	GDT581-I0062	ACTION_ALIAS	G407-E0188	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	T	SAME_STATEMENT_EVENT	G407-E0187	2	G407-E0187@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
63	GDT581-I0063	ACTION_ALIAS	G407-E0193	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	OK	SAME_STATEMENT_EVENT	G407-E0192	1	G407-E0192@1:OK	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
64	GDT581-I0064	ACTION_ALIAS	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	OK	SAME_STATEMENT_EVENT	G407-E0195	2	G407-E0195@2:OK	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
65	GDT581-I0065	ACTION_ALIAS	G407-E0198	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	K	SAME_STATEMENT_EVENT	G407-E0197	1	G407-E0197@1:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
66	GDT581-I0066	ACTION_ALIAS	G407-E0204	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	OK	SAME_STATEMENT_EVENT	G407-E0203	1	G407-E0203@1:OK	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
67	GDT581-I0067	ACTION_ALIAS	G407-E0207	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	K	SAME_STATEMENT_EVENT	G407-E0206	1	G407-E0206@1:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
68	GDT581-I0068	ACTION_ALIAS	G407-E0209	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	T	SAME_STATEMENT_EVENT	G407-E0208	2	G407-E0208@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
69	GDT581-I0069	ACTION_ALIAS	G407-E0210	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	T	SAME_STATEMENT_EVENT	G407-E0208	2	G407-E0208@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
70	GDT581-I0070	ACTION_ALIAS	G407-E0225	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0224	2	G407-E0224@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
71	GDT581-I0071	ACTION_ALIAS	G407-E0227	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0226	2	G407-E0226@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
72	GDT581-I0072	ACTION_ALIAS	G407-E0231	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	OK	SAME_STATEMENT_EVENT	G407-E0230	1	G407-E0230@1:OK	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
73	GDT581-I0073	ACTION_ALIAS	G407-E0233	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0232	2	G407-E0232@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
74	GDT581-I0074	ACTION_ALIAS	G407-E0234	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0232	2	G407-E0232@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
75	GDT581-I0075	ACTION_ALIAS	G407-E0236	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0235	1	G407-E0235@1:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
76	GDT581-I0076	ACTION_ALIAS	G407-E0238	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0237	4	G407-E0237@4:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
77	GDT581-I0077	ACTION_ALIAS	G407-E0239	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0237	4	G407-E0237@4:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
78	GDT581-I0078	ACTION_ALIAS	G407-E0240	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0237	4	G407-E0237@4:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
79	GDT581-I0079	ACTION_ALIAS	G407-E0242	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0241	2	G407-E0241@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
80	GDT581-I0080	ACTION_ALIAS	G407-E0243	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0241	2	G407-E0241@2:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
81	GDT581-I0081	ACTION_ALIAS	G407-E0249	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	K	SAME_STATEMENT_EVENT	G407-E0248	2	G407-E0248@2:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
82	GDT581-I0082	ACTION_ALIAS	G407-E0250	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	K	SAME_STATEMENT_EVENT	G407-E0248	2	G407-E0248@2:K	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
83	GDT581-I0083	ACTION_ALIAS	G407-E0253	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	R	SAME_STATEMENT_EVENT	G407-E0252	4	G407-E0252@4:R	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
84	GDT581-I0084	ACTION_ALIAS	G407-E0256	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	CH	SAME_STATEMENT_EVENT	G407-E0255	2	G407-E0255@2:CH	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
85	GDT581-I0085	ACTION_ALIAS	G407-E0263	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0262	4	G407-E0262@4:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
86	GDT581-I0086	ACTION_ALIAS	G407-E0264	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0262	4	G407-E0262@4:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
87	GDT581-I0087	ACTION_ALIAS	G407-E0266	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0265	1	G407-E0265@1:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
88	GDT581-I0088	ACTION_ALIAS	G407-E0267	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	T	SAME_STATEMENT_EVENT	G407-E0265	1	G407-E0265@1:T	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
89	GDT581-I0089	ACTION_ALIAS	G407-E0269	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	OK	SAME_STATEMENT_EVENT	G407-E0268	1	G407-E0268@1:OK	GDT416	ALIAS_IS_NOT_A_NEW_WRITTEN_OR_DICTIONARY_SLOT
