voice_repair_ordinal	voice_repair_id	focus_host_id	event_id	statement_id	physical_page	register	owner_id	surface	final_recipe	focus_root	focus_family	focus_final_position	focus_machine_link	attachment_geometry	selected_head_link	selected_head_root	effective_grammar_host_kind	effective_grammar_host_key	voice_head_link	audible_first_action_root	audible_first_imperative	selector_trigger_class	voice_repair_class	source_clause_de	event_repair_id	explicit_head_block_de	guard
11	GDT581-V011	G407-A00552	G407-E0616	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	ydals	Y+AL+S	AL	RELATION	2	G407-A00552:G407-E0616@2:AL#1	INHERITED_ACTION	G407-E0613@1:K	K	PRIMARY_ACTION	ACTION:G407-E0613@1:K	G407-E0613@1:K	S	wähle	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Wähle den Pflanzenposten; zur Zielstelle.	GDT581-EV010	Bezug auf das fortgeführte Zugeben [G407-E0613@1:K]: zur Zielstelle [G407-A00552:G407-E0616@2:AL#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
12	GDT581-V012	G407-A00575	G407-E0643	G407-S032	f24v	HERBAL	F24V_WHOLE_PLANT	arsa	AR+S+A_ADDR	AR	RELATION	1	G407-A00575:G407-E0643@1:AR#1	PREVIOUS_CARD_ACTION	G407-E0642@1:CH	CH	PRIMARY_ACTION	ACTION:G407-E0642@1:CH	G407-E0642@1:CH	S	wähle	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Wähle dieselbe Arbeitseinheit; vom Ausgangsmaterial; an der A-Stelle.	GDT581-EV011	Bezug auf das vorangehende Nehmen [G407-E0642@1:CH]: vom Ausgangsmaterial [G407-A00575:G407-E0643@1:AR#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
13	GDT581-V013	G407-A00651	G407-E0726	G407-S036	f55v	HERBAL	große aromatische Doldenpflanze	daiin	AIIN	AIIN	ARGUMENT	1	G407-A00651:G407-E0726@1:AIIN#1	BOUNDED_NEXT_CARD_ACTION	G407-E0727@1:CHD	CHD	PRIMARY_ACTION	ACTION:G407-E0727@1:CHD	G407-E0727@1:CHD	K	gib	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang gib den Arbeitswert zu.	GDT581-EV012	Bezug auf das folgende Bearbeiten [G407-E0727@1:CHD]: den Arbeitswert [G407-A00651:G407-E0726@1:AIIN#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
14	GDT581-V014	G407-A00715	G407-E0782	G407-S037	f55v	HERBAL	große aromatische Doldenpflanze	aiin	AIIN	AIIN	ARGUMENT	1	G407-A00715:G407-E0782@1:AIIN#1	BOUNDED_NEXT_CARD_ACTION	G407-E0783@1:OK	OK	PRIMARY_ACTION	ACTION:G407-E0783@1:OK	G407-E0783@1:OK	K	gib	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang gib den Arbeitswert zu.	GDT581-EV013	Bezug auf das folgende Ansetzen [G407-E0783@1:OK]: den Arbeitswert [G407-A00715:G407-E0782@1:AIIN#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
15	GDT581-V015	G407-A00737	G407-E0803	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	chy	Y	Y	ARGUMENT	1	G407-A00737:G407-E0803@1:Y#1	BOUNDED_NEXT_CARD_ACTION	G407-E0804@2:CH	CH	PRIMARY_ACTION	ACTION:G407-E0804@2:CH	G407-E0804@2:CH	S	wähle	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang wähle den Pflanzenposten.	GDT581-EV014	Bezug auf das folgende Nehmen [G407-E0804@2:CH]: den Pflanzenposten [G407-A00737:G407-E0803@1:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
16	GDT581-V016	G407-A00831	G407-E0909	G407-S042	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	odaeiin	O+DA+E+IIN	E	GRADE	3	G407-A00831:G407-E0909@3:E#1	BOUNDED_NEXT_CARD_ACTION	G407-E0910@1:OK	OK	PRIMARY_ACTION	ACTION:G407-E0910@1:OK	G407-E0910@1:OK	S	wähle	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang wähle denselben Positionsposten; als Ausführung, auf der zweiten Stufe, auf Grad I und auf der bezeichneten Stufe.	GDT581-EV015	Bezug auf das folgende Setzen [G407-E0910@1:OK]: auf Grad I [G407-A00831:G407-E0909@3:E#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
17	GDT581-V017	G407-A00839	G407-E0915	G407-S042	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	dy	Y	Y	ARGUMENT	1	G407-A00839:G407-E0915@1:Y#1	PREVIOUS_CARD_ACTION	G407-E0914@1:S	S	PRIMARY_ACTION	ACTION:G407-E0914@1:S	G407-E0914@1:S	R	markiere	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere den Positionsposten.	GDT581-EV016	Bezug auf das vorangehende Wählen [G407-E0914@1:S]: den Positionsposten [G407-A00839:G407-E0915@1:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
18	GDT581-V018	G407-A00856	G407-E0931	G407-S043	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ofar	O+LOCAL_CHAR_F+AR	AR	RELATION	3	G407-A00856:G407-E0931@3:AR#1	PREVIOUS_CARD_ACTION	G407-E0930@1:S	S	PRIMARY_ACTION	ACTION:G407-E0930@1:S	G407-E0930@1:S	R	markiere	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere denselben Sektoranteil; von der Ausgangsposition; als Ausführung; bei der f-Kennmarke.	GDT581-EV017	Bezug auf das vorangehende Wählen [G407-E0930@1:S]: von der Ausgangsposition [G407-A00856:G407-E0931@3:AR#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
19	GDT581-V019	G407-A00857	G407-E0932	G407-S043	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ar	AR	AR	RELATION	1	G407-A00857:G407-E0932@1:AR#1	INHERITED_ACTION	G407-E0930@1:S	S	PRIMARY_ACTION	ACTION:G407-E0930@1:S	G407-E0930@1:S	R	markiere	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere denselben Sektoranteil; von der Ausgangsposition.	GDT581-EV018	Bezug auf das fortgeführte Wählen [G407-E0930@1:S]: von der Ausgangsposition [G407-A00857:G407-E0932@1:AR#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
20	GDT581-V020	G407-A00858	G407-E0933	G407-S043	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ydam	Y+DA+AM_ADDR	Y	ARGUMENT	1	G407-A00858:G407-E0933@1:Y#1	INHERITED_ACTION	G407-E0930@1:S	S	PRIMARY_ACTION	ACTION:G407-E0930@1:S	G407-E0930@1:S	R	markiere	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere den Positionsposten; auf der zweiten Stufe; an der AM-Stelle.	GDT581-EV019	Bezug auf das fortgeführte Wählen [G407-E0930@1:S]: den Positionsposten [G407-A00858:G407-E0933@1:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
21	GDT581-V021	G407-A00912	G407-E0988	G407-S050	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	aiin	AIIN	AIIN	ARGUMENT	1	G407-A00912:G407-E0988@1:AIIN#1	PREVIOUS_CARD_ACTION	G407-E0987@1:CH	CH	PRIMARY_ACTION	ACTION:G407-E0987@1:CH	G407-E0987@1:CH	R	markiere	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere den Positionswert.	GDT581-EV020	Bezug auf das vorangehende Aufnehmen [G407-E0987@1:CH]: den Positionswert [G407-A00912:G407-E0988@1:AIIN#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
22	GDT581-V022	G407-A00916	G407-E0992	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	dar	D_ADDR+AR	AR	RELATION	2	G407-A00916:G407-E0992@2:AR#1	OWNER_ONLY	OWNER:zwei getrennte Himmelsräder und Tabelle	OWNER	OWNER_CONTEXT	OWNER:zwei getrennte Himmelsräder und Tabelle	OWNER:zwei getrennte Himmelsräder und Tabelle	S	wähle	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang wähle denselben Positionswert; von der Ausgangsposition; an der D-Stelle.	GDT581-EV021	Bezug auf den Besitzerrahmen [OWNER:zwei getrennte Himmelsräder und Tabelle]: von der Ausgangsposition [G407-A00916:G407-E0992@2:AR#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
23	GDT581-V023	G407-A00917	G407-E0993	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	aldaiin	AL+D_ADDR+AIIN	AL	RELATION	1	G407-A00917:G407-E0993@1:AL#1	OWNER_ONLY	OWNER:zwei getrennte Himmelsräder und Tabelle	OWNER	OWNER_CONTEXT	OWNER:zwei getrennte Himmelsräder und Tabelle	OWNER:zwei getrennte Himmelsräder und Tabelle	S	wähle	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang wähle den Positionswert; zur Zielposition; an der D-Stelle.	GDT581-EV022	Bezug auf den Besitzerrahmen [OWNER:zwei getrennte Himmelsräder und Tabelle]: zur Zielposition [G407-A00917:G407-E0993@1:AL#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
24	GDT581-V024	G407-A00918	G407-E0993	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	aldaiin	AL+D_ADDR+AIIN	AIIN	ARGUMENT	3	G407-A00918:G407-E0993@3:AIIN#1	OWNER_ONLY	OWNER:zwei getrennte Himmelsräder und Tabelle	OWNER	OWNER_CONTEXT	OWNER:zwei getrennte Himmelsräder und Tabelle	OWNER:zwei getrennte Himmelsräder und Tabelle	S	wähle	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang wähle den Positionswert; zur Zielposition; an der D-Stelle.	GDT581-EV022	Bezug auf den Besitzerrahmen [OWNER:zwei getrennte Himmelsräder und Tabelle]: den Positionswert [G407-A00918:G407-E0993@3:AIIN#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
25	GDT581-V025	G407-A00919	G407-E0994	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ydaiin	Y+D_ADDR+AIIN	Y	ARGUMENT	1	G407-A00919:G407-E0994@1:Y#1	BOUNDED_NEXT_CARD_ACTION	G407-E0995@2:K	K	PRIMARY_ACTION	ACTION:G407-E0995@2:K	G407-E0995@2:K	S	wähle	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang wähle den Positionsposten und den Positionswert; an der D-Stelle.	GDT581-EV023	Bezug auf das folgende Zuordnen [G407-E0995@2:K]: den Positionsposten [G407-A00919:G407-E0994@1:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
26	GDT581-V026	G407-A00920	G407-E0994	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ydaiin	Y+D_ADDR+AIIN	AIIN	ARGUMENT	3	G407-A00920:G407-E0994@3:AIIN#1	BOUNDED_NEXT_CARD_ACTION	G407-E0995@2:K	K	PRIMARY_ACTION	ACTION:G407-E0995@2:K	G407-E0995@2:K	S	wähle	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang wähle den Positionsposten und den Positionswert; an der D-Stelle.	GDT581-EV023	Bezug auf das folgende Zuordnen [G407-E0995@2:K]: den Positionswert [G407-A00920:G407-E0994@3:AIIN#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
27	GDT581-V027	G407-A01100	G407-E1123	G407-S058	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	otaly	OT+AL+Y	AL	RELATION	2	G407-A01100:G407-E1123@2:AL#1	BOUNDED_NEXT_CARD_ACTION	G407-E1124@1:OK	OK	PRIMARY_ACTION	ACTION:G407-E1124@1:OK	G407-E1124@1:OK	SH	halte	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Danach im laufenden Gang: halte den Positionsposten; zur Zielposition.	GDT581-EV024	Bezug auf das folgende Setzen [G407-E1124@1:OK]: zur Zielposition [G407-A01100:G407-E1123@2:AL#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
28	GDT581-V028	G407-A01101	G407-E1123	G407-S058	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	otaly	OT+AL+Y	Y	ARGUMENT	3	G407-A01101:G407-E1123@3:Y#1	BOUNDED_NEXT_CARD_ACTION	G407-E1124@1:OK	OK	PRIMARY_ACTION	ACTION:G407-E1124@1:OK	G407-E1124@1:OK	SH	halte	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Danach im laufenden Gang: halte den Positionsposten; zur Zielposition.	GDT581-EV024	Bezug auf das folgende Setzen [G407-E1124@1:OK]: den Positionsposten [G407-A01101:G407-E1123@3:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
29	GDT581-V029	G407-A01127	G407-E1142	G407-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe A	al	AL	AL	RELATION	1	G407-A01127:G407-E1142@1:AL#1	OWNER_ONLY	OWNER:Tierkreis-Ringgruppe A	OWNER	OWNER_CONTEXT	OWNER:Tierkreis-Ringgruppe A	OWNER:Tierkreis-Ringgruppe A	CH	nimm	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang nimm denselben Positionsposten auf; zur Zielposition.	GDT581-EV025	Bezug auf den Besitzerrahmen [OWNER:Tierkreis-Ringgruppe A]: zur Zielposition [G407-A01127:G407-E1142@1:AL#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
30	GDT581-V030	G407-A01128	G407-E1143	G407-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe A	oteey	OT+EE+Y	EE	GRADE	2	G407-A01128:G407-E1143@2:EE#1	BOUNDED_NEXT_CARD_ACTION	G407-E1144@1:CHD	CHD	CONTROL_ENVELOPE	CONTROL:G407-E1143:OT>G<END	CONTROL:G407-E1143:OT>G<END	CH	nimm	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	GRADE_CONTROL_ENVELOPE_BEATS_EVENT_WIDE_ACTION	Danach im laufenden Gang: nimm den Positionsposten auf; auf Grad II.	GDT581-EV026	Bezug auf den Steuerungsrahmen [CONTROL:G407-E1143:OT>G<END]: auf Grad II [G407-A01128:G407-E1143@2:EE#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
31	GDT581-V031	G407-A01129	G407-E1143	G407-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe A	oteey	OT+EE+Y	Y	ARGUMENT	3	G407-A01129:G407-E1143@3:Y#1	BOUNDED_NEXT_CARD_ACTION	G407-E1144@1:CHD	CHD	PRIMARY_ACTION	ACTION:G407-E1144@1:CHD	G407-E1144@1:CHD	CH	nimm	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Danach im laufenden Gang: nimm den Positionsposten auf; auf Grad II.	GDT581-EV026	Bezug auf das folgende Bearbeiten [G407-E1144@1:CHD]: den Positionsposten [G407-A01129:G407-E1143@3:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
32	GDT581-V032	G407-A01143	G407-E1154	G407-S063	f72r	CELESTIAL	Tierkreis-Ringgruppe A	aiin	AIIN	AIIN	ARGUMENT	1	G407-A01143:G407-E1154@1:AIIN#1	PREVIOUS_CARD_ACTION	G407-E1153@1:CH	CH	PRIMARY_ACTION	ACTION:G407-E1153@1:CH	G407-E1153@1:CH	R	markiere	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere den Positionswert.	GDT581-EV027	Bezug auf das vorangehende Aufnehmen [G407-E1153@1:CH]: den Positionswert [G407-A01143:G407-E1154@1:AIIN#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
33	GDT581-V033	G407-A01144	G407-E1155	G407-S063	f72r	CELESTIAL	Tierkreis-Ringgruppe A	ydal	Y+AL	Y	ARGUMENT	1	G407-A01144:G407-E1155@1:Y#1	INHERITED_ACTION	G407-E1153@1:CH	CH	PRIMARY_ACTION	ACTION:G407-E1153@1:CH	G407-E1153@1:CH	R	markiere	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	Im laufenden Gang markiere den Positionsposten; zur Zielposition.	GDT581-EV028	Bezug auf das fortgeführte Aufnehmen [G407-E1153@1:CH]: den Positionsposten [G407-A01144:G407-E1155@1:Y#1].	FOCUS_SPECIFIC_HEAD_BEATS_EVENT_WIDE_WORDING
