local_card_ordinal	local_card_host_key	source_partition	source_layer	source_event_id	physical_page	register	locus	owner_de	surface	component_recipe	component_count	source_local_role	record_id	record_governor_key	bundle_id	bundle_governor_key	active_local_model	guard
16	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1762	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1762	f67r2	CELESTIAL	f67r2.6	zwei lokale Himmelsraeder	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	6	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
17	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1763	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1763	f67r2	CELESTIAL	f67r2.7	zwei lokale Himmelsraeder	ykchy	Y+K+Y	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
18	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1764	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1764	f67r2	CELESTIAL	f67r2.7	zwei lokale Himmelsraeder	kchey	K+CH+E+Y	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
19	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1765	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1765	f67r2	CELESTIAL	f67r2.7	zwei lokale Himmelsraeder	ykchys	Y+K+CH+Y+S	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
20	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1766	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1766	f67r2	CELESTIAL	f67r2.8	zwei lokale Himmelsraeder	chkchdar	CHK+CHD+AR	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
21	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1767	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1767	f67r2	CELESTIAL	f67r2.9	zwei lokale Himmelsraeder	ykar	Y+K+AR	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
22	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1768	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1768	f67r2	CELESTIAL	f67r2.9	zwei lokale Himmelsraeder	ykaly	Y+K+AL+Y	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
23	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1769	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1769	f67r2	CELESTIAL	f67r2.10	zwei lokale Himmelsraeder	lkshy	L+K+SH+Y	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
24	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1770	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1770	f67r2	CELESTIAL	f67r2.10	zwei lokale Himmelsraeder	kchy	K+Y	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
25	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1771	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1771	f67r2	CELESTIAL	f67r2.10	zwei lokale Himmelsraeder	okar	OK+AR	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
26	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1772	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1772	f67r2	CELESTIAL	f67r2.11	zwei lokale Himmelsraeder	chky	CHK+Y	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
27	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1773	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1773	f67r2	CELESTIAL	f67r2.11	zwei lokale Himmelsraeder	chykchs	CH+Y+K+CH+S	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
28	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1774	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1774	f67r2	CELESTIAL	f67r2.11	zwei lokale Himmelsraeder	chy	Y	1	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
29	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1775	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1775	f67r2	CELESTIAL	f67r2.12	zwei lokale Himmelsraeder	ykees	Y+K+EE+S	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
30	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1776	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1776	f67r2	CELESTIAL	f67r2.12	zwei lokale Himmelsraeder	ykchos	Y+K+CH+O+S	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
31	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1784	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1784	f67r2	CELESTIAL	f67r2.15	zwei lokale Himmelsraeder	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	6	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
32	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1804	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1804	f67r2	CELESTIAL	f67r2.22	zwei lokale Himmelsraeder	okal	OK+AL	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
33	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1818	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1818	f67r2	CELESTIAL	f67r2.28	zwei lokale Himmelsraeder	okain	OK+AIN	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
34	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1819	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1819	f67r2	CELESTIAL	f67r2.28	zwei lokale Himmelsraeder	am	AM_ADDR	1	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	LOCAL_CLASS_OR_NAME_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
35	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1824	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1824	f67r2	CELESTIAL	f67r2.31	zwei lokale Himmelsraeder	opcholdy	O+P+OL+D_ADDR+Y	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
36	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1832	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1832	f67r2	CELESTIAL	f67r2.34	zwei lokale Himmelsraeder	ofar	O+LOCAL_CHAR_F+AR	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
37	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1833	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1833	f67r2	CELESTIAL	f67r2.34	zwei lokale Himmelsraeder	oeoldan	O+E+OL+D_ADDR+AN	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ITINERARY_OR_ADDRESS_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
38	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1840	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1840	f67r2	CELESTIAL	f67r2.37	zwei lokale Himmelsraeder	ytoaiin	Y+T+O+AIIN	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
39	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1866	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1866	f67r2	CELESTIAL	f67r2.47	zwei lokale Himmelsraeder	yfain	Y+LOCAL_CHAR_F+AIN	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
40	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1876	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1876	f67r2	CELESTIAL	f67r2.52	zwei lokale Himmelsraeder	qotoear	OT+O+E+AR	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ITINERARY_OR_ADDRESS_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
41	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1877	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1877	f67r2	CELESTIAL	f67r2.53	zwei lokale Himmelsraeder	dchdar	D_ADDR+CHD+AR	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
42	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1878	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1878	f67r2	CELESTIAL	f67r2.54	zwei lokale Himmelsraeder	y	Y	1	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
43	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1879	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1879	f67r2	CELESTIAL	f67r2.54	zwei lokale Himmelsraeder	saldal	S+AL+DA+L	4	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
44	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1880	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1880	f67r2	CELESTIAL	f67r2.55	zwei lokale Himmelsraeder	ytodal	Y+T+O+DA+L	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
45	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1881	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1881	f67r2	CELESTIAL	f67r2.56	zwei lokale Himmelsraeder	tol	T+OL	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
46	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1882	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1882	f67r2	CELESTIAL	f67r2.56	zwei lokale Himmelsraeder	daiin	AIIN	1	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
47	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1883	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1883	f67r2	CELESTIAL	f67r2.57	zwei lokale Himmelsraeder	otar	OT+AR	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ITINERARY_OR_ADDRESS_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
48	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1884	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1884	f67r2	CELESTIAL	f67r2.57	zwei lokale Himmelsraeder	dy	Y	1	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
49	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1885	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1885	f67r2	CELESTIAL	f67r2.58	zwei lokale Himmelsraeder	cho	HO	1	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	LOCAL_CLASS_OR_NAME_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE
