focus_host_ordinal	focus_host_id	source_layer	source_attachment_id	statement_id	event_id	physical_page	register	owner_id	surface	source_recipe	final_recipe	focus_root	focus_value_de	focus_family	focus_occurrence_rank	focus_source_position	focus_final_position	selector_rule	attachment_geometry	primary_governor_kind	primary_governor_event_id	primary_governor_atom_position	primary_governor_root	primary_governor_occurrence_rank	effective_grammar_host_kind	effective_grammar_host_key	grade_host_mode	grade_carrier_envelope	prose_realization_scope	coordinate_reconciled	lookahead_cards	owner_boundary_crossed	statement_boundary_crossed	guard
11	G407-A00011	GDT407_5051_ATTACHMENT_EDITION	G407-A00011	G407-S001	G407-E0010	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	SH+OL+D_ADDR+Y	Y	AKTIVER POSTEN	ARGUMENT	1	4	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0010	1	SH	1	PRIMARY_ACTION	ACTION:G407-E0010@1:SH	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
12	G407-A00012	GDT407_5051_ATTACHMENT_EDITION	G407-A00012	G407-S001	G407-E0011	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	S+OR+Y	S+OR+Y	OR	EINHEIT	ARGUMENT	1	2	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0011	1	S	1	PRIMARY_ACTION	ACTION:G407-E0011@1:S	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
13	G407-A00013	GDT407_5051_ATTACHMENT_EDITION	G407-A00013	G407-S001	G407-E0011	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sory	S+OR+Y	S+OR+Y	Y	AKTIVER POSTEN	ARGUMENT	1	3	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0011	1	S	1	PRIMARY_ACTION	ACTION:G407-E0011@1:S	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
14	G407-A00014	GDT407_5051_ATTACHMENT_EDITION	G407-A00014	G407-S001	G407-E0012	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	CH+K+AR	AR	AUSGANG	RELATION	1	3	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0012	2	K	1	PRIMARY_ACTION	ACTION:G407-E0012@2:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
15	G407-A00015	GDT407_5051_ATTACHMENT_EDITION	G407-A00015	G407-S001	G407-E0013	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	OR	OR	EINHEIT	ARGUMENT	1	1	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0012	2	K	1	PRIMARY_ACTION	ACTION:G407-E0012@2:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
16	G407-A00016	GDT407_5051_ATTACHMENT_EDITION	G407-A00016	G407-S001	G407-E0014	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	Y	Y	AKTIVER POSTEN	ARGUMENT	1	1	1	INHERITED_ACTION_STACK	INHERITED_ACTION	ACTION_OCCURRENCE	G407-E0012	2	K	1	PRIMARY_ACTION	ACTION:G407-E0012@2:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
17	G407-A00017	GDT407_5051_ATTACHMENT_EDITION	G407-A00017	G407-S001	G407-E0015	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kair	K+AIR	K+AIR	AIR	LAUF	RELATION	1	2	2	L_AIR_RIGHT_FALLBACK	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0015	1	K	1	PRIMARY_ACTION	ACTION:G407-E0015@1:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
18	G407-A00018	GDT407_5051_ATTACHMENT_EDITION	G407-A00018	G407-S001	G407-E0016	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	CH+T+AIIN	AIIN	WERT	ARGUMENT	1	3	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0016	2	T	1	PRIMARY_ACTION	ACTION:G407-E0016@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
19	G407-A00019	GDT407_5051_ATTACHMENT_EDITION	G407-A00019	G407-S001	G407-E0017	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shar	SH+AR	SH+AR	AR	AUSGANG	RELATION	1	2	2	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0017	1	SH	1	PRIMARY_ACTION	ACTION:G407-E0017@1:SH	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
20	G407-A00020	GDT407_5051_ATTACHMENT_EDITION	G407-A00020	G407-S001	G407-E0018	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ase	A_ADDR+S+E	A_ADDR+S+E	E	GRAD I	GRADE	1	3	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0018	2	S	1	PRIMARY_ACTION	ACTION:G407-E0018@2:S	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
21	G407-A00021	GDT407_5051_ATTACHMENT_EDITION	G407-A00021	G407-S001	G407-E0019	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	CH+T+AR	AR	AUSGANG	RELATION	1	3	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0019	2	T	1	PRIMARY_ACTION	ACTION:G407-E0019@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
22	G407-A00022	GDT407_5051_ATTACHMENT_EDITION	G407-A00022	G407-S001	G407-E0020	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthar	CH+T+AR	CH+T+AR	AR	AUSGANG	RELATION	1	3	3	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0020	2	T	1	PRIMARY_ACTION	ACTION:G407-E0020@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
23	G407-A00023	GDT407_5051_ATTACHMENT_EDITION	G407-A00023	G407-S001	G407-E0021	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	dan	AIN	AIN	AIN	ANTEIL	ARGUMENT	1	1	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0020	2	T	1	PRIMARY_ACTION	ACTION:G407-E0020@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
24	G407-A00024	GDT407_5051_ATTACHMENT_EDITION	G407-A00024	G407-S001	G407-E0022	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	syaiir	S+Y+IIN+R	S+Y+IIN+R	Y	AKTIVER POSTEN	ARGUMENT	1	2	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0022	1	S	1	PRIMARY_ACTION	ACTION:G407-E0022@1:S	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
25	G407-A00025	GDT407_5051_ATTACHMENT_EDITION	G407-A00025	G407-S001	G407-E0023	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	SH+E+K+Y	E	GRAD I	GRADE	1	2	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0023	1	SH	1	PRIMARY_ACTION	ACTION:G407-E0023@1:SH	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
26	G407-A00026	GDT407_5051_ATTACHMENT_EDITION	G407-A00026	G407-S001	G407-E0023	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sheky	SH+E+K+Y	SH+E+K+Y	Y	AKTIVER POSTEN	ARGUMENT	1	4	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0023	3	K	1	PRIMARY_ACTION	ACTION:G407-E0023@3:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
27	G407-A00027	GDT407_5051_ATTACHMENT_EDITION	G407-A00027	G407-S001	G407-E0024	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	OR	OR	EINHEIT	ARGUMENT	1	1	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0023	3	K	1	PRIMARY_ACTION	ACTION:G407-E0023@3:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
28	G407-A00028	GDT407_5051_ATTACHMENT_EDITION	G407-A00028	G407-S001	G407-E0025	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	Y+K+AIIN	Y	AKTIVER POSTEN	ARGUMENT	1	1	1	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	ACTION_OCCURRENCE	G407-E0025	2	K	1	PRIMARY_ACTION	ACTION:G407-E0025@2:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
29	G407-A00029	GDT407_5051_ATTACHMENT_EDITION	G407-A00029	G407-S001	G407-E0025	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykaiin	Y+K+AIIN	Y+K+AIIN	AIIN	WERT	ARGUMENT	1	3	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0025	2	K	1	PRIMARY_ACTION	ACTION:G407-E0025@2:K	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
30	G407-A00030	GDT407_5051_ATTACHMENT_EDITION	G407-A00030	G407-S001	G407-E0027	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	CH+T+O+AR+Y	AR	AUSGANG	RELATION	1	4	4	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0027	2	T	1	PRIMARY_ACTION	ACTION:G407-E0027@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
31	G407-A00031	GDT407_5051_ATTACHMENT_EDITION	G407-A00031	G407-S001	G407-E0027	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthoary	CH+T+O+AR+Y	CH+T+O+AR+Y	Y	AKTIVER POSTEN	ARGUMENT	1	5	5	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0027	2	T	1	PRIMARY_ACTION	ACTION:G407-E0027@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
32	G407-A00032	GDT407_5051_ATTACHMENT_EDITION	G407-A00032	G407-S001	G407-E0028	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthes	CH+T+E+S	CH+T+E+S	E	GRAD I	GRADE	1	3	3	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0028	2	T	1	PRIMARY_ACTION	ACTION:G407-E0028@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
33	G407-A00033	GDT407_5051_ATTACHMENT_EDITION	G407-A00033	G407-S001	G407-E0029	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	D_ADDR+AR+AIIN	AR	AUSGANG	RELATION	1	2	2	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0028	4	S	1	PRIMARY_ACTION	ACTION:G407-E0028@4:S	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
34	G407-A00034	GDT407_5051_ATTACHMENT_EDITION	G407-A00034	G407-S001	G407-E0029	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	D_ADDR+AR+AIIN	AIIN	WERT	ARGUMENT	1	3	3	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0028	4	S	1	PRIMARY_ACTION	ACTION:G407-E0028@4:S	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
35	G407-A00035	GDT407_5051_ATTACHMENT_EDITION	G407-A00035	G407-S001	G407-E0030	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sy	Y	Y	Y	AKTIVER POSTEN	ARGUMENT	1	1	1	INHERITED_ACTION_STACK	INHERITED_ACTION	ACTION_OCCURRENCE	G407-E0028	4	S	1	PRIMARY_ACTION	ACTION:G407-E0028@4:S	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
36	G407-A00036	GDT407_5051_ATTACHMENT_EDITION	G407-A00036	G407-S001	G407-E0032	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	OT+EE+Y	EE	GRAD II	GRADE	1	2	2	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0031	1	S	1	CONTROL_ENVELOPE	CONTROL:G407-E0032:OT>G<END	CONTROL_CARRIED_GRADE_VALUE	OT>G<END	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
37	G407-A00037	GDT407_5051_ATTACHMENT_EDITION	G407-A00037	G407-S001	G407-E0032	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	OT+EE+Y	Y	AKTIVER POSTEN	ARGUMENT	1	3	3	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0031	1	S	1	PRIMARY_ACTION	ACTION:G407-E0031@1:S	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
38	G407-A00038	GDT407_5051_ATTACHMENT_EDITION	G407-A00038	G407-S001	G407-E0033	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	OT+E+O+S_ADDR	E	GRAD I	GRADE	1	2	2	INHERITED_ACTION_STACK	INHERITED_ACTION	ACTION_OCCURRENCE	G407-E0031	1	S	1	CONTROL_ENVELOPE	CONTROL:G407-E0033:OT>G<END	CONTROL_CARRIED_GRADE_VALUE	OT>G<END	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
39	G407-A00039	GDT407_5051_ATTACHMENT_EDITION	G407-A00039	G407-S001	G407-E0034	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	roloty	R+OL+OT+Y	R+OL+OT+Y	Y	AKTIVER POSTEN	ARGUMENT	1	4	4	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0034	1	R	1	PRIMARY_ACTION	ACTION:G407-E0034@1:R	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
40	G407-A00040	GDT407_5051_ATTACHMENT_EDITION	G407-A00040	G407-S001	G407-E0035	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthiar	CH+T+LOCAL_CHAR_I+AR	CH+T+LOCAL_CHAR_I+AR	AR	AUSGANG	RELATION	1	4	4	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0035	2	T	1	PRIMARY_ACTION	ACTION:G407-E0035@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
41	G407-A00041	GDT407_5051_ATTACHMENT_EDITION	G407-A00041	G407-S001	G407-E0036	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daiin	AIIN	AIIN	AIIN	WERT	ARGUMENT	1	1	1	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	ACTION_OCCURRENCE	G407-E0035	2	T	1	PRIMARY_ACTION	ACTION:G407-E0035@2:T	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
42	G407-A00042	GDT407_5051_ATTACHMENT_EDITION	G407-A00042	G407-S001	G407-E0037	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	okaiin	OK+AIIN	OK+AIIN	AIIN	WERT	ARGUMENT	1	2	2	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION_OCCURRENCE	G407-E0037	1	OK	1	PRIMARY_ACTION	ACTION:G407-E0037@1:OK	NOT_APPLICABLE	NOT_APPLICABLE	PRIMARY_GOVERNOR	NO	0	NO	NO	ONE_FINAL_FOCUS_OCCURRENCE__ONE_PRIMARY_GOVERNOR
