event_repair_ordinal	event_repair_id	event_id	statement_id	physical_page	register	owner_id	surface	final_recipe	audible_first_action_root	selected_repair_focus_count	represented_event_focus_count	represented_non_grade_modifier_count	explicit_focus_head_block_count	explicit_modifier_head_block_count	explicit_head_block_count	bare_local_action_block_count	visible_action_count	selector_trigger_classes	voice_repair_classes	repair_focus_ids	represented_focus_ids	visible_action_links	source_gdt580_clause_de	content_ready_boundary_clause_de	gdt580_exact_roundtrip_de	guard
19	GDT581-EV019	G407-E0933	G407-S043	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ydam	Y+DA+AM_ADDR	R	1	1	2	1	2	3	0	0	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00858	G407-A00858	NONE	Im laufenden Gang markiere den Positionsposten; auf der zweiten Stufe; an der AM-Stelle.	Bezug auf das fortgeführte Wählen [G407-E0930@1:S]: den Positionsposten [G407-A00858:G407-E0933@1:Y#1]. Bezug auf das vorangehende Wählen [G407-E0930@1:S]: auf der zweiten Stufe [RUNNING:G407-E0933@2:DA]. Bezug auf das vorangehende Wählen [G407-E0930@1:S]: an der AM-Stelle [RUNNING:G407-E0933@3:AM_ADDR].	Im laufenden Gang markiere den Positionsposten; auf der zweiten Stufe; an der AM-Stelle.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
20	GDT581-EV020	G407-E0988	G407-S050	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	aiin	AIIN	R	1	1	0	1	0	1	0	0	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00912	G407-A00912	NONE	Im laufenden Gang markiere den Positionswert.	Bezug auf das vorangehende Aufnehmen [G407-E0987@1:CH]: den Positionswert [G407-A00912:G407-E0988@1:AIIN#1].	Im laufenden Gang markiere den Positionswert.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
21	GDT581-EV021	G407-E0992	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	dar	D_ADDR+AR	S	1	1	1	1	1	2	0	0	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00916	G407-A00916	NONE	Im laufenden Gang wähle denselben Positionswert; von der Ausgangsposition; an der D-Stelle.	Bezug auf den Besitzerrahmen [OWNER:zwei getrennte Himmelsräder und Tabelle]: an der D-Stelle [RUNNING:G407-E0992@1:D_ADDR]. Bezug auf den Besitzerrahmen [OWNER:zwei getrennte Himmelsräder und Tabelle]: von der Ausgangsposition [G407-A00916:G407-E0992@2:AR#1].	Im laufenden Gang wähle denselben Positionswert; von der Ausgangsposition; an der D-Stelle.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
22	GDT581-EV022	G407-E0993	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	aldaiin	AL+D_ADDR+AIIN	S	2	2	1	2	1	3	0	0	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00917|G407-A00918	G407-A00917|G407-A00918	NONE	Im laufenden Gang wähle den Positionswert; zur Zielposition; an der D-Stelle.	Bezug auf den Besitzerrahmen [OWNER:zwei getrennte Himmelsräder und Tabelle]: zur Zielposition [G407-A00917:G407-E0993@1:AL#1]. Bezug auf den Besitzerrahmen [OWNER:zwei getrennte Himmelsräder und Tabelle]: an der D-Stelle [RUNNING:G407-E0993@2:D_ADDR]. Bezug auf den Besitzerrahmen [OWNER:zwei getrennte Himmelsräder und Tabelle]: den Positionswert [G407-A00918:G407-E0993@3:AIIN#1].	Im laufenden Gang wähle den Positionswert; zur Zielposition; an der D-Stelle.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
23	GDT581-EV023	G407-E0994	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ydaiin	Y+D_ADDR+AIIN	S	2	2	1	2	1	3	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A00919|G407-A00920	G407-A00919|G407-A00920	NONE	Im laufenden Gang wähle den Positionsposten und den Positionswert; an der D-Stelle.	Bezug auf das folgende Zuordnen [G407-E0995@2:K]: den Positionsposten [G407-A00919:G407-E0994@1:Y#1]. Bezug auf das folgende Zuordnen [G407-E0995@2:K]: an der D-Stelle [RUNNING:G407-E0994@2:D_ADDR]. Bezug auf das folgende Zuordnen [G407-E0995@2:K]: den Positionswert [G407-A00920:G407-E0994@3:AIIN#1].	Im laufenden Gang wähle den Positionsposten und den Positionswert; an der D-Stelle.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
24	GDT581-EV024	G407-E1123	G407-S058	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	otaly	OT+AL+Y	SH	2	2	0	2	0	2	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A01100|G407-A01101	G407-A01100|G407-A01101	NONE	Danach im laufenden Gang: halte den Positionsposten; zur Zielposition.	Bezug auf das folgende Setzen [G407-E1124@1:OK]: zur Zielposition [G407-A01100:G407-E1123@2:AL#1]. Bezug auf das folgende Setzen [G407-E1124@1:OK]: den Positionsposten [G407-A01101:G407-E1123@3:Y#1]. Strukturspur: OT@1→CONTROL:G407-E1123@1:OT.	Danach im laufenden Gang: halte den Positionsposten; zur Zielposition.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
25	GDT581-EV025	G407-E1142	G407-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe A	al	AL	CH	1	1	0	1	0	1	0	0	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A01127	G407-A01127	NONE	Im laufenden Gang nimm denselben Positionsposten auf; zur Zielposition.	Bezug auf den Besitzerrahmen [OWNER:Tierkreis-Ringgruppe A]: zur Zielposition [G407-A01127:G407-E1142@1:AL#1].	Im laufenden Gang nimm denselben Positionsposten auf; zur Zielposition.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
26	GDT581-EV026	G407-E1143	G407-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe A	oteey	OT+EE+Y	CH	2	2	0	2	0	2	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK|GRADE_CONTROL_ENVELOPE_BEATS_EVENT_WIDE_ACTION	G407-A01128|G407-A01129	G407-A01128|G407-A01129	NONE	Danach im laufenden Gang: nimm den Positionsposten auf; auf Grad II.	Bezug auf den Steuerungsrahmen [CONTROL:G407-E1143:OT>G<END]: auf Grad II [G407-A01128:G407-E1143@2:EE#1]. Bezug auf das folgende Bearbeiten [G407-E1144@1:CHD]: den Positionsposten [G407-A01129:G407-E1143@3:Y#1]. Strukturspur: OT@1→CONTROL:G407-E1143@1:OT.	Danach im laufenden Gang: nimm den Positionsposten auf; auf Grad II.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
27	GDT581-EV027	G407-E1154	G407-S063	f72r	CELESTIAL	Tierkreis-Ringgruppe A	aiin	AIIN	R	1	1	0	1	0	1	0	0	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A01143	G407-A01143	NONE	Im laufenden Gang markiere den Positionswert.	Bezug auf das vorangehende Aufnehmen [G407-E1153@1:CH]: den Positionswert [G407-A01143:G407-E1154@1:AIIN#1].	Im laufenden Gang markiere den Positionswert.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
28	GDT581-EV028	G407-E1155	G407-S063	f72r	CELESTIAL	Tierkreis-Ringgruppe A	ydal	Y+AL	R	2	2	0	2	0	2	0	0	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A01144|G407-A01145	G407-A01144|G407-A01145	NONE	Im laufenden Gang markiere den Positionsposten; zur Zielposition.	Bezug auf das fortgeführte Aufnehmen [G407-E1153@1:CH]: den Positionsposten [G407-A01144:G407-E1155@1:Y#1]. Bezug auf das fortgeführte Aufnehmen [G407-E1153@1:CH]: zur Zielposition [G407-A01145:G407-E1155@2:AL#1].	Im laufenden Gang markiere den Positionsposten; zur Zielposition.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
29	GDT581-EV029	G407-E1192	G407-S065	f72r	CELESTIAL	Tierkreis-Ringgruppe B	otar	OT+AR	T	1	1	0	1	0	1	0	0	NEXT_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A01190	G407-A01190	NONE	Danach im laufenden Gang: stelle dieselbe Positionseinheit ein; von der Ausgangsposition.	Bezug auf das folgende Setzen [G407-E1193@1:OK]: von der Ausgangsposition [G407-A01190:G407-E1192@2:AR#1]. Strukturspur: OT@1→CONTROL:G407-E1192@1:OT.	Danach im laufenden Gang: stelle dieselbe Positionseinheit ein; von der Ausgangsposition.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
30	GDT581-EV030	G407-E1276	G407-S068	f72r	CELESTIAL	Tierkreis-Ringgruppe E	dalchdy	AL+CHD+DY	CHD	1	1	0	1	0	1	1	1	REMOTE_HEAD_ROOT_DIFFERS_FROM_AUDIBLE_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK	G407-A01284	G407-A01284	G407-E1276@2:CHD	Bearbeite denselben Positionsposten; zur Zielposition; schließe den Schritt.	Bezug auf das vorangehende Setzen [G407-E1275@1:OK]: zur Zielposition [G407-A01284:G407-E1276@1:AL#1]. Lokales Bearbeiten [G407-E1276@2:CHD]. Strukturspur: DY@3→CONTROL:G407-E1276@3:DY.	Bearbeite denselben Positionsposten; zur Zielposition; schließe den Schritt.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
31	GDT581-EV031	G407-E1349	G407-S076	f72r	CELESTIAL	Tierkreis-Ringgruppe H	otey	OT+E+Y	CHD	2	2	0	2	0	2	0	0	OWNER_CONTENT_AUDIBLE_AS_LOCAL_ACTION	EXPLICIT_PRIMARY_HEAD_BLOCK|GRADE_CONTROL_ENVELOPE_BEATS_EVENT_WIDE_ACTION	G407-A01377|G407-A01378	G407-A01377|G407-A01378	NONE	Danach im laufenden Gang: bearbeite den Positionsposten; auf Grad I.	Bezug auf den Steuerungsrahmen [CONTROL:G407-E1349:OT>G<END]: auf Grad I [G407-A01377:G407-E1349@2:E#1]. Bezug auf den Besitzerrahmen [OWNER:Tierkreis-Ringgruppe H]: den Positionsposten [G407-A01378:G407-E1349@3:Y#1]. Strukturspur: OT@1→CONTROL:G407-E1349@1:OT.	Danach im laufenden Gang: bearbeite den Positionsposten; auf Grad I.	ALL_EVENT_CONTENT_LINKS_ON_EXACT_HEADS__GDT580_BACKCHANNEL_EXACT
