local_component_ordinal	slot_id	source_event_id	local_card_host_key	source_partition	physical_page	register	locus	owner_de	record_governor_key	surface	component_recipe	component_position	component_root	local_component_subtype	boundary_class	fill_status	primary_governor_kind	primary_governor_key	guard
11	LOCAL_COMPONENT:P912-E1752@4	P912-E1752	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1752	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykecho	Y+K+E+CH+O	4	CH	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1752@4:CH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
12	LOCAL_COMPONENT:P912-E1752@5	P912-E1752	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1752	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykecho	Y+K+E+CH+O	5	O	FORM_STAGE	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1752@4:CH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
13	LOCAL_COMPONENT:P912-E1753@1	P912-E1753	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1753	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	ols	OL+S	1	OL	CONTROL	LOCAL_STATE_CONTROL	CONTROL_HOST_ONLY	LOCAL_CONTROL_OR_CARD	LOCAL_CONTROL:P912-E1753@1:OL	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
14	LOCAL_COMPONENT:P912-E1753@2	P912-E1753	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1753	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	ols	OL+S	2	S	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1753@2:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
15	LOCAL_COMPONENT:P912-E1754@1	P912-E1754	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1754	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	eesydy	EE+S+Y+D_ADDR+Y	1	EE	GRADE	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1754@2:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
16	LOCAL_COMPONENT:P912-E1754@2	P912-E1754	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1754	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	eesydy	EE+S+Y+D_ADDR+Y	2	S	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1754@2:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
17	LOCAL_COMPONENT:P912-E1754@3	P912-E1754	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1754	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	eesydy	EE+S+Y+D_ADDR+Y	3	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1754@2:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
18	LOCAL_COMPONENT:P912-E1754@4	P912-E1754	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1754	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	eesydy	EE+S+Y+D_ADDR+Y	4	D_ADDR	SIGLA_CLASS	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1754@2:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
19	LOCAL_COMPONENT:P912-E1754@5	P912-E1754	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1754	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	NOT_APPLICABLE	eesydy	EE+S+Y+D_ADDR+Y	5	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1754@2:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
20	LOCAL_COMPONENT:P912-E1755@1	P912-E1755	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	NOT_APPLICABLE	ey	E+Y	1	E	GRADE	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_CARD_OR_RECORD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
21	LOCAL_COMPONENT:P912-E1755@2	P912-E1755	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	NOT_APPLICABLE	ey	E+Y	2	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_CARD_OR_RECORD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
22	LOCAL_COMPONENT:P912-E1756@1	P912-E1756	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1756	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	NOT_APPLICABLE	shs	SH+S	1	SH	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1756@1:SH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
23	LOCAL_COMPONENT:P912-E1756@2	P912-E1756	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1756	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	NOT_APPLICABLE	shs	SH+S	2	S	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1756@2:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
24	LOCAL_COMPONENT:P912-E1757@1	P912-E1757	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1757	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	NOT_APPLICABLE	okar	OK+AR	1	OK	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1757@1:OK	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
25	LOCAL_COMPONENT:P912-E1757@2	P912-E1757	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1757	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	NOT_APPLICABLE	okar	OK+AR	2	AR	RELATION	LOCAL_RELATION_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1757@1:OK	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
26	LOCAL_COMPONENT:P912-E1758@1	P912-E1758	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1758	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	shekchy	SH+E+K+CH+Y	1	SH	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1758@1:SH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
27	LOCAL_COMPONENT:P912-E1758@2	P912-E1758	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1758	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	shekchy	SH+E+K+CH+Y	2	E	GRADE	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1758@1:SH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
28	LOCAL_COMPONENT:P912-E1758@3	P912-E1758	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1758	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	shekchy	SH+E+K+CH+Y	3	K	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1758@3:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
29	LOCAL_COMPONENT:P912-E1758@4	P912-E1758	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1758	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	shekchy	SH+E+K+CH+Y	4	CH	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1758@4:CH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
30	LOCAL_COMPONENT:P912-E1758@5	P912-E1758	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1758	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	shekchy	SH+E+K+CH+Y	5	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1758@4:CH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
31	LOCAL_COMPONENT:P912-E1759@1	P912-E1759	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1759	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	sykos	S+Y+K+O+S_ADDR	1	S	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1759@1:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
32	LOCAL_COMPONENT:P912-E1759@2	P912-E1759	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1759	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	sykos	S+Y+K+O+S_ADDR	2	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1759@1:S	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
33	LOCAL_COMPONENT:P912-E1759@3	P912-E1759	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1759	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	sykos	S+Y+K+O+S_ADDR	3	K	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1759@3:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
34	LOCAL_COMPONENT:P912-E1759@4	P912-E1759	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1759	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	sykos	S+Y+K+O+S_ADDR	4	O	FORM_STAGE	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1759@3:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
35	LOCAL_COMPONENT:P912-E1759@5	P912-E1759	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1759	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.4	zwei lokale Himmelsraeder	NOT_APPLICABLE	sykos	S+Y+K+O+S_ADDR	5	S_ADDR	SIGLA_CLASS	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1759@3:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
36	LOCAL_COMPONENT:P912-E1760@1	P912-E1760	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1760	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykeody	Y+K+E+O+DY	1	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1760@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
37	LOCAL_COMPONENT:P912-E1760@2	P912-E1760	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1760	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykeody	Y+K+E+O+DY	2	K	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1760@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
38	LOCAL_COMPONENT:P912-E1760@3	P912-E1760	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1760	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykeody	Y+K+E+O+DY	3	E	GRADE	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1760@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
39	LOCAL_COMPONENT:P912-E1760@4	P912-E1760	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1760	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykeody	Y+K+E+O+DY	4	O	FORM_STAGE	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1760@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
40	LOCAL_COMPONENT:P912-E1760@5	P912-E1760	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1760	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykeody	Y+K+E+O+DY	5	DY	CONTROL	LOCAL_STATE_CONTROL	CONTROL_HOST_ONLY	LOCAL_CONTROL_OR_CARD	LOCAL_CONTROL:P912-E1760@5:DY	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
41	LOCAL_COMPONENT:P912-E1761@1	P912-E1761	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1761	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	NOT_APPLICABLE	okchy	OK+Y	1	OK	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1761@1:OK	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
42	LOCAL_COMPONENT:P912-E1761@2	P912-E1761	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1761	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.5	zwei lokale Himmelsraeder	NOT_APPLICABLE	okchy	OK+Y	2	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1761@1:OK	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
43	LOCAL_COMPONENT:P912-E1762@1	P912-E1762	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1762	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.6	zwei lokale Himmelsraeder	NOT_APPLICABLE	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	1	D_ADDR	SIGLA_CLASS	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1762@2:CH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
44	LOCAL_COMPONENT:P912-E1762@2	P912-E1762	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1762	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.6	zwei lokale Himmelsraeder	NOT_APPLICABLE	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	2	CH	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1762@2:CH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
45	LOCAL_COMPONENT:P912-E1762@3	P912-E1762	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1762	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.6	zwei lokale Himmelsraeder	NOT_APPLICABLE	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	3	E	GRADE	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1762@2:CH	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
46	LOCAL_COMPONENT:P912-E1762@4	P912-E1762	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1762	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.6	zwei lokale Himmelsraeder	NOT_APPLICABLE	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	4	T	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1762@4:T	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
47	LOCAL_COMPONENT:P912-E1762@5	P912-E1762	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1762	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.6	zwei lokale Himmelsraeder	NOT_APPLICABLE	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	5	A_ADDR	SIGLA_CLASS	LOCAL_MODIFIER_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1762@4:T	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
48	LOCAL_COMPONENT:P912-E1762@6	P912-E1762	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1762	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.6	zwei lokale Himmelsraeder	NOT_APPLICABLE	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	6	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1762@4:T	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
49	LOCAL_COMPONENT:P912-E1763@1	P912-E1763	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1763	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.7	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykchy	Y+K+Y	1	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1763@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
50	LOCAL_COMPONENT:P912-E1763@2	P912-E1763	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1763	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.7	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykchy	Y+K+Y	2	K	ACTION	LOCAL_ACTION_FUNCTION	CONTENT_CARRIER	SELF_ACTION	LOCAL_ACTION:P912-E1763@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
51	LOCAL_COMPONENT:P912-E1763@3	P912-E1763	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1763	GDT513_REMAINDER_510	f67r2	CELESTIAL	f67r2.7	zwei lokale Himmelsraeder	NOT_APPLICABLE	ykchy	Y+K+Y	3	Y	OBJECT	LOCAL_OBJECT_FUNCTION	CONTENT_CARRIER	LOCAL_ACTION	LOCAL_ACTION:P912-E1763@2:K	ONE_LOCAL_COMPONENT__ONE_CARD__ONE_PRIMARY_GOVERNOR
