local_type_order	surface	occurrences	diagrams	namespaces	group_serials	label_frame_resolved	working_type_value_de
27	daiial	1	A3	A69_MIDDLE_CLOUD_WAVE_WHEEL	311	NO	gelernter Himmelsname DAIIAL
28	daram	1	A2	A68_RIGHT_STAR_PANEL	216	NO	gelernter Himmelsname DARAM
29	dchdar	1	A1	A67_LEFT_CELESTIAL_WHEEL	129	NO	gelernter Himmelsname DCHDAR
30	dchetay	1	A1	A67_RIGHT_CELESTIAL_WHEEL	14	NO	gelernter Himmelsname DCHETAY
31	dchy	1	A3	A69_RIGHT_FACE_RAY_WHEEL	352	NO	gelernter Himmelsname DCHY
32	doair	1	A3	A69_RIGHT_FACE_RAY_WHEEL	334	NO	gelernter Himmelsname DOAIR
33	doiin	1	A1	A67_RIGHT_CELESTIAL_WHEEL	34	NO	gelernter Himmelsname DOIIN
34	doiir	1	A3	A69_LEFT_28_PLACE_WHEEL	271	NO	gelernter Himmelsname DOIIR
35	dokan	1	A1	A67_LEFT_CELESTIAL_WHEEL	81	NO	gelernter Himmelsname DOKAN
36	dolchedy	1	A2	A68_MULTIPANEL_STAR_ATLAS	250	NO	gelernter Himmelsname DOLCHEDY
37	dolchsody	1	A1	A67_LEFT_CELESTIAL_WHEEL	36	NO	gelernter Himmelsname DOLCHSODY
38	dosar	1	A1	A67_LEFT_CELESTIAL_WHEEL	77	NO	gelernter Himmelsname DOSAR
39	es	1	A1	A67_LEFT_CELESTIAL_WHEEL	114	YES	kurz + Sternetikett
40	g	1	A1	A67_LEFT_CELESTIAL_WHEEL	139	NO	gelernter Himmelsname G
41	giin	1	A1	A67_LEFT_CELESTIAL_WHEEL	87	NO	gelernter Himmelsname GIIN
42	iokeeor	1	A3	A69_MIDDLE_CLOUD_WAVE_WHEEL	301	NO	gelernter Himmelsname IOKEEOR
43	oaram	1	A3	A69_MIDDLE_CLOUD_WAVE_WHEEL	306	NO	gelernter Himmelsname OARAM
44	ocphy	1	A2	A68_MULTIPANEL_STAR_ATLAS	245	NO	gelernter Himmelsname OCPHY
45	octhys	1	A1	A67_LEFT_CELESTIAL_WHEEL	141	YES	Arbeitsgang + bereit + dies + Sternetikett
46	odaeiin	1	A1	A67_LEFT_CELESTIAL_WHEEL	37	NO	gelernter Himmelsname ODAEIIN
47	odaiiin	1	A1	A67_LEFT_CELESTIAL_WHEEL	115	NO	gelernter Himmelsname ODAIIIN
48	odair	1	A3	A69_LEFT_28_PLACE_WHEEL	288	NO	gelernter Himmelsname ODAIR
49	odas	1	A1	A67_LEFT_CELESTIAL_WHEEL	78	NO	gelernter Himmelsname ODAS
50	odchecthy	1	A2	A68_MULTIPANEL_STAR_ATLAS	223	NO	gelernter Himmelsname ODCHECTHY
51	oeeos	1	A1	A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	181	YES	Arbeitsgang + laenger + Arbeitsgang + Sternetikett
52	oeoldan	1	A1	A67_LEFT_CELESTIAL_WHEEL	85	NO	gelernter Himmelsname OEOLDAN
53	oepchod	1	A1	A67_RIGHT_CELESTIAL_WHEEL	150	YES	Arbeitsgang + kurz + hinein + Gabe + Platzetikett
54	ofcheor	1	A2	A68_MULTIPANEL_STAR_ATLAS	236	NO	gelernter Himmelsname OFCHEOR
55	ofydy	1	A1	A67_LEFT_CELESTIAL_WHEEL	110	NO	gelernter Himmelsname OFYDY
56	og	1	A1	A67_LEFT_CELESTIAL_WHEEL	100	NO	gelernter Himmelsname OG
57	okaiiin	1	A2	A68_MULTIPANEL_STAR_ATLAS	218	NO	gelernter Himmelsname OKAIIIN
58	okcheys	1	A3	A69_LEFT_28_PLACE_WHEEL	393	YES	ansetzen + dies + Sternetikett
59	okeeos	1	A3	A69_LEFT_28_PLACE_WHEEL	265	YES	ansetzen + laenger + Arbeitsgang + Sternetikett
60	okodchy	1	A3	A69_LEFT_28_PLACE_WHEEL	391	NO	gelernter Himmelsname OKODCHY
61	okoes	1	A1	A67_LEFT_CELESTIAL_WHEEL	38	YES	ansetzen + Arbeitsgang + kurz + Sternetikett
62	okoirsh	1	A3	A69_LEFT_28_PLACE_WHEEL	262	NO	gelernter Himmelsname OKOIRSH
63	oran	1	A1	A67_RIGHT_CELESTIAL_WHEEL	154	NO	gelernter Himmelsname ORAN
64	osdaiin	1	A2	A68_MULTIPANEL_STAR_ATLAS	248	NO	gelernter Himmelsname OSDAIIN
65	otaza	1	A3	A69_LEFT_28_PLACE_WHEEL	258	NO	gelernter Himmelsname OTAZA
66	oteeys	1	A3	A69_LEFT_28_PLACE_WHEEL	376	YES	danach + laenger + dies + Sternetikett
67	otoldos	1	A1	A67_LEFT_CELESTIAL_WHEEL	93	NO	gelernter Himmelsname OTOLDOS
68	otykchs	1	A2	A68_MULTIPANEL_STAR_ATLAS	238	YES	danach + dies + zufuehren + abziehen + Sternetikett
69	otys	1	A2	A68_MULTIPANEL_STAR_ATLAS	233	YES	danach + dies + Sternetikett
70	oygy	1	A2	A68_MULTIPANEL_STAR_ATLAS	255	NO	gelernter Himmelsname OYGY
71	qofair	1	A1	A67_LEFT_CELESTIAL_WHEEL	160	NO	gelernter Himmelsname QOFAIR
72	qsg	1	A1	A67_LEFT_CELESTIAL_WHEEL	109	NO	gelernter Himmelsname QSG
73	saiir	1	A3	A69_LEFT_28_PLACE_WHEEL	381	NO	gelernter Himmelsname SAIIR
74	sain	1	A1	A67_LEFT_CELESTIAL_WHEEL	53	NO	gelernter Himmelsname SAIN
75	salsain	1	A1	A67_LEFT_CELESTIAL_WHEEL	58	NO	gelernter Himmelsname SALSAIN
76	shees	1	A1	A67_RIGHT_CELESTIAL_WHEEL	169	YES	halten + laenger + Sternetikett
77	shs	1	A1	A67_RIGHT_CELESTIAL_WHEEL	8	YES	halten + Sternetikett
78	sodar	1	A1	A67_LEFT_CELESTIAL_WHEEL	59	NO	gelernter Himmelsname SODAR
79	soear	1	A1	A67_RIGHT_CELESTIAL_WHEEL	147	NO	gelernter Himmelsname SOEAR
80	soeey	1	A1	A67_RIGHT_CELESTIAL_WHEEL	33	NO	gelernter Himmelsname SOEEY
81	soraiir	1	A1	A67_LEFT_CELESTIAL_WHEEL	42	NO	gelernter Himmelsname SORAIIR
82	sosho	1	A1	A67_LEFT_CELESTIAL_WHEEL	103	NO	gelernter Himmelsname SOSHO
83	sshey	1	A1	A67_RIGHT_CELESTIAL_WHEEL	167	NO	gelernter Himmelsname SSHEY
84	sykos	1	A1	A67_RIGHT_CELESTIAL_WHEEL	11	YES	dies + zufuehren + Arbeitsgang + Sternetikett
85	tochso	1	A2	A68_MIDDLE_STAR_PANEL	200	NO	gelernter Himmelsname TOCHSO
86	ydam	1	A1	A67_LEFT_CELESTIAL_WHEEL	62	NO	gelernter Himmelsname YDAM
87	ydchos	1	A1	A67_LEFT_CELESTIAL_WHEEL	47	NO	gelernter Himmelsname YDCHOS
88	ydoly	1	A1	A67_LEFT_CELESTIAL_WHEEL	163	NO	gelernter Himmelsname YDOLY
89	yekees	1	A1	A67_LEFT_CELESTIAL_WHEEL	116	YES	dies + kurz + zufuehren + laenger + Sternetikett
90	yfain	1	A1	A67_LEFT_CELESTIAL_WHEEL	118	NO	gelernter Himmelsname YFAIN
91	yka	1	A3	A69_MIDDLE_CLOUD_WAVE_WHEEL	296	NO	gelernter Himmelsname YKA
92	ykady	1	A3	A69_MIDDLE_CLOUD_WAVE_WHEEL	300	NO	gelernter Himmelsname YKADY
93	ykchos	1	A1	A67_RIGHT_CELESTIAL_WHEEL	28	YES	dies + zufuehren + Gabe + Sternetikett
94	ykchys	1	A1	A67_RIGHT_CELESTIAL_WHEEL	17	YES	dies + zufuehren + dies + Sternetikett
95	ykees	1	A1	A67_RIGHT_CELESTIAL_WHEEL	27	YES	dies + zufuehren + laenger + Sternetikett
96	ytalchos	1	A1	A67_LEFT_CELESTIAL_WHEEL	164	YES	dies + Stelle + Gabe + Sternetikett
97	yteos	1	A1	A67_LEFT_CELESTIAL_WHEEL	98	YES	dies + eintragen + kurz + Arbeitsgang + Sternetikett
98	ytyd	1	A3	A69_RIGHT_FACE_RAY_WHEEL	350	YES	dies + eintragen + dies + Platzetikett
