resolution_order	group_serial	diagram_id	page	locus	surface	core_surface	label_frame	label_frame_value_de	core_parse_alternatives	selected_parse	selected_atomic_value_de	selection_rule
11	104	A1	f67r2	f67r2.42	chos	cho	S_LABEL	Sternetikett	HO	HO+S_LABEL	Gabe + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
12	114	A1	f67r2	f67r2.45	es	e	S_LABEL	Sternetikett	E	E+S_LABEL	kurz + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
13	116	A1	f67r2	f67r2.46	yekees	yekee	S_LABEL	Sternetikett	Y+E+K+EE	Y+E+K+EE+S_LABEL	dies + kurz + zufuehren + laenger + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
14	141	A1	f67r2	f67r2.60	octhys	octhy	S_LABEL	Sternetikett	O+CTH+Y	O+CTH+Y+S_LABEL	Arbeitsgang + bereit + dies + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
15	145	A1	f67r2	f67r2.64	s	EMPTY	S_LABEL	Sternetikett	EMPTY	S_LABEL	Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
16	150	A1	f67r2	f67r2.68	oepchod	oepcho	D_LABEL	Platzetikett	O+E+P+HO	O+E+P+HO+D_LABEL	Arbeitsgang + kurz + hinein + Gabe + Platzetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
17	151	A1	f67r2	f67r2.69	s	EMPTY	S_LABEL	Sternetikett	EMPTY	S_LABEL	Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
18	164	A1	f67r2	f67r2.72	ytalchos	ytalcho	S_LABEL	Sternetikett	Y+AL+HO	Y+AL+HO+S_LABEL	dies + Stelle + Gabe + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
19	169	A1	f67r2	f67r2.73	shees	shee	S_LABEL	Sternetikett	SH+EE	SH+EE+S_LABEL	halten + laenger + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
20	180	A1	f67r2	f67r2.74	cheos	cheo	S_LABEL	Sternetikett	CHEO	CHEO+S_LABEL	Auszug + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
21	181	A1	f67r2	f67r2.74	oeeos	oeeo	S_LABEL	Sternetikett	O+EE+O	O+EE+O+S_LABEL	Arbeitsgang + laenger + Arbeitsgang + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
22	183	A1	f67r2	f67r2.74	chos	cho	S_LABEL	Sternetikett	HO	HO+S_LABEL	Gabe + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
23	208	A2	f68r1	f68r1.2	chod	cho	D_LABEL	Platzetikett	HO	HO+D_LABEL	Gabe + Platzetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
24	233	A2	f68r1	f68r1.19	otys	oty	S_LABEL	Sternetikett	OT+Y	OT+Y+S_LABEL	danach + dies + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
25	238	A2	f68r1	f68r1.24	otykchs	otykch	S_LABEL	Sternetikett	OT+Y+K+CH	OT+Y+K+CH+S_LABEL	danach + dies + zufuehren + abziehen + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
26	265	A3	f69v	f69v.1	okeeos	okeeo	S_LABEL	Sternetikett	OK+EE+O	OK+EE+O+S_LABEL	ansetzen + laenger + Arbeitsgang + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
27	279	A3	f69v	f69v.1	okeod	okeo	D_LABEL	Platzetikett	OK+E+O	OK+E+O+D_LABEL	ansetzen + kurz + Arbeitsgang + Platzetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
28	286	A3	f69v	f69v.1	chees	chee	S_LABEL	Sternetikett	CH+EE	CH+EE+S_LABEL	abziehen + laenger + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
29	350	A3	f69v	f69v.3	ytyd	yty	D_LABEL	Platzetikett	Y+T+Y	Y+T+Y+D_LABEL	dies + eintragen + dies + Platzetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
30	375	A3	f69v	f69v.14	okeod	okeo	D_LABEL	Platzetikett	OK+E+O	OK+E+O+D_LABEL	ansetzen + kurz + Arbeitsgang + Platzetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
31	376	A3	f69v	f69v.15	oteeys	oteey	S_LABEL	Sternetikett	OT+EE+Y	OT+EE+Y+S_LABEL	danach + laenger + dies + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
32	379	A3	f69v	f69v.18	okeod	okeo	D_LABEL	Platzetikett	OK+E+O	OK+E+O+D_LABEL	ansetzen + kurz + Arbeitsgang + Platzetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
33	389	A3	f69v	f69v.26	d	EMPTY	D_LABEL	Platzetikett	EMPTY	D_LABEL	Platzetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
34	390	A3	f69v	f69v.27	okeod	okeo	D_LABEL	Platzetikett	OK+E+O	OK+E+O+D_LABEL	ansetzen + kurz + Arbeitsgang + Platzetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
35	393	A3	f69v	f69v.30	okcheys	okchey	S_LABEL	Sternetikett	OK+Y	OK+Y+S_LABEL	ansetzen + dies + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
36	395	A3	f69v	f69v.31	alys	aly	S_LABEL	Sternetikett	AL+Y	AL+Y+S_LABEL	Stelle + dies + Sternetikett	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL
