visible_surface	occurrences	atom_sequence	common_nucleus_de	owners	composition_status	local_astro_reading_de	workshop_pronunciation_de
okchoal	1	KCH+AL	Bearbeiten + Ziel	A2_LEFT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A2_LEFT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Himmelsobjekt oder Eingangsbedingung + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest c.	Bearbeiten + Ziel; am Besitzer A2_LEFT_PANEL_HEADER
okeal	1	OK+AL	ZIEL AKTIVIEREN	A3_LEFT_RADIAL_SLOT_10	FAMILY_COMPOSITION	Radstelle A3_LEFT_RADIAL_SLOT_10: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest e.	ZIEL AKTIVIEREN; am Besitzer A3_LEFT_RADIAL_SLOT_10
okear	1	OK+AR	QUELLE AKTIVIEREN	A2_STAR_STATION_08	FAMILY_COMPOSITION	Sternplatz A2_STAR_STATION_08: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.	QUELLE AKTIVIEREN; am Besitzer A2_STAR_STATION_08
okeeodal	1	OK+AL	ZIEL AKTIVIEREN	A2_STAR_STATION_24	FAMILY_COMPOSITION	Sternplatz A2_STAR_STATION_24: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.	ZIEL AKTIVIEREN; am Besitzer A2_STAR_STATION_24
okeodal	1	OK+AL	ZIEL AKTIVIEREN	A3_RIGHT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest eod.	ZIEL AKTIVIEREN; am Besitzer A3_RIGHT_WHEEL_RING_TEXT
okoaly	1	OK+AL	ZIEL AKTIVIEREN	A2_STAR_STATION_03	FAMILY_COMPOSITION	Sternplatz A2_STAR_STATION_03: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest o/y.	ZIEL AKTIVIEREN; am Besitzer A2_STAR_STATION_03
okodaly	1	OK+AL	ZIEL AKTIVIEREN	A2_CENTRE_KEY_UNRESOLVED	FAMILY_COMPOSITION	Zentrumsmarke A2_CENTRE_KEY_UNRESOLVED: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od/y.	ZIEL AKTIVIEREN; am Besitzer A2_CENTRE_KEY_UNRESOLVED
okodar	2	OK+AR	QUELLE AKTIVIEREN	A1_LEFT_OUTER_STAR_STATION_12|A1_RIGHT_PHASE_STATION_04	FAMILY_COMPOSITION	Sternplatz A1_LEFT_OUTER_STAR_STATION_12: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest od.	QUELLE AKTIVIEREN; am Besitzer A1_LEFT_OUTER_STAR_STATION_12|A1_RIGHT_PHASE_STATION_04
okol	2	OK+OL	FORTSETZUNG AKTIVIEREN	A1_LEFT_LOCAL_FIELD_35|A1_RIGHT_OUTER_RING_TEXT	FAMILY_COMPOSITION	Sternplatz A1_LEFT_LOCAL_FIELD_35: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen.	FORTSETZUNG AKTIVIEREN; am Besitzer A1_LEFT_LOCAL_FIELD_35|A1_RIGHT_OUTER_RING_TEXT
okolar	1	OK+OL+AR	Aktivieren + Fortsetzen + Quelle	A3_LEFT_RADIAL_SLOT_18	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Radstelle A3_LEFT_RADIAL_SLOT_18: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.	Aktivieren + Fortsetzen + Quelle; am Besitzer A3_LEFT_RADIAL_SLOT_18
okoldy	1	OK+OL	FORTSETZUNG AKTIVIEREN	A2_STAR_STATION_20	FAMILY_COMPOSITION	Sternplatz A2_STAR_STATION_20: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dy.	FORTSETZUNG AKTIVIEREN; am Besitzer A2_STAR_STATION_20
okshor	1	OK+HO	Aktivieren + Eingangsposten	A2_STAR_STATION_25	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A2_STAR_STATION_25: Diagrammposten setzen oder aktivieren + Position oder Bedingung halten + Bedingungs-, Tabellen- oder Wahlansatz.	Aktivieren + Eingangsposten; am Besitzer A2_STAR_STATION_25
olar	1	OL+AR	VON DER QUELLE WEITER	A1_RIGHT_OUTER_RING_TEXT	FORWARD_SINGLE_CELL	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.	VON DER QUELLE WEITER; am Besitzer A1_RIGHT_OUTER_RING_TEXT
oraly	1	OR+AL	Ansatz/Satz + Ziel	A1_LEFT_LOCAL_FIELD_46	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A1_LEFT_LOCAL_FIELD_46: Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.	Ansatz/Satz + Ziel; am Besitzer A1_LEFT_LOCAL_FIELD_46
otaldal	1	OT+AL+AL	Folge + Ziel + Ziel	A3_RIGHT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest d.	Folge + Ziel + Ziel; am Besitzer A3_RIGHT_WHEEL_RING_TEXT
otcheody	1	OT+CHEO	Folge + Auszug/Ausgabe	A2_STAR_STATION_02	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A2_STAR_STATION_02: naechster Platz oder folgende Bedingung; lokaler Namensrest cheody.	Folge + Auszug/Ausgabe; am Besitzer A2_STAR_STATION_02
oteeal	1	OT+AL	Folge + Ziel	A3_RIGHT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld.	Folge + Ziel; am Besitzer A3_RIGHT_WHEEL_RING_TEXT
oteoarar	1	OT+AR+AR	Folge + Quelle + Quelle	A3_RIGHT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest eo.	Folge + Quelle + Quelle; am Besitzer A3_RIGHT_WHEEL_RING_TEXT
oteol	1	OT+OL	ALS NÄCHSTES FORTSETZEN	A3_LEFT_RADIAL_SLOT_13	FAMILY_COMPOSITION	Radstelle A3_LEFT_RADIAL_SLOT_13: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest e.	ALS NÄCHSTES FORTSETZEN; am Besitzer A3_LEFT_RADIAL_SLOT_13
otoar	1	OT+AR	NÄCHSTE QUELLE	A3_RIGHT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.	NÄCHSTE QUELLE; am Besitzer A3_RIGHT_WHEEL_RING_TEXT
otochedy	1	OT+CHD	Folge + Umsetzen	A2_STAR_STATION_27	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A2_STAR_STATION_27: naechster Platz oder folgende Bedingung + Wert oder Platzbezug uebertragen; lokaler Namensrest o/y.	Folge + Umsetzen; am Besitzer A2_STAR_STATION_27
otokeeey	1	OT+OK	Folge + Aktivieren	A3_LEFT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Radstelle A3_LEFT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest y.	Folge + Aktivieren; am Besitzer A3_LEFT_WHEEL_RING_TEXT
otoldos	1	OT+OL	ALS NÄCHSTES FORTSETZEN	A1_LEFT_LOCAL_FIELD_38	FAMILY_COMPOSITION	Sternplatz A1_LEFT_LOCAL_FIELD_38: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dos.	ALS NÄCHSTES FORTSETZEN; am Besitzer A1_LEFT_LOCAL_FIELD_38
otolor	1	OT+OL+OR	Folge + Fortsetzen + Ansatz/Satz	A1_LEFT_OUTER_STAR_STATION_11	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A1_LEFT_OUTER_STAR_STATION_11: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen + Bedingungs-, Tabellen- oder Wahlansatz.	Folge + Fortsetzen + Ansatz/Satz; am Besitzer A1_LEFT_OUTER_STAR_STATION_11
otoly	1	OT+OL	ALS NÄCHSTES FORTSETZEN	A3_RIGHT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest y.	ALS NÄCHSTES FORTSETZEN; am Besitzer A3_RIGHT_WHEEL_RING_TEXT
otor	2	OT+OR	NÄCHSTER SATZ/ANSATZ	A2_LEFT_PANEL_HEADER|A2_STAR_STATION_18	FAMILY_COMPOSITION	Sternplatz A2_LEFT_PANEL_HEADER: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz.	NÄCHSTER SATZ/ANSATZ; am Besitzer A2_LEFT_PANEL_HEADER|A2_STAR_STATION_18
otykchs	1	OT+KCH	Folge + Bearbeiten	A2_STAR_STATION_16	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A2_STAR_STATION_16: Teilsektor oder Untereintrag + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest o/s.	Folge + Bearbeiten; am Besitzer A2_STAR_STATION_16
qokoaiin	1	OK+AIIN	Aktivieren + Sollwert/Maß	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest q/o.	Aktivieren + Sollwert/Maß; am Besitzer A1_PAIRED_WHEEL_LEGEND_UNRESOLVED
qotair	1	OT+AIR	NÄCHSTER LAUF/NÄCHSTE BAHN	A3_RIGHT_WHEEL_RING_TEXT	FORWARD_SINGLE_CELL	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest q.	NÄCHSTER LAUF/NÄCHSTE BAHN; am Besitzer A3_RIGHT_WHEEL_RING_TEXT
qoteor	1	OT+OR	NÄCHSTER SATZ/ANSATZ	A3_RIGHT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest q/e.	NÄCHSTER SATZ/ANSATZ; am Besitzer A3_RIGHT_WHEEL_RING_TEXT
qotoear	1	OT+AR	NÄCHSTE QUELLE	A1_LEFT_OUTER_STAR_STATION_01	FAMILY_COMPOSITION	Sternplatz A1_LEFT_OUTER_STAR_STATION_01: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest q/oe.	NÄCHSTE QUELLE; am Besitzer A1_LEFT_OUTER_STAR_STATION_01
salsain	1	AL+AIN	Ziel + Portion	A1_LEFT_LOCAL_FIELD_23	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A1_LEFT_LOCAL_FIELD_23: Zielsektor, Zielstern oder Zielfeld + gezaehlter Teil oder Unterabschnitt; lokaler Namensrest s/s.	Ziel + Portion; am Besitzer A1_LEFT_LOCAL_FIELD_23
saral	2	AR+AL	VON QUELLE ZUM ZIEL	A1_LEFT_LOCAL_FIELD_20|A3_LEFT_RADIAL_SLOT_16	FAMILY_COMPOSITION	Sternplatz A1_LEFT_LOCAL_FIELD_20: Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s.	VON QUELLE ZUM ZIEL; am Besitzer A1_LEFT_LOCAL_FIELD_20|A3_LEFT_RADIAL_SLOT_16
shokchy	1	HO+KCH	Eingangsposten + Bearbeiten	A2_LEFT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest s/y.	Eingangsposten + Bearbeiten; am Besitzer A2_LEFT_PANEL_HEADER
ytalchos	1	AL+HO	Ziel + Eingangsposten	A1_LEFT_OUTER_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest yt/c/s.	Ziel + Eingangsposten; am Besitzer A1_LEFT_OUTER_RING_TEXT
ytokar	1	OK+AR	QUELLE AKTIVIEREN	A1_LEFT_OUTER_STAR_STATION_10	FAMILY_COMPOSITION	Sternplatz A1_LEFT_OUTER_STAR_STATION_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yt.	QUELLE AKTIVIEREN; am Besitzer A1_LEFT_OUTER_STAR_STATION_10
