atom_sequence	common_nucleus_de	surface_type_count	astro_occurrences	owner_count	owners	surface_forms	pages	status	teaching_rule_de
CTH+OL	BEREIT + FORTSETZEN	1	1	1	A1_LEFT_LOCAL_FIELD_38	octhole	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
HO+AIIN	EINGANGSPOSTEN + SOLLWERT	1	1	1	A3_LEFT_WHEEL_RING_TEXT	choaiin	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
HO+AL	EINGANGSPOSTEN + ZIEL	1	1	1	A2_RIGHT_PANEL_HEADER	chokal	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
HO+CTH	EINGANGSPOSTEN + BEREIT	1	1	1	A2_LEFT_PANEL_HEADER	choctheeey	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
HO+KCH	EINGANGSPOSTEN + BEARBEITEN	1	1	1	A2_LEFT_PANEL_HEADER	shokchy	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
KCH+AL	BEARBEITEN + ZIEL	1	1	1	A2_LEFT_PANEL_HEADER	okchoal	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
KCH+AR	BEARBEITEN + QUELLE	1	1	1	A1_RIGHT_SECTOR_SLOT_08	chkchdar	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
KCH+OL	BEARBEITEN + FORTSETZEN	1	1	1	A2_MULTIPANEL_HEADER_FRAGMENT_07	chkchykoly	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OK+AIIN	AKTIVIEREN/ANSETZEN + SOLLWERT	1	1	1	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	qokoaiin	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OK+HO	AKTIVIEREN/ANSETZEN + EINGANGSPOSTEN	1	1	1	A2_STAR_STATION_25	okshor	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OK+IIN	AKTIVIEREN/ANSETZEN + STUFE	1	1	1	A2_MULTIPANEL_HEADER_FRAGMENT_04	okaiiin	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OK+OL+AR	AKTIVIEREN/ANSETZEN + FORTSETZEN + QUELLE	1	1	1	A3_LEFT_RADIAL_SLOT_18	okolar	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OK+OR	AKTIVIEREN/ANSETZEN + SATZ/ANSATZ	1	1	1	A3_MIDDLE_WHEEL_RING_TEXT	iokeeor	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OL+AR	VON DER QUELLE WEITER	1	1	1	A1_RIGHT_OUTER_RING_TEXT	olar	OWNER_ENCODED	FORWARD_PREDICTED_SINGLE_CELL	vor dem Astro-Scan aus dem Prosa-Paradigma gebildet; Besitzer liefert die lokale Expansion
OL+CHD	FORTSETZEN + UMSETZEN	1	1	1	A2_STAR_STATION_28	dolchedy	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OR+AL	SATZ/ANSATZ + ZIEL	1	1	1	A1_LEFT_LOCAL_FIELD_46	oraly	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+AIR	NÄCHSTER LAUF/NÄCHSTE BAHN	1	1	1	A3_RIGHT_WHEEL_RING_TEXT	qotair	OWNER_ENCODED	FORWARD_PREDICTED_SINGLE_CELL	vor dem Astro-Scan aus dem Prosa-Paradigma gebildet; Besitzer liefert die lokale Expansion
OT+AL	FOLGE/NÄCHSTER + ZIEL	1	1	1	A3_RIGHT_WHEEL_RING_TEXT	oteeal	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+AL+AL	FOLGE/NÄCHSTER + ZIEL + ZIEL	1	1	1	A3_RIGHT_WHEEL_RING_TEXT	otaldal	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+AR+AR	FOLGE/NÄCHSTER + QUELLE + QUELLE	1	1	1	A3_RIGHT_WHEEL_RING_TEXT	oteoarar	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+CHD	FOLGE/NÄCHSTER + UMSETZEN	1	1	1	A2_STAR_STATION_27	otochedy	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+CHEO	FOLGE/NÄCHSTER + AUSGABE/AUSZUG	1	1	1	A2_STAR_STATION_02	otcheody	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+KCH	FOLGE/NÄCHSTER + BEARBEITEN	1	1	1	A2_STAR_STATION_16	otykchs	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+OK	FOLGE/NÄCHSTER + AKTIVIEREN/ANSETZEN	1	1	1	A3_LEFT_WHEEL_RING_TEXT	otokeeey	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
OT+OL+OR	FOLGE/NÄCHSTER + FORTSETZEN + SATZ/ANSATZ	1	1	1	A1_LEFT_OUTER_STAR_STATION_11	otolor	OWNER_ENCODED	ONE_OFF_COMPOSITION	lies die Kerne in Reihenfolge; der sichtbare Besitzer liefert Stern, Ring, Wert, Stoff oder Station
