atom_sequence	residual_string	astro_occurrences	surface_examples	current_role	semantic_decision
OT+AR	qoe	1	qotoear	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+AR+AR	eo	1	oteoarar	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+CHD	oy	1	otochedy	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+CHEO	dy	1	otcheody	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+KCH	ys	1	otykchs	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+OK	eeey	1	otokeeey	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+OL	dos	1	otoldos	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+OL	e	1	oteol	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+OL	y	1	otoly	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
OT+OL+OR	NONE	1	otolor	NO_RESIDUAL	do not assign an independent meaning until recurrence separates it from owner and family
OT+OR	NONE	2	otor	NO_RESIDUAL	do not assign an independent meaning until recurrence separates it from owner and family
OT+OR	qe	1	qoteor	RENDERER_OR_LOCAL_MODIFIER	do not assign an independent meaning until recurrence separates it from owner and family
