card_no	surfaces	component_parse	component_count	short_surface_order_de	recitation_kind	spoken_recitation_de	scope_note_de	occurrences	example_event_ids	example_statement_ids	example_case_expansion_de	component_order_preserved	new_whole_card_semantic_value
PROC077	sshkchdy	SH+K+CHD+DY	4	HALTEN·ZUFUEHREN·UMSETZEN·SCHLUSS	STRAIGHT_TELEGRAPH_CHAIN	HALTEN · ZUFUEHREN · UMSETZEN; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E122	B1-S003	den laufenden Posten weiter halten und zugeben und überführen und den Schritt schließen	YES	NO
PROC099	shckhedy	SH+CKH+E+DY	4	HALTEN·DURCHLASS·KURZ·SCHLUSS	STRAIGHT_TELEGRAPH_CHAIN	HALTEN · DURCHLASS · KURZ; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	3	E165|E330|E331	B1-S020|B4-S006|B4-S007	den laufenden Posten durch den Durchlass kurz zurückhalten und den Schritt schließen	YES	NO
PROC103	lcheckhedy	L+CKH+E+DY	4	FUEHREN·DURCHLASS·KURZ·SCHLUSS	STRAIGHT_TELEGRAPH_CHAIN	FUEHREN · DURCHLASS · KURZ; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E176	B2-S004	den laufenden Posten durch den Durchlass kurz durchleiten und den Schritt schließen	YES	NO
PROC106	octheol	O+CTH+E+OL	4	GANG·BEREIT·KURZ·FORTSETZEN	STRAIGHT_TELEGRAPH_CHAIN	GANG · BEREIT · KURZ · FORTSETZEN	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E182	B2-S005	den laufenden Posten weiter im Arbeitsgang zunächst kurz, dann länger bis bereit warm halten	YES	NO
PROC110	sheckhy	SH+E+CKH+Y	4	HALTEN·KURZ·DURCHLASS·DIES	STRAIGHT_TELEGRAPH_CHAIN	HALTEN · KURZ · DURCHLASS · DIES	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E187	B2-S006	den laufenden Posten durch den Durchlass kurz zurückhalten	YES	NO
PROC114	solshedy	OL+SH+E+DY	4	FORTSETZEN·HALTEN·KURZ·SCHLUSS	STRAIGHT_TELEGRAPH_CHAIN	FORTSETZEN · HALTEN · KURZ; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E193	B2-S009	den laufenden Posten weiter kurz ruhen lassen und den Schritt schließen	YES	NO
PROC126	rsheal	R+SH+E+AL	4	KUEHLEN·HALTEN·KURZ·ZIEL	STRAIGHT_TELEGRAPH_CHAIN	KUEHLEN · HALTEN · KURZ · ZIEL	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E222	B2-S017	den laufenden Posten an der bezeichneten Stelle kurz abkühlen lassen und ruhen lassen und den Schritt schließen	YES	NO
PROC130	lochedy	L+O+CHD+DY	4	FUEHREN·GANG·UMSETZEN·SCHLUSS	STRAIGHT_TELEGRAPH_CHAIN	FUEHREN · GANG · UMSETZEN; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E228	B2-S022	den laufenden Posten im Arbeitsgang abführen und überführen und den Schritt schließen	YES	NO
PROC136	shecthedchy	SH+E+CTH+CHD+Y	5	HALTEN·KURZ·BEREIT·UMSETZEN·DIES	STATE_THRESHOLD_FRAME	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	CTH/BEREIT bildet die Schwelle zwischen Halten und Umsetzen.	1	E250	B3-S011	den laufenden Posten kurz bis bereit halten und umsetzen	YES	NO
PROC141	qokshedy	OK+SH+E+DY	4	ANSETZEN·HALTEN·KURZ·SCHLUSS	STRAIGHT_TELEGRAPH_CHAIN	ANSETZEN · HALTEN · KURZ; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E267	B3-S019	den laufenden Posten kurz einwirken lassen und ruhen lassen und den Schritt schließen	YES	NO
PROC143	shecthy	SH+E+CTH+Y	4	HALTEN·KURZ·BEREIT·DIES	STRAIGHT_TELEGRAPH_CHAIN	HALTEN · KURZ · BEREIT · DIES	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E276	B3-S021	den laufenden Posten kurz bis bereit halten	YES	NO
PROC155	qokylddy	OK+Y+LD+DY	4	ANSETZEN·DIES·BEFESTIGEN·SCHLUSS	STRAIGHT_TELEGRAPH_CHAIN	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E326	B4-S004	den laufenden Posten einsetzen und festbinden und den Schritt schließen	YES	NO
PROC159	lkedy	L+K+E+DY	4	FUEHREN·ZUFUEHREN·KURZ·SCHLUSS	STRAIGHT_TELEGRAPH_CHAIN	FUEHREN · ZUFUEHREN · KURZ; SCHLUSS	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E344	B4-S011	den laufenden Posten weiter kurz abführen und zugeben und den Schritt schließen	YES	NO
PROC161	qockhey	O+CKH+E+Y	4	GANG·DURCHLASS·KURZ·DIES	STRAIGHT_TELEGRAPH_CHAIN	GANG · DURCHLASS · KURZ · DIES	Komponenten in sichtbarer Reihenfolge sprechen; nur vor SCHLUSS pausieren.	1	E350	B4-S014	den Ansatz mit dem laufenden Bestand kurz durch den Durchlass führen und den Schritt schließen	YES	NO
PROC171	qekey	E+K+E+Y	4	KURZ·ZUFUEHREN·KURZ·DIES	DOUBLE_GRADE_CADENCE	KURZ · ZUFUEHREN · KURZ · DIES	Die doppelte E/KURZ-Rahmung bleibt als gelernter Rhythmus; kein zweiter E-Wortwert.	1	E374	B6-S001	den laufenden Posten kurz zugeben	YES	NO
