statement_id	record_unit_id	page	field_ids	original_surfaces	fresh_surfaces	master_card_sequence	reverse_card_sequence	roundtrip_match	changed_events	german_work_instruction	terminal_scope	contains_owner_reset
B2-S004	B2	f82r	F048|F049	qokal lcheckhy lched qokeey lcheckhedy	qokal lcheckhy lched qokeey lcheckhedy	MC040|MC168|MC127|MC002|MC133	MC040|MC168|MC127|MC002|MC133	YES	0	Setze ihn dort ein; Führe ihn durch die Abführpassage; Führe ihn ab; Lass ihn länger einwirken; Ziehe die getrennte Fraktion ab	TERMINAL	NO
B3-S004	B3	f83r	F074	qokaiin qotal dar	qokaiin otal dar	MC120|MC093|MC055	MC120|MC093|MC055	YES	1	Messe den Posten ab; Führe ihn danach dorthin; Nimm davon	NONCLOSE	NO
B4-S004	B4	f83r	F113	qokylddy	qokylddy	MC164	MC164	YES	0	Befestige ihn	TERMINAL	NO
B1-S005	B1	f81v	F027	qolchedy	qolchedy	MC028	MC028	YES	0	Führe ihn weiter	TERMINAL	NO
B2-S005	B2	f82r	F050|F051	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	MC054|MC036|MC035|MC120|MC120|MC112|MC166|MC004	MC054|MC036|MC035|MC120|MC120|MC112|MC166|MC004	YES	0	Setze ihn am Ziel ein; Sammle ihn bis zur Sollmenge; Leite den Posten hindurch; Messe den Posten ab; Messe den Posten ab; Setze den nächsten Durchgang an; Wärme ihn lange; Ziehe ihn ab	TERMINAL	NO
B3-S005	B3	f83r	F075	schedy	schedy	MC025	MC025	YES	0	Führe den Posten über	TERMINAL	YES
B4-S005	B4	f83r	F114	dain chedy qokeedy	dain chedy qokeedy	MC059|MC074|MC082	MC059|MC074|MC082	YES	0	Lege die Einlage ein; Führe den Posten über; Lass ihn lange einwirken	TERMINAL	NO
B1-S006	B1	f81v	F028	qokain shckhy dl ral	qokain chckhy dl ral	MC017|MC035|MC012|MC056	MC017|MC035|MC012|MC056	YES	1	Gib einen Anteil zu; Leite den Posten hindurch; Gib den Zusatz zu; Halte die Zielmarke ein	NONCLOSE	NO
B2-S006	B2	f82r	F052	oteey qokal sheckhy qoky	oteey qokal sheckhy qoky	MC063|MC040|MC132|MC026	MC063|MC040|MC132|MC026	YES	0	Führe ihn länger im Folgegang weiter; Setze ihn dort ein; Führe ihn kurz hindurch; Setze den Posten ein	NONCLOSE	NO
B3-S006	B3	f83r	F076	chedchy qokal olchedy	chedchy okal olchedy	MC064|MC040|MC028	MC064|MC040|MC028	YES	1	Führe den aktuellen Posten über; Setze ihn dort ein; Führe ihn weiter	TERMINAL	NO
B4-S006	B4	f83r	F115	shckhedy	shckhedy	MC143	MC143	YES	0	Lass ihn hindurch	TERMINAL	NO
B1-S007	B1	f81v	F029	qokchdy	qokchdy	MC088	MC088	YES	0	Setze einen neuen Posten ein	TERMINAL	NO
B2-S007	B2	f82r	F053	dshedy	dshedy	MC138	MC138	YES	0	Lass frische Spülflüssigkeit ein	TERMINAL	YES
B3-S007	B3	f83r	F077	qokaiin chedy qokeedy	qokaiin chedy qokeedy	MC120|MC074|MC082	MC120|MC074|MC082	YES	0	Messe den Posten ab; Führe den Posten über; Lass ihn lange einwirken	TERMINAL	NO
B4-S007	B4	f83r	F116	shckhedy	shckhedy	MC143	MC143	YES	0	Lass ihn hindurch	TERMINAL	NO
B1-S008	B1	f81v	F030	chey ol cheky ol shedy	y ol cheky ol cheedy	MC123|MC153|MC147|MC153|MC128	MC123|MC153|MC147|MC153|MC128	YES	2	Halte diesen Posten aktiv; Arbeite weiter; Wärme ihn kurz; Arbeite weiter; Lass ihn kurz absetzen	TERMINAL	NO
B2-S008	B2	f82r	F054	sotaiin qokar shedy	otaiin qokar cheedy	MC060|MC044|MC128	MC060|MC044|MC128	YES	2	Arbeite danach nach dem nächsten Maß; Setze den Quellposten ein; Lass ihn kurz absetzen	TERMINAL	NO
B3-S008	B3	f83r	F078	lchedy	lchedy	MC155	MC155	YES	0	Führe ihn ab	TERMINAL	NO
B4-S008	B4	f83r	F117	saiin cheeky sheey qokedy	saiin cheeky sheey qokedy	MC039|MC032|MC095|MC083	MC039|MC032|MC095|MC083	YES	0	Arbeite nach dem vorgeschriebenen Maß; Bearbeite ihn länger; Halte ihn lange; Lass ihn kurz einwirken	TERMINAL	NO
B1-S009	B1	f81v	F031	qokedy	qokedy	MC083	MC083	YES	0	Lass ihn kurz einwirken	TERMINAL	NO
B2-S009	B2	f82r	F055	solshedy	solshedy	MC149	MC149	YES	0	Lass danach den nächsten Posten absetzen	TERMINAL	NO
B3-S009	B3	f83r	F079	qoky	qoky	MC026	MC026	YES	0	Setze den Posten ein	NONCLOSE	NO
B4-S009	B4	f83r	F118	shedy	cheedy	MC128	MC128	YES	1	Lass ihn kurz absetzen	TERMINAL	NO
B1-S010	B1	f81v	F032	qokedy	qokedy	MC083	MC083	YES	0	Lass ihn kurz einwirken	TERMINAL	NO
B2-S010	B2	f82r	F056	qokeey qoky ls cheey	qokeey qoky ls cheey	MC002|MC026|MC065|MC119	MC002|MC026|MC065|MC119	YES	0	Lass ihn länger einwirken; Setze den Posten ein; Führe zum Auslass; Nimm den klaren Ablauf	NONCLOSE	NO
B3-S010	B3	f83r	F080	pchedal otedy	pchedal otedy	MC126|MC135	MC126|MC135	YES	0	Führe ihn dem Ziel zu; Führe ihn kurz zum Folgeschritt weiter	TERMINAL	YES
B4-S010	B4	f83r	F119	oldy	oldy	MC019	MC019	YES	0	Beende den Arbeitsschritt	TERMINAL	NO
B1-S011	B1	f81v	F033	chckhy qoky	chckhy oky	MC035|MC026	MC035|MC026	YES	1	Leite den Posten hindurch; Setze den Posten ein	NONCLOSE	NO
B2-S011	B2	f82r	F057	okain char okain qokeedy	qokain char qokain qokeedy	MC017|MC055|MC017|MC082	MC017|MC055|MC017|MC082	YES	2	Gib einen Anteil zu; Nimm davon; Gib einen Anteil zu; Lass ihn lange einwirken	TERMINAL	YES
B3-S011	B3	f83r	F081	shecthedchy qoky chedy chary	shecthedchy choky chedy chary	MC043|MC026|MC074|MC009	MC043|MC026|MC074|MC009	YES	1	Führe die vorbereitete Portion über; Setze den Posten ein; Führe den Posten über; Nimm den Posten aus der Quelle	NONCLOSE	NO
B4-S011	B4	f83r	F120|F121	saiin cheky okeeol okain chdy sol lkedy	saiin cheky okeeol okain chedy sol lkedy	MC039|MC147|MC150|MC017|MC074|MC153|MC124	MC039|MC147|MC150|MC017|MC074|MC153|MC124	YES	1	Arbeite nach dem vorgeschriebenen Maß; Wärme ihn kurz; Setze den Gang lange fort; Gib einen Anteil zu; Führe den Posten über; Arbeite weiter; Ziehe ihn weiter ab	TERMINAL	YES
B1-S012	B1	f81v	F034	lsho qokey lshedy	lsho okey lshedy	MC130|MC007|MC038	MC130|MC007|MC038	YES	1	Führe einen Waschgang aus; Lass ihn kurz einwirken; Führe einen Waschgang aus	TERMINAL	NO
B2-S012	B2	f82r	F058|F059	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	lchy cheey qcthey qokeey lcheey aiin y qokeeedy	MC008|MC119|MC073|MC002|MC066|MC039|MC123|MC140	MC008|MC119|MC073|MC002|MC066|MC039|MC123|MC140	YES	2	Nimm das abzuführende Gut; Nimm den klaren Ablauf; Bereite ihn kurz vor; Lass ihn länger einwirken; Ziehe den klaren Anteil ab; Arbeite nach dem vorgeschriebenen Maß; Halte diesen Posten aktiv; Setze ihn vollständig ein	TERMINAL	YES
B3-S012	B3	f83r	F082	sor shedy	sor tedy	MC080|MC128	MC080|MC128	YES	1	Verwende den Ansatz; Lass ihn kurz absetzen	TERMINAL	NO
B4-S012	B4	f83r	F122	lchedy	lchedy	MC155	MC155	YES	0	Führe ihn ab	TERMINAL	NO
B1-S013	B1	f81v	F035	lshedy	lshedy	MC038	MC038	YES	0	Führe einen Waschgang aus	TERMINAL	NO
B2-S013	B2	f82r	F060	lchedy	lchedy	MC155	MC155	YES	0	Führe ihn ab	TERMINAL	NO
B3-S013	B3	f83r	F083	qokaiin chkain shcthey qokedy	qokaiin chkain qcthey qokedy	MC120|MC105|MC073|MC083	MC120|MC105|MC073|MC083	YES	1	Messe den Posten ab; Nimm eine Portion; Bereite ihn kurz vor; Lass ihn kurz einwirken	TERMINAL	NO
B4-S013	B4	f83r	F123	qokol shedy	qokol cheedy	MC024|MC128	MC024|MC128	YES	1	Setze den verbleibenden Posten erneut ein; Lass ihn kurz absetzen	TERMINAL	NO
B1-S014	B1	f81v	F036	chedy qolky lchedal qol otar	chdy qolky lchedal ol otar	MC074|MC134|MC051|MC153|MC121	MC074|MC134|MC051|MC153|MC121	YES	2	Führe den Posten über; Führe auf dem Weg weiter; Führe ihn am Ziel ab; Arbeite weiter; Wechsle zur folgenden Quelle	NONCLOSE	NO
B2-S014	B2	f82r	F061	lar	lar	MC029	MC029	YES	0	Ziehe ihn aus der Quelle ab	NONCLOSE	NO
B3-S014	B3	f83r	F084	okair sheedy	okair sheedy	MC081|MC003	MC081|MC003	YES	0	Setze ihn in den Lauf ein; Lass ihn lange absetzen	TERMINAL	NO
B4-S014	B4	f83r	F124	or chey qockhey dairydy	sor chey qockhey dairydy	MC080|MC123|MC165|MC091	MC080|MC123|MC165|MC091	YES	1	Verwende den Ansatz; Halte diesen Posten aktiv; Führe ihn kurz hindurch; Schließe den Lauf ab	TERMINAL	NO
B1-S015	B1	f81v	F037	ytey okchedy	ytey okchedy	MC109|MC005	MC109|MC005	YES	0	Nimm einen kleinen Teil; Führe den vorigen Posten über	TERMINAL	NO
B2-S015	B2	f82r	F062	tshey qokeedy	tshey qokeedy	MC141|MC082	MC141|MC082	YES	0	Nimm danach den klaren Ablauf; Lass ihn lange einwirken	TERMINAL	YES
B3-S015	B3	f83r	F085	lchedy	lchedy	MC155	MC155	YES	0	Führe ihn ab	TERMINAL	NO
B4-S015	B4	f83r	F125|F126	qokain shey kain chckhal solkey lchedy	okain cheey chkain chckhal solkey lchedy	MC017|MC119|MC105|MC022|MC050|MC155	MC017|MC119|MC105|MC022|MC050|MC155	YES	3	Gib einen Anteil zu; Nimm den klaren Ablauf; Nimm eine Portion; Führe ihn durch die Zielpassage; Sammle ihn kurz; Führe ihn ab	TERMINAL	YES
B1-S016	B1	f81v	F038	qokal okeey qol cheedy	qokal okeey ol cheedy	MC040|MC002|MC153|MC128	MC040|MC002|MC153|MC128	YES	1	Setze ihn dort ein; Lass ihn länger einwirken; Arbeite weiter; Lass ihn kurz absetzen	TERMINAL	NO
B2-S016	B2	f82r	F063|F064	cheal lchedar ches aiin oteey qokaiin okey pchedy	al lchedar ches aiin oteey qokaiin qokey pchedy	MC154|MC011|MC152|MC039|MC063|MC120|MC007|MC070	MC154|MC011|MC152|MC039|MC063|MC120|MC007|MC070	YES	2	Führe ihn dorthin; Führe ihn von der Quelle ab; Teile den Posten; Arbeite nach dem vorgeschriebenen Maß; Führe ihn länger im Folgegang weiter; Messe den Posten ab; Lass ihn kurz einwirken; Führe ihn zu	TERMINAL	NO
B3-S016	B3	f83r	F086|F087	lo qokchedy	lo okchedy	MC030|MC005	MC030|MC005	YES	1	Ziehe ihn ab; Führe den vorigen Posten über	TERMINAL	YES
B4-S016	B4	f83r	F127|F128	qolkain dal skar shedy	qolkain cheal skar cheedy	MC097|MC154|MC089|MC128	MC097|MC154|MC089|MC128	YES	2	Nimm einen weiteren Anteil; Führe ihn dorthin; Gieße ihn von der Quellseite zu; Lass ihn kurz absetzen	TERMINAL	NO
B1-S017	B1	f81v	F039	sal teol dchdy	al teol dchdy	MC154|MC106|MC139	MC154|MC106|MC139	YES	1	Führe ihn dorthin; Führe ihn kurz weiter; Führe ihn über	TERMINAL	NO
B2-S017	B2	f82r	F065	rsheal daldy	rsheal daldy	MC102|MC079	MC102|MC079	YES	0	Halte den zugeführten Posten kurz am Ziel; Schließe den Schritt am Ziel ab	TERMINAL	NO
B3-S017	B3	f83r	F088	qokeedy	qokeedy	MC082	MC082	YES	0	Lass ihn lange einwirken	TERMINAL	NO
B1-S018	B1	f81v	F040|F041	ly dsheol oiiin olkeedy	ly dsheol oiiin olkeedy	MC118|MC076|MC033|MC045	MC118|MC076|MC033|MC045	YES	0	Stelle das Auffanggefäß bereit; Halte ihn kurz; Stelle die Arbeitsstufe ein; Sammle ihn lange	TERMINAL	NO
B2-S018	B2	f82r	F066	qokeedy	qokeedy	MC082	MC082	YES	0	Lass ihn lange einwirken	TERMINAL	NO
B3-S018	B3	f83r	F089	shedy	tedy	MC128	MC128	YES	1	Lass ihn kurz absetzen	TERMINAL	NO
B1-S019	B1	f81v	F042	tedy	cheedy	MC128	MC128	YES	1	Lass ihn kurz absetzen	TERMINAL	NO
B2-S019	B2	f82r	F067	rshedy	rshedy	MC084	MC084	YES	0	Wasche ihn vollständig	TERMINAL	NO
B3-S019	B3	f83r	F090	qokshedy	qokshedy	MC151	MC151	YES	0	Lass ihn nach dem Einsatz absetzen	TERMINAL	NO
B1-S020	B1	f81v	F043	cheky shckhedy	cheky shckhedy	MC147|MC143	MC147|MC143	YES	0	Wärme ihn kurz; Lass ihn hindurch	TERMINAL	NO
B2-S020	B2	f82r	F068	qoteedy	qoteedy	MC173	MC173	YES	0	Führe die lange Folgestufe aus	TERMINAL	NO
B3-S020	B3	f83r	F091	dal lchedy	dal lchedy	MC154|MC155	MC154|MC155	YES	0	Führe ihn dorthin; Führe ihn ab	TERMINAL	NO
B1-S021	B1	f81v	F044	chal	al	MC154	MC154	YES	1	Führe ihn dorthin	NONCLOSE	NO
B2-S021	B2	f82r	F069	qokeedy	qokeedy	MC082	MC082	YES	0	Lass ihn lange einwirken	TERMINAL	NO
B3-S021	B3	f83r	F092|F093	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	qokaiin checthy dal dy saiin shedal shecthy dy dal checthy dalchdy	MC120|MC161|MC154|MC123|MC039|MC113|MC137|MC123|MC154|MC161|MC031	MC120|MC161|MC154|MC123|MC039|MC113|MC137|MC123|MC154|MC161|MC031	YES	5	Messe den Posten ab; Halte ihn bereit; Führe ihn dorthin; Halte diesen Posten aktiv; Arbeite nach dem vorgeschriebenen Maß; Lass ihn am Ziel absetzen; Bereite ihn kurz vor; Halte diesen Posten aktiv; Führe ihn dorthin; Halte ihn bereit; Führe ihn zum Ziel über	TERMINAL	NO
B2-S022	B2	f82r	F070	lochedy	lochedy	MC167	MC167	YES	0	Führe ihn ab	TERMINAL	NO
B3-S022	B3	f83r	F094	qotchedy	qotchedy	MC057	MC057	YES	0	Führe danach den nächsten Posten über	TERMINAL	NO
B3-S023	B3	f83r	F095	lchedy	lchedy	MC155	MC155	YES	0	Führe ihn ab	TERMINAL	NO
B3-S024	B3	f83r	F096	tchedy	schedy	MC025	MC025	YES	1	Führe den Posten über	TERMINAL	NO
B3-S025	B3	f83r	F097	qokchdy	qokchdy	MC088	MC088	YES	0	Setze einen neuen Posten ein	TERMINAL	NO
B3-S026	B3	f83r	F098|F099	cheedar chldaiin chedy qokain checthy chealror solkeedy	cheedar chldaiin chedy okain checthy chealror solkeedy	MC042|MC144|MC074|MC017|MC161|MC146|MC045	MC042|MC144|MC074|MC017|MC161|MC146|MC045	YES	1	Führe ihn von der Quelle über; Lass ihn bis zum Sollstand absetzen; Führe den Posten über; Gib einen Anteil zu; Halte ihn bereit; Stelle ihn am Zielgefäß bereit; Sammle ihn lange	TERMINAL	YES
B3-S027	B3	f83r	F100	qoteedy	qoteedy	MC173	MC173	YES	0	Führe die lange Folgestufe aus	TERMINAL	NO
B3-S028	B3	f83r	F101	qokeey qokedy	qokeey qokedy	MC002|MC083	MC002|MC083	YES	0	Lass ihn länger einwirken; Lass ihn kurz einwirken	TERMINAL	NO
B3-S029	B3	f83r	F102	sol cheeety qokedy	qol cheeety qokedy	MC153|MC094|MC083	MC153|MC094|MC083	YES	1	Arbeite weiter; Nimm den ganzen bezeichneten Teil; Lass ihn kurz einwirken	TERMINAL	NO
B3-S030	B3	f83r	F103|F104	qoky saiin schedair otchedy	qoky daiin schedair otchedy	MC026|MC039|MC116|MC057	MC026|MC039|MC116|MC057	YES	1	Setze den Posten ein; Arbeite nach dem vorgeschriebenen Maß; Führe ihn im Lauf weiter; Führe danach den nächsten Posten über	TERMINAL	NO
B3-S031	B3	f83r	F105	qokeedy	qokeedy	MC082	MC082	YES	0	Lass ihn lange einwirken	TERMINAL	NO
B3-S032	B3	f83r	F106	chedain chedy qotedaiin otaiin otedy	chedain chedy qotedaiin otaiin otedy	MC145|MC074|MC018|MC060|MC135	MC145|MC074|MC018|MC060|MC135	YES	0	Führe einen Anteil über; Führe den Posten über; Halte die kurze Sollstufe ein; Arbeite danach nach dem nächsten Maß; Führe ihn kurz zum Folgeschritt weiter	TERMINAL	NO
B3-S033	B3	f83r	F107	ldy	ldy	MC004	MC004	YES	0	Ziehe ihn ab	TERMINAL	NO
B3-S034	B3	f83r	F108	soiiin checthy chety otaiin olsaly shedy	soiiin checthy chety otaiin olsaly tedy	MC033|MC161|MC086|MC060|MC078|MC128	MC033|MC161|MC086|MC060|MC078|MC128	YES	1	Stelle die Arbeitsstufe ein; Halte ihn bereit; Nimm den bezeichneten Teil; Arbeite danach nach dem nächsten Maß; Führe zum Zwischenziel; Lass ihn kurz absetzen	TERMINAL	NO
