card_rank	surface	family	card_type	composition	working_meaning_de	working_render_de	strongest_rival_de	confidence	expected_occurrences	expected_pages	action_license	productive_scope	decision_reason	observed_occurrences	observed_pages	both_exact	it2a_only_exact	rf1b_only_exact	neither_exact	context_holds	licensed_actions
11	qochar	DRY_FRACTION_COMMAND	PRODUCTIVE_COMPOUND	QO_COMMAND+CHAR_DRY_FRACTION_I	erste Trockenfraktion nehmen	erste Trockenfraktion nehmen	erste Ansatzfraktion trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	1	exact whole; action reading only	char is fraction I of dry material and qo selects it for the following operation	1	1	1	0	0	0	1	1
12	keeaiin	FULL_HEAT_GRADE_III	PRODUCTIVE_COMPOUND	K_HOT+EE_END+AIIN_III	vollständig erhitzt, Stufe III	vollständig erhitzt, Stufe III	drei Teile vollständig erhitzter Droge	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; process-headed aiin is treated as grade	k plus ee plus aiin continues the inherited heat and grade family	1	1	1	0	0	0	1	0
13	qocho	DRY_PREP_COMMAND	LEARNED_BLOCK_COMPOUND	QO_COMMAND+CHO_DRY_PREP	Trockenansatz nehmen	Trockenansatz nehmen	trocknen und ansetzen	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	1	exact whole; unchanged action at both occurrences	cho remains the learned dry-preparation object and qo supplies the take instruction	2	2	2	0	0	0	2	2
14	qotchody	COLD_DRY_FINISH_COMMAND	PRODUCTIVE_COMPOUND	QOTCHO_COLD_DRY_PREP_COMMAND+DY_FINISHED	kühlen, trocknen, ansetzen und fertigstellen	kühlen, trocknen, ansetzen und fertigstellen	fertiggestellter kalt-trockener Ansatz	MEDIUM_EXACT_WHOLE	3	3	1	exact whole; terminal result rival retained	qotcho already gives the three operations and dy closes them; all three positions admit the action	3	3	2	0	1	0	3	3
15	cphdor	COMPOSITE_PORTION	LEARNED_BLOCK_COMPOUND	CPH_COMPOSITE+DOR_MEASURE_PORTION	eine Portion Arzneikompositum abmessen	eine Portion Arzneikompositum abmessen	abgemessene Portion Arzneikompositum	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	1	exact whole; action default	cph supplies the compound drug and the learned dor block preserves portion-measure valency	1	1	1	0	0	0	1	1
16	lsheetal	COLD_SOAKED_RAW_WOOD	PRODUCTIVE_COMPOUND	L_WOOD+SHEE_MOIST_END+T_COLD+AL_RAW_I	Rohholzdroge I, vollständig eingeweicht und kaltgestellt	Rohholzdroge I, vollständig eingeweicht und kaltgestellt	kalte eingeweichte Rohdroge I ohne Holzbindung	MEDIUM_EXACT_WHOLE	1	1	0	exact whole; bundled result only	wood head, complete soaking, cold condition and raw class I are all independently visible	1	1	1	0	0	0	1	0
17	qy	REFERENTIAL_TAKE	READER_CONDITIONED_SHORT	Q_COMMAND+Y_REFERENCE	hiervon nehmen	hiervon nehmen	hierzu oder anschließend	LOW_EXPLORATORY	4	4	1	exact ZL3b whole; no global free q or y value exported	all four positions admit a short take/reference instruction but three retain alternate-reader rivals	4	4	1	0	3	0	4	4
18	rr	DRIED_ROOT_READER	READER_CONDITIONED_COMPOUND	R_ROOT+CH_DRY+R_ROOT_HEAD	getrocknete Wurzeldroge	getrocknete Wurzeldroge	zwei Wurzelteile aus ZL3b rr	MEDIUM_READER_CONDITIONED	1	1	0	ZL3b exact rr; IT2a and RF1b rchr control the practical reading	two independent alternate readers restore ch between root heads, defeating a free rr quantity guess	1	1	0	0	0	1	1	0
19	keo	HEAT_MIDDLE_BOUND_COMPONENT	READER_BOUND_COMPONENT	K_HOT+E_MIDDLE+O_PREP	Ansatz auf mittlerer Heizstufe	Ansatz auf mittlerer Heizstufe	Ansatz bis Mittelstufe erhitzen	MEDIUM_READER_CONDITIONED	5	5	0	exact ZL3b component; local right merges override prose without changing the card	three keo r positions are jointly rendered from alternate-reader keor while two other contexts retain the bound state	5	5	0	0	3	2	5	0
20	dold	MEASURE_MATERIAL_CLOSE	PRODUCTIVE_COMPOUND	D_MEASURE+OL_MATERIAL+D_TERM_CLOSE	Drogenstoff abmessen und abschließen	Drogenstoff abmessen und abschließen	abgemessenes Drogenmaterial, abgeschlossen	MEDIUM_EXACT_WHOLE	2	2	1	exact whole; unchanged action at both occurrences	initial d measures the material and terminal d closes the operation	2	2	0	2	0	0	2	2
21	oltain	COLD_WOOD_GRADE_II	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+T_COLD+AIN_II	Holzdrogenansatz, kalt auf Stufe II	Holzdrogenansatz, kalt auf Stufe II	kalter Drogenstoff der Stufe II ohne Ansatzstatus	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	0	exact whole; sister prediction from oltaiin	ol supplies the wood preparation and tain preserves cold grade II	2	2	2	0	0	0	2	0
22	okiin	HOT_PREP_FORM_III	PRODUCTIVE_COMPOUND	O_PREP+K_HOT+IIN_FORM_III	erhitzter Ansatz, Form III	erhitzter Ansatz, Form III	heißer Ansatz auf Grad III	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	0	exact whole; form reading only	iin follows a preparation head and therefore remains form III rather than the aiin grade series	2	2	2	0	0	0	2	0
23	qoeeo	SECOND_MACERATION_PREP	LEARNED_WHOLE_COMPOUND	Q_COMMAND+OEEO_SECOND_MACERATION_PREP	zweiter Mazerationsansatz	zweiter Mazerationsansatz	zweiten Mazerationsansatz nehmen	LOW_EXPLORATORY	2	2	0	exact whole; nominal preparation default	the learned oeeo whole gives the concrete object while command valency remains the named rival	2	2	1	1	0	0	2	0
24	lldar	WOOD_FRACTION_MEASURE	LEARNED_DOUBLED_HEAD	L_BOUND+LDAR_MEASURE_WOOD_FRACTION_I	erste Holzdrogenfraktion abmessen	erste Holzdrogenfraktion abmessen	erste abgemessene Holzdrogenfraktion	LOW_EXPLORATORY	1	1	1	exact whole only; doubled l grants no count of two	the known ldar block preserves its wood-fraction measure action while initial l remains a bound reinforcement	1	1	1	0	0	0	1	1
25	ockhdar	COMPOSITE_FRACTION	READER_CONDITIONED_COMPOUND	O_PREP+CKH_COMPOSITE+DAR_MEASURE_FRACTION_I	erste abgemessene Fraktion des Arzneikompositum-Ansatzes	erste abgemessene Fraktion des Arzneikompositum-Ansatzes	abgemessene Portion des Arzneikompositums (IT2a ockhdor)	MEDIUM_READER_CONDITIONED	1	1	0	exact ZL3b and RF1b whole; IT2a dor rival retained	the readers agree on the compound preparation and differ only on fraction versus portion	1	1	0	0	1	0	1	0
26	shoral	FLOWER_FRUIT_RAW_I	LEARNED_BLOCK_COMPOUND	SHOR_FLOWER_FRUIT_PART+AL_RAW_I	Blüten- oder Frucht-Rohdroge I	Blüten- oder Frucht-Rohdroge I	angefeuchtete Portion Rohdroge I (sh+or+al)	MEDIUM_EXACT_WHOLE	1	1	0	exact whole; shor remains its learned plant-part block	known shor followed by raw class al is more economical than splitting three shorter values	1	1	1	0	0	0	1	0
27	pchedaiin	DRY_POWDER_DOSE_III	PRODUCTIVE_COMPOUND	P_POWDER+CH_DRY+E_MIDDLE+D_MEASURE+AIIN_III	drei Dosen bis Mittelstufe getrocknetes Pulver	drei Dosen bis Mittelstufe getrocknetes Pulver	Pulver in drei Teilen bis Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	4	0	exact whole; measured result default	all four initial contexts accept a concrete powder dose while pched preserves the process rival	4	4	3	1	0	0	4	0
28	solkam	HOT_SEED_PREP_UNIT	PRODUCTIVE_COMPOUND	SOL_SEED_PREP+K_HOT+AM_UNIT_I	ein Maß erhitzter Saatgutzubereitung	ein Maß erhitzter Saatgutzubereitung	ein Maß erhitztes Saatgut ohne Ansatzstatus	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; seed preparation reading only	sol, k and am combine without adding an unattested salt value	1	1	0	0	1	0	1	0
29	olkechy	HOT_DRY_WOOD_COMMAND	PRODUCTIVE_COMPOUND	OL_WOOD_PREP+KECHY_HEAT_DRY_CLOSE	Holzdrogenansatz mäßig erhitzen, trocknen und abschließen	Holzdrogenansatz mäßig erhitzen, trocknen und abschließen	heiß-trocken aufbereiteter Holzdrogenansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	1	exact whole; action reading only	the learned kechy instruction takes the ol wood preparation as its explicit object	1	1	1	0	0	0	1	1
30	aiindy	QUANTITY_III_CLOSE	READER_CONDITIONED_COMPOUND	AIIN_III+DY_FINISHED	drei Teile, fertig abgeteilt	drei Teile, fertig abgeteilt	Grad III, abgeschlossen	MEDIUM_READER_CONDITIONED	1	1	0	exact ZL3b whole; IT2a aiin dy split controls the default	the source follows measured fraction I and therefore selects quantity rather than process grade	1	1	0	0	0	1	1	0
31	oteor	COLD_MIDDLE_PORTION	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+E_MIDDLE+OR_PORTION	eine Portion kalten Ansatzes, Mittelstufe	eine Portion kalten Ansatzes, Mittelstufe	eine Portion Ansatz bis Mittelstufe abkühlen	STRONG_PRACTICAL_OR_COMPOSITIONAL	10	9	0	exact whole; nominal quantity across all occurrences	ten state and quantity registers preserve preparation, cold middle stage and one portion	10	9	7	2	0	1	10	0
32	karchees	HOT_FRACTION_DRY_HERB	READER_BOUND_COMPONENT	KAR_HOT_FRACTION_I+CHEES_DRY_END_HERB	vollständig getrocknete Kräutercharge der ersten heißen Fraktion	vollständig getrocknete Kräutercharge der ersten heißen Fraktion	vollständig getrocknete Charge der ersten erhitzten Holzdrogenfraktion	MEDIUM_READER_CONDITIONED	1	1	0	exact ZL3b component; both alternates join preceding l	kar and chees remain visible; the practical source-line renderer honors the lkarchees merge	1	1	0	0	0	1	1	0
33	dolkain	MEASURED_HOT_MATERIAL_II	PRODUCTIVE_COMPOUND	D_MEASURE+OL_MATERIAL+K_HOT+AIN_II	abgemessenes heißes Drogenmaterial, Stufe II	abgemessenes heißes Drogenmaterial, Stufe II	heißer Holzdrogenansatz der Stufe II	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; measured result reading only	d plus olkain gives a direct measured version of the known hot material grade II	1	1	0	1	0	0	1	0
34	otardy	COLD_FRACTION_I_CLOSE	PRODUCTIVE_COMPOUND	OTAR_COLD_FRACTION_I+DY_FINISHED	erste kalte Ansatzfraktion, abgeschlossen	erste kalte Ansatzfraktion, abgeschlossen	erste kalte Ansatzfraktion fertigstellen	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; result reading only	otar supplies the cold first preparation fraction and dy marks its completed state	1	1	0	1	0	0	1	0
