debt_rank	statement_id	record_unit_id	visible_owner	visible_sequence	layered_card_reading	debt_category	excess_or_overloaded_words	old_owner_expansion_de	tightened_owner_expansion_de	old_word_count	new_word_count	words_removed	event_count
11	H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	tshol schoal cfhy shfydaiin cphy shey tchody	[PROSA:Kochgut] [ACHSE:AL+HO→Sudansatz] [GANZKARTE:auswringen] [ACHSE:AIIN→Stehzeit] [GANZKARTE:nachseihen] [KERN:Freigabewert] [GANZKARTE:kalt stellen; Schluss]	LOCAL_RESULT_OVEREXPANSION	Klarlauf statt portablem Freigabewert	Das Kochgut in einem Sud ansetzen, auswringen, eine Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; Schluss.	Kochgut zum Sud ansetzen, auswringen, Stehzeit abwarten, nachseihen, Freigabewert abnehmen und kalt stellen; Schluss.	18	14	4	7
12	B2-S004	B2	obere Paarbecken-/Zylinderstation	qokal lcheckhy lched qokeey lcheckhedy	[KERN:dorthin einsetzen] [ACHSE:Y+L+CKH→Abführpassage] [ACHSE:CHED~CHD+L→Abführung] [ACHSE:OK+Y+EE→lange einwirken] [PROSA:Trennabzug; Schluss]	DUPLICATE_PATH_NOUN	Abführpassage plus abführen	Am Ziel einsetzen, durch die Abführpassage führen, abführen, länger einwirken lassen und getrennt abziehen; Schluss.	Am Ziel einsetzen, durchleiten, abführen, länger einwirken und getrennt abziehen; Schluss.	15	11	4	5
13	B4-S016	B4	rechte S-Lauf-/Mehrarmknotenstation	qolkain dal skar shedy	[ACHSE:OL+AIN→weiterer Anteil] [KERN:dorthin] [ACHSE:AR→Quellausguss] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	UNLICENSED_SOURCE_NOUN	Quelle	Einen weiteren Anteil dorthin bringen, aus der Quelle ausgießen und kurz absetzen lassen; Schluss.	Weiteren Anteil dorthin bringen, davon ausgießen und kurz absetzen; Schluss.	14	10	4	4
14	H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	qotchy okchol cthy dy	[ACHSE:OT+Y→nächster Posten] [ACHSE:OK+OL→weiter einsetzen] [ACHSE:Y+CTH→bereit] [KERN:dies]	REFERENT_REPETITION	Posten dreimal	Zum nächsten Posten wechseln, ihn weiter einsetzen, Bereitschaft prüfen und als aktuellen Posten halten.	Zum Nächsten wechseln, weiter einsetzen, Bereitschaft prüfen und dies halten.	14	10	4	4
15	B3-S026	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	cheedar chldaiin chedy qokain checthy chealror solkeedy	[ACHSE:AR+CHED~CHD→Quelltransfer] [ACHSE:AIIN→Sollabsetzung] [KERN:überführen] [PROSA:Anteil zugeben] [ACHSE:Y+CTH→bereit] [ACHSE:AL+OR→Zielbereitung] [PROSA:lange sammeln; Schluss]	COMPOUND_NOUN_INFLATION	Sollabsetzstand; Bereitschaft prüfen	Von der Quelle übertragen, auf den Sollabsetzstand bringen, weiterführen, einen Anteil zugeben, Bereitschaft prüfen, am Ziel vorbereiten und länger sammeln; Schluss.	Von der Quelle übertragen, auf Sollwert absetzen, überführen, Anteil zugeben, bereitstellen, am Ziel vorbereiten und länger sammeln; Schluss.	21	18	3	7
16	B4-S003	B4	Hauptpaar am sichtbaren ungerichteten Bogen	chedy otal otchey qokeey qoky tol shedy	[KERN:überführen] [ACHSE:OT+AL→danach dorthin] [KERN:das nächste] [ACHSE:OK+Y+EE→lange einwirken] [KERN:einsetzen] [KERN:weiter] [ACHSE:DY+E+SHED→kurz absetzen; Schluss]	REFERENT_REPETITION	nächster Posten	Überführen, danach den nächsten Posten dorthin bringen, länger einwirken lassen, einsetzen, weiterführen und kurz absetzen lassen; Schluss.	Überführen, danach das Nächste dorthin bringen, länger einwirken, einsetzen, weiterführen und kurz absetzen; Schluss.	17	14	3	7
17	H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	qokaiin chaiin ykain ykan ody	[ACHSE:OK+AIIN→bemessen] [KERN:Sollwert] [ACHSE:Y+AIN→erste Portion] [ACHSE:Y+AIN→zweite Portion] [GANZKARTE:abkühlen; Schluss]	UNLICENSED_OBJECT_NOUN	Ansatz	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen; Schluss.	Bemessen, auf Sollwert in erste und zweite Portion teilen und abkühlen lassen; Schluss.	16	13	3	5
18	B2-S005	B2	obere Paarbecken-/Zylinderstation	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	[ACHSE:OK+AL+Y→Zieleinsatz] [ACHSE:AIIN+SOLK→Sollsammlung] [ACHSE:Y+CKH→durchleiten] [ACHSE:OK+AIIN→bemessen] [ACHSE:OK+AIIN→bemessen] [ACHSE:OL+CTH→Fortsetzung vorbereiten] [ACHSE:Y+EE+CHK→Langwärmen] [ACHSE:DY+L→abziehen; Schluss]	LAYOUT_AS_SEMANTICS	am Zeilenübergang einmal	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, zweimal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	20	18	2	8
19	B4-S015	B4	linke offene Fransen-/Unterlaufstation	qokain shey kain chckhal solkey lchedy	[PROSA:Anteil zugeben] [KERN:Freigabewert] [PROSA:Portion] [ACHSE:AL+CKH→Zielpassage] [ACHSE:Y+E+SOLK→Kurzsammlung] [ACHSE:CHED~CHD+L→abführen; Schluss]	LOCAL_RESULT_OVEREXPANSION	Klarlauf statt portablem Freigabewert	Eine Portion zum Klarlauf geben, die Portion durch die Zielpassage führen, kurz auffangen und abführen; Schluss.	Anteil zum Freigabewert geben, Portion durch die Zielpassage führen, kurz sammeln und abführen; Schluss.	16	14	2	6
20	B5-S003	B5	linker offener Fransen-Endposten	shedal dal cheol lol chdal aiin sol daiiin chedy	[ACHSE:AL+SHED→am Ziel absetzen] [KERN:dorthin] [KERN:weiter] [ACHSE:OL+L→Weiterabzug] [ACHSE:AL+CHED~CHD→Zieltransfer] [KERN:Sollwert] [KERN:weiter] [PROSA:Endstufe] [KERN:überführen]	DISCOURSE_SCAFFOLD	zweiter moderner Teilsatz	Am Ziel absetzen, dorthin bringen, weiterführen und weiter abziehen; den Zieltransfer auf Sollmaß bringen, bis zur Endstufe fortsetzen und überführen.	Am Ziel absetzen, dorthin bringen, weiterführen und weiter abziehen; Zieltransfer auf Sollwert bringen, bis zur Endstufe fortsetzen und überführen.	20	19	1	9
