rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v48_translation_de	v48_unknown_tokens	comparison_scope
11	f9v.4	ytey tch y kaiin cthor otol oty toldy	Kühle hiervon bis zur Mittelstufe und schließe ab; kalt und angetrocknet; hierzu heiß auf Stufe III; Drogenteil beziehungsweise Portion Blatt-/Krautdroge; kaltes Zubereitungsgut; kalter Ansatz am Gradanfang; fertiggestellter kalter Drogenstoff.	toldy bleibt nominal und bewahrt Kälte, Material und Fertigstellung.	kühle hiervon bis zur Mittelstufe ab und schließe ab; kalt und angetrocknet; hierzu: heiß, Grad III; Drogenteil/-portion; Portion Blatt-/Krautdroge; kaltes Zubereitungsgut; kalter Ansatz am Anfang des Grades; fertiggestellter kalter Drogenstoff	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
12	f106r.14	ychol okaiin olcheey dolchedy otair otal chedy okeor	Trockne hiervon den Drogenstoff; Ansatz auf Heizstufe III; trockne den Holzdrogenansatz vollständig. Miss Drogenstoff ab, trockne ihn bis zur Mittelstufe und stelle ihn fertig; zweite kalte Drogenfraktion im Ansatz; Rohdroge I leicht gekühlt im Ansatz; bis zur mittleren Trockenstufe gebracht. Erhitze eine Portion Ansatz bis zur Mittelstufe.	dolchedy erhält drei Operationen; chedy bleibt gerichtete Trockenstufe.	trockne hiervon den Drogenstoff; Ansatz auf Heizstufe III; Holzdrogenansatz vollständig trocknen; Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen; zweite kalte Drogenfraktion im Ansatz; Rohstoff I, leicht gekühlt im Ansatz; bis zur mittleren Trockenstufe gebracht; eine Portion Ansatz bis zur Mittelstufe erhitzen	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
13	f15r.7	daiin shkaiin cthy sho keocthy	Drei Maße; eingeweichte und erhitzte Droge auf Stufe III; Krautdroge; feuchter Ansatz. Erhitze den Krautansatz bis zur Mittelstufe und schließe ab.	keocthy ist der Schlussbefehl.	drei Maße; eingeweichte und erhitzte Droge auf Stufe III; Krautdroge; feuchter Ansatz; Krautansatz bis zur Mittelstufe erhitzen und abschließen	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
14	f105r.37	otoiir chedaiin otair otaly	Kalter Ansatz, Fraktion III; abgemessene Trockendroge, Dosis III; zweite kalte Drogenfraktion im Ansatz. Kühle den Rohstoff-I-Ansatz leicht und schließe ab.	otoiir gelernte nominale Fraktion.	kalter Ansatz, Fraktion III; abgemessene Trockendroge, Dosis III; zweite kalte Drogenfraktion im Ansatz; Rohstoff-I-Ansatz leicht kühlen und abschließen	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
15	f18r.14	ychekch y kchaiin	Trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut; heiß-getrocknete Droge auf Stufe III.	Alle drei Operationen bleiben geordnet; das lokale Leser-Joint fügt keinen eigenen Bezug ein.	trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut; heiß-getrocknete Droge auf Stufe III	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
16	f114r.38	qoeedy qokchedy cheey raiin ar ain aiin al chol	Nimm den vollständig fertiggestellten Ansatz; heiß und bis zur mittleren Trockenstufe gebracht; vollständig getrocknet; Wurzelcharge III; Drogenfraktion I; zwei Teile; drei Teile; Rohdroge I; Trockengut.	Zweiter qoeedy-Beleg mit demselben vollständigen Befehl; qokchedy bleibt gerichtet.	nimm den vollständig fertiggestellten Ansatz; heiß und bis zur mittleren Trockenstufe gebracht; vollständig getrocknet; Wurzel, Typ/Charge III; Drogenfraktion I; zwei Teile; drei Teile; Rohstoff I; Trockengut	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
17	f44v.12	ychey teol chaiin chcthy ctho cthol	Trockne hiervon bis zur Mittelstufe und schließe ab; Drogenstoff auf mittlerer Kühlstufe; trocken auf Stufe III; trockene Kraut- oder Blattdroge; Krautansatz; Krautdrogenstoff beziehungsweise Blatt-/Krautdroge.	Gemeinsamer YCHEY/TEOL-Test.	trockne hiervon bis zur Mittelstufe und schließe ab; Drogenstoff auf mittlerer Kühlstufe; trocken, Grad III; getrocknete Krautdroge; Krautansatz; CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
18	f75r.48	daly ychey	Abgemessene Rohstoffmenge I in Grundform. Trockne hiervon bis zur Mittelstufe und schließe ab.	Kurzer Richtungsbeleg für ychey.	abgemessene Rohstoffmenge I, Grundform; trockne hiervon bis zur Mittelstufe und schließe ab	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
19	f80v.28	olcheol qokain or al chain qokain ol kaiin okeedy qokey ly	Trockne den Holzdrogenstoff im Ansatz bis zur Mittelstufe; heiß auf Stufe II; Drogenportion; Rohdroge I; trocken auf Stufe II; heiß auf Stufe II; Grundansatz; heiß auf Stufe III; Ansatz auf Heizendstufe abgeschlossen; bis zur mittleren Heizstufe; rohes Drogenholz.	Zweiter olcheol-Beleg mit initialem Ansatz und Holzdrogenstoff; die letzte Heizstufe bleibt gerichtet.	Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen; heiß, Grad II; Drogenportion; Rohstoff I; trocken, Grad II; heiß, Grad II; Grundansatz; heiß, Grad III; Ansatz auf Heizendstufe abgeschlossen; bis zur mittleren Heizstufe; rohes Drogenholz	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
20	f111v.21	sair air ain qol rar ain cheey lkeey lkain cheokain sheo qo qokain chear alam	Samenfraktion II; zweite Drogenfraktion; zwei Teile. Gib Folgendes hinzu: Wurzelfraktion I; zwei Teile; vollständig getrocknet; Drogenholz heiß am Gradende; Holzdroge heiß auf Stufe II. Trockne den Trockenansatz bis zur Mittelstufe und bringe ihn auf Heizstufe II; Feuchtzubereitung. Nimm Folgendes: heiß auf Stufe II; trockene Fraktion I; ein Maß Rohdroge I.	V47-vollständige Kontrollpassage ohne neue Zielkarte.	Samenfraktion II; zweite Drogenfraktion; zwei Teile; gib Folgendes hinzu: Wurzelfraktion I; zwei Teile; vollständig getrocknet; Drogenholz, heiß am Gradende; Holzdroge, heiß auf Stufe II; Trockenansatz bis zur Mittelstufe trocknen und auf Heizstufe II bringen; Feuchtzubereitung; nimm Folgendes: heiß, Grad II; trockene Fraktion I; ein Maß Rohdroge I	0	manual workshop prose versus deterministic V48 renderer; neither is confirmed plaintext
