world	edition	grammar	target	target_form	parent	operation	operation_form	D_support	H_support	D_target	H_target	H_status	row_status
R0020	IT2a	J	f24r.11:5	qokain	otal	f24r.6:5	qoky	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0021	IT2a	M	f24r.11:5	qokain	otal	f24r.6:5	qoky	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0022	IT2a	B	f86v5.23:7	qokar	ykaiin	f86v5.22:2	ykeey	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0023	IT2a	J	f86v5.23:7	qokar	ykaiin	f86v5.22:2	ykeey	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0024	IT2a	M	f86v5.23:7	qokar	ykaiin	f86v5.22:2	ykeey	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0025	IT2a	B	f93r.3:6	chody	sheo	f93r.2:3	chol	True	False	MATCH	INITIAL_CONSTRAINT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0026	IT2a	J	f93r.3:6	chody	sheo	f93r.2:3	chol	True	False	MATCH	INITIAL_CONSTRAINT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0027	IT2a	M	f93r.3:6	chody	sheo	f93r.2:3	chol	True	False	MATCH	INITIAL_CONSTRAINT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0028	RF1b	B	f17v.5:4	tchol	kchor	f17v.5:1	ychol	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0029	RF1b	J	f17v.5:4	tchol	kchor	f17v.5:1	ychol	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0030	RF1b	M	f17v.5:4	tchol	kchor	f17v.5:1	ychol	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0031	RF1b	B	f22v.9:4	tchol	shody	f22v.9:3	chol	True	False	MATCH	CONFLICT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0032	RF1b	J	f22v.9:4	tchol	shody	f22v.9:3	chol	True	False	MATCH	CONFLICT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0033	RF1b	M	f22v.9:4	tchol	shody	f22v.9:3	chol	True	False	MATCH	CONFLICT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0034	RF1b	B	f24r.11:5	qokain	otal	f24r.6:5	qoky	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0035	RF1b	J	f24r.11:5	qokain	otal	f24r.6:5	qoky	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0036	RF1b	M	f24r.11:5	qokain	otal	f24r.6:5	qoky	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0037	RF1b	B	f86v5.23:7	qokar	ykaiin	f86v5.22:2	ykeey	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0038	RF1b	J	f86v5.23:7	qokar	ykaiin	f86v5.22:2	ykeey	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0039	RF1b	M	f86v5.23:7	qokar	ykaiin	f86v5.22:2	ykeey	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0040	RF1b	B	f93r.3:6	chody	sheo	f93r.2:3	chol	True	False	MATCH	INITIAL_CONSTRAINT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0041	RF1b	B	f93r.5:5	qokol	shody	f93r.4:3	qokcho	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0042	RF1b	J	f93r.3:6	chody	sheo	f93r.2:3	chol	True	False	MATCH	INITIAL_CONSTRAINT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0043	RF1b	J	f93r.5:5	qokol	shody	f93r.4:3	qokcho	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
R0044	RF1b	M	f93r.3:6	chody	sheo	f93r.2:3	chol	True	False	MATCH	INITIAL_CONSTRAINT	DRYING_ORIGIN_NO_LONGER_EXPLAINED	recorded
R0045	RF1b	M	f93r.5:5	qokol	shody	f93r.4:3	qokcho	True	True	MATCH	MATCH	EFFECT_SUPPORT_RETAINED	recorded
