left_root	right_root	literal_prediction_de	simple_candidate_surface	candidate_surface_collision	collision_with	adjacent_events	ordered_nonadjacent_events	ordered_total_events	adjacent_surfaces	adjacent_recipes	embedded_pages	revised_status	workshop_rule_de
OL	AIR	FORTSETZEN · LAUF	olair	NEIN	KEINE	0	3	3	KEINE	KEINE	f70v|f75r|f82r	IN_LAENGERER_KARTE_GETRENNT_BELEGT	Die Reihenfolge ist produktiv, braucht aber auf diesen Seiten einen Zwischenkern.
OL	CTH	FORTSETZEN · BEREIT	olcth	NEIN	KEINE	1	0	1	olcthdy	OL+CTH+D_ADDR+Y	f81v	IN_LAENGERER_KARTE_DIREKT_BELEGT	Als inneres Paar produktiv; nur die nackte Zweierkarte fehlt.
O	AL	AUSFÜHREN · ZIEL	oal	NEIN	KEINE	11	6	17	oalcheg|okchoal|okeodal|okoaly|otchodals|oteeoal|oteoal|otodal|schoal|sheodaly	O+AL+CH+E+G_LABEL|OK+CH+O+AL|OK+E+O+AL|OK+O+AL+Y|OT+CH+O+AL+S_ADDR|OT+E+O+AL|OT+EE+O+AL|OT+O+AL|SH+E+O+AL+Y|SH+O+AL	f10r|f11r|f68r1|f69v|f70v|f88r	IN_LAENGERER_KARTE_DIREKT_BELEGT	Als inneres Paar produktiv; nur die nackte Zweierkarte fehlt.
O	AIR	AUSFÜHREN · LAUF	oair	NEIN	KEINE	1	3	4	doair	D_ADDR+O+AIR	f67r2|f69v|f70v	IN_LAENGERER_KARTE_DIREKT_BELEGT	Als inneres Paar produktiv; nur die nackte Zweierkarte fehlt.
O	OR	AUSFÜHREN · ANSATZ	oor	NEIN	KEINE	3	6	9	cthoor|qoor|yteoor	CARRIER_Q+O+OR|CTH+O+OR|Y+T+E+O+OR	f10r|f11r|f13r|f67r2|f88r	IN_LAENGERER_KARTE_DIREKT_BELEGT	Als inneres Paar produktiv; nur die nackte Zweierkarte fehlt.
O	CTH	AUSFÜHREN · BEREIT	octh	NEIN	KEINE	12	2	14	choctheeey|chocthy|cphocthy|octheol|octhey|octhody|octhole|octhys|pchocthy|qocthey|qoctholy|socthody	CARRIER_Q+O+CTH+E+Y|CARRIER_Q+O+CTH+OL+Y|CH+O+CTH+EEE+Y|CH+O+CTH+Y|CPH+O+CTH+Y|O+CTH+E+OL|O+CTH+E+Y|O+CTH+O+D_ADDR+Y|O+CTH+OL+E|O+CTH+Y+S|P+CH+O+CTH+Y|S+O+CTH+O+D_ADDR+Y	f10r|f11r|f67r2|f68r1|f81v|f82r	IN_LAENGERER_KARTE_DIREKT_BELEGT	Als inneres Paar produktiv; nur die nackte Zweierkarte fehlt.
L	AIN	LEITEN · PORTION	lain	NEIN	KEINE	0	1	1	KEINE	KEINE	f75r	IN_LAENGERER_KARTE_GETRENNT_BELEGT	Die Reihenfolge ist produktiv, braucht aber auf diesen Seiten einen Zwischenkern.
L	AIR	LEITEN · LAUF	lair	NEIN	KEINE	0	0	0	KEINE	KEINE	KEINE	ECHTE_OFFENE_ZWEIERKOMBINATION	L und AIR tragen beide bereits Weg/Lauf; die Zweierform waere wahrscheinlich absichtlich redundant.
L	CTH	LEITEN · BEREIT	lcth	NEIN	KEINE	0	0	0	KEINE	KEINE	KEINE	ECHTE_OFFENE_ZWEIERKOMBINATION	Ein Bereitschaftszustand ist kein Leitungsargument; die Werkstatt setzt erst den Posten und markiert danach CTH.
P	AIN	EINSETZEN · PORTION	pain	NEIN	KEINE	0	0	0	KEINE	KEINE	KEINE	ECHTE_OFFENE_ZWEIERKOMBINATION	P setzt bevorzugt einen konkreten Posten oder eine Quelle ein; Portion kann als getrennte Mengenkarte folgen.
P	AIIN	EINSETZEN · MASS	paiin	NEIN	KEINE	0	0	0	KEINE	KEINE	KEINE	ECHTE_OFFENE_ZWEIERKOMBINATION	P setzt bevorzugt einen konkreten Posten oder eine Quelle ein; Mass kann als getrennte Vorgabekarte folgen.
P	AL	EINSETZEN · ZIEL	pal	NEIN	KEINE	0	5	5	KEINE	KEINE	f10r|f55v|f70v|f75r|f83r	IN_LAENGERER_KARTE_GETRENNT_BELEGT	Die Reihenfolge ist produktiv, braucht aber auf diesen Seiten einen Zwischenkern.
P	AIR	EINSETZEN · LAUF	pair	NEIN	KEINE	1	1	2	ypair	Y+P+AIR	f67r2|f70v	IN_LAENGERER_KARTE_DIREKT_BELEGT	Als inneres Paar produktiv; nur die nackte Zweierkarte fehlt.
P	OR	EINSETZEN · ANSATZ	por	NEIN	KEINE	1	4	5	chpor	CH+P+OR	f13r|f68r1|f75r|f83r	IN_LAENGERER_KARTE_DIREKT_BELEGT	Als inneres Paar produktiv; nur die nackte Zweierkarte fehlt.
P	CTH	EINSETZEN · BEREIT	pcth	NEIN	KEINE	0	1	1	KEINE	KEINE	f10r	IN_LAENGERER_KARTE_GETRENNT_BELEGT	Die Reihenfolge ist produktiv, braucht aber auf diesen Seiten einen Zwischenkern.
