selector_cell_ordinal	selector_cell_id	recipe	portable_route	selector_fields	selector_key	effective_action_signatures	effective_argument_signatures	owner_free_microphrase_de	event_count	event_ids	physical_page_count	physical_pages	register_count	registers	cohort_count	cohorts	resolution_modes	statement_positions	source_layers	cross_page_status	guard
29	GDT564-C0029	CH+P+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIN	CH|P	AIN	Nimm den Anteil und setze den Anteil ein; auf Grad I; abschließen.	1	G407-E3002	1	f81v	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
30	GDT564-C0030	CH+P+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=NONE	CH|P	NONE	Nimm und setze ein; auf Grad I; abschließen.	1	G515-E0578	1	f66r	1	SOURCE_SECTION_T	1	CURRENT4_GDT539	VISIBLE_ACTION_OBJECTLESS_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
31	GDT564-C0031	CH+T+OL	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIIN	CH|T	AIIN	Weiter: nimm den Wert und stelle den Wert ein.	4	G407-E0187 || G407-E0554 || G407-E0865 || G515-E0040	4	f18r || f1r || f4r || f56r	2	HERBAL || SOURCE_SECTION_T	2	CURRENT4_GDT539 || OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
32	GDT564-C0032	CH+T+OL	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=OR	CH|T	OR	Weiter: nimm die Einheit und stelle die Einheit ein.	1	G515-E0013	1	f4r	1	HERBAL	1	CURRENT4_GDT539	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
33	GDT564-C0033	CH+T+OL	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	CH|T	Y	Weiter: nimm den Posten und stelle den Posten ein.	3	G407-E0592 || G407-E3211 || G407-E3885	3	f18r || f82r || f88r	3	BIOLOGICAL || HERBAL || PHARMA	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
34	GDT564-C0034	D_ADDR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=CH | ARGUMENT=AIIN	CH	AIIN	Weiter: nimm den Wert; hier.	2	G407-E0334 || G407-E4262	2	f11r || f89r	2	HERBAL || PHARMA	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INITIAL || STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
35	GDT564-C0035	D_ADDR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=CH | ARGUMENT=Y	CH	Y	Weiter: nimm den Posten; hier.	3	G407-E0375 || G407-E0377 || G407-E3927	2	f13r || f88r	2	HERBAL || PHARMA	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
36	GDT564-C0036	D_ADDR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=K | ARGUMENT=Y	K	Y	Weiter: gib den Posten; hier.	1	G407-E2887	1	f81r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INITIAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
37	GDT564-C0037	D_ADDR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=OK | ARGUMENT=AIIN	OK	AIIN	Weiter: setze den Wert; hier.	1	G407-E2529	1	f77r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
38	GDT564-C0038	D_ADDR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=OK | ARGUMENT=Y	OK	Y	Weiter: setze den Posten; hier.	2	G407-E2791 || G407-E3103	2	f81r || f81v	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
39	GDT564-C0039	D_ADDR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=P | ARGUMENT=Y	P	Y	Weiter: setze den Posten ein; hier.	1	G515-E0359	1	f66r	1	SOURCE_SECTION_T	1	CURRENT4_GDT539	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
40	GDT564-C0040	D_ADDR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=R | ARGUMENT=Y	R	Y	Weiter: markiere den Posten; hier.	2	G407-E3376 || G407-E4357	2	f82r || f89r	2	BIOLOGICAL || PHARMA	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INITIAL || STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
41	GDT564-C0041	D_ADDR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=S | ARGUMENT=AIIN	S	AIIN	Weiter: wähle den Wert; hier.	1	G515-E0465	1	f66r	1	SOURCE_SECTION_T	1	CURRENT4_GDT539	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
42	GDT564-C0042	D_ADDR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=S | ARGUMENT=Y	S	Y	Weiter: wähle den Posten; hier.	2	G407-E2329 || G407-E4216	2	f76r || f89r	2	BIOLOGICAL || PHARMA	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
43	GDT564-C0043	E+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=OK | ARGUMENT=Y	OK	Y	Weiter: setze den Posten; auf Grad I.	1	G407-E1379	1	f72r	1	CELESTIAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
44	GDT564-C0044	E+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=S | ARGUMENT=AIIN	S	AIIN	Weiter: wähle den Wert; auf Grad I.	1	G407-E3868	1	f88r	1	PHARMA	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
45	GDT564-C0045	E+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=S | ARGUMENT=Y	S	Y	Weiter: wähle den Posten; auf Grad I.	1	G407-E3146	1	f81v	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
46	GDT564-C0046	E+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=SH | ARGUMENT=Y	SH	Y	Weiter: halte den Posten; auf Grad I.	1	G407-E1345	1	f72r	1	CELESTIAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
47	GDT564-C0047	EEE+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=P | ARGUMENT=Y	P	Y	Setze den Posten ein; auf Grad III; abschließen.	1	G407-E1391	1	f72r	1	CELESTIAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
48	GDT564-C0048	EEE+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=SH | ARGUMENT=AIIN	SH	AIIN	Halte den Wert; auf Grad III; abschließen.	1	G407-E2645	1	f77r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
49	GDT564-C0049	K+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIIN	K	AIIN	Gib den Wert; auf Grad I; abschließen.	1	G407-E3282	1	f82r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
50	GDT564-C0050	K+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	K	Y	Gib den Posten; auf Grad I; abschließen.	1	G515-E0490	1	f66r	1	SOURCE_SECTION_T	1	CURRENT4_GDT539	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
51	GDT564-C0051	K+E+OL	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIIN	K	AIIN	Weiter: gib den Wert; auf Grad I.	1	G407-E4309	1	f89r	1	PHARMA	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
