recipe_ordinal	recipe	event_count	distinct_microphrase_count	recurrence_status	variability_status	written_action_status	written_argument_status	portable_route	portable_selector_fields	empirical_minimal_equivalence_class	canonical_empirical_selector	selector_cell_count	distinct_effective_action_count	distinct_effective_argument_count	effective_action_signatures	effective_argument_signatures	sample_microphrase_de	guard
16	CARRIER_Q+O+OL	2	2	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	EITHER_ACTION_OR_ARGUMENT	EFFECTIVE_ARGUMENT	2	2	2	OK || SH	AIN || Y	Weiter: setze den Anteil; am Beginn; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
17	CARRIER_Q+O+P+CH+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P|CH	NONE	Weiter: setze ein und nimm; am Beginn; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
18	CARRIER_Q+O+P+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P	Y	Weiter: setze den Posten ein; am Beginn; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
19	CH+A_ADDR+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	NONE	Nimm; hier; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
20	CH+CH+K+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|CH|K	Y	Nimm den Posten zweimal und gib den Posten; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
21	CH+CH+P+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|CH|P	AIN	Nimm den Anteil zweimal und setze den Anteil ein; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
22	CH+CH+T+E+DY	2	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	CH|CH|T	AIN || Y	Nimm den Anteil zweimal und stelle den Anteil ein; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
23	CH+CH+T+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|CH|T	OR	Weiter: nimm die Einheit zweimal und stelle die Einheit ein.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
24	CH+CH+T+Y+K+E+DY	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|CH|T|K	Y	Nimm den Posten zweimal und stelle den Posten ein und gib den Posten; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
25	CH+E+CH+P+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|CH|P	OR	Nimm die Einheit und nimm die Einheit und setze die Einheit ein; auf Grad I; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
26	CH+E+O+R+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|R	Y	Weiter: nimm den Posten und markiere den Posten; auf Grad I; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
27	CH+E+OL+CH+E+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|CH	Y	Weiter: nimm den Posten und nimm den Posten; auf Grad I; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
28	CH+E+OL+T+AR	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|T	Y	Weiter: nimm den Posten und stelle den Posten ein; auf Grad I; vom Ausgang.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
29	CH+E+P+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|P	Y	Weiter: nimm den Posten und setze den Posten ein; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
30	CH+EE+CH+K+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|CH|K	Y	Nimm den Posten und nimm den Posten und gib den Posten; auf Grad II; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
31	CH+K+CH+Y+K+OL+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|K|CH|K	Y|Y	Weiter: nimm die beiden Posten und gib die beiden Posten und nimm die beiden Posten und gib die beiden Posten.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
32	CH+K+E+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|K	Y	Nimm den Posten und gib den Posten; auf Grad I; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
33	CH+K+E+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|K	AIIN	Weiter: nimm den Wert und gib den Wert; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
34	CH+K+EE+DY	2	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	CH|K	OR || Y	Nimm den Posten und gib den Posten; auf Grad II; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
35	CH+K+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|K	Y	Nimm den Posten und gib den Posten; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
36	CH+K+OL	5	3	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	3	1	3	CH|K	AIIN || OR || Y	Weiter: nimm die Einheit und gib die Einheit.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
37	CH+LOCAL_CHAR_F+OL	2	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	CH	AIIN || Y	Weiter: nimm den Wert; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
38	CH+LOCAL_CHAR_F+OL+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	Y	Weiter: nimm den Posten; hier; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
39	CH+OL+D_ADDR+SH+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|SH	Y	Weiter: nimm den Posten und halte den Posten; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
40	CH+OR+OL+S+AL	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|S	OR	Weiter: nimm die Einheit und wähle die Einheit; zum Zielort.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
41	CH+OR+SH+E+DY	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|SH	OR	Nimm die Einheit und halte die Einheit; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
42	CH+OT+AM_ADDR	2	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	CH	AIIN || Y	Danach: nimm den Wert; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
43	CH+OT+CH+E+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|CH	Y	Danach: nimm den Posten und nimm den Posten; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
44	CH+OT+E+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	Y	Danach: nimm den Posten; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
45	CH+OT+EE+Y	2	1	RECURRENT	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	Y	Danach: nimm den Posten; auf Grad II.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
46	CH+OT+O+M_LOCAL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	Y	Danach: nimm den Posten; zur Ausführung; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
47	CH+OT+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	Y	Danach: nimm den Posten; weiterführen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
48	CH+OT+Y	5	1	RECURRENT	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	Y	Danach: nimm den Posten.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
49	CH+P+AL+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|P	OR	Nimm die Einheit und setze die Einheit ein; zum Zielort; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
50	CH+P+A_ADDR+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|P	Y	Nimm den Posten und setze den Posten ein; hier; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
51	CH+P+E+DY	2	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_OR_RESOLUTION_MODE	EFFECTIVE_ARGUMENT	2	1	2	CH|P	AIN || NONE	Nimm den Anteil und setze den Anteil ein; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
52	CH+P+E+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|P	Y	Nimm den Posten und setze den Posten ein; auf Grad I; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
53	CH+P+EEE+D_ADDR+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|P	Y	Weiter: nimm den Posten und setze den Posten ein; auf Grad III; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
54	CH+P+OL	2	1	RECURRENT	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|P	Y	Weiter: nimm den Posten und setze den Posten ein.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
55	CH+P+OL+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|P	Y	Weiter: nimm den Posten und setze den Posten ein; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
56	CH+P+SH+EE+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|P|SH	Y	Nimm den Posten und setze den Posten ein und halte den Posten; auf Grad II; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
57	CH+S+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|S	AIN	Nimm den Anteil und wähle den Anteil; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
58	CH+T+E+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|T	Y	Weiter: nimm den Posten und stelle den Posten ein; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
59	CH+T+OL	8	3	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	3	1	3	CH|T	AIIN || OR || Y	Weiter: nimm den Wert und stelle den Wert ein.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
60	CH+T+OL+D_ADDR+AR	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|T	AIIN	Weiter: nimm den Wert und stelle den Wert ein; hier; vom Ausgang.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
61	CH+T+OL+S	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|T|S	Y	Weiter: nimm den Posten und stelle den Posten ein und wähle den Posten.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
62	CHD+DY	4	1	RECURRENT	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CHD	Y	Bearbeite den Posten; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
63	CHD+OL	2	1	RECURRENT	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CHD	AIIN	Weiter: bearbeite den Wert.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
64	DA+IIN+DY	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Gib den Posten; auf der zweiten Stufe; auf der Stufe; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
65	D_ADDR+AIN+AL+DY	1	1	SINGLETON	FIXED	ABSENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	AIN	Nimm den Anteil; hier; zum Zielort; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
66	D_ADDR+AIR+O+DY	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	Y	Halte den Posten; hier; entlang der Bahn; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
67	D_ADDR+AR+D_ADDR+AR+DY	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	Y	Setze den Posten; hier; vom Ausgang; hier; vom Ausgang; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
68	D_ADDR+CH+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	AIN	Nimm den Anteil; hier; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
69	D_ADDR+E+DY	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Gib den Posten; hier; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
70	D_ADDR+O+DY	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	Y	Nimm den Posten; hier; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
71	D_ADDR+O+DY+D_LABEL	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	AIIN	Gib den Wert; hier; zur Ausführung; hier; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
72	D_ADDR+OL	15	9	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ARGUMENT_REQUIRED	ACTION_ARGUMENT	9	6	2	CH || K || OK || P || R || S	AIIN || Y	Weiter: nimm den Wert; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
73	D_ADDR+OL+AR+SH+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	Y	Weiter: halte den Posten; hier; vom Ausgang.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
74	D_ADDR+OL+CH+L	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	Y	Weiter: nimm den Posten; hier; über die Verbindung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
75	D_ADDR+OL+CH+S+Y+CH+K+E+OL	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|S|CH|K	Y	Weiter: nimm den Posten und wähle den Posten und nimm den Posten und gib den Posten; hier; auf Grad I; nochmals weiterführen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
76	D_ADDR+OL+EEE+Y	1	1	SINGLETON	FIXED	ABSENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	Y	Weiter: nimm den Posten; hier; auf Grad III.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
77	D_ADDR+OL+K+AIN	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	AIN	Weiter: gib den Anteil; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
78	D_ADDR+OL+K+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Weiter: gib den Posten; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
79	D_ADDR+OL+SH+E	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	Y	Weiter: halte den Posten; hier; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
80	D_ADDR+OT+EE+Y	1	1	SINGLETON	FIXED	ABSENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	S	Y	Danach: wähle den Posten; hier; auf Grad II.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
81	D_ADDR+SH+OL+DA+IIN+R	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH|R	Y	Weiter: halte den Posten und markiere den Posten; hier; auf der zweiten Stufe; auf der Stufe.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
82	D_ADDR+SH+OL+Y+D_ADDR	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	Y	Weiter: halte den Posten; hier; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
