injection_ordinal	slot_id	source_kind	source_event_or_card_id	reader_unit_kind	reader_unit_id	reader_unit_join_key	physical_page	register	locus	surface	raw_name_core	content_class	name_slot_in_label	gdt585_primary_default_de	gdt582_exact_legacy_default_de	gdt585_declared_legacy_alias_de	legacy_alias_reconciliation	strongest_rival_de	composition_atom_de	base_reader_source	primary_governor_key	guard
11	LOCAL_NAME:P1008-E0127:NAME_1	GDT581_NAME_SPAN	P1008-E0127	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0127	P1008-E0127	f72r	CELESTIAL	f72r1.2	oshodady	o	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert O	Sternringstelle 08	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname O	Ringwert O	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0127	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
12	LOCAL_NAME:P1008-E0127:NAME_2	GDT581_NAME_SPAN	P1008-E0127	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0127	P1008-E0127	f72r	CELESTIAL	f72r1.2	oshodady	odady	STAR_BEARING_RING_POSITION	2	gelernter Ringfiguren- oder Sternwert ODADY	Sternringstelle 09	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname ODADY	Ringwert ODADY	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0127	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
13	LOCAL_NAME:P1008-E0128:NAME_1	GDT581_NAME_SPAN	P1008-E0128	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0128	P1008-E0128	f72r	CELESTIAL	f72r1.3	chdaiirdainy	chdaiird	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert CHDAIIRD	Sternringstelle 10	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname CHDAIIRD	Ringwert CHDAIIRD	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0128	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
14	LOCAL_NAME:P1008-E0133:NAME_1	GDT581_NAME_SPAN	P1008-E0133	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0133	P1008-E0133	f72r	CELESTIAL	f72r1.6	ytalshdy	yt	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert YT	Sternringstelle 11	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname YT	Ringwert YT	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0133	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
15	LOCAL_NAME:P1008-E0133:NAME_2	GDT581_NAME_SPAN	P1008-E0133	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0133	P1008-E0133	f72r	CELESTIAL	f72r1.6	ytalshdy	dy	STAR_BEARING_RING_POSITION	2	wiederkehrender Ring- oder Kalenderwert DY	Sternringstelle 07	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname DY	Ringwert DY	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0133	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
16	LOCAL_NAME:P1008-E0135:NAME_1	GDT581_NAME_SPAN	P1008-E0135	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0135	P1008-E0135	f72r	CELESTIAL	f72r1.7	alif	if	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert IF	Sternringstelle 12	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname IF	Ringwert IF	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0135	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
17	LOCAL_NAME:P1008-E0139:NAME_1	GDT581_NAME_SPAN	P1008-E0139	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0139	P1008-E0139	f72r	CELESTIAL	f72r1.10	otalef	ef	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert EF	Sternringstelle 13	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname EF	Ringwert EF	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0139	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
18	LOCAL_NAME:P1008-E0172:NAME_1	GDT581_NAME_SPAN	P1008-E0172	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0172	P1008-E0172	f72r	CELESTIAL	f72r1.14	otchoshy	cho	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert CHO	Sternringstelle 14	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname CHO	Ringwert CHO	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0172	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
19	LOCAL_NAME:P1008-E0173:NAME_1	GDT581_NAME_SPAN	P1008-E0173	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0173	P1008-E0173	f72r	CELESTIAL	f72r1.15	otchdal	ch	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert CH	Sternringstelle 15	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname CH	Ringwert CH	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0173	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
20	LOCAL_NAME:P1008-E0190:NAME_1	GDT581_NAME_SPAN	P1008-E0190	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0190	P1008-E0190	f72r	CELESTIAL	f72r2.1	ofchdamy	chdamy	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert CHDAMY	Sternringstelle 16	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname CHDAMY	Ringwert CHDAMY	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0190	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
21	LOCAL_NAME:P1008-E0191:NAME_1	GDT581_NAME_SPAN	P1008-E0191	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0191	P1008-E0191	f72r	CELESTIAL	f72r2.2	oklairdy	l	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert L	Sternringstelle 17	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname L	Ringwert L	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0191	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
22	LOCAL_NAME:P1008-E0191:NAME_2	GDT581_NAME_SPAN	P1008-E0191	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0191	P1008-E0191	f72r	CELESTIAL	f72r2.2	oklairdy	dy	STAR_BEARING_RING_POSITION	2	wiederkehrender Ring- oder Kalenderwert DY	Sternringstelle 07	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname DY	Ringwert DY	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0191	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
23	LOCAL_NAME:P1008-E0193:NAME_1	GDT581_NAME_SPAN	P1008-E0193	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0193	P1008-E0193	f72r	CELESTIAL	f72r2.4	okairy	y	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert Y	Sternringstelle 18	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname Y	Ringwert Y	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0193	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
24	LOCAL_NAME:P1008-E0194:NAME_1	GDT581_NAME_SPAN	P1008-E0194	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0194	P1008-E0194	f72r	CELESTIAL	f72r2.5	okealar	e	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert E	Sternringstelle 19	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname E	Ringwert E	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0194	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
25	LOCAL_NAME:P1008-E0243:NAME_1	GDT581_NAME_SPAN	P1008-E0243	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0243	P1008-E0243	f72r	CELESTIAL	f72r2.13	oteeary	ee	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert EE	Sternringstelle 20	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname EE	Ringwert EE	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0243	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
26	LOCAL_NAME:P1008-E0243:NAME_2	GDT581_NAME_SPAN	P1008-E0243	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0243	P1008-E0243	f72r	CELESTIAL	f72r2.13	oteeary	y	STAR_BEARING_RING_POSITION	2	wiederkehrender Ring- oder Kalenderwert Y	Sternringstelle 18	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname Y	Ringwert Y	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0243	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
27	LOCAL_NAME:P1008-E0246:NAME_1	GDT581_NAME_SPAN	P1008-E0246	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0246	P1008-E0246	f72r	CELESTIAL	f72r2.15	okaircham	ch	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert CH	Sternringstelle 15	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname CH	Ringwert CH	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0246	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
28	LOCAL_NAME:P1008-E0247:NAME_1	GDT581_NAME_SPAN	P1008-E0247	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0247	P1008-E0247	f72r	CELESTIAL	f72r2.16	okeal	e	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert E	Sternringstelle 19	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname E	Ringwert E	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0247	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
29	LOCAL_NAME:P1008-E0250:NAME_1	GDT581_NAME_SPAN	P1008-E0250	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0250	P1008-E0250	f72r	CELESTIAL	f72r2.19	orary	y	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert Y	Sternringstelle 18	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname Y	Ringwert Y	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0250	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
30	LOCAL_NAME:P1008-E0251:NAME_1	GDT581_NAME_SPAN	P1008-E0251	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0251	P1008-E0251	f72r	CELESTIAL	f72r2.20	okyd	yd	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert YD	Sternringstelle 21	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname YD	Ringwert YD	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0251	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
31	LOCAL_NAME:P1008-E0280:NAME_1	GDT581_NAME_SPAN	P1008-E0280	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0280	P1008-E0280	f72r	CELESTIAL	f72r2.24	ralal	r	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert R	Sternringstelle 22	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname R	Ringwert R	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0280	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
32	LOCAL_NAME:P1008-E0284:NAME_1	GDT581_NAME_SPAN	P1008-E0284	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0284	P1008-E0284	f72r	CELESTIAL	f72r2.28	chosar	chos	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert CHOS	Sternringstelle 23	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname CHOS	Ringwert CHOS	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0284	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
33	LOCAL_NAME:P1008-E0286:NAME_1	GDT581_NAME_SPAN	P1008-E0286	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0286	P1008-E0286	f72r	CELESTIAL	f72r2.30	ainaly	ain	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert AIN	Sternringstelle 24	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname AIN	Ringwert AIN	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0286	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
34	LOCAL_NAME:P1008-E0287:NAME_1	GDT581_NAME_SPAN	P1008-E0287	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0287	P1008-E0287	f72r	CELESTIAL	f72r2.31	okarcham	ch	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert CH	Sternringstelle 15	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname CH	Ringwert CH	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0287	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
