card_no	surfaces	component_parse	reconstructed_component_values_de	licensed_frame_codes	licensed_frame_verbs_de	gloss_free_mechanical_reading_de	structural_reconstruction	natural_wording_status	old_atomic_gloss_used_as_input	old_atomic_gloss_comparator_only_de	contains_single_card_specialist_component	specialist_card_from_pass575	occurrences
PROC013	cheol|chol|ol|qol|sol|tol	OL	fortsetzen	NONE	NONE	fortsetzen	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen	NO	NO	19
PROC014	checthy|cthy|shcthy	CTH+Y	bereit · dieser Posten	NONE	NONE	bereit · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	bereit · dieser Posten	NO	NO	7
PROC015	ycheor	Y+CH+E+OR	dieser Posten · abziehen · kurz · Ansatz	CH:PREPARATION_DRAW	abziehen	dieser Posten · abziehen · kurz · Ansatz [Rahmen: abziehen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz abziehen	NO	NO	1
PROC016	chor|or|shor|sor	OR	Ansatz	NONE	NONE	Ansatz	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Ansatz	NO	NO	7
PROC017	cthaiin	CTH+AIIN	bereit · vorgeschriebenes Maß	NONE	NONE	bereit · vorgeschriebenes Maß	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	bereit · vorgeschriebenes Maß	NO	NO	1
PROC018	qoctholy	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dieser Posten	NONE	NONE	Arbeitsgang · bereit · fortsetzen · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Arbeitsgang · bereit · fortsetzen · dieser Posten	NO	NO	1
PROC019	chey|chy|dy|shy|sy|y	Y	dieser Posten	NONE	NONE	dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	dieser Posten	NO	NO	18
PROC020	otchor|qotchor	OT+CH+OR	danach · abziehen · Ansatz	CH:PREPARATION_DRAW	abziehen	danach · abziehen · Ansatz [Rahmen: abziehen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach den Ansatz abziehen	NO	NO	2
PROC021	otol	OT+OL	danach · fortsetzen	NONE	NONE	danach · fortsetzen	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · fortsetzen	NO	NO	1
PROC022	cholor|olor	OL+OR	fortsetzen · Ansatz	NONE	NONE	fortsetzen · Ansatz	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen · Ansatz	NO	NO	2
PROC023	oykchor	O+Y+K+OR	Arbeitsgang · dieser Posten · zuführen · Ansatz	K:MATERIAL_ADD	zugeben	Arbeitsgang · dieser Posten · zuführen · Ansatz [Rahmen: zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten zuführen	NO	NO	1
PROC024	kaiiin	K+IIN	zuführen · Sollstufe	K:MATERIAL_ADD	zugeben	zuführen · Sollstufe [Rahmen: zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten zuführen bis Sollstufe	NO	NO	1
PROC025	chodaiin	CH+O+AIIN	abziehen · Arbeitsgang · vorgeschriebenes Maß	CH:PREPARATION_DRAW	abziehen	abziehen · Arbeitsgang · vorgeschriebenes Maß [Rahmen: abziehen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Arbeitsgang nach vorgeschriebenes Maß abziehen	NO	NO	1
PROC026	tshol	T+SH+OL	eintragen · halten · fortsetzen	SH:HOLD|T:CONTINUE_ENTRY	halten, eintragen	eintragen · halten · fortsetzen [Rahmen: halten, eintragen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten eintragen und halten	NO	NO	1
PROC027	schoal	SH+O+AL	halten · Arbeitsgang · bezeichnete Stelle	SH:TARGET_HOLD	an Ort halten	halten · Arbeitsgang · bezeichnete Stelle [Rahmen: an Ort halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Arbeitsgang an bezeichnete Stelle halten	NO	NO	1
PROC028	cfhy	CFH+Y	auswringen · dieser Posten	CFH:WRING	auswringen	auswringen · dieser Posten [Rahmen: auswringen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten auswringen	YES	YES	1
PROC029	shfydaiin	SH+Y+AIIN	halten · dieser Posten · vorgeschriebenes Maß	SH:HOLD	halten	halten · dieser Posten · vorgeschriebenes Maß [Rahmen: halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten nach vorgeschriebenes Maß halten	NO	NO	1
PROC030	cphy	P+Y	hineingeben · dieser Posten	P:INSERT	hineingeben	hineingeben · dieser Posten [Rahmen: hineingeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten hineingeben	NO	NO	1
PROC031	cheey|shey	SH+EE+Y	halten · länger · dieser Posten	SH:TIMED_HOLD	halten	halten · länger · dieser Posten [Rahmen: halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten länger halten	NO	NO	4
PROC032	tchody	T+CH+O+DY	eintragen · abziehen · Arbeitsgang · Schluss	CH:PREPARATION_DRAW|T:COMMIT_ENTRY	abziehen, abschließend eintragen	eintragen · abziehen · Arbeitsgang · Schluss [Rahmen: abziehen, abschließend eintragen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Arbeitsgang eintragen und abziehen; Schritt schließen	NO	NO	1
PROC033	shoyty	SH+O+Y+T+Y	halten · Arbeitsgang · dieser Posten · eintragen · dieser Posten	SH:HOLD|T:PROCESS_ENTRY	halten, eintragen	halten · Arbeitsgang · dieser Posten · eintragen · dieser Posten [Rahmen: halten, eintragen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten halten und eintragen	NO	NO	1
PROC034	dchol|schol	OL	fortsetzen	NONE	NONE	fortsetzen	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen	NO	NO	2
PROC035	kchy	K+Y	zuführen · dieser Posten	K:ADD	zugeben	zuführen · dieser Posten [Rahmen: zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten zuführen	NO	NO	1
PROC036	qotchy	OT+Y	danach · dieser Posten	NONE	NONE	danach · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · dieser Posten	NO	NO	1
PROC037	okchol	OK+OL	ansetzen · fortsetzen	OK:MEASURED_CHARGE	einsetzen	ansetzen · fortsetzen [Rahmen: einsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten ansetzen	NO	NO	1
PROC038	okaiin|qokaiin	OK+AIIN	ansetzen · vorgeschriebenes Maß	OK:FLOW_START|OK:MEASURED_CHARGE	einleiten, einsetzen	ansetzen · vorgeschriebenes Maß [Rahmen: einleiten, einsetzen]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	nach vorgeschriebenem Maß in Einsatz bringen	NO	NO	9
PROC039	ykain	Y+K+AIN	dieser Posten · zuführen · Portion	K:MEASURED_ADD	dosiert zugeben	dieser Posten · zuführen · Portion [Rahmen: dosiert zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten nach Portion zuführen	NO	NO	1
PROC040	ykan	Y+K+AIN	dieser Posten · zuführen · Portion	K:MATERIAL_ADD	zugeben	dieser Posten · zuführen · Portion [Rahmen: zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten nach Portion zuführen	NO	NO	1
PROC041	ody	O+DY	Arbeitsgang · Schluss	NONE	NONE	Arbeitsgang · Schluss	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Arbeitsgang; Schritt schließen	NO	NO	1
PROC042	chdy|chedy	CHD+Y	umsetzen · dieser Posten	CHD:MEASURED_TRANSFER|CHD:TRANSFER	abmessen und umsetzen, umsetzen	umsetzen · dieser Posten [Rahmen: abmessen und umsetzen, umsetzen]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	den aktuellen Posten umsetzen	NO	NO	11
PROC043	talam	TALAM	verwahren	TALAM:STORE	verwahren	verwahren [Rahmen: verwahren]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten verwahren	YES	YES	1
PROC044	ykaiin	Y+K+AIIN	dieser Posten · zuführen · vorgeschriebenes Maß	K:MEASURED_ADD	dosiert zugeben	dieser Posten · zuführen · vorgeschriebenes Maß [Rahmen: dosiert zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten nach vorgeschriebenes Maß zuführen	NO	NO	1
PROC045	cheoar	CH+E+O+AR	abziehen · kurz · Arbeitsgang · von dort	CH:SOURCE_TAKE	entnehmen	abziehen · kurz · Arbeitsgang · von dort [Rahmen: entnehmen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Arbeitsgang von dort kurz abziehen	NO	NO	1
PROC046	cheeky	CHK+EE+Y	wärmen · länger · dieser Posten	CHK:COMMIT_TEMPER|CHK:HOLD_WARM	temperieren, warm halten	wärmen · länger · dieser Posten [Rahmen: temperieren, warm halten]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	den aktuellen Posten länger wärmen	NO	NO	2
PROC047	oldy	OL+DY	fortsetzen · Schluss	NONE	NONE	fortsetzen · Schluss	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen; Schritt schließen	NO	NO	2
PROC048	okal|qokal	OK+AL	ansetzen · bezeichnete Stelle	OK:TARGET_APPLY	anlegen	ansetzen · bezeichnete Stelle [Rahmen: anlegen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle ansetzen	NO	NO	6
PROC049	oltchy	OL+T+Y	fortsetzen · eintragen · dieser Posten	T:MEASURED_ENTRY	eintragen	fortsetzen · eintragen · dieser Posten [Rahmen: eintragen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen diesen Posten eintragen	NO	NO	1
PROC050	orain	OR+AIN	Ansatz · Portion	NONE	NONE	Ansatz · Portion	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Ansatz · Portion	NO	NO	1
PROC051	chochor	HO+CH+OR	Gabe · abziehen · Ansatz	CH:PREPARATION_DRAW	abziehen	Gabe · abziehen · Ansatz [Rahmen: abziehen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Gabe und Ansatz abziehen	NO	NO	1
PROC052	cho|sho	HO	Gabe	NONE	NONE	Gabe	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Gabe	NO	NO	4
PROC053	chodaly	HO+AL+Y	Gabe · bezeichnete Stelle · dieser Posten	NONE	NONE	Gabe · bezeichnete Stelle · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Gabe · bezeichnete Stelle · dieser Posten	NO	NO	1
PROC054	kchol	K+OL	zuführen · fortsetzen	K:TARGET_FEED	zuführen	zuführen · fortsetzen [Rahmen: zuführen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten zuführen	NO	NO	1
PROC055	al|chal|cheal|dal|sal|tal	AL	bezeichnete Stelle	NONE	NONE	bezeichnete Stelle	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	bezeichnete Stelle	NO	NO	10
PROC056	choy	HO+Y	Gabe · dieser Posten	NONE	NONE	Gabe · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Gabe · dieser Posten	NO	NO	1
PROC057	cheeckhody	CH+EE+CKH+O+DY	abziehen · länger · Durchlass · Arbeitsgang · Schluss	CH:PATH_DRAW	ablaufen lassen	abziehen · länger · Durchlass · Arbeitsgang · Schluss [Rahmen: ablaufen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	NO	NO	1
PROC058	sh	SH	halten	SH:HOLD	halten	halten [Rahmen: halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten halten	NO	NO	1
PROC059	kchey	K+E+Y	zuführen · kurz · dieser Posten	K:MATERIAL_ADD	zugeben	zuführen · kurz · dieser Posten [Rahmen: zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz zuführen	NO	NO	1
PROC060	qokokchy	OK+OK+Y	ansetzen · ansetzen · dieser Posten	OK:ACTIVATE	einsetzen	ansetzen · ansetzen · dieser Posten [Rahmen: einsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten ansetzen und ansetzen	NO	NO	1
PROC061	chokcheo	OK+CH+E+O	ansetzen · abziehen · kurz · Arbeitsgang	CH:PREPARATION_DRAW|OK:PREPARATION_START	abziehen, ansetzen	ansetzen · abziehen · kurz · Arbeitsgang [Rahmen: abziehen, ansetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Arbeitsgang kurz ansetzen und abziehen	NO	NO	1
PROC062	kchal	K+AL	zuführen · bezeichnete Stelle	K:TARGET_FEED	zuführen	zuführen · bezeichnete Stelle [Rahmen: zuführen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle zuführen	NO	NO	1
PROC063	kchoar	K+HO+AR	zuführen · Gabe · von dort	K:MATERIAL_ADD	zugeben	zuführen · Gabe · von dort [Rahmen: zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Gabe von dort zuführen	NO	NO	1
PROC064	sotodan	OT+O+AIN	danach · Arbeitsgang · Portion	NONE	NONE	danach · Arbeitsgang · Portion	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · Arbeitsgang · Portion	NO	NO	1
PROC065	otchey	OT+Y	danach · dieser Posten	NONE	NONE	danach · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · dieser Posten	NO	NO	2
PROC066	keol	K+E+OL	zuführen · kurz · fortsetzen	K:MATERIAL_ADD	zugeben	zuführen · kurz · fortsetzen [Rahmen: zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten kurz zuführen	NO	NO	1
PROC067	qokedy	OK+E+DY	ansetzen · kurz · Schluss	OK:TIMED_APPLICATION	einwirken lassen	ansetzen · kurz · Schluss [Rahmen: einwirken lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten kurz ansetzen; Schritt schließen	NO	NO	8
PROC068	kair	K+AIR	zuführen · laufender Bestand	K:PATH_FEED	einspeisen	zuführen · laufender Bestand [Rahmen: einspeisen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten durch laufender Bestand zuführen	NO	NO	1
PROC069	chkain|kain	K+AIN	zuführen · Portion	K:MEASURED_ADD	dosiert zugeben	zuführen · Portion [Rahmen: dosiert zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten nach Portion zuführen	NO	NO	3
PROC070	olkain|qolkain	OL+K+AIN	fortsetzen · zuführen · Portion	K:MEASURED_ADD	dosiert zugeben	fortsetzen · zuführen · Portion [Rahmen: dosiert zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten nach Portion zuführen	NO	NO	2
PROC071	rol	R+OL	abkühlen · fortsetzen	R:TARGET_COOL	abkühlen lassen	abkühlen · fortsetzen [Rahmen: abkühlen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten abkühlen	NO	NO	1
PROC072	dl	L	führen	L:GUIDE|L:PATH_GUIDE	führen, durchleiten	führen [Rahmen: führen, durchleiten]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	leiten	NO	NO	2
PROC073	sheckhal	SH+E+CKH+AL	halten · kurz · Durchlass · bezeichnete Stelle	SH:PATH_HOLD	zurückhalten	halten · kurz · Durchlass · bezeichnete Stelle [Rahmen: zurückhalten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	NO	NO	1
PROC074	qokeedal	OK+EE+AL	ansetzen · länger · bezeichnete Stelle	OK:TARGET_APPLY	anlegen	ansetzen · länger · bezeichnete Stelle [Rahmen: anlegen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle länger ansetzen	NO	NO	1
PROC075	chckhy|shckhy	CKH+Y	Durchlass · dieser Posten	NONE	NONE	Durchlass · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Durchlass · dieser Posten	NO	NO	4
PROC076	dchedy|schedy|tchedy	CHD+DY	umsetzen · Schluss	CHD:COMMIT_TRANSFER|CHD:PATH_TRANSFER|CHD:TARGET_TRANSFER	überführen, durchleiten, umfüllen	umsetzen · Schluss [Rahmen: überführen, durchleiten, umfüllen]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	überführen und den Schritt schließen	NO	NO	4
PROC077	sshkchdy	SH+K+CHD+DY	halten · zuführen · umsetzen · Schluss	CHD:COMMIT_TRANSFER|K:COMMIT_ADD|SH:HOLD	überführen, zugeben, halten	halten · zuführen · umsetzen · Schluss [Rahmen: überführen, zugeben, halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	NO	NO	1
PROC078	cheedy|shedy|tedy	SHED+DY	absetzen · Schluss	SHED:COMMIT_SETTLE|SHED:TARGET_DEPOSIT	absetzen lassen, ablagern	absetzen · Schluss [Rahmen: absetzen lassen, ablagern]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	absetzen und den Schritt schließen	NO	NO	12
PROC079	olchedy|qolchedy	OL+CHD+DY	fortsetzen · umsetzen · Schluss	CHD:COMMIT_TRANSFER	überführen	fortsetzen · umsetzen · Schluss [Rahmen: überführen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten umsetzen; Schritt schließen	NO	NO	3
PROC080	okain|qokain	OK+AIN	ansetzen · Portion	OK:MEASURED_CHARGE	einsetzen	ansetzen · Portion [Rahmen: einsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten nach Portion ansetzen	NO	NO	7
PROC081	ral	R+AL	abkühlen · bezeichnete Stelle	R:TARGET_COOL	abkühlen lassen	abkühlen · bezeichnete Stelle [Rahmen: abkühlen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle abkühlen	NO	NO	1
PROC082	qokchdy	OK+CHD+DY	ansetzen · umsetzen · Schluss	CHD:COMMIT_TRANSFER|OK:ACTIVATE	überführen, einsetzen	ansetzen · umsetzen · Schluss [Rahmen: überführen, einsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten ansetzen und umsetzen; Schritt schließen	NO	NO	3
PROC083	cheky	CHK+E+Y	wärmen · kurz · dieser Posten	CHK:HOLD_WARM	warm halten	wärmen · kurz · dieser Posten [Rahmen: warm halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz wärmen	NO	NO	3
PROC084	lsho	LSH+O	waschen · Arbeitsgang	LSH:WASH	waschen	waschen · Arbeitsgang [Rahmen: waschen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Arbeitsgang waschen	NO	NO	1
PROC085	okey|qokey	OK+E+Y	ansetzen · kurz · dieser Posten	OK:HOLD_ACTIVE	wirken lassen	ansetzen · kurz · dieser Posten [Rahmen: wirken lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz ansetzen	NO	NO	2
PROC086	lshedy	LSH+E+DY	waschen · kurz · Schluss	LSH:COMMIT_WASH	durchwaschen	waschen · kurz · Schluss [Rahmen: durchwaschen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten kurz waschen; Schritt schließen	NO	NO	2
PROC087	qolky	SOLK+Y	auffangen · dieser Posten	SOLK:COLLECT	auffangen	auffangen · dieser Posten [Rahmen: auffangen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten auffangen	NO	NO	1
PROC088	lchedal	L+CHD+AL	führen · umsetzen · bezeichnete Stelle	CHD:TARGET_TRANSFER|L:TARGET_GUIDE	umfüllen, hinleiten	führen · umsetzen · bezeichnete Stelle [Rahmen: umfüllen, hinleiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle führen und umsetzen	NO	NO	1
PROC089	otar	OT+AR	danach · von dort	NONE	NONE	danach · von dort	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · von dort	NO	NO	1
PROC090	ytey	T+E+Y	eintragen · kurz · dieser Posten	T:SOURCE_COPY	übertragen	eintragen · kurz · dieser Posten [Rahmen: übertragen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz eintragen	NO	NO	1
PROC091	okchedy|qokchedy	OK+CHD+DY	ansetzen · umsetzen · Schluss	CHD:COMMIT_TRANSFER|OK:ACTIVATE	überführen, einsetzen	ansetzen · umsetzen · Schluss [Rahmen: überführen, einsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten ansetzen und umsetzen; Schritt schließen	NO	NO	2
PROC092	okeey|qokeey	OK+EE+Y	ansetzen · länger · dieser Posten	OK:HOLD_ACTIVE|OK:TARGET_APPLY	wirken lassen, anlegen	ansetzen · länger · dieser Posten [Rahmen: wirken lassen, anlegen]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	den aktuellen Posten länger in Einsatz halten	NO	NO	7
PROC093	teol	E+OL	kurz · fortsetzen	NONE	NONE	kurz · fortsetzen	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	kurz · fortsetzen	NO	NO	1
PROC094	dchdy	CHD+DY	umsetzen · Schluss	CHD:TARGET_TRANSFER	umfüllen	umsetzen · Schluss [Rahmen: umfüllen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten umsetzen; Schritt schließen	NO	NO	1
PROC095	ly	L+Y	führen · dieser Posten	L:GUIDE	führen	führen · dieser Posten [Rahmen: führen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten führen	NO	NO	1
PROC096	dsheol	SH+E+OL	halten · kurz · fortsetzen	SH:TIMED_HOLD	halten	halten · kurz · fortsetzen [Rahmen: halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten kurz halten	NO	NO	1
PROC097	oiiin|soiiin	O+IIN	Arbeitsgang · Sollstufe	NONE	NONE	Arbeitsgang · Sollstufe	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Arbeitsgang · Sollstufe	NO	NO	2
PROC098	olkeedy|solkeedy	SOLK+EE+DY	auffangen · länger · Schluss	SOLK:COMMIT_COLLECT	auffangen und stehen lassen	auffangen · länger · Schluss [Rahmen: auffangen und stehen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten länger auffangen; Schritt schließen	NO	NO	3
PROC099	shckhedy	SH+CKH+E+DY	halten · Durchlass · kurz · Schluss	SH:PATH_HOLD	zurückhalten	halten · Durchlass · kurz · Schluss [Rahmen: zurückhalten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	NO	NO	3
PROC100	qokeedy	OK+EE+DY	ansetzen · länger · Schluss	OK:TIMED_APPLICATION	einwirken lassen	ansetzen · länger · Schluss [Rahmen: einwirken lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten länger ansetzen; Schritt schließen	NO	NO	10
PROC101	lcheckhy	L+CKH+Y	führen · Durchlass · dieser Posten	L:PATH_GUIDE	durchleiten	führen · Durchlass · dieser Posten [Rahmen: durchleiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten durch Durchlass führen	NO	NO	1
