position	block	locus	group	word	type	value	hypothetical_meaning	frozen_old	confirmed
20	NEW63	f83r.19	11	lchedy	KNOWLEDGE_OF_SECOND_ACTIVITY	KNOWLEDGE_OF_SECOND_ACTIVITY	Knowledge that the second activity of the declared ordered pair occurs. This deliberately compound new value contains both KNOWLEDGE and SECOND(pair); its cost is recorded.	False	False
21	NEW63	f83r.20	1	solkeedy	CONCERNING	CONCERNING	Introduce the next complete typed topic expression, an activity specification or the cloth object; the operator itself does not assert or perform the topic.	False	False
22	NEW63	f83r.20	2	qoteedy	BY_TORCHLIGHT	BY_TORCHLIGHT	Illuminate the next activity specification by the same TORCHES source. This is an openly added compound expression equivalent to BY_LIGHT_OF(TORCHES).	False	False
23	NEW63	f83r.20	3	qokeey	ACTION	UNRAVEL	unravel work on that same cloth	True	False
24	NEW63	f83r.20	4	qokedy	CLOTH	CURRENT_CLOTH	the cloth/shroud	True	False
25	NEW63	f83r.20	5	sol	IN_CONTRAST	IN_CONTRAST	Contrast the following complete assertion with the preceding topic/assertion, without reversing the truth of either.	False	False
26	NEW63	f83r.20	6	cheeety	APPLY_ACTIVITY_TYPE	APPLY_ACTIVITY_TYPE	Assert the habitual application of the explicitly supplied activity type to the supplied patient by the supplied worker. Its operands are patient, worker, activity type in that order.	False	False
27	NEW63	f83r.20	7	qokedy	CLOTH	CURRENT_CLOTH	the cloth/shroud	True	False
28	NEW63	f83r.20	8	qoky	WORKER	WOMAN	the woman who does the work	True	False
29	NEW63	f83r.20	9	saiin	FIRST	FIRST_OF_ORDERED_PAIR	the first member of the most recent ordered action-type pair	True	False
30	NEW63	f83r.21	1	solkeedy	CONCERNING	CONCERNING	Introduce the next complete typed topic expression, an activity specification or the cloth object; the operator itself does not assert or perform the topic.	False	False
31	NEW63	f83r.21	2	qokedy	CLOTH	CURRENT_CLOTH	the cloth/shroud	True	False
32	NEW63	f83r.21	3	otedy	NOT_FINISHED	NOT_FINISHED	The complement of the unchanged FINISHED(C) predicate, evaluated in the explicitly selected work phase. This is a new whole-form guess, not an o/t/e segmentation claim.	False	False
33	NEW63	f83r.21	4	sol	IN_CONTRAST	IN_CONTRAST	Contrast the following complete assertion with the preceding topic/assertion, without reversing the truth of either.	False	False
34	NEW63	f83r.21	5	chedy	FINISH_PREDICATE	FINISHED	the cloth is finished / completion predicate	True	False
35	NEW63	f83r.21	6	lkedy	REQUIRED	REQUIRED	Put the preceding unchanged state predicate inside a requirement, not an achieved state assertion.	False	False
36	NEW63	f83r.21	7	qokchedy	REQUEST_CONCERNING	REQUEST_CONCERNING	Identify the explicit cloth as the patient of that requirement/request.	False	False
37	NEW63	f83r.21	8	qokedy	CLOTH	CURRENT_CLOTH	the cloth/shroud	True	False
38	NEW63	f83r.21	9	chckhdy	BY_REQUESTER	BY_REQUESTER	Mark the following public participant class as the requester of the stated condition.	False	False
39	NEW63	f83r.21	10	sar	PUBLIC_PARTICIPANTS	WOOERS	Exactly the public participants O named as wooers by old qody. This is an openly added co-denoting whole form.	False	False
40	NEW63	f83r.22	1	schedair	LATER	LATER	Move the asserted action to a phase later than the earlier work period; it does not itself assert discovery.	False	False
41	NEW63	f83r.22	2	otchedy	COMPELLED	UNDER_COMPULSION	Under compulsion, with exactly the same modality as old okeedy; an openly added synonymous whole form.	False	False
42	NEW63	f83r.22	3	qokeedy	ACTION	WEAVE	weave the same cloth	True	False
43	NEW63	f83r.22	4	chedain	ATTAINS_STATE	ATTAINS_STATE	Cap the written action with achievement of the following unchanged state predicate. This new overt endpoint construction must not alter old saii or turn every occurrence of FINISHED into an assertion.	False	False
44	NEW63	f83r.22	5	chedy	FINISH_PREDICATE	FINISHED	the cloth is finished / completion predicate	True	False
45	NEW63	f83r.22	6	qotedaiin	CONTRAST_PHASE_STATE	CONTRAST_PHASE_STATE	Compare the following phase-specific state with the preceding later action outcome.	False	False
46	NEW63	f83r.22	7	otaiin	EARLIER_WORK_PERIOD	EARLIER_WORK_PERIOD	The earlier habitual work period E of this same episode, preceding the later compelled completion phase.	False	False
47	NEW63	f83r.22	8	otedy	NOT_FINISHED	NOT_FINISHED	The complement of the unchanged FINISHED(C) predicate, evaluated in the explicitly selected work phase. This is a new whole-form guess, not an o/t/e segmentation claim.	False	False
48	NEW63	f83r.22	9	ldy	STATE	STATE	Type the preceding state expression as a state-of-the-cloth claim, not another action.	False	False
49	NEW63	f83r.23	1	tchedy	RECALL	RECALL	Return discourse attention to the already described earlier work period; do not reverse event order or perform another action.	False	False
50	NEW63	f83r.23	2	qotedy	VISIBLE_PROGRESS_OCCURRENCES	VISIBLE_PROGRESS_OCCURRENCES	The plural occurrence class of visible work progress on the cloth, with no invented count or amount.	False	False
51	NEW63	f83r.23	3	qokal	AT_TIME_REGION	AT_TIME_REGION	Qualify the progress-occurrence class by the following daytime region, before its explicit cloth argument.	False	False
52	NEW63	f83r.23	4	shedy	TIME_PHASE	DAY	daytime	True	False
53	NEW63	f83r.23	5	qokedy	CLOTH	CURRENT_CLOTH	the cloth/shroud	True	False
54	NEW63	f83r.23	6	shecthedy	PRECEDES	PRECEDES	Assert strict temporal precedence of the progress occurrences over the following completion-onset event.	False	False
55	NEW63	f83r.23	7	shecthy	ONSET_OF_CONDITION	ONSET_OF_CONDITION	The onset event of the following WHEN condition, not a second cloth or another completed weaving action.	False	False
56	NEW63	f83r.23	8	otor	WHEN	WHEN	Form a temporal condition from the following daytime region or state predicate: membership in the named region, or truth of that unchanged predicate in the state at a time. The finite two-case type lifting is declared in B3.	False	False
57	NEW63	f83r.23	9	chedy	FINISH_PREDICATE	FINISHED	the cloth is finished / completion predicate	True	False
58	NEW63	f83r.24	1	soiiin	THOSE_OCCURRENCES	THOSE_OCCURRENCES	Refer to the most recently explicitly described plural progress-occurrence class.	False	False
59	NEW63	f83r.24	2	checthy	RECURRENT	RECURRENT	Describe those occurrences as recurrent; no count is supplied.	False	False
60	NEW63	f83r.24	3	chety	WITHIN_PERIOD	WITHIN_PERIOD	Restrict the occurrences to the following explicitly named work period.	False	False
61	NEW63	f83r.24	4	otaiin	EARLIER_WORK_PERIOD	EARLIER_WORK_PERIOD	The earlier habitual work period E of this same episode, preceding the later compelled completion phase.	False	False
62	NEW63	f83r.24	5	olsaly	EACH	EACH	Distribute the recurrence over the following daytime-kind instances in that period; no number of days or equal work amounts is asserted.	False	False
63	NEW63	f83r.24	6	shedy	TIME_PHASE	DAY	daytime	True	False
64	OLD33	f83r.25	1	qokeedy	ACTION	WEAVE	weave the same cloth	True	False
65	OLD33	f83r.25	2	qolchey	ORDERED_CONTRAST	ORDERED_PAIR	as opposed to: ordered contrast of two action types	True	False
66	OLD33	f83r.25	3	qokeey	ACTION	UNRAVEL	unravel work on that same cloth	True	False
67	OLD33	f83r.25	4	qokedy	CLOTH	CURRENT_CLOTH	the cloth/shroud	True	False
68	OLD33	f83r.25	5	chedy	FINISH_PREDICATE	FINISHED	the cloth is finished / completion predicate	True	False
69	OLD33	f83r.25	6	otal	INTENDED_SOCIAL_ACT	MARRIAGE	marriage (an intended social act, not an assertion that it occurs)	True	False
70	OLD33	f83r.26	1	otchey	SECRET	UNKNOWN_TO_PUBLIC_AUDIENCE	secretly, unknown to the public participants	True	False
71	OLD33	f83r.26	2	qokeey	ACTION	UNRAVEL	unravel work on that same cloth	True	False
72	OLD33	f83r.26	3	qoky	WORKER	WOMAN	the woman who does the work	True	False
73	OLD33	f83r.26	4	tol	PUBLIC	PUBLIC_AUDIENCE	publicly	True	False
74	OLD33	f83r.26	5	shedy	TIME_PHASE	DAY	daytime	True	False
75	OLD33	f83r.26	6	qokylddy	PLEDGE	PLEDGE_LATEST_PREREQUISITE	pledges the most recent prerequisite proposition	True	False
76	OLD33	f83r.27	1	dain	UNTIL	PROSPECTIVE_ENDPOINT	until: prospective endpoint of the following action	True	False
77	OLD33	f83r.27	2	chedy	FINISH_PREDICATE	FINISHED	the cloth is finished / completion predicate	True	False
78	OLD33	f83r.27	3	qokeedy	ACTION	WEAVE	weave the same cloth	True	False
79	OLD33	f83r.27	4	shckhedy	ROW	ROW_OF_WOVEN_WORK	row of woven work	True	False
80	OLD33	f83r.27	5	shckhedy	ROW	ROW_OF_WOVEN_WORK	row of woven work	True	False
81	OLD33	f83r.28	1	saiin	FIRST	FIRST_OF_ORDERED_PAIR	the first member of the most recent ordered action-type pair	True	False
82	OLD33	f83r.28	2	cheeky	SECOND	SECOND_OF_ORDERED_PAIR	the second member of the same ordered action-type pair	True	False
83	OLD33	f83r.28	3	sheey	RESPECTIVELY	PAIR_TIMES	have, respectively, the following paired times	True	False
84	OLD33	f83r.28	4	qokedy	CLOTH	CURRENT_CLOTH	the cloth/shroud	True	False
85	OLD33	f83r.28	5	shedy	TIME_PHASE	DAY	daytime	True	False
86	OLD33	f83r.28	6	oldy	TIME_PHASE	NIGHT	nighttime	True	False
87	OLD33	f83r.29	1	salchedy	HANDMAID	HANDMAID	a handmaid	True	False
88	OLD33	f83r.29	2	cheey	INFORM	INFORM_ABOUT_CONCEALED_ACTION	informs a recipient about the most recent concealed action	True	False
89	OLD33	f83r.29	3	qody	AUDIENCE	WOOERS	the wooers, the public participants	True	False
90	OLD33	f83r.29	4	kesd	DISCOVER	DISCOVER_CONCEALED_ACTION	discovers the previously concealed action	True	False
91	OLD33	f83r.29	5	oldy	TIME_PHASE	NIGHT	nighttime	True	False
92	OLD33	f83r.30	1	s	THEN	AFTER_PRECEDING_DISCOVERY	then, after the preceding discovery	True	False
93	OLD33	f83r.30	2	okeedy	COMPULSION	UNDER_COMPULSION	under compulsion	True	False
94	OLD33	f83r.30	3	qokeedy	ACTION	WEAVE	weave the same cloth	True	False
95	OLD33	f83r.30	4	qoky	WORKER	WOMAN	the woman who does the work	True	False
96	OLD33	f83r.30	5	saii	COMPLETIVE	REACH_ACTION_ENDPOINT	to its endpoint: completive modifier of the written action	True	False
