identity	component_recipe	concrete_default_de	surface_count	surfaces_with_counts	house_model_surface	house_model_count	alternate_surface_marks	orders	renderer_rule
PROC056	HO+Y	ZUTAT · POSTEN	1	choy:2	choy	2	0	WH02,WH05	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC057	CH+EE+CKH+O+DY	ENTNEHMEN · DREI KURZE ARBEITSGAENGE · DURCHLASS · ARBEITSGANG · SCHLUSS	1	cheeckhody:2	cheeckhody	2	0	WH02,WH05	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC067	OK+E+DY	ANSETZEN · EIN KURZER ARBEITSGANG · SCHLUSS	1	qokedy:8	qokedy	8	0	WH01,WH03,WH04	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC069	K+AIN	ZUGEBEN · EIN ABGEGRENZTER TEIL	2	chkain:1,kain:2	kain	2	1	WH01,WH03,WH04	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC070	OL+K+AIN	WEITER · ZUGEBEN · EIN ABGEGRENZTER TEIL	2	olkain:1,qolkain:1	olkain	1	1	WH01,WH04	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC075	CKH+Y	DURCHLASS · POSTEN	2	chckhy:3,shckhy:1	chckhy	3	1	WH01,WH02	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC076	CHD+DY	UMSETZEN · SCHLUSS	3	dchedy:1,schedy:2,tchedy:1	schedy	2	2	WH01,WH02,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC078	SHED+DY	STEHENLASSEN · SCHLUSS	3	cheedy:1,shedy:10,tedy:1	shedy	10	2	WH01,WH02,WH03,WH04	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC079	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	2	olchedy:1,qolchedy:2	qolchedy	2	1	WH01,WH02,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC080	OK+AIN	ANSETZEN · EIN ABGEGRENZTER TEIL	2	okain:3,qokain:4	qokain	4	3	WH01,WH02,WH03,WH04	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC082	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	1	qokchdy:3	qokchdy	3	0	WH01,WH03,WH05	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC083	CHK+E+Y	WAERMEN · EIN KURZER ARBEITSGANG · POSTEN	1	cheky:3	cheky	3	0	WH01,WH04	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC085	OK+E+Y	ANSETZEN · EIN KURZER ARBEITSGANG · POSTEN	2	okey:1,qokey:1	okey	1	1	WH01,WH02	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC091	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	2	okchedy:1,qokchedy:1	okchedy	1	1	WH01,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC092	OK+EE+Y	ANSETZEN · DREI KURZE ARBEITSGAENGE · POSTEN	2	okeey:1,qokeey:6	qokeey	6	1	WH01,WH02,WH03,WH04	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC097	O+IIN	ARBEITSGANG · EINE EINGESTELLTE ARBEITSSTUFE	2	oiiin:1,soiiin:1	oiiin	1	1	WH01,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC098	SOLK+EE+DY	SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	2	olkeedy:2,solkeedy:1	olkeedy	2	1	WH01,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC099	SH+CKH+E+DY	HALTEN · DURCHLASS · EIN KURZER ARBEITSGANG · SCHLUSS	1	shckhedy:3	shckhedy	3	0	WH01,WH04	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC100	OK+EE+DY	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	1	qokeedy:10	qokeedy	10	0	WH02,WH03,WH04	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC108	L+DY	LEITEN · SCHLUSS	1	ldy:2	ldy	2	0	WH02,WH03	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC112	OT+AIIN	DANACH · EIN KLEINER SCHOEPFBECHER	2	otaiin:2,sotaiin:1	otaiin	2	1	WH02,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC117	CTH+E+Y	BEREITEN · EIN KURZER ARBEITSGANG · POSTEN	2	qcthey:1,shcthey:1	qcthey	1	1	WH02,WH03	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC120	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	1	lchedy:8	lchedy	8	0	WH02,WH03,WH04	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC129	OT+EE+DY	DANACH · DREI KURZE ARBEITSGAENGE · SCHLUSS	1	qoteedy:2	qoteedy	2	0	WH02,WH03	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC131	OT+AL	DANACH · ZIELSTELLE	2	otal:1,qotal:2	qotal	2	1	WH03,WH04	COPY_LOCAL_SURFACE_OR_USE_HOUSE_MODEL_WITHOUT_MEANING_CHANGE
PROC142	SHED+AL	STEHENLASSEN · ZIELSTELLE	1	shedal:2	shedal	2	0	WH03,WH05	FIXED_SURFACE_IN_SIX_ORDER_BOOK
PROC156	AIN	EIN ABGEGRENZTER TEIL	1	dain:2	dain	2	0	WH04,WH06	FIXED_SURFACE_IN_SIX_ORDER_BOOK
