statement_id	page	record	selected_events	selected_surfaces	portable_sequence_de	full_working_reading_de	owner_noun_not_used_in_portable_sequence
B1-S002	f81v	B1	3	okal | sar | chckhy	an der Zielstelle ansetzen | aus der Quelle | Durchlass fuer den Posten	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	YES
B1-S006	f81v	B1	2	qokain | shckhy	eine Portion ansetzen | Durchlass fuer den Posten	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.	YES
B1-S009	f81v	B1	1	qokedy	kurz ansetzen und schliessen	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	YES
B1-S010	f81v	B1	1	qokedy	kurz ansetzen und schliessen	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	YES
B1-S011	f81v	B1	1	chckhy	Durchlass fuer den Posten	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	YES
B1-S016	f81v	B1	2	qokal | okeey	an der Zielstelle ansetzen | den Posten laenger ansetzen	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	YES
B2-S003	f82r	B2	1	qokain	eine Portion ansetzen	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	YES
B2-S004	f82r	B2	2	qokal | qokeey	an der Zielstelle ansetzen | den Posten laenger ansetzen	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	YES
B2-S005	f82r	B2	1	chckhy	Durchlass fuer den Posten	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	YES
B2-S006	f82r	B2	1	qokal	an der Zielstelle ansetzen	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	YES
B2-S010	f82r	B2	2	qokeey | cheey	den Posten laenger ansetzen | den Posten laenger halten	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	YES
B2-S011	f82r	B2	3	okain | char | okain	eine Portion ansetzen | aus der Quelle | eine Portion ansetzen	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	YES
B2-S012	f82r	B2	2	cheey | qokeey	den Posten laenger halten | den Posten laenger ansetzen	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	YES
B3-S004	f83r	B3	1	dar	aus der Quelle	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	YES
B3-S006	f83r	B3	1	qokal	an der Zielstelle ansetzen	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	YES
B3-S012	f83r	B3	1	sor	der aktuelle Ansatz	Am unteren Korbgefaess: Den Ansatz stehen lassen und den Schritt schliessen.	YES
B3-S013	f83r	B3	1	qokedy	kurz ansetzen und schliessen	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	YES
B3-S021	f83r	B3	2	shcthy | shcthy	den Posten bereiten | den Posten bereiten	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	YES
B3-S026	f83r	B3	2	qokain | checthy	eine Portion ansetzen | den Posten bereiten	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger sammeln und schliessen.	YES
B3-S028	f83r	B3	2	qokeey | qokedy	den Posten laenger ansetzen | kurz ansetzen und schliessen	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	YES
B3-S029	f83r	B3	1	qokedy	kurz ansetzen und schliessen	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen.	YES
B3-S034	f83r	B3	1	checthy	den Posten bereiten	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.	YES
B4-S002	f83r	B4	2	qokeey | qokedy	den Posten laenger ansetzen | kurz ansetzen und schliessen	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	YES
B4-S003	f83r	B4	1	qokeey	den Posten laenger ansetzen	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.	YES
B4-S008	f83r	B4	1	qokedy	kurz ansetzen und schliessen	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	YES
B4-S011	f83r	B4	1	okain	eine Portion ansetzen	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.	YES
B4-S014	f83r	B4	1	or	der aktuelle Ansatz	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, das laufende Wasser als aktuellen Posten fuehren und schliessen.	YES
B4-S015	f83r	B4	2	qokain | shey	eine Portion ansetzen | den Posten laenger halten	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz sammeln, leiten, umsetzen und schliessen.	YES
