surface	selection_rank	page	locus	reader_support	zl3b_line	tokenwise_v32_de	working_reading_de	syntax_note
dail	1	f45v	f45v.4	ALL_THREE_EXACT	okchy qockhy dain dail dair shy	heiß-trockener Ansatz am Anfang des Grades | [qockhy:?] | Grad-/Maßwert II | abgemessene Rohstoffmenge II | abgemessene Fraktion II | feucht am Anfang des Grades	heiß-trockener Ansatz am Anfang des Grades; [qockhy:?]; Grad-/Maßwert II; abgemessene Rohstoffmenge II; abgemessene Fraktion II; feucht am Anfang des Grades	TOKEN_ORDER_BASELINE
daiil	1	f78r	f78r.27	READER_VARIANT	daiin chckhal daiil aldy	Grad-/Maßwert III | trockenes Arzneikompositum, Rohstoffform I | abgemessene Rohstoffmenge III | Rohstoffklasse I, abgeschlossen	Menge III; trockenes Arzneikompositum, Rohstoffform I; abgemessene Rohstoffmenge III; Rohstoffklasse I, abgeschlossen.	MANUAL_SEQUENCE_READING
aly	1	f113v	f113v.22	ALL_THREE_EXACT	okaiin okaiin cheeky raiin olal okaiin cheody okaiin okaiin otar aly	heiß, Grad III, im Ansatzrahmen | heiß, Grad III, im Ansatzrahmen | [cheeky:?] | Wurzel, Typ/Charge III | Ansatz aus Holzrohstoff, Form I | heiß, Grad III, im Ansatzrahmen | getrockneter Ansatz | heiß, Grad III, im Ansatzrahmen | heiß, Grad III, im Ansatzrahmen | kalte Drogenfraktion I im Ansatz | Rohstoffklasse I, Grundform	heiß, Grad III, im Ansatzrahmen; heiß, Grad III, im Ansatzrahmen; [cheeky:?]; Wurzel, Typ/Charge III; Ansatz aus Holzrohstoff, Form I; heiß, Grad III, im Ansatzrahmen; getrockneter Ansatz; heiß, Grad III, im Ansatzrahmen; heiß, Grad III, im Ansatzrahmen; kalte Drogenfraktion I im Ansatz; Rohstoffklasse I, Grundform	TOKEN_ORDER_BASELINE
aly	2	f116r	f116r.23	ALL_THREE_EXACT	dain cheeteey lkar shedy qokal shedy qoteedy ches ain ain aly salo lm	Grad-/Maßwert II | [cheeteey:?] | heiße Holzfraktion I | feucht in der Mitte des Grades, abgeschlossen | heiße Substanz | feucht in der Mitte des Grades, abgeschlossen | kalt am Ende des Grades, abgeschlossen | [ches:?] | Menge-/Klassenwert II | Menge-/Klassenwert II | Rohstoffklasse I, Grundform | [salo:?] | [lm:?]	Grad-/Maßwert II; [cheeteey:?]; heiße Holzfraktion I; feucht in der Mitte des Grades, abgeschlossen; heiße Substanz; feucht in der Mitte des Grades, abgeschlossen; kalt am Ende des Grades, abgeschlossen; [ches:?]; Menge-/Klassenwert II; Menge-/Klassenwert II; Rohstoffklasse I, Grundform; [salo:?]; [lm:?]	TOKEN_ORDER_BASELINE
aldy	1	f55v	f55v.7	ALL_THREE_EXACT	okchd ykain sheokey or ain ch kchdy pchal ar aldy dary	[okchd:?] | [ykain:?] | feucht angesetzte heiße Zubereitung in der Gradmitte | Drogenportion | Menge-/Klassenwert II | [ch:?] | heiß und trocken am Anfang des Grades, abgeschlossen | [pchal:?] | Drogenfraktion I | Rohstoffklasse I, abgeschlossen | [dary:?]	[okchd:?]; [ykain:?]; feucht angesetzte heiße Zubereitung in der Gradmitte; Drogenportion; Menge-/Klassenwert II; [ch:?]; heiß und trocken am Anfang des Grades, abgeschlossen; [pchal:?]; Drogenfraktion I; Rohstoffklasse I, abgeschlossen; [dary:?]	TOKEN_ORDER_BASELINE
aldy	2	f58r	f58r.10	ALL_THREE_EXACT	tal ar am shar chepchey otar aldy otal cheam qokaiin ote sy	[tal:?] | Drogenfraktion I | [am:?] | [shar:?] | [chepchey:?] | kalte Drogenfraktion I im Ansatz | Rohstoffklasse I, abgeschlossen | Ansatz aus kaltem Rohstoff, Form I | [cheam:?] | heiß, Grad III | [ote:?] | Saatgut in Grundform	[tal:?]; Drogenfraktion I; [am:?]; [shar:?]; [chepchey:?]; kalte Drogenfraktion I im Ansatz; Rohstoffklasse I, abgeschlossen; Ansatz aus kaltem Rohstoff, Form I; [cheam:?]; heiß, Grad III; [ote:?]; Saatgut in Grundform	TOKEN_ORDER_BASELINE
daly	1	f44v	f44v.2	ALL_THREE_EXACT	yolkol cheol qokchain daly otchol daiin shol qotor ar	[yolkol:?] | trockener Drogenstoff | [qokchain:?] | abgemessene Rohstoffmenge I, Grundform | kalt-trockener Zubereitungsstoff | Qualitätsgrad III | feucht; nominal feuchtes Gut/Material | kalte Drogenportion | Drogenfraktion I	[yolkol:?]; trockener Drogenstoff; [qokchain:?]; abgemessene Rohstoffmenge I, Grundform; kalt-trockener Zubereitungsstoff; Qualitätsgrad III; feucht; nominal feuchtes Gut/Material; kalte Drogenportion; Drogenfraktion I	TOKEN_ORDER_BASELINE
daly	2	f80v	f80v.36	ALL_THREE_EXACT	soin okain sheor ol shey daly olshedy olal shedy lchy	[soin:?] | heiß im Zubereitungsrahmen, Grad II | feuchter Drogenteil | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht in der Mitte des Grades | abgemessene Rohstoffmenge I, Grundform | [olshedy:?] | Ansatz aus Holzrohstoff, Form I | feucht in der Mitte des Grades, abgeschlossen | Drogenholz, trockene Grundform	[soin:?]; heiß im Zubereitungsrahmen, Grad II; feuchter Drogenteil; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; feucht in der Mitte des Grades; abgemessene Rohstoffmenge I, Grundform; [olshedy:?]; Ansatz aus Holzrohstoff, Form I; feucht in der Mitte des Grades, abgeschlossen; Drogenholz, trockene Grundform	TOKEN_ORDER_BASELINE
daldy	1	f45r	f45r.10	ALL_THREE_EXACT	okaiin shar yky oky kair daldy dalor cheol dal	heiß, Grad III, im Ansatzrahmen | [shar:?] | [yky:?] | heißer Ansatz am Anfang des Grades | [kair:?] | abgemessene Rohstoffmenge I, abgeschlossen | [dalor:?] | trockener Drogenstoff | abgemessene Rohstoffmenge I	heiß, Grad III, im Ansatzrahmen; [shar:?]; [yky:?]; heißer Ansatz am Anfang des Grades; [kair:?]; abgemessene Rohstoffmenge I, abgeschlossen; [dalor:?]; trockener Drogenstoff; abgemessene Rohstoffmenge I	TOKEN_ORDER_BASELINE
daldy	2	f75v	f75v.22	ALL_THREE_SPLIT_NORMALIZED	daldy	abgemessene Rohstoffmenge I, abgeschlossen	abgemessene Rohstoffmenge I, abgeschlossen	TOKEN_ORDER_BASELINE
chedal	1	f114r	f114r.33	ALL_THREE_EXACT	daiin oteed aiin saiin yteey aiin al odaiin chedal odaiis aiin cheo dal chedy	Grad-/Maßwert III | [oteed:?] | Menge III | Samen/Saatgut, Typ/Charge III | [yteey:?] | Menge III | Rohstoffklasse I | Zubereitungsdosis III | trockene abgemessene Rohstoffmenge I in der Gradmitte | [odaiis:?] | Menge III | trocken angesetzte Zubereitung | abgemessene Rohstoffmenge I | trocken in der Mitte des Grades, abgeschlossen	Grad-/Maßwert III; [oteed:?]; Menge III; Samen/Saatgut, Typ/Charge III; [yteey:?]; Menge III; Rohstoffklasse I; Zubereitungsdosis III; trockene abgemessene Rohstoffmenge I in der Gradmitte; [odaiis:?]; Menge III; trocken angesetzte Zubereitung; abgemessene Rohstoffmenge I; trocken in der Mitte des Grades, abgeschlossen	TOKEN_ORDER_BASELINE
chedal	2	f108r	f108r.42	ALL_THREE_EXACT	okeey qokeey qokeedy qokeey chedal chedy qokeey okeedain otain oolals	heißer Ansatz am Ende des Grades | heiß am Ende des Grades | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades | trockene abgemessene Rohstoffmenge I in der Gradmitte | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | [okeedain:?] | kalt im Zubereitungsrahmen, Grad II | [oolals:?]	heißer Ansatz am Ende des Grades; heiß am Ende des Grades; heiß am Ende des Grades, abgeschlossen; heiß am Ende des Grades; trockene abgemessene Rohstoffmenge I in der Gradmitte; trocken in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; [okeedain:?]; kalt im Zubereitungsrahmen, Grad II; [oolals:?]	TOKEN_ORDER_BASELINE
shdal	1	f103r	f103r.22	ALL_THREE_EXACT	dalshy okain shckhody shdal qokeedy shedy qotar chcthy chep ar otar opchy	[dalshy:?] | heiß im Zubereitungsrahmen, Grad II | [shckhody:?] | feuchte abgemessene Rohstoffmenge I am Gradanfang | heiß am Ende des Grades, abgeschlossen | feucht in der Mitte des Grades, abgeschlossen | kalte Drogenfraktion I | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | trockenes Pulver | Drogenfraktion I | kalte Drogenfraktion I im Ansatz | [opchy:?]	[dalshy:?]; heiß im Zubereitungsrahmen, Grad II; [shckhody:?]; feuchte abgemessene Rohstoffmenge I am Gradanfang; heiß am Ende des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; kalte Drogenfraktion I; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; trockenes Pulver; Drogenfraktion I; kalte Drogenfraktion I im Ansatz; [opchy:?]	TOKEN_ORDER_BASELINE
odal	1	f106v	f106v.34	ALL_THREE_EXACT	pchodaiin kcheeor al ky shcthy otos ar odal pcheody qotaiin otor alodam	[pchodaiin:?] | [kcheeor:?] | Rohstoffklasse I | heiß am Anfang des Grades | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | [otos:?] | Drogenfraktion I | abgemessene Rohstoffmenge I im Ansatz | [pcheody:?] | kalt, Grad III | kalte Drogenportion im Ansatz | [alodam:?]	[pchodaiin:?]; [kcheeor:?]; Rohstoffklasse I; heiß am Anfang des Grades; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; [otos:?]; Drogenfraktion I; abgemessene Rohstoffmenge I im Ansatz; [pcheody:?]; kalt, Grad III; kalte Drogenportion im Ansatz; [alodam:?]	TOKEN_ORDER_BASELINE
odal	2	f77v	f77v.6	ALL_THREE_EXACT	qetedy shedy qotol odal chal dar qopshedy qotedy qotedy qokedy dal	[qetedy:?] | feucht in der Mitte des Grades, abgeschlossen | kaltes Material | abgemessene Rohstoffmenge I im Ansatz | [chal:?] | abgemessene Fraktion I | [qopshedy:?] | kalt in der Mitte des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | abgemessene Rohstoffmenge I	[qetedy:?]; feucht in der Mitte des Grades, abgeschlossen; kaltes Material; abgemessene Rohstoffmenge I im Ansatz; [chal:?]; abgemessene Fraktion I; [qopshedy:?]; kalt in der Mitte des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; abgemessene Rohstoffmenge I	TOKEN_ORDER_BASELINE
qodal	1	f85r1	f85r1.8	ALL_THREE_EXACT	daiin chckhdy qotchdy opchsd qokchdy otchy qodal daiin dal shdar oram	Grad-/Maßwert III | Arzneikompositum: trocken, Gradanfang, abgeschlossen | kalt und trocken am Anfang des Grades, abgeschlossen | [opchsd:?] | heiß und trocken am Anfang des Grades, abgeschlossen | kalt-trockener Ansatz am Anfang des Grades | abgemessene Rohstoffmenge I im Ansatz | Grad-/Maßwert III | abgemessene Rohstoffmenge I | [shdar:?] | [oram:?]	Grad-/Maßwert III; Arzneikompositum: trocken, Gradanfang, abgeschlossen; kalt und trocken am Anfang des Grades, abgeschlossen; [opchsd:?]; heiß und trocken am Anfang des Grades, abgeschlossen; kalt-trockener Ansatz am Anfang des Grades; abgemessene Rohstoffmenge I im Ansatz; Grad-/Maßwert III; abgemessene Rohstoffmenge I; [shdar:?]; [oram:?]	TOKEN_ORDER_BASELINE
oral	1	f79r	f79r.19	ALL_THREE_SPLIT_NORMALIZED	sol cheey chol sain oral shey qokain sheyky shoty oly	Samenmaterial/Saatgut | trocken am Ende des Grades | trocken; nominal trockenes Gut/Material | [sain:?] | Rohstoffportion, Klasse I | feucht in der Mitte des Grades | heiß, Grad II | [sheyky:?] | [shoty:?] | [oly:?]	Samenmaterial/Saatgut; trocken am Ende des Grades; trocken; nominal trockenes Gut/Material; [sain:?]; Rohstoffportion, Klasse I; feucht in der Mitte des Grades; heiß, Grad II; [sheyky:?]; [shoty:?]; [oly:?]	TOKEN_ORDER_BASELINE
oral	2	f36r	f36r.2	ALL_THREE_EXACT	oral shor ytaiin qotaiin qooldy chty chol dy tor	Rohstoffportion, Klasse I | Blüten-/Fruchtstand; reproduktiver Teil | [ytaiin:?] | kalt, Grad III | [qooldy:?] | [chty:?] | trocken; nominal trockenes Gut/Material | [dy:?] | kalte Drogenportion	Rohstoffportion, Klasse I; Blüten-/Fruchtstand; reproduktiver Teil; [ytaiin:?]; kalt, Grad III; [qooldy:?]; [chty:?]; trocken; nominal trockenes Gut/Material; [dy:?]; kalte Drogenportion	TOKEN_ORDER_BASELINE
chdaly	1	f112v	f112v.16	ALL_THREE_EXACT	saiin okeey sheey qoteedy qokey chedy qokeey qokeey chdaly	Samen/Saatgut, Typ/Charge III | heißer Ansatz am Ende des Grades | feucht am Ende des Grades | kalt am Ende des Grades, abgeschlossen | heiß in der Mitte des Grades | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | heiß am Ende des Grades | trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	Samen/Saatgut, Typ/Charge III; heißer Ansatz am Ende des Grades; feucht am Ende des Grades; kalt am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades; trocken in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; heiß am Ende des Grades; trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	TOKEN_ORDER_BASELINE
sodal	1	f42v	f42v.8	ALL_THREE_EXACT	sodal saiin	abgemessene Saat-Rohstoffmenge I im Ansatz | Samen/Saatgut, Typ/Charge III	abgemessene Saat-Rohstoffmenge I im Ansatz; Samen/Saatgut, Typ/Charge III	TOKEN_ORDER_BASELINE
