event_id	page	record	locus	locus_position	palette_id	sequence_ordinal	transform_id	remove_wrapper	apply_wrapper	final_surface	surface_roundtrip	free_choice
E214	f82r	B2	f82r.26	MIDDLE	WP07	1	WT12	d	che	cheal	YES	NO
E217	f82r	B2	f82r.26	MIDDLE	WP07	2	WT15	d	Ø	aiin	YES	NO
E190	f82r	B2	f82r.7	MIDDLE	WP14	1	WT25	Ø	s	sotaiin	YES	NO
E254	f83r	B3	f83r.11	FIRST	WP03	1	WT04	ch	s	sor	YES	NO
E257	f83r	B3	f83r.11	MIDDLE	WP03	2	WT22	Ø	ch	chkain	YES	NO
E258	f83r	B3	f83r.11	MIDDLE	WP03	3	WT16	q	sh	shcthey	YES	NO
E264	f83r	B3	f83r.14	FIRST	WP12	1	WT24	Ø	q	qokchedy	YES	NO
E271	f83r	B3	f83r.14	MIDDLE	WP12	2	WT09	che	sh	shcthy	YES	NO
E273	f83r	B3	f83r.14	LAST	WP12	3	WT08	che	s	sy	YES	NO
E278	f83r	B3	f83r.15	MIDDLE	WP13	1	WT14	d	t	tal	YES	NO
E279	f83r	B3	f83r.15	MIDDLE	WP13	2	WT09	che	sh	shcthy	YES	NO
E281	f83r	B3	f83r.15	MIDDLE	WP13	3	WT24	Ø	q	qotchedy	YES	NO
E283	f83r	B3	f83r.16	FIRST	WP16	1	WT19	s	t	tchedy	YES	NO
E291	f83r	B3	f83r.20	FIRST	WP14	1	WT25	Ø	s	solkeedy	YES	NO
E299	f83r	B3	f83r.20	LAST	WP14	2	WT13	d	s	saiin	YES	NO
E309	f83r	B3	f83r.24	FIRST	WP06	1	WT25	Ø	s	soiiin	YES	NO
E311	f83r	B3	f83r.24	MIDDLE	WP06	2	WT02	ch	che	chety	YES	NO
E320	f83r	B4	f83r.25	LAST	WP17	1	WT17	q	Ø	otal	YES	NO
E324	f83r	B4	f83r.26	MIDDLE	WP16	1	WT26	Ø	t	tol	YES	NO
E342	f83r	B4	f83r.35	LAST	WP01	1	WT06	che	ch	chdy	YES	NO
E358	f83r	B4	f83r.41	MIDDLE	WP11	1	WT24	Ø	q	qolkain	YES	NO
E366	f83r	B5	f83r.48	MIDDLE	WP07	1	WT23	Ø	che	cheol	YES	NO
E369	f83r	B5	f83r.48	LAST	WP07	2	WT15	d	Ø	aiin	YES	NO
E377	f83r	B6	f83r.54	FIRST	WP08	1	WT18	s	d	daiin	YES	NO
E242	f83r	B3	f83r.6	MIDDLE	WP17	1	WT17	q	Ø	olchedy	YES	NO
