global_token_order	section	global_field_id	grammar_slot	master_card_id	hand_a_surface	hand_b_surface	surface_changed	registered_surface_inventory	decoded_card_id	hand_a_value_de	hand_b_decoded_value_de	finality_rule
23	C	N06	G2	MC039	aiin	chaiin	YES	aiin|chaiin|daiin|saiin|taiin	MC039	Sollmaß	Sollmaß	NOT_OBSERVED_AS_CLOSE
24	C	N06	G3	MC059	dain	dain	NO	dain	MC059	Einlage	Einlage	NOT_OBSERVED_AS_CLOSE
25	C	N06	G4	MC143	shckhedy	shckhedy	NO	shckhedy	MC143	durchlassen; Schluss	durchlassen; Schluss	ALWAYS_FIELD_FINAL
26	C	N07	G5	MC107	qotchy	qotchy	NO	qotchy	MC107	Folgeposten	Folgeposten	NOT_OBSERVED_AS_CLOSE
27	C	N07	G5	MC093	otal	qotal	YES	otal|qotal	MC093	danach dorthin	danach dorthin	NOT_OBSERVED_AS_CLOSE
28	C	N07	G5	MC026	qoky	choky	YES	choky|oky|qoky	MC026	einsetzen	einsetzen	NOT_OBSERVED_AS_CLOSE
29	C	N07	G6	MC038	lshedy	lshedy	NO	lshedy	MC038	Waschgang; Schluss	Waschgang; Schluss	ALWAYS_FIELD_FINAL
30	C	N08	G2	MC105	kain	chkain	YES	chkain|kain	MC105	Anteil	Anteil	NOT_OBSERVED_AS_CLOSE
31	C	N08	G3	MC160	talam	talam	NO	talam	MC160	Verwahrort	Verwahrort	NOT_OBSERVED_AS_CLOSE
32	C	N08	G6	MC019	oldy	oldy	NO	oldy	MC019	fertig	fertig	ALWAYS_FIELD_FINAL
33	B	N09	G1	MC160	talam	talam	NO	talam	MC160	Verwahrort	Verwahrort	NOT_OBSERVED_AS_CLOSE
34	B	N09	G1	MC142	dchol	schol	YES	dchol|schol	MC142	vom vorigen	vom vorigen	NOT_OBSERVED_AS_CLOSE
35	B	N09	G2	MC170	ykaiin	ykaiin	NO	ykaiin	MC170	Sollportion	Sollportion	NOT_OBSERVED_AS_CLOSE
36	B	N09	G2	MC152	ches	ches	NO	ches	MC152	Teilen	Teilen	NOT_OBSERVED_AS_CLOSE
37	B	N10	G2	MC047	ykain	ykain	NO	ykain	MC047	erste Portion	erste Portion	NOT_OBSERVED_AS_CLOSE
38	B	N10	G6	MC100	ody	ody	NO	ody	MC100	Abkühlen	Abkühlen	ALWAYS_FIELD_FINAL
39	B	N11	G3	MC160	talam	talam	NO	talam	MC160	Verwahrort	Verwahrort	NOT_OBSERVED_AS_CLOSE
40	B	N11	G6	MC019	oldy	oldy	NO	oldy	MC019	fertig	fertig	ALWAYS_FIELD_FINAL
41	B	N12	G2	MC148	ykan	ykan	NO	ykan	MC148	zweite Portion	zweite Portion	NOT_OBSERVED_AS_CLOSE
42	B	N12	G3	MC147	cheky	cheky	NO	cheky	MC147	kurz wärmen	kurz wärmen	NOT_OBSERVED_AS_CLOSE
43	B	N12	G5	MC040	okal	qokal	YES	okal|qokal	MC040	dorthin einsetzen	dorthin einsetzen	NOT_OBSERVED_AS_CLOSE
44	B	N12	G4	MC083	qokedy	qokedy	NO	qokedy	MC083	kurz einwirken; Schluss	kurz einwirken; Schluss	ALWAYS_FIELD_FINAL
45	B	N13	G2	MC107	qotchy	qotchy	NO	qotchy	MC107	Folgeposten	Folgeposten	NOT_OBSERVED_AS_CLOSE
46	B	N13	G5	MC093	otal	qotal	YES	otal|qotal	MC093	danach dorthin	danach dorthin	NOT_OBSERVED_AS_CLOSE
47	B	N13	G4	MC026	qoky	choky	YES	choky|oky|qoky	MC026	einsetzen	einsetzen	NOT_OBSERVED_AS_CLOSE
48	B	N13	G6	MC084	rshedy	rshedy	NO	rshedy	MC084	Waschschluss	Waschschluss	ALWAYS_FIELD_FINAL
49	D	N14	G1	MC080	chor	or	YES	chor|or|shor|sor	MC080	Ansatz	Ansatz	NOT_OBSERVED_AS_CLOSE
50	D	N14	G1	MC055	char	dar	YES	char|dar|sar	MC055	davon	davon	NOT_OBSERVED_AS_CLOSE
51	D	N14	G2	MC120	okaiin	qokaiin	YES	okaiin|qokaiin	MC120	bemessen	bemessen	NOT_OBSERVED_AS_CLOSE
52	D	N14	G1	MC012	dl	dl	NO	dl	MC012	Zusatz	Zusatz	NOT_OBSERVED_AS_CLOSE
53	D	N14	G2	MC034	cho	sho	YES	cho|sho	MC034	weitere Zutat	weitere Zutat	NOT_OBSERVED_AS_CLOSE
54	D	N14	G3	MC073	qcthey	shcthey	YES	qcthey|shcthey	MC073	kurz vorbereiten	kurz vorbereiten	NOT_OBSERVED_AS_CLOSE
55	D	N14	G4	MC153	cheol	chol	YES	cheol|chol|ol|qol|sol|tol	MC153	weiter	weiter	NOT_OBSERVED_AS_CLOSE
56	D	N15	G2	MC123	chey	chy	YES	chey|chy|dy|shy|sy|y	MC123	dies	dies	NOT_OBSERVED_AS_CLOSE
57	D	N15	G3	MC032	cheeky	cheeky	NO	cheeky	MC032	länger bearbeiten	länger bearbeiten	NOT_OBSERVED_AS_CLOSE
58	D	N15	G5	MC113	shedal	shedal	NO	shedal	MC113	am Ziel absetzen	am Ziel absetzen	NOT_OBSERVED_AS_CLOSE
59	D	N15	G6	MC128	cheedy	shedy	YES	cheedy|shedy|tedy	MC128	kurz absetzen; Schluss	kurz absetzen; Schluss	ALWAYS_FIELD_FINAL
60	D	N16	G1	MC013	otchor	qotchor	YES	otchor|qotchor	MC013	Folgeansatz	Folgeansatz	NOT_OBSERVED_AS_CLOSE
61	D	N16	G2	MC017	okain	qokain	YES	okain|qokain	MC017	Anteil zugeben	Anteil zugeben	NOT_OBSERVED_AS_CLOSE
62	D	N16	G3	MC033	oiiin	soiiin	YES	oiiin|soiiin	MC033	Arbeitsstufe	Arbeitsstufe	NOT_OBSERVED_AS_CLOSE
63	D	N16	G5	MC001	chdal	chdal	NO	chdal	MC001	Zieltransfer	Zieltransfer	NOT_OBSERVED_AS_CLOSE
64	D	N16	G4	MC025	dchedy	schedy	YES	dchedy|schedy|tchedy	MC025	überführen; Schluss	überführen; Schluss	ALWAYS_FIELD_FINAL
65	D	N17	G2	MC123	chey	chy	YES	chey|chy|dy|shy|sy|y	MC123	dies	dies	NOT_OBSERVED_AS_CLOSE
66	D	N17	G4	MC002	okeey	qokeey	YES	okeey|qokeey	MC002	lange einwirken	lange einwirken	NOT_OBSERVED_AS_CLOSE
67	D	N17	G5	MC001	chdal	chdal	NO	chdal	MC001	Zieltransfer	Zieltransfer	NOT_OBSERVED_AS_CLOSE
68	D	N17	G4	MC155	lchedy	lchedy	NO	lchedy	MC155	abführen; Schluss	abführen; Schluss	ALWAYS_FIELD_FINAL
69	D	N18	G1	MC013	otchor	qotchor	YES	otchor|qotchor	MC013	Folgeansatz	Folgeansatz	NOT_OBSERVED_AS_CLOSE
70	D	N18	G2	MC034	cho	sho	YES	cho|sho	MC034	weitere Zutat	weitere Zutat	NOT_OBSERVED_AS_CLOSE
71	D	N18	G3	MC073	qcthey	shcthey	YES	qcthey|shcthey	MC073	kurz vorbereiten	kurz vorbereiten	NOT_OBSERVED_AS_CLOSE
72	D	N18	G5	MC020	solkeey	solkeey	NO	solkeey	MC020	Langsammlung	Langsammlung	NOT_OBSERVED_AS_CLOSE
73	D	N18	G6	MC004	ldy	ldy	NO	ldy	MC004	abziehen; Schluss	abziehen; Schluss	ALWAYS_FIELD_FINAL
