residual_no	mode_id_old	record	page	locus	event_id	input_rule_surface	remove_wrapper	retain_tail	apply_wrapper_stamp	local_output_surface	reason
28	LR17	B1	f81v	f81v.24	E155	shedy	sh	edy	che	cheedy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
29	LR17	B1	f81v	f81v.24	E156	dal	d	al	s	sal	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
30	LR18	B1	f81v	f81v.27	E163	shedy	sh	edy	t	tedy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
31	LR18	B1	f81v	f81v.27	E166	dal	d	al	ch	chal	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
32	LR19	B2	f82r	f82r.2	E167	schedy	s	chedy	d	dchedy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
33	LR19	B2	f82r	f82r.2	E170	chey	che	y	d	dy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
34	LR20	B2	f82r	f82r.7	E190	otaiin	Ø	otaiin	s	sotaiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
35	LR21	B2	f82r	f82r.19	E200	qokain	q	okain	Ø	okain	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
36	LR22	B2	f82r	f82r.26	E214	dal	d	al	che	cheal	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
37	LR22	B2	f82r	f82r.26	E217	daiin	d	aiin	Ø	aiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
38	LR24	B3	f83r	f83r.6	E242	qolchedy	q	olchedy	Ø	olchedy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
39	LR25	B3	f83r	f83r.11	E254	chor	ch	or	s	sor	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
40	LR25	B3	f83r	f83r.11	E257	kain	Ø	kain	ch	chkain	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
41	LR25	B3	f83r	f83r.11	E258	qcthey	q	cthey	sh	shcthey	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
42	LR26	B3	f83r	f83r.14	E264	okchedy	Ø	okchedy	q	qokchedy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
43	LR26	B3	f83r	f83r.14	E271	checthy	che	cthy	sh	shcthy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
44	LR26	B3	f83r	f83r.14	E273	chey	che	y	s	sy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
45	LR27	B3	f83r	f83r.15	E278	dal	d	al	t	tal	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
46	LR27	B3	f83r	f83r.15	E279	checthy	che	cthy	sh	shcthy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
47	LR27	B3	f83r	f83r.15	E281	otchedy	Ø	otchedy	q	qotchedy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
48	LR28	B3	f83r	f83r.16	E283	schedy	s	chedy	t	tchedy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
49	LR29	B3	f83r	f83r.20	E291	olkeedy	Ø	olkeedy	s	solkeedy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
50	LR29	B3	f83r	f83r.20	E299	daiin	d	aiin	s	saiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
51	LR30	B3	f83r	f83r.24	E309	oiiin	Ø	oiiin	s	soiiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
52	LR30	B3	f83r	f83r.24	E311	chty	ch	ty	che	chety	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
53	LR31	B4	f83r	f83r.25	E320	qotal	q	otal	Ø	otal	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
54	LR32	B4	f83r	f83r.26	E324	ol	Ø	ol	t	tol	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
55	LR33	B4	f83r	f83r.35	E342	chedy	che	dy	ch	chdy	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
56	LR36	B4	f83r	f83r.41	E358	olkain	Ø	olkain	q	qolkain	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
57	LR37	B5	f83r	f83r.48	E366	ol	Ø	ol	che	cheol	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
58	LR37	B5	f83r	f83r.48	E369	daiin	d	aiin	Ø	aiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
59	LR38	B6	f83r	f83r.54	E377	saiin	s	aiin	d	daiin	NO_REPEATED_ZERO_FALSE_POSITIVE_CONTEXT_RULE
