dictionary_entry_id	surfaces	component_recipe	short_component_reading_de	events	physical_pages	registers	channels	default_rule
P912-D0920	qoctholy	CARRIER_Q+O+CTH+OL+Y	Q-EINTRITTSTRAEGER + AUSFUEHREN + BEREITSTELLEN + FORTSETZEN + DIESER POSTEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0248	chy	Y	DIESER POSTEN	6	f10r,f11r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1235	taiin	T+AIIN	EINSTELLEN + SOLLMASS	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1187	shy	Y	DIESER POSTEN	4	f10r,f13r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0350	dchy	D_ADDR+Y	TEILSTELLE + DIESER POSTEN	2	f10r,f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0945	qokchol	OK+OL	ANSETZEN + FORTSETZEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1272	y	Y	DIESER POSTEN	13	f10r,f11r,f13r,f55v,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0419	kchaiin	K+CH+AIIN	ZUGEBEN + ENTNEHMEN + SOLLMASS	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0266	cth	CTH	BEREITSTELLEN	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0298	dain	AIN	PORTION	2	f10r,f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0301	dair	D_ADDR+AIR	TEILSTELLE + LAUF	2	f10r,f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0033	am	AM_ADDR	INNENSTELLE	2	f10r,f55v	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1014	qotchor	OT+CH+OR	DANACH/NAECHSTER + ENTNEHMEN + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0849	otol	OT+OL	DANACH/NAECHSTER + FORTSETZEN	2	f10r,f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0221	cholor	OL+OR	FORTSETZEN + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0322	dar	D_ADDR+AR	TEILSTELLE + ENTNAHMESTELLE	2	f10r,f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0877	oykchor	O+Y+K+CH+OR	AUSFUEHREN + DIESER POSTEN + ZUGEBEN + ENTNEHMEN + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0409	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	ZUGEBEN + LOKALE ADRESSE + I-ZEICHEN + STUFE	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0193	chodaiin	CH+O+D_ADDR+AIIN	ENTNEHMEN + AUSFUEHREN + TEILSTELLE + SOLLMASS	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0736	oqotor	O+OT+OR	AUSFUEHREN + DANACH/NAECHSTER + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0857	otor	OT+OR	DANACH/NAECHSTER + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0057	cfhy	CFH+Y	TRENNEN + DIESER POSTEN	2	f10r,f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0276	cthor	CTH+OR	BEREITSTELLEN + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0752	osain	O+S+AIN	AUSFUEHREN + WAEHLEN + PORTION	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1377	ytoiin	Y+T+O+IIN	DIESER POSTEN + EINSTELLEN + AUSFUEHREN + STUFE	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0801	otchoshor	OT+CH+O+SH+OR	DANACH/NAECHSTER + ENTNEHMEN + AUSFUEHREN + HALTEN + ANSATZ	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1028	qoty	OT+Y	DANACH/NAECHSTER + DIESER POSTEN	3	f10r,f11r,f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0278	cthyd	CTH+Y+D_ADDR	BEREITSTELLEN + DIESER POSTEN + TEILSTELLE	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0785	otar	OT+AR	DANACH/NAECHSTER + ENTNAHMESTELLE	3	f10r,f55v	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0531	odaiin	O+D_ADDR+AIIN	AUSFUEHREN + TEILSTELLE + SOLLMASS	1	f10r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1269	tshol	T+SH+OL	EINSTELLEN + HALTEN + FORTSETZEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1105	schoal	SH+O+AL	HALTEN + AUSFUEHREN + ZIELSTELLE	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1165	shfydaiin	SH+Y+AIIN	HALTEN + DIESER POSTEN + SOLLMASS	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0265	cphy	CPH+Y	UMLEITEN + DIESER POSTEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1162	shey	SH+E+Y	HALTEN + KURZ + DIESER POSTEN	2	f11r,f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1246	tchody	T+CH+O+DY	EINSTELLEN + ENTNEHMEN + AUSFUEHREN + SCHLUSS	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1183	shoyty	SH+O+Y+T+Y	HALTEN + AUSFUEHREN + DIESER POSTEN + EINSTELLEN + DIESER POSTEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1193	socthody	S+O+CTH+O+D_ADDR+Y	WAEHLEN + AUSFUEHREN + BEREITSTELLEN + AUSFUEHREN + TEILSTELLE + DIESER POSTEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0923	qodor	CARRIER_Q+O+D_ADDR+OR	Q-EINTRITTSTRAEGER + AUSFUEHREN + TEILSTELLE + ANSATZ	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0450	kshy	K+SH+Y	ZUGEBEN + HALTEN + DIESER POSTEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1362	ytchy	Y+T+Y	DIESER POSTEN + EINSTELLEN + DIESER POSTEN	2	f11r,f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1361	ytchoky	Y+T+OK+Y	DIESER POSTEN + EINSTELLEN + ANSETZEN + DIESER POSTEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0429	kchol	K+OL	ZUGEBEN + FORTSETZEN	4	f11r,f13r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0378	dor	D_ADDR+OR	TEILSTELLE + ANSATZ	2	f11r,f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1345	ykychy	Y+K+Y+CH+Y	DIESER POSTEN + ZUGEBEN + DIESER POSTEN + ENTNEHMEN + DIESER POSTEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0238	choty	CH+OT+Y	ENTNEHMEN + DANACH/NAECHSTER + DIESER POSTEN	2	f11r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0361	dod	D_ADDR+O+D_ADDR	TEILSTELLE + AUSFUEHREN + TEILSTELLE	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0345	dchol	D_ADDR+OL	TEILSTELLE + FORTSETZEN	2	f11r,f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0431	kchy	K+Y	ZUGEBEN + DIESER POSTEN	3	f11r,f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1248	tchol	T+OL	EINSTELLEN + FORTSETZEN	3	f11r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0356	dky	D_ADDR+K+Y	TEILSTELLE + ZUGEBEN + DIESER POSTEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0280	d	D_ADDR	TEILSTELLE	5	f11r,f13r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0195	chodl	CH+O+D_ADDR+L	ENTNEHMEN + AUSFUEHREN + TEILSTELLE + LEITEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0538	odl	O+D_ADDR+L	AUSFUEHREN + TEILSTELLE + LEITEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1059	s	S	WAEHLEN	7	f11r,f13r,f55v,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1312	ykchor	Y+K+CH+OR	DIESER POSTEN + ZUGEBEN + ENTNEHMEN + ANSATZ	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0196	chody	CH+O+D_ADDR+Y	ENTNEHMEN + AUSFUEHREN + TEILSTELLE + DIESER POSTEN	2	f11r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0601	okchol	OK+OL	ANSETZEN + FORTSETZEN	1	f11r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1267	torshor	T+OR+SH+OR	EINSTELLEN + ANSATZ + HALTEN + ANSATZ	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0729	opchy	O+P+Y	AUSFUEHREN + EINSETZEN + DIESER POSTEN	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1176	shol	SH+OL	HALTEN + FORTSETZEN	3	f13r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0998	qopchy	O+P+Y	AUSFUEHREN + EINSETZEN + DIESER POSTEN	2	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0728	opchor	O+P+CH+OR	AUSFUEHREN + EINSETZEN + ENTNEHMEN + ANSATZ	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0396	dypchy	D_ADDR+Y+P+Y	TEILSTELLE + DIESER POSTEN + EINSETZEN + DIESER POSTEN	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0344	dchg	D_ADDR+CH+LOCAL_CHAR_G	TEILSTELLE + ENTNEHMEN + G-LOKALZEICHEN	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0369	dol	D_ADDR+OL	TEILSTELLE + FORTSETZEN	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1166	shkchy	SH+K+Y	HALTEN + ZUGEBEN + DIESER POSTEN	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1286	ydal	Y+AL	DIESER POSTEN + ZIELSTELLE	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1314	ykchy	Y+K+Y	DIESER POSTEN + ZUGEBEN + DIESER POSTEN	2	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0346	dchor	D_ADDR+CH+OR	TEILSTELLE + ENTNEHMEN + ANSATZ	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1108	shaiin	SH+AIIN	HALTEN + SOLLMASS	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0545	oeees	O+EEE+S	AUSFUEHREN + VOLLSTAENDIG + WAEHLEN	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1341	ykor	Y+K+OR	DIESER POSTEN + ZUGEBEN + ANSATZ	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D1381	ytshy	Y+T+Y	DIESER POSTEN + EINSTELLEN + DIESER POSTEN	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0922	qodchy	O+D_ADDR+Y	AUSFUEHREN + TEILSTELLE + DIESER POSTEN	1	f13r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
P912-D0800	otchor	OT+CH+OR	DANACH/NAECHSTER + ENTNEHMEN + ANSATZ	2	f13r,f56r	HERBAL	WORKSHOP_PROSE	COMPOSE_COMPONENTS_THEN_APPLY_PROSE_OR_OWNER_CHANNEL
