component	shelf	fixed_default_de	contrast_axis	contrast_partners	component_events	distinct_recipes	distinct_surfaces	physical_pages	registers	positions	teaching_note_de
IIN	PRODUCTIVE_CONTRAST_CORE	STUFE	Menge/Index	AIN,AIIN,DA	26	18	20	9	3	MIDDLE:9,LAST:17	Bedeutung durch Austauschpartner begrenzt
S_ADDR	FORMAL_ADDRESS_SIGN	STERN-/S-STELLE	ADDRESS	A_ADDR,AM_ADDR,D_ADDR,S_ADDR,Z_ADDR	24	21	21	4	2	MIDDLE:6,LAST:17,FIRST:1	registergebundene Adresse
SOLK	LEARNED_WORKSHOP_ROOT	AUFFANGEN	LEARNED_FUNCTION	NONE	22	11	14	5	2	FIRST:22	an lokaler Sammelstelle aufnehmen
EEE	PRODUCTIVE_CONTRAST_CORE	VOLLSTAENDIG	Grad	E,EE	18	14	14	8	4	MIDDLE:17,FIRST:1	Bedeutung durch Austauschpartner begrenzt
LSH	LEARNED_WORKSHOP_ROOT	SPUELEN	LEARNED_FUNCTION	NONE	17	11	11	5	2	FIRST:10,MIDDLE:7	Posten oder Durchlass mit Arbeitsflüssigkeit durchgehen
LOCAL_CHAR_F	LOCAL_WRITING_SIGN	F-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	13	12	12	5	4	MIDDLE:13	lokales Kennzeichen
CPH	LEARNED_WORKSHOP_ROOT	UMLEITEN	LEARNED_FUNCTION	NONE	12	11	11	8	4	FIRST:7,MIDDLE:5	in Gegen-, Empfangs- oder zweiten Lauf führen
HO	LEARNED_WORKSHOP_ROOT	TEIL	LEARNED_FUNCTION	NONE	11	5	6	6	2	FIRST:5,ONLY:6	Teil des jeweils sichtbaren Pflanzen-, Figuren- oder Objektbesitzers
AN	LEARNED_WORKSHOP_ROOT	ZUSATZ	LEARNED_FUNCTION	NONE	9	9	9	5	3	LAST:9	weiterer Posten oder zusätzliche Klasse
G_LABEL	LOCAL_WRITING_SIGN	G-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	7	7	7	4	2	LAST:5,ONLY:1,MIDDLE:1	lokales Kennzeichen
CFH	LEARNED_WORKSHOP_ROOT	TRENNEN	LEARNED_FUNCTION	NONE	5	3	3	5	2	FIRST:3,MIDDLE:2	Trennhandlung; im Pflanzenregister lokal auspressen
LOCAL_CHAR_G	LOCAL_WRITING_SIGN	G-LOKALZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	5	5	5	5	4	LAST:4,FIRST:1	lokales Kennzeichen
LOCAL_CHAR_I	LOCAL_WRITING_SIGN	I-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	5	5	5	5	3	MIDDLE:5	lokales Kennzeichen
OS	LEARNED_WORKSHOP_ROOT	DAZU	LEARNED_FUNCTION	NONE	4	1	1	3	2	ONLY:4	additive Fortsetzung
D_LABEL	LOCAL_WRITING_SIGN	D-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	3	3	3	3	2	LAST:3	lokales Kennzeichen
S_LABEL	LOCAL_WRITING_SIGN	S-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	3	2	2	1	1	LAST:2,FIRST:1	lokales Kennzeichen
LOCAL_CHAR_B	LOCAL_WRITING_SIGN	B-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	2	1	1	2	2	LAST:2	lokales Kennzeichen
M_LOCAL	LOCAL_WRITING_SIGN	M-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	2	2	2	2	2	LAST:2	lokales Kennzeichen
Z_ADDR	FORMAL_ADDRESS_SIGN	Z-STELLE	ADDRESS	A_ADDR,AM_ADDR,D_ADDR,S_ADDR,Z_ADDR	2	2	2	1	1	FIRST:1,MIDDLE:1	lokale z-spezifische Adresse
LD	LEARNED_WORKSHOP_ROOT	BEFESTIGEN	LEARNED_FUNCTION	NONE	1	1	1	1	1	MIDDLE:1	aktiven Einsatz/Posten festsetzen
LOCAL_CHAR_J	LOCAL_WRITING_SIGN	J-ZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	1	1	1	1	1	MIDDLE:1	lokales Kennzeichen
LOCAL_CHAR_Z	LOCAL_WRITING_SIGN	Z-LOKALZEICHEN	RENDERER_OR_LOCAL_MARK	NONE	1	1	1	1	1	MIDDLE:1	lokales Kennzeichen
RESUME_CARD	LEARNED_WORKSHOP_ROOT	WIEDERAUFNEHMEN	LEARNED_FUNCTION	NONE	1	1	1	1	1	ONLY:1	vorigen aktiven Posten wieder aufnehmen
