page	quire	general_description	illustrations	text_description	tentative_identifications	other_information	source_tags	source_url	tentative_identifications_are_role_evidence
f6r	q01	This is a herbal page. For general information about herbal pages see here . It has the folio nr (6) in the upper right corner.	Plant drawing using mainly green. Thee are four pods each with a patch as if they are decaying. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: veined leaves	This page has 14 text items (loci), as follows: 14 lines of standard text in paragraphs. || The text seems to form a single paragraph, at the top of the page. The first few lines are interrupted by the plant drawing. The remaining lines are shorter and stop at the plant drawing. || Currier language: A RZ language: A- (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f6r	ELV: Aristolochia? ThP: Asclepiades.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || This plant has leaves similar to those on f51r .	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f6r	0
f6v	q01	This is a herbal page. For general information about herbal pages see here .	Plant drawing using mainly green and some blue. Leaves are 7-pointed stars, and 'fruits' have spikes. || Herbal drawing characterisation (Gheuens/Rapaport): α: veined leaves α: stalk connects to leaf centre α: feature interrupts the main stem	This page has 21 text items (loci), as follows: 21 lines of standard text in paragraphs. || The text is subdivided into two paragraphs, covering two thirds of the height of the page. Only the fourth line is interrupted by the drawing, with one word to the right of it. The second paragraph has very short lines which stop at the drawing. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f6v	This is one of the few herbal drawings in the MS that looks like a realistic rendition of a known herb, in this case Ricinus. || ELV: ricinus, castor oil plant. ThP: black gum tree? arctium? bidenus hypnis (O'Neill), castor oil, ricinus.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f6v	0
f7r	q01	This is a herbal page. For general information about herbal pages see here . It has the folio nr (7) in the upper right corner.	Page-filling flower with 8-fold symmetry, short stem and simple bifurcating roots. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: veined leaves α: pinwheel α: no fruits or flowers α: everything is at the top of the stem α: flat-topped root	This page has 10 text items (loci), as follows: 10 lines of standard text in paragraphs. || The text is subdivided into two paragraphs, one near the top of the page and the other in the bottom half. The drawing cuts both paragraphs into two parts. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f7r	ELV: paeonia. ThP: nymphaea alba, nenufar.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || The characters in the left root might say 'rot', cf. f4r . || Despite the size of the drawing, this could well be just a small plant.	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f7r	0
f7v	q01	This is a herbal page. For general information about herbal pages see here .	A herb with blue dots on the leaves. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: pinwheel	This page has 9 text items (loci), as follows: 9 lines of standard text in paragraphs. || The text is subdivided into two paragraphs near the top of the page. The plant drawing intrudes into the second paragraph. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f7v	ELV: polygonum. ThP: polygonum persicarum (ELV), bisangia? potentilla selvaticus.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || Plants with blue dots on their leaves appear in other medieval herbals, most commonly juniper, i.e. in this case the blue dots represent berries.	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f7v	0
f8r	q01	This is a herbal page. For general information about herbal pages see here . It has the folio nr (8) in the upper right corner.	The herb drawing shows a single large leaf with some additional part below it. || Herbal drawing characterisation (Gheuens/Rapaport): α: veined leaves α: two distinct leaf shapes α: no fruits or flowers α: everything is at the top of the stem α: feature interrupts the main stem	This page has 21 text items (loci), as follows: 18 lines of standard text in paragraphs. 3 right-justified words ('titles') at the last line of each paragraph. || The text is subdivided into three paragraphs. All text starts below the large leaf at the top of the plant drawing and all lines are cut in two by the stem of the plant. Each paragraph ends with one right-justified word ('title'), similar to f1r . || Currier language: A RZ language: A- (page) / A- (folio) / A- (bifolio) LFD hand: 1 || Browse interlinear transliteration of f8r	ELV: atriplex, orache. ThP: praenanthes (O'Neill), atriplex hastata (ELV).	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS;TEXT_TITLES	https://www.voynich.nu/q01/index.html#f8r	0
f8v	q01	This is a herbal page. For general information about herbal pages see here . It has the quire mark 'Pm9' in the lower right corner.	Large plant drawing with plain roots, plain leaves, and blue and red flowers. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: flower(s) seen from the side α: two distinct leaf shapes	This page has 17 text items (loci), as follows: 17 lines of standard text in paragraphs. || The text is subdivided into two paragraphs, one near the top and one near the bottom of the page. The top paragraphs carefully avoids the plant drawing. All lines in the bottom paragraph are cut in two by the stem. || Currier language: A RZ language: A- (page) / A- (folio) / A- (bifolio) LFD hand: 1 || Browse interlinear transliteration of f8v	ELV: oleander? verbena? ThP: silene.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q01/index.html#f8v	0
f9r	q02	This is a herbal page. For general information about herbal pages see here . It has the folio nr (9) in the upper right corner.	Plant with weird leaves, earth plateau and peculiar (hairy) roots. No flowers but some kind of seeds. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: stalk connects to leaf centre α: flat-topped root	This page has 10 text items (loci), as follows: 10 lines of standard text in paragraphs, of which one is centred. || The text is in two paragraphs. They are interrupted by the plant drawing. The last line of the second paragraph is centred. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f9r	ELV: delphinium? ThP: chalidonium magna.		SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f9r	0
f9v	q02	This is a herbal page. For general information about herbal pages see here .	Plant with plain roots, two types of leaves and characteristic flowers. || Herbal drawing characterisation (Gheuens/Rapaport): α: veined leaves α: two distinct leaf shapes	This page has 12 text items (loci), as follows: 12 lines of standard text in paragraphs; || The text is in two paragraphs. The text carefully avoids the drawings. || There are several individual characters written in or near the flowers, using the Latin alphabet. In the top left flower under the blue paint: 'por' (tentative) in the top petal, 'p' in the bottom left petal and barely legible ('r'?) in the bottom right petal; an unclear letter or scribble just right of the top petal. || There is a clear single 'g' just right of the top right flower. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f9v	This is one of the most recognisable plants in the MS, and seems to represent some type of pansy or 'viola'. Even the colours are realistic. The individual flowers have been drawn 'upside down'. || ELV: viola, pansy. ThP: viola tricoloris, herba trinitatis (O'Neill)	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || The characters in or near the flowers appear like colour annotations (for which see here ).	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS;TEXT_AVOIDS_GRAPHIC	https://www.voynich.nu/q02/index.html#f9v	0
f10r	q02	This is a herbal page. For general information about herbal pages see here . It has the folio nr (10) in the upper right corner.	Plant drawn like a very common flower, dying. || Herbal drawing characterisation (Gheuens/Rapaport): α: two distinct leaf shapes α: two or more leaf clusters/clumps	This page has 12 text items (loci), as follows: 12 lines of standard text in paragraphs; || The text is in two paragraphs. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f10r	ThP: scabiosa.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f10r	0
f10v	q02	This is a herbal page. For general information about herbal pages see here .	Flower with two rows of unusual leaves. Both flowers and leaves are hanging down, as if the plant is about to die. || This plant shows some similarity with plant fragment #50 on f89v2 . || Herbal drawing characterisation (Gheuens/Rapaport): α: flower(s) seen from the side α: typical α calyx shape	This page has 7 text items (loci), as follows: 7 lines of standard text in paragraphs; || The text is in two short paragraphs, above the plant drawing. || Currier language: A RZ language: A+ (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f10v	ELV: helleborus? THP: hellebora (?) orientalis.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f10v	0
f11r	q02	This is a herbal page. For general information about herbal pages see here . It has the folio nr (11) in the upper right corner.	Dense bushel of leaves with tiny dark blue flowers sticking out. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: stalk connects to leaf centre α: two distinct leaf shapes α: flat-topped root α: unnatural connections	This page has 7 text items (loci), as follows: 7 lines of standard text in paragraphs; || The text is in two short paragraphs, above the plant drawing. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f11r	ThP: silene scambis.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f11r	0
f11v	q02	This is a herbal page. For general information about herbal pages see here .	Another dense bushel of leaves, with one flower on top. || Herbal drawing characterisation (Gheuens/Rapaport): α: flower(s) seen from the side	This page has 7 text items (loci), as follows: 6 lines of standard text in paragraphs; 1 pair of characters in the left margin. || The text is in a single paragraph in the bottom half of the page, split by the stem of the plant. || It is uncertain whether the text in the left margin are from the original scribes or from a later owner. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f11v	ThP: leonotus, leonarus.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || The pair of 8-like characters appear left of a line that also includes the relatively rare character pair  in one of its words.	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f11v	0
f13r	q02	This is a herbal page. For general information about herbal pages see here . It has the folio nr (13) in the upper right corner.	Large plant drawing. Brown root, large round indepnted leaves. Composite flower buds. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: veined leaves α: stalk connects to leaf centre α: flat-topped root	This page has 10 text items (loci), as follows: 10 lines of standard text in paragraphs; || The text is in two paragraphs above the plant drawing. The second paragraph avoids the flower buds. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f13r	ELV: tussilago. ThP: tussilago petronites.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || This has been compared to a banana plant but this tentative identification is not generally accepted.	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f13r	0
f13v	q02	This is a herbal page. For general information about herbal pages see here .	Plant with root, leaves and flowers. || This plant shows some similarity with plant fragment #133 on f100v . || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: stalk connects to leaf centre α: two or more leaf clusters/clumps α: everything is at the top of the stem	This page has 10 text items (loci), as follows: 10 lines of standard text in paragraphs; || The text is in two paragraphs, one at the top of the page, and one near the bottom. Both avoid the drawing. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f13v	ThP: crossolatea fetthenne.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f13v	0
f14r	q02	This is a herbal page. For general information about herbal pages see here . It has the folio nr (14) in the upper right corner. || There is a large imperfection in the parchment at the right edge of the page.	Plant with leaves like arrows pointing up, and one flower. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: two or more leaf clusters/clumps α: all leaves connect to one point, flowers or fruit above α: flat-topped root ! β: broad many-fingered calyx	This page has 13 text items (loci), as follows: 13 lines of standard text in paragraphs; || The text is in two paragraphs. The first is near the top, left of the drawing, and the other near the bottom, interrupted by the drawing. The first line of the second paragraph stops at the drawing. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f14r	ThP: pfeilkraut, sagittaria.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f14r	0
f14v	q02	This is a herbal page. For general information about herbal pages see here . || There is a large imperfection in the parchment at the left edge of the page.	Plant drawing with two large leaves, and three stems with three flower each. These are dotted as if they ave eyes. || Herbal drawing characterisation (Gheuens/Rapaport): (none)	This page has 9 text items (loci), as follows: 9 lines of standard text in paragraphs; || The text is in a single paragraph near the top of the page. || Currier language: A RZ language: A- (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f14v	ELV: botrychium. THP: osmodei.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f14v	0
f15r	q02	This is a herbal page. For general information about herbal pages see here . It has the folio nr (15) in the upper right corner. || There is a hole in the parchment in the middle of the page.	Very large plant drawing with many different elements. Ends of leaves are not yet unfolded. Two large flower buds and one flower at the top of one of the buds. || Herbal drawing characterisation (Gheuens/Rapaport): α: two distinct leaf shapes	This page has 15 text items (loci), as follows: 15 lines of standard text in paragraphs; || The text is in a single paragraph, interrupted by the two flower stems. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f15r	ThP: some thistle.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f15r	0
f15v	q02	This is a herbal page. For general information about herbal pages see here . || There is a hole in the parchment in the middle of the page.	A plant drawing filling the entire height of the page, with four large leaves. At the top is a pod, with two tendrils coming out. || Herbal drawing characterisation (Gheuens/Rapaport): α: pinwheel α: all leaves connect to one point, flowers or fruit above	This page has 12 text items (loci), as follows: 12 lines of standard text in paragraphs; || The text is in a single paragraph. The lines stop at the plant drawing. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f15v	ELV: lilium? ThP: harba paris.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager) || The plant leaves are reminiscent of herba paris, but the flower(?) is not.	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f15v	0
f16r	q02	This is a herbal page. For general information about herbal pages see here . It has the folio nr (16) in the upper right corner.	Plant with starry leaves and seeds instead of flowers. There are tiny leaves sticking out of the flowers. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: stalk connects to leaf centre α: flat-topped root	This page has 13 text items (loci), as follows: 13 lines of standard text in paragraphs, of which one is centred. || The text is in three short paragraphs. The last line of the first paragraph is centred. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f16r	ELV: aconitum. ThP: canabis (hemp).	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f16r	0
f16v	q02	This is a herbal page. For general information about herbal pages see here . Gathering mark (29) in lower right corner.	Unusual plant drawing whose flower and leaves are bright within, surrounded by bright colours: blue for the flower and red for the leaves. || Herbal drawing characterisation (Gheuens/Rapaport): α: stem-root line α: veined leaves α: stalk connects to leaf centre α: flat-topped root	This page has 13 text items (loci), as follows: 13 lines of standard text in paragraphs; || The text is in two paragrahs. The writing stops at the plant drawing. || Currier language: A RZ language: A (page) / A (folio) / A (bifolio) LFD hand: 1 || Browse interlinear transliteration of f16v	ELV: eryngium.	>>Link to 2014 scan (Beinecke digital library) || >>Link to 2004 scan (Jason Davies Voyager)	SOURCE_HERBAL_PAGE;TEXT_PARAGRAPHS	https://www.voynich.nu/q02/index.html#f16v	0
