cell_id	page	physical_folio	section	symbol_count	label_rows	prose_rows	total_rows	assignment_count
LRG001-C044	f80r	f80	B	4	3	81	84	95284
LRG001-C045	f80r	f80	B	5	4	66	70	916895
LRG001-C046	f80r	f80	B	8	1	2	3	3
LRG001-C047	f81v	f81	B	4	1	46	47	47
LRG001-C048	f81v	f81	B	5	1	28	29	29
LRG001-C049	f82r	f82	B	4	3	39	42	11480
LRG001-C050	f82r	f82	B	5	3	49	52	22100
LRG001-C051	f82r	f82	B	6	4	29	33	40920
LRG001-C052	f82v	f82	B	3	2	59	61	1830
LRG001-C053	f82v	f82	B	4	2	63	65	2080
LRG001-C054	f82v	f82	B	5	3	79	82	88560
LRG001-C055	f82v	f82	B	6	7	33	40	18643560
LRG001-C056	f83r	f83	B	5	1	60	61	61
LRG001-C057	f83r	f83	B	6	1	45	46	46
LRG001-C058	f83r	f83	B	7	1	15	16	16
LRG001-C059	f83r	f83	B	8	1	1	2	2
LRG001-C060	f83v	f83	B	4	1	62	63	63
LRG001-C061	f83v	f83	B	5	1	48	49	49
LRG001-C062	f83v	f83	B	6	1	27	28	28
LRG001-C063	f83v	f83	B	7	1	12	13	13
LRG001-C064	f84r	f84	B	2	3	27	30	4060
LRG001-C065	f84r	f84	B	3	1	73	74	74
LRG001-C066	f84r	f84	B	4	1	73	74	74
LRG001-C067	f84r	f84	B	5	6	47	53	22957480
LRG001-C068	f84r	f84	B	6	1	35	36	36
LRG001-C069	f88r	f88	P	2	1	12	13	13
LRG001-C070	f88r	f88	P	4	5	22	27	80730
LRG001-C071	f88r	f88	P	5	4	17	21	5985
LRG001-C072	f88r	f88	P	6	3	4	7	35
LRG001-C073	f88r	f88	P	9	1	1	2	2
LRG001-C074	f88v	f88	P	4	3	26	29	3654
LRG001-C075	f88v	f88	P	5	2	22	24	276
LRG001-C076	f88v	f88	P	6	4	16	20	4845
LRG001-C077	f88v	f88	P	7	2	10	12	66
LRG001-C078	f89r1	f89	P	3	3	18	21	1330
LRG001-C079	f89r1	f89	P	4	3	10	13	286
LRG001-C080	f89r1	f89	P	5	4	17	21	5985
LRG001-C081	f89r1	f89	P	6	3	7	10	120
LRG001-C082	f89r2	f89	P	2	1	2	3	3
LRG001-C083	f89r2	f89	P	3	2	8	10	45
LRG001-C084	f89r2	f89	P	4	5	5	10	252
LRG001-C085	f89r2	f89	P	5	4	5	9	126
LRG001-C086	f89r2	f89	P	6	6	6	12	924
LRG001-C087	f89r2	f89	P	7	2	1	3	3
LRG001-C088	f89r2	f89	P	8	1	1	2	2
LRG001-C089	f89v1	f89	P	4	2	22	24	276
LRG001-C090	f89v1	f89	P	5	1	23	24	24
LRG001-C091	f89v1	f89	P	7	3	3	6	20
LRG001-C092	f89v1	f89	P	8	1	1	2	2
LRG001-C093	f89v2	f89	P	4	3	7	10	120
LRG001-C094	f89v2	f89	P	5	3	2	5	10
LRG001-C095	f89v2	f89	P	7	2	2	4	6
LRG001-C096	f99r	f99	P	2	1	11	12	12
LRG001-C097	f99r	f99	P	3	5	43	48	1712304
LRG001-C098	f99r	f99	P	4	7	33	40	18643560
LRG001-C099	f99r	f99	P	5	8	33	41	95548245
LRG001-C100	f99r	f99	P	6	7	15	22	170544
LRG001-C101	f99r	f99	P	7	2	1	3	3
LRG001-C102	f99r	f99	P	8	1	1	2	2
LRG001-C103	f99v	f99	P	2	1	15	16	16
LRG001-C104	f99v	f99	P	3	3	11	14	364
LRG001-C105	f99v	f99	P	4	9	28	37	124403620
LRG001-C106	f99v	f99	P	5	4	26	30	27405
LRG001-C107	f99v	f99	P	6	4	24	28	20475
LRG001-C108	f99v	f99	P	7	3	5	8	56
LRG001-C109	f99v	f99	P	8	3	2	5	10
