root_tuple	atom_count	structural_class	hybrid95_status	present_all_readings	ZL3b_count	ZL3b_prose_count	ZL3b_pages	ZL3b_sections	ZL3b_dominant_role_pattern	ZL3b_role_patterns	ZL3b_kind_counts	ZL3b_top_surfaces	ZL3b_line_start_share	ZL3b_line_end_share	IT2a_count	IT2a_prose_count	IT2a_pages	IT2a_sections	IT2a_dominant_role_pattern	IT2a_role_patterns	IT2a_kind_counts	IT2a_top_surfaces	IT2a_line_start_share	IT2a_line_end_share	RF1b_count	RF1b_prose_count	RF1b_pages	RF1b_sections	RF1b_dominant_role_pattern	RF1b_role_patterns	RF1b_kind_counts	RF1b_top_surfaces	RF1b_line_start_share	RF1b_line_end_share
H+H+od	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0	1	1	1	1	FREE_L+BOUND_E+BARE	FREE_L+BOUND_E+BARE:1	P:1	cholsheody:1	0.0	0.0											1	1	1	1	FREE_L+BOUND_E+BARE	FREE_L+BOUND_E+BARE:1	P:1	cholsheody:1	0.0	0.0
H+H+ol	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0	1	1	1	1	BOUND_E+BOUND_E+BARE	BOUND_E+BOUND_E+BARE:1	P:1	chepcheol:1	0.0	1.0	1	1	1	1	BOUND_E+BOUND_E+BARE	BOUND_E+BOUND_E+BARE:1	P:1	chepcheol:1	0.0	1.0										
H+H+or	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0	1	1	1	1	FREE_R+BOUND_E+BARE	FREE_R+BOUND_E+BARE:1	P:1	chorcheor:1	0.0	0.0											1	1	1	1	FREE_R+BOUND_E+BARE	FREE_R+BOUND_E+BARE:1	P:1	chorcheor:1	0.0	0.0
H+H+s	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	1	1	1	1	FREE_R+FREE_L+FREE_L	FREE_R+FREE_L+FREE_L:1	P:1	chorcholsal:1	0.0	1.0	1	1	1	1	FREE_R+FREE_L+FREE_L	FREE_R+FREE_L+FREE_L:1	P:1	chorcholsal:1	0.0	1.0	1	1	1	1	FREE_R+FREE_L+FREE_L	FREE_R+FREE_L+FREE_L:1	P:1	chorcholsal:1	0.0	1.0
H+H+t	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0	1	1	1	1	BOUND_E+FREE_L+FREE_R	BOUND_E+FREE_L+FREE_R:1	P:1	checholtar:1	0.0	0.0																				
H+Hcfhd	2	NONCORE_PRESENT	UNCOVERED_AT_95	0	1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	psholpchcfhdy:1	1.0	0.0											1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	psholpchcfhdy:1	1.0	0.0
H+Hd	2	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	19	16	18	5	BOUND_E+BARE	BOUND_E+BARE:7;FREE_L+BARE:3;BOUND_D+BARE:2;BOUND_E+REL_I:1;BOUND_E+FREE_R:1;FREE_R+BARE:1;FREE_L+FREE_R:1	P:16;C:2;L:1	shefchdy:2;shepchdy:1;chechdaiin:1;chefchdy:1;kcheedchdy:1;cholpchd:1;sholshdy:1;sheshdy:1	0.4375	0.0625	16	13	15	5	BOUND_E+BARE	BOUND_E+BARE:7;BOUND_D+BARE:2;BOUND_E+REL_I:1;FREE_L+BARE:1;FREE_R+BARE:1;FREE_L+FREE_R:1	P:13;C:2;L:1	shefchdy:2;shepchdy:1;chechdaiin:1;chefchdy:1;kcheedchdy:1;cholpchd:1;sholshdy:1;sheshdy:1	0.38461538461538464	0.07692307692307693	13	13	13	3	BOUND_E+BARE	BOUND_E+BARE:6;FREE_L+BARE:3;BOUND_D+BARE:2;BOUND_E+FREE_R:1;FREE_L+FREE_R:1	P:13	shefchdy:2;shepchdy:1;chefchdy:1;kcheedchdy:1;cholpchd:1;cholchdy:1;pcheypchdar:1;sholfchdy:1	0.46153846153846156	0.07692307692307693
H+Hees	2	NONCORE_PRESENT	UNCOVERED_AT_95	1	1	0	1	1			C:1	chepcheesaly:1	0.0	0.0	1	0	1	1			C:1	chepchees:1	0.0	0.0	1	0	1	1			C:1	chepcheesaly:1	0.0	0.0
H+Hes	2	NONCORE_PRESENT	UNCOVERED_AT_95	0	1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	cholches:1	0.0	0.0																				
H+Hhs	2	NONCORE_PRESENT	UNCOVERED_AT_95	0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	chefalchhs:1	0.0	1.0																				
H+Ho	2	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	3	3	3	2	FREE_L+BARE	FREE_L+BARE:2;BOUND_E+BARE:1	P:3	cholchom:1;cholsho:1;shealsho:1	0.0	0.3333333333333333	1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	cholsho:1	0.0	0.0	2	2	2	1	FREE_L+BARE	FREE_L+BARE:2	P:2	cholchom:1;cholsho:1	0.0	0.5
H+Hod	2	CORE34_SPARSE_OR_MIXED	UNCOVERED_AT_95	0																					1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	chechody:1	0.0	0.0
H+Hoii	2	NONCORE_PRESENT	UNCOVERED_AT_95	0																					1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	tsholchoiin:1	0.0	1.0
H+Hs	2	NONCORE_PRESENT	UNCOVERED_AT_95	0	2	0	1	1			C:2	chefchs:1;chedchs:1	0.0	0.0											2	0	1	1			C:2	chefchs:1;chedchs:1	0.0	0.0
H+Hx	2	NONCORE_PRESENT	UNCOVERED_AT_95	1	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	chepchx:1	0.0	0.0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	chepchx:1	0.0	0.0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	chepchx:1	0.0	0.0
H+b	2	NONCORE_PRESENT	UNCOVERED_AT_95	0	6	6	6	4	BOUND_E+BARE	BOUND_E+BARE:6	P:6	cheeb:3;cheeeb:1;tcheeb:1;sheeeb:1	0.0	0.0											5	5	5	3	BOUND_E+BARE	BOUND_E+BARE:5	P:5	cheeb:3;cheeeb:1;tcheeb:1	0.0	0.0
H+cfh	2	NONCORE_PRESENT	UNCOVERED_AT_95	1	3	2	3	2	BOUND_E+BARE	BOUND_E+BARE:1;BOUND_E+BOUND_E:1	P:3	checfhy:1;fchecfhy:1;pchecfhey:1	0.0	0.0	3	2	2	2	BOUND_E+BARE	BOUND_E+BARE:1;BOUND_E+BOUND_E:1	P:3	fchecfhy:1;checfhy:1;pchecfhey:1	0.0	0.0	4	3	4	3	BOUND_E+BARE	BOUND_E+BARE:2;BOUND_E+BOUND_E:1	P:4	checfhy:1;fchecfhy:1;shecfhy:1;pchecfhey:1	0.0	0.0
H+ck	2	NONCORE_PRESENT	UNCOVERED_AT_95	0											1	1	1	1	BOUND_E+BOUND_E	BOUND_E+BOUND_E:1	P:1	sheckeey:1	0.0	0.0										
H+ckh	2	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	117	116	49	7	BOUND_E+BARE	BOUND_E+BARE:86;BOUND_E+BOUND_E:18;BOUND_E+BOUND_D:7;BOUND_E+FREE_L:4;FREE_L+BARE:1	P:116;C:1	checkhy:48;sheckhy:33;checkhey:11;sheckhey:4;sheckhedy:4;sheckhal:2;sheeckhy:2;checkhed:2	0.02586206896551724	0.017241379310344827	117	115	50	8	BOUND_E+BARE	BOUND_E+BARE:87;BOUND_E+BOUND_E:17;BOUND_E+BOUND_D:7;BOUND_E+FREE_L:4	P:115;C:2	checkhy:47;sheckhy:35;checkhey:10;sheckhey:4;sheckhedy:4;sheckhal:2;sheeckhy:2;checkhed:2	0.02608695652173913	0.017391304347826087	110	108	50	8	BOUND_E+BARE	BOUND_E+BARE:79;BOUND_E+BOUND_E:19;BOUND_E+BOUND_D:5;BOUND_E+FREE_L:4;FREE_L+BARE:1	P:108;C:2	checkhy:46;sheckhy:25;checkhey:10;sheckhey:5;sheckh:3;sheckhedy:3;checkh:2;sheckhal:2	0.027777777777777776	0.018518518518518517
H+ckh+ol+ol	4	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0																					1	1	1	1	BOUND_E+FREE_L+BARE+BARE	BOUND_E+FREE_L+BARE+BARE:1	P:1	checkhololol:1	0.0	0.0
H+ckhd	2	NONCORE_PRESENT	UNCOVERED_AT_95	1	4	4	4	2	BOUND_E+BARE	BOUND_E+BARE:4	P:4	sheckhdy:2;checkhdy:1;checkhd:1	0.0	0.25	4	4	4	3	BOUND_E+BARE	BOUND_E+BARE:4	P:4	checkhdy:2;sheckhdy:1;checkhd:1	0.0	0.25	3	3	3	3	BOUND_E+BARE	BOUND_E+BARE:3	P:3	checkhdy:2;checkhd:1	0.0	0.3333333333333333
H+ckho	2	NONCORE_PRESENT	UNCOVERED_AT_95	0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	checkho:1	0.0	0.0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	checkho:1	0.0	0.0										
H+ckhod	2	NONCORE_PRESENT	UNCOVERED_AT_95	1	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	cheeckhody:1	0.0	1.0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	cheeckhody:1	0.0	1.0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	cheeckhody:1	0.0	1.0
H+ckhor	2	NONCORE_PRESENT	UNCOVERED_AT_95	0																					1	1	1	1	BOUND_E+REL_I	BOUND_E+REL_I:1	P:1	sheckhyorain:1	0.0	0.0
H+ckhos	2	NONCORE_PRESENT	UNCOVERED_AT_95	1	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	dcheeckhos:1	1.0	0.0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	dcheeckhos:1	1.0	0.0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	dcheeckhos:1	1.0	0.0
H+cph	2	CORE34_SPARSE_OR_MIXED	EXACT_TUPLE_EXCEPTION	1	6	6	6	3	BOUND_E+BARE	BOUND_E+BARE:3;BOUND_E+BOUND_E:2;BOUND_E+BOUND_D:1	P:6	shecphy:3;checphey:2;checphedy:1	0.0	0.0	8	7	8	4	BOUND_E+BARE	BOUND_E+BARE:3;BOUND_E+BOUND_E:2;BOUND_E+BOUND_D:1;BOUND_D+BARE:1	P:7;C:1	shecphy:3;checphey:2;cheecpheey:1;checphedy:1;chedacphy:1	0.0	0.0	5	5	5	3	BOUND_E+BOUND_E	BOUND_E+BOUND_E:2;BOUND_E+BARE:1;BOUND_E+BOUND_D:1;BOUND_D+BARE:1	P:5	checphey:2;shecphy:1;checphedy:1;chedacphy:1	0.0	0.0
H+cphhd	2	NONCORE_PRESENT	UNCOVERED_AT_95	0											1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	shecphhdy:1	0.0	0.0										
H+cth	2	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	63	60	31	5	BOUND_E+BARE	BOUND_E+BARE:49;BOUND_E+BOUND_E:6;BOUND_E+BOUND_D:3;BOUND_E+FREE_A:1;BOUND_E+FREE_L:1	P:60;C:3	checthy:30;shecthy:19;checthey:3;checthedy:2;cheecthy:1;shecth:1;sheycthy:1;sheecthey:1	0.03333333333333333	0.1	64	63	30	5	BOUND_E+BARE	BOUND_E+BARE:51;BOUND_E+BOUND_E:7;BOUND_E+BOUND_D:3;BOUND_E+FREE_A:1;BOUND_E+FREE_L:1	P:63;C:1	checthy:28;shecthy:20;checthey:4;checthedy:2;cheecthy:1;sheycthy:1;shectyhy:1;ychecthy:1	0.031746031746031744	0.1111111111111111	65	63	31	6	BOUND_E+BARE	BOUND_E+BARE:51;BOUND_E+BOUND_E:8;BOUND_E+BOUND_D:2;BOUND_E+FREE_A:1;BOUND_E+FREE_L:1	P:63;C:2	checthy:31;shecthy:19;checthey:4;checthe:1;cheecthy:1;cheectheey:1;shecth:1;sheecthey:1	0.031746031746031744	0.09523809523809523
H+cth+H	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	1	1	1	1	BOUND_E+BOUND_D+BARE	BOUND_E+BOUND_D+BARE:1	P:1	shecthedchy:1	0.0	0.0	1	1	1	1	BOUND_E+BOUND_D+BARE	BOUND_E+BOUND_D+BARE:1	P:1	shecthedchy:1	0.0	0.0	1	1	1	1	BOUND_E+BOUND_D+BARE	BOUND_E+BOUND_D+BARE:1	P:1	shecthedchy:1	0.0	0.0
H+cthd	2	NONCORE_PRESENT	UNCOVERED_AT_95	1	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	checthdy:1	0.0	0.0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	checthdy:1	0.0	0.0	1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	checthdy:1	0.0	0.0
H+cthh	2	NONCORE_PRESENT	UNCOVERED_AT_95	0											1	1	1	1	BOUND_E+BARE	BOUND_E+BARE:1	P:1	checthhy:1	0.0	0.0										
H+ctho	2	NONCORE_PRESENT	UNCOVERED_AT_95	0	1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	cholcthom:1	0.0	1.0											1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	cholcthom:1	0.0	1.0
H+d	2	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	58	52	46	8	FREE_L+BARE	FREE_L+BARE:27;FREE_A+BARE:5;FREE_L+REL_I:5;FREE_R+BARE:5;BOUND_E+BARE:3;FREE_L+FREE_R:1;FREE_L+FREE_A:1;FREE_L+FREE_L:1;FREE_A+FREE_R:1;BOUND_D+BARE:1;FREE_R+FREE_R:1;FREE_R+FREE_A:1	P:52;C:4;L:2	choldy:11;sholdy:8;choldaiin:3;sholdaiin:2;chordy:2;fcholdy:2;chady:2;chpady:1	0.038461538461538464	0.3269230769230769	52	47	42	7	FREE_L+BARE	FREE_L+BARE:26;FREE_R+BARE:4;FREE_A+BARE:3;BOUND_E+BARE:3;REL_I+BARE:2;FREE_L+REL_I:2;FREE_A+REL_I:1;FREE_L+FREE_R:1;FREE_A+FREE_A:1;FREE_L+FREE_L:1;FREE_A+FREE_R:1;BOUND_D+BARE:1;FREE_R+FREE_R:1	P:47;C:3;L:2	choldy:10;sholdy:8;chordy:2;fcholdy:2;chadaiin:1;chaindy:1;chpady:1;choldar:1	0.0851063829787234	0.2978723404255319	51	46	42	7	FREE_L+BARE	FREE_L+BARE:21;FREE_L+REL_I:9;FREE_R+BARE:5;BOUND_E+BARE:3;FREE_L+FREE_R:1;FREE_L+FREE_A:1;FREE_A+BARE:1;FREE_R+FREE_L:1;REL_I+BARE:1;FREE_L+FREE_L:1;BOUND_D+BARE:1;FREE_R+FREE_A:1	P:47;C:2;L:2	sholdy:7;choldy:6;choldaiin:6;sholdaiin:2;chordy:2;fcholdy:2;choldar:1;chald:1	0.06521739130434782	0.41304347826086957
H+d+H	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	4	4	4	2	FREE_L+BARE+BARE	FREE_L+BARE+BARE:3;FREE_A+BARE+BARE:1	P:4	choldshy:1;choldchy:1;tsholdchy:1;tchadchy:1	0.5	0.25	3	3	3	1	FREE_L+BARE+BARE	FREE_L+BARE+BARE:3	P:3	choldshy:1;choldchy:1;tcholdchy:1	0.3333333333333333	0.3333333333333333	3	3	3	1	FREE_L+BARE+BARE	FREE_L+BARE+BARE:3	P:3	choldshy:1;ycholdchy:1;tsholdchy:1	0.3333333333333333	0.3333333333333333
H+d+o	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0											1	1	1	1	FREE_R+BARE+BARE	FREE_R+BARE+BARE:1	P:1	chordom:1	0.0	0.0										
H+daiir	2	NONCORE_PRESENT	UNCOVERED_AT_95	0	1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	dsholdaiir:1	1.0	0.0											1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	dsholdaiir:1	1.0	0.0
H+dd	2	NONCORE_PRESENT	UNCOVERED_AT_95	0																					1	1	1	1	FREE_L+BARE	FREE_L+BARE:1	P:1	choldydy:1	0.0	1.0
H+e	2	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	1	10	9	9	4	BOUND_D+BARE	BOUND_D+BARE:5;BOUND_D+BOUND_E:3;BOUND_D+FREE_A:1	P:9;L:1	shedey:1;shedefam:1;choleey:1;pchedeey:1;fchedey:1;shedeeey:1;chedeey:1;pchedey:1	0.3333333333333333	0.0	10	9	9	4	BOUND_D+BARE	BOUND_D+BARE:5;BOUND_D+BOUND_E:3;BOUND_D+FREE_A:1	P:9;L:1	shedey:1;shedefam:1;sholeey:1;pchedeey:1;fchedey:1;shedeeey:1;chedeey:1;pchedey:1	0.3333333333333333	0.0	7	6	7	4	BOUND_D+BARE	BOUND_D+BARE:4;BOUND_D+BOUND_E:2	P:6;L:1	shedey:1;choleey:1;pchedeey:1;fchedey:1;chedeey:1;pchedey:1;tchede:1	0.5	0.0
H+e+b	3	NONCORE_PRESENT	UNCOVERED_AT_95	0																					1	1	1	1	BOUND_E+BOUND_E+BARE	BOUND_E+BOUND_E+BARE:1	P:1	cheareeb:1	0.0	1.0
H+e+os	3	SUPPORTED_COMPONENT_TUPLE	COMPOSED_FROM_SELECTED_ATOMS	0																					1	1	1	1	BARE+Q_BARE+BARE	BARE+Q_BARE+BARE:1	P:1	chqeos:1	0.0	0.0
H+ees	2	NONCORE_PRESENT	UNCOVERED_AT_95	1	1	0	1	1			C:1	chedees:1	0.0	0.0	1	0	1	1			C:1	chedees:1	0.0	0.0	1	0	1	1			C:1	chedees:1	0.0	0.0
H+eiii	2	NONCORE_PRESENT	UNCOVERED_AT_95	0																					1	1	1	1	BOUND_D+BARE	BOUND_D+BARE:1	P:1	chedeiiin:1	0.0	0.0
H+eiir	2	NONCORE_PRESENT	UNCOVERED_AT_95	0																					1	1	1	1	BOUND_D+BARE	BOUND_D+BARE:1	P:1	shedeiir:1	0.0	0.0
H+es	2	NONCORE_PRESENT	UNCOVERED_AT_95	0	1	1	1	1	REL_I+BARE	REL_I+BARE:1	P:1	chaies:1	1.0	0.0											1	1	1	1	REL_I+BARE	REL_I+BARE:1	P:1	ychaies:1	1.0	0.0
H+h	2	NONCORE_PRESENT	UNCOVERED_AT_95	0											1	1	1	1	BOUND_E+BOUND_D	BOUND_E+BOUND_D:1	P:1	shefhedy:1	0.0	0.0										
H+j	2	NONCORE_PRESENT	UNCOVERED_AT_95	0																					2	2	2	2	FREE_A+FREE_R	FREE_A+FREE_R:1;FREE_A+BARE:1	P:2	chpajar:1;chajy:1	0.0	0.0
