left_tuple	right_tuple	present_all_readings	stable_confirmed_role_edges	ZL3b_count	ZL3b_pages	ZL3b_sections	ZL3b_role_edges	IT2a_count	IT2a_pages	IT2a_sections	IT2a_role_edges	RF1b_count	RF1b_pages	RF1b_sections	RF1b_role_edges
H	H	1		685	157	6	BOUND_D>BOUND_D:97;FREE_L>FREE_L:69;BOUND_E>BOUND_E:44;BOUND_D>BOUND_E:40;FREE_R>FREE_R:32;BARE>BARE:30;FREE_R>FREE_L:30;FREE_L>BARE:27;FREE_L>FREE_R:24;FREE_R>BOUND_E:23;FREE_R>BARE:23;FREE_L>BOUND_D:23;BOUND_E>BARE:21;BOUND_E>FREE_R:21;BOUND_E>FREE_L:21;FREE_L>BOUND_E:19;BOUND_E>BOUND_D:19;BARE>FREE_L:14;BARE>BOUND_E:12;BARE>FREE_R:10;BOUND_D>FREE_L:10;BARE>BOUND_D:8;BOUND_D>FREE_R:7;FREE_R>BOUND_D:6;BOUND_D>BARE:6;BARE>REL_I:5;FREE_R>REL_I:5;FREE_L>REL_I:5;FREE_R>FREE_A:4;REL_I>REL_I:4;REL_I>FREE_R:4;REL_I>BARE:4;FREE_L>FREE_A:2;FREE_A>FREE_A:2;REL_I>FREE_L:2;FREE_A>REL_I:2;REL_I>BOUND_E:2;FREE_A>BARE:1;BOUND_E>REL_I:1;REL_I>FREE_A:1;FREE_A>FREE_L:1;BARE>FREE_A:1;BOUND_D>REL_I:1;BOUND_D>FREE_A:1;BOUND_E>FREE_A:1	663	158	6	BOUND_D>BOUND_D:94;FREE_L>FREE_L:63;BOUND_E>BOUND_E:45;BOUND_D>BOUND_E:40;FREE_R>FREE_R:32;FREE_R>FREE_L:31;FREE_R>BOUND_E:27;BARE>BARE:27;FREE_L>BARE:24;FREE_L>BOUND_E:23;BOUND_E>FREE_L:23;FREE_L>BOUND_D:23;FREE_L>FREE_R:22;FREE_R>BARE:20;BOUND_E>FREE_R:20;BOUND_E>BOUND_D:20;BOUND_E>BARE:16;BARE>BOUND_E:13;BARE>FREE_L:11;BOUND_D>FREE_L:10;BARE>FREE_R:9;BARE>BOUND_D:7;FREE_R>BOUND_D:7;BOUND_D>BARE:7;BOUND_D>FREE_R:7;FREE_L>REL_I:6;BARE>REL_I:5;FREE_R>REL_I:5;REL_I>REL_I:4;REL_I>FREE_R:4;REL_I>BARE:4;FREE_R>FREE_A:3;FREE_A>FREE_A:2;FREE_A>REL_I:2;REL_I>BOUND_E:2;FREE_L>FREE_A:1;REL_I>FREE_A:1;REL_I>FREE_L:1;BOUND_D>FREE_A:1;BOUND_E>FREE_A:1	650	162	6	FREE_L>FREE_L:63;BOUND_E>BOUND_E:60;BOUND_D>BOUND_D:47;BOUND_D>BOUND_E:39;BARE>BARE:35;BOUND_E>BARE:31;FREE_L>BARE:30;FREE_R>FREE_L:30;FREE_R>FREE_R:30;FREE_L>BOUND_E:26;FREE_R>BARE:25;FREE_R>BOUND_E:24;BOUND_E>FREE_L:23;FREE_L>FREE_R:22;BOUND_E>BOUND_D:22;BARE>BOUND_E:19;FREE_L>BOUND_D:17;BOUND_E>FREE_R:16;BARE>FREE_L:12;BARE>FREE_R:8;BOUND_D>BARE:7;BOUND_D>FREE_R:7;BARE>BOUND_D:6;BARE>REL_I:5;FREE_L>REL_I:5;BOUND_D>FREE_L:5;FREE_R>BOUND_D:5;REL_I>BARE:4;REL_I>FREE_R:4;FREE_R>FREE_A:3;REL_I>REL_I:3;FREE_R>REL_I:3;FREE_L>FREE_A:2;FREE_A>FREE_A:2;FREE_A>REL_I:2;REL_I>BOUND_E:2;REL_I>FREE_A:1;BARE>FREE_A:1;BOUND_D>REL_I:1;REL_I>FREE_L:1;BOUND_D>FREE_A:1;BOUND_E>FREE_A:1
H	H+H	1		17	17	4	BOUND_D>BOUND_E:4;BOUND_E>FREE_R:2;FREE_L>BOUND_D:2;BOUND_D>FREE_L:2;FREE_R>FREE_A:1;FREE_A>BOUND_D:1;FREE_R>BOUND_E:1;FREE_A>BOUND_E:1;FREE_R>FREE_R:1;BOUND_D>BOUND_D:1;BOUND_E>BOUND_E:1	12	12	4	BOUND_D>BOUND_E:4;FREE_R>FREE_A:1;BOUND_E>FREE_R:1;FREE_R>BOUND_E:1;FREE_A>BOUND_E:1;FREE_L>BOUND_D:1;BOUND_D>BOUND_D:1;BOUND_D>FREE_L:1;BOUND_E>BOUND_E:1	19	18	4	BOUND_D>BOUND_E:4;BOUND_E>FREE_R:3;FREE_R>FREE_R:3;FREE_R>FREE_A:1;FREE_R>FREE_L:1;FREE_R>BOUND_E:1;BARE>BOUND_E:1;FREE_L>BOUND_D:1;BOUND_D>BOUND_D:1;BOUND_D>FREE_L:1;BOUND_E>FREE_L:1;BOUND_E>BOUND_E:1
H	H+H+o	1		1	1	1	FREE_R>BOUND_E:1	1	1	1	FREE_R>BOUND_E:1	1	1	1	FREE_R>BOUND_E:1
H	H+H+od	0		1	1	1	BOUND_E>FREE_L:1					1	1	1	BOUND_E>FREE_L:1
H	H+Hd	0		1	1	1	FREE_L>FREE_R:1	1	1	1	FREE_L>FREE_R:1				
H	H+b	0		1	1	1	BARE>BOUND_E:1					1	1	1	BARE>BOUND_E:1
H	H+cfh	0		1	1	1	BOUND_D>BOUND_E:1					1	1	1	BOUND_D>BOUND_E:1
H	H+ckh	1		12	9	3	BOUND_D>BOUND_E:6;BOUND_E>BOUND_E:5;FREE_R>BOUND_E:1	12	9	3	BOUND_D>BOUND_E:6;BOUND_E>BOUND_E:5;FREE_R>BOUND_E:1	12	10	3	BOUND_E>BOUND_E:6;BOUND_D>BOUND_E:4;FREE_R>BOUND_E:1;BARE>BOUND_E:1
H	H+ckhd	0						1	1	1	BOUND_D>BOUND_E:1	1	1	1	BOUND_E>BOUND_E:1
H	H+cph	1		2	2	2	FREE_R>BOUND_E:1;BARE>BOUND_E:1	1	1	1	FREE_R>BOUND_E:1	2	2	2	FREE_R>BOUND_E:1;BARE>BOUND_E:1
H	H+cth	1		5	3	2	BOUND_D>BOUND_E:5	6	4	2	BOUND_D>BOUND_E:5;FREE_L>BOUND_E:1	5	3	2	BOUND_D>BOUND_E:4;BOUND_E>BOUND_E:1
H	H+cthh	0						1	1	1	BOUND_E>BOUND_E:1				
H	H+d	1		10	10	4	FREE_R>FREE_L:2;FREE_L>FREE_L:2;BOUND_E>FREE_L:1;FREE_R>FREE_R:1;BARE>FREE_L:1;REL_I>FREE_R:1;BOUND_D>FREE_A:1;BOUND_D>FREE_L:1	9	9	3	FREE_R>FREE_L:2;FREE_L>FREE_L:2;BARE>FREE_L:2;FREE_R>FREE_R:1;REL_I>FREE_R:1;BOUND_D>FREE_L:1	9	9	2	FREE_L>FREE_L:3;FREE_R>FREE_L:1;BOUND_E>FREE_L:1;FREE_R>FREE_R:1;BARE>FREE_L:1;REL_I>FREE_R:1;BOUND_D>FREE_L:1
H	H+eiii	0										1	1	1	BOUND_D>BOUND_D:1
H	H+eiir	0										1	1	1	FREE_L>BOUND_D:1
H	H+k	1		34	32	6	BOUND_D>BOUND_E:11;FREE_R>BOUND_E:8;BOUND_E>BOUND_E:6;FREE_L>BOUND_E:4;BARE>BOUND_E:1;BARE>FREE_L:1;FREE_R>FREE_L:1;FREE_L>FREE_L:1;REL_I>BOUND_E:1	33	30	6	BOUND_D>BOUND_E:9;FREE_R>BOUND_E:8;BOUND_E>BOUND_E:5;FREE_L>BOUND_E:4;BARE>FREE_L:2;BARE>BOUND_E:1;FREE_R>FREE_L:1;FREE_L>FREE_L:1;BOUND_E>FREE_L:1;REL_I>BOUND_E:1	36	33	6	BOUND_E>BOUND_E:10;FREE_R>BOUND_E:8;BOUND_D>BOUND_E:7;FREE_L>BOUND_E:2;BARE>BOUND_E:2;BARE>FREE_A:1;BOUND_E>FREE_L:1;BARE>FREE_L:1;FREE_R>FREE_L:1;FREE_L>FREE_L:1;BOUND_D>FREE_L:1;REL_I>BOUND_E:1
H	H+k+H	1		3	3	2	BOUND_E>BOUND_E:1;FREE_R>BOUND_E:1;BOUND_D>BOUND_E:1	3	3	2	BOUND_D>BOUND_E:2;FREE_R>BOUND_E:1	3	3	2	FREE_R>BOUND_E:1;BOUND_E>FREE_L:1;BOUND_E>BOUND_E:1
H	H+k+o	0		1	1	1	BOUND_D>FREE_L:1					2	2	2	BOUND_D>BOUND_E:1;BOUND_D>FREE_L:1
H	H+k+od	1		2	2	1	FREE_R>FREE_A:1;BOUND_D>BOUND_E:1	3	3	2	FREE_R>FREE_A:1;FREE_R>BOUND_E:1;BOUND_D>FREE_L:1	1	1	1	FREE_R>FREE_A:1
H	H+k+ol	1		1	1	1	BOUND_D>BOUND_E:1	2	2	2	FREE_R>BOUND_E:1;BOUND_D>BOUND_E:1	1	1	1	BOUND_D>BOUND_E:1
H	H+k+or	1		3	3	3	BOUND_E>BOUND_E:2;BARE>FREE_L:1	1	1	1	BOUND_E>BOUND_E:1	2	2	2	BARE>FREE_L:1;BOUND_E>BOUND_E:1
H	H+kd	1		1	1	1	FREE_R>BOUND_E:1	1	1	1	FREE_R>BOUND_E:1	1	1	1	BOUND_D>BOUND_E:1
H	H+o	1		16	14	3	BOUND_E>BOUND_E:4;BOUND_D>BOUND_E:4;FREE_R>BOUND_E:3;FREE_L>BOUND_E:2;FREE_R>FREE_L:1;BARE>BOUND_E:1;BOUND_E>FREE_L:1	14	13	3	BOUND_D>BOUND_E:4;BOUND_E>BOUND_E:3;FREE_R>BOUND_E:2;FREE_L>BOUND_E:2;FREE_R>FREE_L:1;BARE>BOUND_E:1;BOUND_E>FREE_L:1	21	18	4	BOUND_D>BOUND_E:5;BOUND_E>BOUND_E:5;FREE_R>BOUND_E:4;FREE_L>BOUND_E:3;BARE>BOUND_E:2;FREE_R>FREE_L:1;BARE>FREE_R:1
H	H+o+H	1		1	1	1	BOUND_E>FREE_R:1	1	1	1	BOUND_E>FREE_R:1	1	1	1	BOUND_E>FREE_R:1
H	H+o+ckh	1		1	1	1	FREE_L>BOUND_E:1	1	1	1	FREE_L>BOUND_E:1	1	1	1	FREE_L>BOUND_E:1
H	H+o+cph	1		2	2	1	BOUND_D>BOUND_E:2	2	2	1	BOUND_D>BOUND_E:2	1	1	1	BOUND_D>BOUND_E:1
H	H+o+cth	1		1	1	1	BOUND_D>BOUND_E:1	1	1	1	BOUND_D>BOUND_E:1	1	1	1	BOUND_D>BOUND_E:1
H	H+ock	0						1	1	1	BOUND_D>BOUND_E:1				
H	H+od	1		27	23	5	FREE_L>BOUND_E:8;BOUND_D>BOUND_E:7;BOUND_E>BOUND_E:6;FREE_R>BOUND_E:2;FREE_L>FREE_L:2;FREE_R>FREE_R:1;BARE>BOUND_E:1	27	22	5	FREE_L>BOUND_E:9;BOUND_E>BOUND_E:6;BOUND_D>BOUND_E:5;FREE_R>BOUND_E:2;FREE_L>FREE_L:2;REL_I>FREE_L:1;FREE_R>FREE_R:1;BARE>BOUND_E:1	22	19	5	BOUND_E>BOUND_E:7;FREE_L>BOUND_E:6;FREE_R>BOUND_E:2;BOUND_D>BOUND_E:2;FREE_L>FREE_L:2;REL_I>FREE_L:1;FREE_R>FREE_R:1;BARE>BOUND_E:1
H	H+od+e	0		1	1	1	BOUND_E>BOUND_E:1								
H	H+oees	1		1	1	1	FREE_L>BOUND_E:1	1	1	1	FREE_L>BOUND_E:1	1	1	1	FREE_L>BOUND_E:1
H	H+oii	1		1	1	1	BOUND_E>FREE_R:1	1	1	1	BOUND_E>FREE_R:1	1	1	1	BOUND_E>FREE_R:1
H	H+ok	1		6	6	3	BOUND_D>BOUND_E:3;BOUND_E>BOUND_E:2;FREE_L>BOUND_E:1	6	6	3	BOUND_D>BOUND_E:3;BOUND_E>BOUND_E:2;FREE_L>BOUND_E:1	5	5	2	BOUND_D>BOUND_E:2;BOUND_E>BOUND_E:2;FREE_L>BOUND_E:1
H	H+ok+o	0										1	1	1	BOUND_E>BOUND_E:1
H	H+ok+ol	1		2	2	2	BOUND_E>BOUND_E:2	2	2	2	BOUND_E>BOUND_E:2	2	2	2	BOUND_E>BOUND_E:2
H	H+ok+or	0		1	1	1	BOUND_E>BOUND_E:1								
H	H+ol	1		33	29	5	BOUND_E>BOUND_E:9;FREE_L>BOUND_E:8;BOUND_D>BOUND_E:8;FREE_R>BOUND_E:4;REL_I>FREE_L:1;BOUND_D>BOUND_D:1;FREE_R>FREE_R:1;BARE>BOUND_E:1	34	28	5	BOUND_E>BOUND_E:10;FREE_L>BOUND_E:8;BOUND_D>BOUND_E:7;FREE_R>BOUND_E:5;REL_I>FREE_L:1;BOUND_D>BOUND_D:1;FREE_R>FREE_R:1;BARE>BOUND_E:1	31	26	5	BOUND_E>BOUND_E:8;FREE_L>BOUND_E:8;FREE_R>BOUND_E:6;BARE>BOUND_E:3;BOUND_D>BOUND_E:3;REL_I>FREE_L:1;BOUND_D>BOUND_D:1;FREE_R>FREE_R:1
H	H+ol+d	1		1	1	1	BOUND_E>BOUND_E:1	1	1	1	BOUND_E>BOUND_E:1	1	1	1	BOUND_E>BOUND_E:1
H	H+ol+k	1		1	1	1	BOUND_D>BOUND_E:1	1	1	1	BOUND_D>BOUND_E:1	1	1	1	BOUND_D>BOUND_E:1
H	H+ol+k+H	0		1	1	1	BARE>BOUND_E:1					1	1	1	BARE>BOUND_E:1
H	H+ol+ol	0										1	1	1	BOUND_D>BOUND_E:1
H	H+ol+s+os	0		1	1	1	BOUND_E>BOUND_E:1					1	1	1	BOUND_E>BOUND_E:1
H	H+or	1		18	17	3	FREE_R>BOUND_E:9;FREE_L>FREE_L:2;BOUND_E>BOUND_E:2;FREE_L>BOUND_E:2;Q_FREE_R>BOUND_E:1;BARE>BOUND_E:1;REL_I>BOUND_E:1	20	19	3	FREE_R>BOUND_E:10;BOUND_E>BOUND_E:3;FREE_L>FREE_L:2;FREE_L>BOUND_E:2;BARE>FREE_R:1;FREE_A>BOUND_E:1;BARE>BOUND_E:1	15	15	4	FREE_R>BOUND_E:7;FREE_L>FREE_L:2;BOUND_E>BOUND_E:2;FREE_L>BOUND_E:2;BARE>BOUND_E:2
H	H+os	1		6	6	4	BOUND_E>BOUND_E:2;FREE_R>BOUND_E:1;BOUND_D>BOUND_E:1;FREE_L>BOUND_E:1;BARE>BOUND_E:1	7	6	4	BOUND_E>BOUND_E:3;BOUND_D>BOUND_E:1;FREE_L>BOUND_E:1;FREE_R>BOUND_E:1;Q_FREE_R>BOUND_E:1	7	6	4	FREE_R>BOUND_E:2;BOUND_E>BOUND_E:2;BOUND_D>BOUND_E:1;FREE_L>BOUND_E:1;Q_FREE_R>BOUND_E:1
H	H+oss	1		1	1	1	FREE_R>FREE_R:1	1	1	1	FREE_R>FREE_R:1	1	1	1	FREE_R>FREE_R:1
H	H+ot	1		1	1	1	BOUND_E>BOUND_E:1	1	1	1	BOUND_E>BOUND_E:1	2	2	2	BOUND_E>BOUND_E:2
H	H+ot+ol	1		1	1	1	FREE_R>BOUND_E:1	1	1	1	FREE_R>BOUND_E:1	2	2	1	FREE_R>BOUND_E:1;BARE>BOUND_E:1
H	H+s	1		1	1	1	BARE>BOUND_E:1	2	2	1	BARE>BOUND_E:1;BARE>FREE_L:1	2	2	1	BARE>BOUND_E:1;BARE>FREE_L:1
H	H+t	1		10	8	2	BOUND_E>BOUND_E:2;BARE>BOUND_E:2;BOUND_D>BOUND_D:2;FREE_L>FREE_L:1;BOUND_D>BOUND_E:1;FREE_R>BOUND_E:1;FREE_L>BOUND_E:1	8	7	2	BOUND_D>BOUND_E:2;BOUND_E>BOUND_E:2;FREE_L>FREE_L:1;FREE_R>BOUND_E:1;FREE_L>BOUND_E:1;BARE>BOUND_E:1	10	9	2	BOUND_E>BOUND_E:3;BARE>BOUND_E:3;FREE_L>FREE_L:1;FREE_R>BOUND_E:1;FREE_L>BOUND_E:1;BOUND_D>BOUND_D:1
H	H+t+H	1		1	1	1	FREE_R>BOUND_E:1	1	1	1	FREE_R>BOUND_E:1	2	2	2	FREE_R>BOUND_E:1;BOUND_E>BOUND_E:1
H	H+t+Hd	0		1	1	1	BOUND_D>BOUND_E:1	1	1	1	BOUND_D>BOUND_E:1				
H	H+t+Ho	1		1	1	1	REL_I>BOUND_E:1	1	1	1	REL_I>BOUND_E:1	1	1	1	REL_I>BOUND_E:1
H	H+t+ok	0		1	1	1	BOUND_D>BOUND_D:1	1	1	1	BOUND_D>BOUND_D:1				
H	H+tr	0		1	1	1	BOUND_D>BOUND_E:1					1	1	1	BOUND_D>BOUND_E:1
H	Har	1		2	2	1	BOUND_E>FREE_A:1;BOUND_D>FREE_A:1	2	2	1	BOUND_D>REL_I:1;BOUND_D>FREE_A:1	1	1	1	BOUND_D>REL_I:1
H	Harl+k+o	0										1	1	1	FREE_L>BARE:1
H	Hcfhd	0						1	1	1	FREE_L>BARE:1				
H	Hch	1		5	5	2	BOUND_D>BARE:3;BOUND_D>BOUND_E:1;FREE_R>BOUND_E:1	3	3	2	BOUND_D>BARE:2;BOUND_D>BOUND_E:1	4	4	2	BOUND_D>BARE:2;BOUND_E>BOUND_E:1;FREE_R>BOUND_E:1
H	Hch+or	1		1	1	1	FREE_L>BOUND_E:1	1	1	1	FREE_L>BOUND_E:1	1	1	1	FREE_L>BOUND_E:1
H	Hchot	0		1	1	1	BOUND_E>REL_I:1	1	1	1	FREE_L>BARE:1				
H	Hchs	0		1	1	1	FREE_L>BARE:1					1	1	1	FREE_L>BARE:1
H	Hck	0						1	1	1	BOUND_E>BARE:1				
H	Hckh	1		31	22	4	BOUND_D>BARE:9;BOUND_E>BARE:7;FREE_L>BARE:3;BARE>BARE:3;FREE_R>BARE:2;BOUND_E>BOUND_E:2;REL_I>BARE:2;FREE_R>FREE_L:1;BOUND_D>BOUND_E:1;REL_I>BOUND_E:1	32	23	4	BOUND_D>BARE:9;BOUND_E>BARE:7;FREE_R>BARE:4;FREE_L>BARE:3;BARE>BARE:3;BOUND_E>BOUND_E:2;REL_I>BARE:2;FREE_L>BOUND_E:1;REL_I>BOUND_E:1	34	25	4	BOUND_E>BARE:10;BARE>BARE:6;BOUND_D>BARE:6;FREE_L>BARE:4;FREE_R>BARE:2;BOUND_E>BOUND_E:2;REL_I>BARE:2;FREE_R>FREE_L:1;REL_I>BOUND_E:1
H	Hckh+o	0		1	1	1	FREE_L>BOUND_E:1					1	1	1	FREE_L>BOUND_E:1
H	Hckh+od	1		2	2	2	BOUND_D>BOUND_E:1;FREE_R>BOUND_E:1	1	1	1	BOUND_D>BOUND_E:1	2	2	2	BOUND_E>BOUND_E:1;FREE_R>BOUND_E:1
H	Hckhd	1		2	2	2	BOUND_E>BARE:1;BOUND_D>BARE:1	2	2	2	BOUND_E>BARE:1;BOUND_D>BARE:1	1	1	1	BOUND_D>BARE:1
H	Hckhd+H	1		1	1	1	BOUND_D>BARE:1	1	1	1	BOUND_D>BARE:1	1	1	1	BOUND_E>BARE:1
H	Hckhh	0						4	4	2	BOUND_E>BARE:2;REL_I>BARE:1;FREE_R>BARE:1				
H	Hcph	1		1	1	1	FREE_R>FREE_L:1	2	2	1	FREE_R>BARE:1;FREE_R>FREE_L:1	1	1	1	FREE_R>FREE_L:1
H	Hcs+e	0						1	1	1	BOUND_E>BARE:1				
H	Hct	0						1	1	1	BOUND_D>FREE_A:1				
H	Hcth	1		20	18	4	BOUND_D>BARE:6;FREE_L>BARE:3;REL_I>BARE:2;BARE>BARE:2;FREE_R>REL_I:1;FREE_R>BARE:1;FREE_L>FREE_L:1;BOUND_E>BARE:1;BOUND_D>BOUND_D:1;BOUND_D>BOUND_E:1;FREE_R>BOUND_E:1	21	19	4	BOUND_D>BARE:7;FREE_L>BARE:4;REL_I>BARE:2;FREE_R>REL_I:1;FREE_R>BARE:1;FREE_L>FREE_L:1;BARE>BARE:1;BOUND_E>BARE:1;BOUND_D>BOUND_D:1;BOUND_D>BOUND_E:1;FREE_R>BOUND_E:1	19	17	4	BOUND_D>BARE:5;REL_I>BARE:2;BARE>BARE:2;FREE_L>BARE:2;BOUND_E>BARE:2;FREE_R>REL_I:1;FREE_R>BARE:1;FREE_L>FREE_L:1;BOUND_D>BOUND_D:1;BOUND_E>BOUND_E:1;FREE_R>BOUND_E:1
H	Hcthd	1		1	1	1	BOUND_D>BARE:1	1	1	1	BOUND_D>BARE:1	1	1	1	BOUND_D>BARE:1
H	Hcthk	0		1	1	1	BOUND_D>BOUND_D:1					1	1	1	BOUND_E>BOUND_E:1
H	Hcthod	1		1	1	1	FREE_L>BARE:1	1	1	1	FREE_L>BARE:1	1	1	1	FREE_L>BARE:1
H	Hcths+o	0						1	1	1	BOUND_E>BARE:1				
H	Hd	1		50	38	5	BOUND_D>BARE:18;BOUND_E>BARE:7;FREE_L>BARE:7;BARE>BARE:4;BOUND_D>FREE_L:3;FREE_R>FREE_L:2;BARE>REL_I:2;BOUND_D>REL_I:2;FREE_R>REL_I:1;FREE_R>BARE:1;BOUND_D>FREE_A:1;BARE>FREE_R:1;FREE_L>FREE_R:1	49	38	5	BOUND_D>BARE:19;FREE_L>BARE:8;BOUND_E>BARE:7;BARE>BARE:3;BOUND_D>FREE_L:3;BOUND_D>REL_I:2;FREE_R>FREE_L:1;FREE_R>REL_I:1;BOUND_E>FREE_R:1;FREE_R>BARE:1;BOUND_D>FREE_A:1;FREE_L>FREE_R:1;BARE>REL_I:1	40	31	4	BOUND_E>BARE:11;BOUND_D>BARE:11;BARE>BARE:6;FREE_L>BARE:3;BOUND_D>FREE_L:3;FREE_R>FREE_L:1;FREE_R>REL_I:1;FREE_R>BARE:1;BARE>FREE_R:1;BOUND_D>REL_I:1;BARE>REL_I:1
H	Hd+H	0		1	1	1	FREE_L>BARE:1	1	1	1	FREE_L>BARE:1				
H	Hd+k	1		1	1	1	BOUND_D>FREE_L:1	1	1	1	BOUND_D>FREE_L:1	1	1	1	BOUND_D>FREE_L:1
H	Hd+o	1		1	1	1	BOUND_D>BARE:1	1	1	1	BOUND_D>BARE:1	1	1	1	BOUND_D>BARE:1
H	Hd+ol	1		1	1	1	BOUND_D>BARE:1	1	1	1	BOUND_D>BARE:1	1	1	1	BOUND_E>BARE:1
H	Hd+ol+td	0		1	1	1	BOUND_E>BARE:1	1	1	1	BOUND_E>BARE:1				
H	Hd+or	1		1	1	1	BOUND_D>FREE_L:1	1	1	1	BOUND_D>FREE_L:1	1	1	1	BARE>BARE:1
H	Hd+t+od	0						1	1	1	FREE_L>BARE:1	1	1	1	FREE_L>BARE:1
H	Hdal	1		1	1	1	FREE_R>FREE_L:1	1	1	1	FREE_R>FREE_L:1	1	1	1	FREE_R>FREE_L:1
H	Hdd	0		1	1	1	BOUND_D>BARE:1	1	1	1	BOUND_D>BARE:1				
H	Hdl	0		1	1	1	BOUND_E>BARE:1					1	1	1	BOUND_E>BARE:1
H	He	0						1	1	1	FREE_R>BOUND_E:1				
H	Hedair	0		1	1	1	FREE_L>BARE:1	1	1	1	FREE_L>BARE:1				
H	Hedd	0										1	1	1	BOUND_D>BARE:1
H	Heel	0										1	1	1	BOUND_D>BARE:1
H	Heer	0										1	1	1	REL_I>BARE:1
H	Hees	1		3	3	2	FREE_L>BARE:2;BOUND_D>BARE:1	3	3	2	FREE_L>BARE:2;BOUND_D>BARE:1	3	3	2	FREE_L>BARE:2;BOUND_D>BARE:1
H	Her	1		1	1	1	BOUND_E>BARE:1	2	2	2	BARE>BARE:1;BOUND_E>BARE:1	2	2	2	BARE>BARE:1;BOUND_E>BARE:1
H	Hes	1		6	6	3	BARE>BARE:3;BOUND_D>BARE:1;FREE_R>BARE:1;BOUND_E>BARE:1	6	5	3	BARE>BARE:2;BOUND_D>BARE:1;FREE_R>BARE:1;BOUND_E>BARE:1;FREE_L>BARE:1	7	6	3	BARE>BARE:3;BOUND_D>BARE:1;FREE_R>BARE:1;BOUND_E>BARE:1;FREE_L>BARE:1
H	Hes+ed	1		1	1	1	FREE_L>BARE:1	1	1	1	FREE_L>BARE:1	1	1	1	FREE_L>BARE:1
H	Hk	1		20	18	3	FREE_R>REL_I:2;BOUND_E>BARE:2;BOUND_D>BOUND_E:2;REL_I>REL_I:1;BARE>REL_I:1;BARE>FREE_R:1;BOUND_E>BOUND_E:1;BARE>FREE_L:1;BOUND_D>BOUND_D:1;FREE_L>BARE:1;FREE_R>BOUND_E:1;BARE>BOUND_E:1;FREE_R>FREE_R:1;BOUND_D>REL_I:1;BOUND_D>BARE:1;BOUND_D>FREE_L:1;BOUND_E>REL_I:1	23	20	3	BOUND_D>BOUND_E:3;FREE_R>REL_I:2;BOUND_D>BOUND_D:2;REL_I>REL_I:1;BARE>REL_I:1;BARE>FREE_R:1;BOUND_E>BOUND_E:1;BARE>FREE_A:1;BARE>FREE_L:1;FREE_L>BARE:1;BARE>BOUND_E:1;FREE_R>BOUND_E:1;BOUND_E>BARE:1;FREE_R>FREE_R:1;BOUND_D>REL_I:1;BOUND_D>BARE:1;BOUND_D>FREE_L:1;BOUND_E>REL_I:1;FREE_R>BARE:1	27	22	3	BOUND_E>BOUND_E:3;BARE>BARE:3;FREE_R>REL_I:2;BOUND_E>BARE:2;BOUND_D>BOUND_E:2;BARE>BOUND_E:2;BOUND_E>REL_I:2;REL_I>REL_I:1;BARE>REL_I:1;BARE>FREE_R:1;BARE>FREE_L:1;FREE_L>BARE:1;FREE_R>BOUND_E:1;FREE_R>FREE_R:1;BOUND_D>REL_I:1;BOUND_D>BARE:1;BOUND_D>FREE_L:1;BOUND_E>BOUND_D:1
H	Hk+H	1		5	5	2	FREE_R>BARE:4;REL_I>BARE:1	6	6	2	FREE_R>BARE:4;BOUND_E>BARE:1;REL_I>BARE:1	5	5	2	FREE_R>BARE:4;REL_I>BARE:1
H	Hk+H+u	0		1	1	1	BOUND_E>BARE:1					1	1	1	BOUND_E>BARE:1
H	Hk+o	0		1	1	1	BARE>BARE:1								
