family_remainder	onset_triplet	onset_consensus	rows	folios	none	da	raw_da_fraction	expected_da_fraction	residual_da_fraction	positive_cells	zero_cells	negative_cells	loo_reusable	loo_rows
BA	B1/B1/B1	1	35	9	29	6	6/35	5111/630	-1331/630	2	3	4	1	35
BA	B1/B1/Ba	0	4	3	3	1	1/4	134/105	-29/105	0	1	2	1	4
BA	B2/B2/B2	1	15	5	9	6	2/5	65/18	43/18	4	0	1	1	15
BAB	B1/B1/B1	1	37	7	33	4	4/37	1735/308	-503/308	1	2	4	1	37
BAB	B1/B1/Ba	0	8	4	6	2	1/4	503/462	421/462	2	0	2	1	8
BAB	B2/B2/B2	1	17	4	15	2	2/17	1181/924	667/924	2	0	2	1	17
BAC	B1/B1/B1	1	30	6	24	6	1/5	613/84	-109/84	1	2	3	1	30
BAC	B1/B1/Ba	0	1	1	0	1	1/1	3/4	1/4	1	0	0	0	0
BAC	B2/B2/B2	1	4	3	2	2	1/2	20/21	22/21	2	0	1	1	4
BAF	B1/B1/B1	1	31	7	26	5	5/31	143/21	-38/21	3	1	3	1	31
BAF	B1/B1/Ba	0	7	6	5	2	2/7	43/28	13/28	2	0	4	1	7
BAF	B2/B2/B2	1	3	2	1	2	2/3	55/84	113/84	1	0	1	1	3
BAG	B1/B1/B1	1	112	16	90	22	11/56	20317/840	-1837/840	4	7	5	1	112
BAG	B1/B1/Ba	0	12	6	11	1	1/12	37/21	-16/21	1	0	5	1	12
BAG	B2/B2/B2	1	6	5	2	4	2/3	883/840	2477/840	4	0	1	1	6
BKA	B1/B1/B1	1	2	1	1	1	1/2	2/3	1/3	1	0	0	0	0
BKA	B2/B2/B2	1	1	1	1	0	0/1	1/3	-1/3	0	0	1	0	0
BKBA	B2/B2/B2	1	2	1	1	1	1/2	1/1	0/1	0	1	0	0	0
BKJA	B2/B2/B2	1	21	5	13	8	8/21	8/1	0/1	0	5	0	1	21
BKJBA	B1/B1/B1	1	6	5	6	0	0/1	55/39	-55/39	0	0	5	1	6
BKJBA	B2/B2/B2	1	46	7	37	9	9/46	296/39	55/39	5	2	0	1	46
BLA	B2/B2/B2	1	2	1	1	1	1/2	1/1	0/1	0	1	0	0	0
BLJBA	B1/B1/B1	1	2	1	2	0	0/1	1/2	-1/2	0	0	1	0	0
BLJBA	B2/B2/B2	1	5	2	3	2	2/5	3/2	1/2	1	1	0	1	5
BQA	B2/B2/B2	1	4	2	2	2	1/2	2/1	0/1	0	2	0	1	4
BQAF	B2/B2/B2	1	2	1	1	1	1/2	1/1	0/1	0	1	0	0	0
BQAG	B2/B2/B2	1	5	1	4	1	1/5	1/1	0/1	0	1	0	0	0
BQJBA	B2/B2/B2	1	3	1	2	1	1/3	1/1	0/1	0	1	0	0	0
BQKA	B1/B1/B1	1	1	1	1	0	0/1	1/2	-1/2	0	0	1	0	0
BQKA	B2/B2/B2	1	8	3	5	3	3/8	5/2	1/2	1	2	0	1	8
BQKBA	B2/B2/B2	1	7	2	5	2	2/7	2/1	0/1	0	2	0	1	7
C	C1/C1/C1	1	24	11	11	13	13/24	841/105	524/105	9	1	1	1	24
C	C1/C1/C2	0	1	1	0	1	1/1	1/3	2/3	1	0	0	0	0
C	C1/C2/C1	0	1	1	1	0	0/1	1/3	-1/3	0	0	1	0	0
C	C2/C2/C2	1	31	10	29	2	2/31	769/105	-559/105	1	1	8	1	31
CAF	C1/C1/C1	1	4	2	2	2	1/2	25/28	31/28	2	0	0	1	4
CAF	C2/C2/C2	1	7	2	7	0	0/1	31/28	-31/28	0	0	2	1	7
CAG	C1/C1/C1	1	6	1	5	1	1/6	6/11	5/11	1	0	0	0	0
CAG	C1/C1/Cd	0	1	1	1	0	0/1	1/11	-1/11	0	0	1	0	0
CAG	C2/C2/C2	1	4	1	4	0	0/1	4/11	-4/11	0	0	1	0	0
KA	K1/K1/K1	1	20	6	18	2	1/10	9/2	-5/2	0	2	4	1	20
KA	K2/K2/K2	1	5	4	0	5	1/1	5/2	5/2	4	0	0	1	5
KAB	K1/K1/K1	1	14	2	14	0	0/1	110/63	-110/63	0	0	2	1	14
KAB	K2/K2/K2	1	2	2	0	2	1/1	16/63	110/63	2	0	0	1	2
KAC	K1/K1/K1	1	13	4	12	1	1/13	35/12	-23/12	0	1	3	1	13
KAC	K2/K2/K2	1	3	3	0	3	1/1	13/12	23/12	3	0	0	1	3
KBA	K1/K1/K1	1	35	9	35	0	0/1	197/24	-197/24	0	0	9	1	35
KBA	K2/K2/K2	1	13	9	1	12	12/13	91/24	197/24	9	0	0	1	13
KJA	K1/K1/K1	1	56	5	51	5	5/56	5/1	0/1	0	5	0	1	56
PAB	P1/P1/P1	1	2	1	1	1	1/2	1/1	0/1	0	1	0	0	0
PAG	P1/P1/P1	1	4	2	3	1	1/4	3/2	-1/2	0	1	1	1	4
PAG	P2/P2/P2	1	1	1	0	1	1/1	1/2	1/2	1	0	0	0	0
PKAC	P1/P1/P1	1	1	1	0	1	1/1	1/2	1/2	1	0	0	0	0
PKAC	P2/P2/P2	1	1	1	1	0	0/1	1/2	-1/2	0	0	1	0	0
PKBA	P1/P1/P1	1	2	1	1	1	1/2	1/1	0/1	0	1	0	0	0
PKJA	P1/P1/P1	1	1	1	1	0	0/1	1/2	-1/2	0	0	1	0	0
PKJA	P2/P2/P2	1	1	1	0	1	1/1	1/2	1/2	1	0	0	0	0
PKJABA	P1/P1/P1	1	2	1	1	1	1/2	1/1	0/1	0	1	0	0	0
PKJAC	P1/P1/P1	1	2	1	1	1	1/2	1/1	0/1	0	1	0	0	0
PKJBA	P1/P1/P1	1	25	9	10	15	3/5	911/60	-11/60	2	4	3	1	25
PKJBA	P2/P2/P1	0	1	1	0	1	1/1	2/5	3/5	1	0	0	0	0
PKJBA	P2/P2/P2	1	4	4	2	2	1/2	29/12	-5/12	2	0	2	1	4
PLJBA	P1/P1/P1	1	1	1	0	1	1/1	1/2	1/2	1	0	0	0	0
PLJBA	P2/P2/P2	1	1	1	1	0	0/1	1/2	-1/2	0	0	1	0	0
UA	U1/U1/U1	1	12	6	4	8	2/3	149/28	75/28	4	2	0	1	12
UA	U2/U2/U2	1	15	4	14	1	1/15	103/28	-75/28	0	0	4	1	15
UAB	U1/U1/U1	1	6	3	3	3	1/2	7/4	5/4	2	1	0	1	6
UAB	U2/U2/U2	1	4	2	4	0	0/1	5/4	-5/4	0	0	2	1	4
UJA	U1/U1/U1	1	19	8	9	10	10/19	98/15	52/15	6	2	0	1	19
UJA	U2/U2/U2	1	10	7	9	1	1/10	61/15	-46/15	0	1	6	1	10
UJA	Uo/U1/U1	0	1	1	1	0	0/1	2/5	-2/5	0	0	1	0	0
UJAC	U1/U1/U1	1	1	1	0	1	1/1	1/2	1/2	1	0	0	0	0
UJAC	U2/U2/U2	1	1	1	1	0	0/1	1/2	-1/2	0	0	1	0	0
UJBA	U1/U1/U1	1	1	1	0	1	1/1	1/2	1/2	1	0	0	0	0
UJBA	U2/U2/U2	1	1	1	1	0	0/1	1/2	-1/2	0	0	1	0	0
