family	zl_code	it_code	rf_code	pattern	positions	currier_A	currier_B	currier_blank	group_FIRST	group_INTERNAL	group_LAST	group_SINGLE
U	U1	U2	U2	IT_RF	2	0	2	0	0	2	0	0
U	U2	U1	U2	ZL_RF	2	2	0	0	0	2	0	0
U	U3	U1	U3	ZL_RF	2	0	2	0	0	2	0	0
U	U4	U2	U2	IT_RF	2	2	0	0	2	0	0	0
X	Xm	X1	X1	IT_RF	2	0	2	0	1	1	0	0
A	A1	A2	Ab	ALL_DIFF	1	0	0	1	1	0	0	0
A	A2	A1	Ab	ALL_DIFF	1	0	0	1	0	0	1	0
A	A2	A3	A1	ALL_DIFF	1	1	0	0	0	1	0	0
A	A2	A3	Ab	ALL_DIFF	1	1	0	0	0	0	1	0
A	A3	A2	Aa	ALL_DIFF	1	0	0	1	0	1	0	0
B	B1	B2	B1	ZL_RF	1	0	0	1	0	0	1	0
B	B1	B2	B2	IT_RF	1	0	1	0	0	1	0	0
B	B1	B2	Ba	ALL_DIFF	1	0	1	0	0	1	0	0
B	B1	B3	B1	ZL_RF	1	0	0	1	0	1	0	0
B	B1	B3	Ba	ALL_DIFF	1	1	0	0	0	1	0	0
B	B2	B1	B2	ZL_RF	1	1	0	0	0	0	1	0
B	B3	B1	B3	ZL_RF	1	0	0	1	0	1	0	0
B	B3	B1	B4	ALL_DIFF	1	0	1	0	0	0	1	0
B	B3	B2	B2	IT_RF	1	1	0	0	0	0	1	0
B	B3	B2	B4	ALL_DIFF	1	1	0	0	0	0	1	0
B	B3	B3	B5	ZL_IT	1	0	1	0	0	0	1	0
B	B3	B3	Bd	ZL_IT	1	0	1	0	0	0	1	0
B	B3	B4	B3	ZL_RF	1	0	0	1	0	0	1	0
B	B3	B4	B4	IT_RF	1	0	1	0	0	0	1	0
B	B5	B1	B4	ALL_DIFF	1	1	0	0	0	0	1	0
B	B5	B3	B3	IT_RF	1	1	0	0	0	0	1	0
B	Be	B3	B3	IT_RF	1	0	1	0	0	0	1	0
B	Bf	B1	Ba	ALL_DIFF	1	0	1	0	0	1	0	0
B	Bg	B3	B3	IT_RF	1	1	0	0	0	0	1	0
B	Bi	B1	B1	IT_RF	1	1	0	0	1	0	0	0
C	Cd	C1	Cd	ZL_RF	1	0	1	0	0	1	0	0
C	Ch	C2	C2	IT_RF	1	0	1	0	0	0	1	0
C	Ch	C2	Ch	ZL_RF	1	1	0	0	1	0	0	0
C	Ci	C2	Ci	ZL_RF	1	0	0	1	0	1	0	0
C	Cp	C2	Cp	ZL_RF	1	1	0	0	0	0	1	0
F	F1	F3	F3	IT_RF	1	0	1	0	0	1	0	0
G	G1	G3	G1	ZL_RF	1	1	0	0	0	0	1	0
G	G1	G3	G3	IT_RF	1	1	0	0	0	0	1	0
G	G3	G1	G1	IT_RF	1	0	1	0	0	0	1	0
J	J1	Ja	Ja	IT_RF	1	0	0	1	1	0	0	0
J	Jc	J1	Jc	ZL_RF	1	1	0	0	0	1	0	0
K	K1	K1	Km	ZL_IT	1	1	0	0	1	0	0	0
K	Ka	Ka	K1	ZL_IT	1	0	1	0	0	1	0	0
P	P2	P1	P1	IT_RF	1	0	1	0	0	1	0	0
P	Pf	P1	P1	IT_RF	1	0	1	0	1	0	0	0
P	Pi	P1	Pd	ALL_DIFF	1	0	1	0	0	1	0	0
Q	Qa	Q1	Qa	ZL_RF	1	0	1	0	1	0	0	0
T	T1	T2	T2	IT_RF	1	0	0	1	1	0	0	0
T	T2	T1	T2	ZL_RF	1	0	0	1	0	1	0	0
T	T2	T2	T1	ZL_IT	1	0	1	0	0	1	0	0
T	Td	T1	T1	IT_RF	1	1	0	0	1	0	0	0
T	Te	T1	T1	IT_RF	1	1	0	0	1	0	0	0
T	Tg	T1	Tg	ZL_RF	1	1	0	0	1	0	0	0
T	Tl	T1	Tl	ZL_RF	1	1	0	0	0	1	0	0
U	U1	U1	U3	ZL_IT	1	0	1	0	0	1	0	0
U	U4	U2	U4	ZL_RF	1	1	0	0	0	1	0	0
U	U5	U2	U5	ZL_RF	1	1	0	0	0	0	0	1
U	Ue	U1	U1	IT_RF	1	1	0	0	0	0	1	0
U	Uj	U1	U1	IT_RF	1	0	1	0	1	0	0	0
U	Un	U1	U1	IT_RF	1	0	1	0	1	0	0	0
U	Uo	U1	U1	IT_RF	1	1	0	0	1	0	0	0
V	V1	V1	V2	ZL_IT	1	0	1	0	0	1	0	0
