source_order	manifest_id	manifest_sha256	label	manuscript_number	century	archetype	theme	description	circle_match	people_match	element_quality_match	marking_match	metadata_candidate
11	415fb52d-b379-4a9d-bf46-76d1bb95c508	c9f2528d7c3a76aba2e8a247acbb0c2c20374e7948d8a492cc2f4ed559c4a415	Conceptual scheme	Egerton 845, f. 19v	c. 1500-1550 AD		Alchemy	Conceptual scheme with references to alchemical nomenclature, such as “ignis”, “aer”, “aqua”, “terra” (the elemental constituents), “elixir”, “lapis”, “metalla” (the artificial generation of substances, associated with the philosopher’s stone). Starting from the relation between “Deus” (the Creator) and “Natura”, the diagram shows the alchemists’s attempts to imitate God’s creation by discovering the generative spirit in nature and the means to imitate it, using the art of practicing alchemy in laboratory. To recreate is then, for them, to generate, mature and perfect matter.	0	0	0	0	0
12	4575ddb4-0cb4-4a40-85f3-01bed1c5ec38	2039d5535eaf2210745b0feb27aaa12307379dc467e2d8440c6a19072af56ff8	Family Relationships	BPL 11, f. 57r	c. 1400-1450 AD	Genealogy/Consanguinity/Kinship/Affinity Tree/Pyramid/Chart	Genealogy	Agnates and cognates charts are systematically present in Isidore’s Etymologiae and can generally be found close to consanguinity charts (such as in this case), located in Liber IX of the Etymologiae, chapter 'De Affinitatibus'. These diagrams order successive relationships to up to a sixth degree of affinity (bloodlines of family descent) and were used for centuries as a legal resource for descendancy affairs and marriage; they assumed different forms but the most frequent are triangles and circles. In this copy, two diagrams stand together, agnates and cognates on top (pyramid shape) and consanguinity diagram bellow (wheel shape), occupying the whole page on folio 57r, drawn in black and red ink, in a gothic script.	1	0	0	0	0
13	461f3831-6deb-418c-99bf-dcfb184c37d9	e14cc70c2a24462e364d35801ed3d3658f70f911a655ec2ef2846502b5abc43e	Genealogy of the Gods	Latin 14716, f. 208r	c. 1400 AD	Genealogy/Consanguinity/Kinship/Affinity Tree/Pyramid/Chart	Astrology	In this composite manuscript, where John Buridan, Petrus Hispanus, Alberto Magno, Cicero, Plato and Bonetti, are featured, the 'Tabula genealogiarum Deorum secundum Johannem Boccacium' can be found containing a large collection of diagrams that organise the genealogy of gentile Gods. The diagrams are present from folio 206r to 212r, occupying the whole area of the pages in a gothic hand, poorly legible, in a spatial arrangement that is more related to a personal visual reasoning sketch than to a careful visual arrangement. The work by Boccacio is a mythological encyclopaedia commissioned by King Hugo of Cyprus (one of the earliest surviving copies is MS 100 - University of Chicago Library, written for Coluccio Salutati in the second half of the 14th century), and became the reference for the understanding of mythology and classical pantheons in the Middle Ages.	0	0	0	0	0
14	9d8521f9-3be8-40c6-902d-ae0d1d24f1d7	442a9e57b0ec23771340bc97fc94612e56366f3dbd17134af5cb3250b04997f6	Noah's Tree	VITR/14/2, f. 11v-12r	1047 AD	Genealogy/Consanguinity/Kinship/Affinity Tree/Pyramid/Chart	Genealogy	Produced for the kings of Castilla y Leon, this codex is a copy of the Comentarios al Apocalipsis of the monk Beatus Leibanensis, originally written by the end of the 8th century. Common in many ecclesiastical works and commissioned copies for the nobility, genealogical trees are specially associated to the ages of the world and to Christ’s lineage, although the same visual expressions were used for power legitimacy for both aspirants to the throne and religious communities. The tree diagram of Noah's descendancy occupies two facing folios (11v and 12r) inside a sequence from f.1r to 17r. It uses connected circles to express generations and colours to track bloodlines. On the top-left corner there is a small illumination of Noah with two doves, on that same page we find in red Japheth's line and in blue, Ham's line; on the following page, Shem's bloodline is painted in yellow. For special remarks, the scribe used yet another medieval visual formula: architectural niches, such as those found in canon tables.	0	0	0	0	0
15	a37b9752-9d7f-4fc3-8ce4-e70c8bb811b4	9b547fc3a97401b8f67d1ee17de190062d0b9b0436bedd0eeb7b4c6628327418	Zodiac Man	Additional 10628, f. 25	1384 AD	Zodiac Man	Astrology	A full-page diagram of Zodiac Man. A diagram of the human body can be seen divided into twelve sections, each part of the body linked to governing zodiac symbols with labels, namely: aries (head), taurus (neck), gemini (shoulders), cancer (chest), leo (sides), virgo (belly), libra (buttocks), scorpio (genitalia), sagittarius (thighs), capricorn (knees), aquarius (lower leg), and pisces (feet). The diagram represents a cosmic relationship: the correlation of astrological signs with body parts, showing a correspondence between the microcosm and the macrocosm (that is, the microcosm of the human body and the macrocosm of the universe). The drawing shows the Medieval worldview that the human physiology was influenced by the heavens and astrological signs were thought to influence the body and its health.	0	0	0	1	0
16	4d249e61-fdbd-48cd-8aa1-df85d6883757	0a81dd7a637bb74d4f341af9ed39668f950f2c1ae8d6d9505953d0e3d2a84c17	Musical Tapestry	Alcobaça 446, f. 71r	c. 1100 AD		Music Theory	Isidoro's Etymologiae is an extensive compilation of knowledge from the Late Antiquity that became one of the most copied works of the Middle Ages. It contains a chapter on Music Theory, inside Liber III. Opening this 13th century copy of the text of De Musica is an elaborated diagram of harmonies (folio 71r). It occupies an entire page of a very elegant gothic codex; it uses light colours (blue and pink) decoratively and lines are drawn in red. The diagram presents the intervals between tones, musical notes and harmonic relationships, in a symmetrical drawing of interweaving labels that establish connections in a descending order, in a way that it is clear that it took a lot of planning and aesthetical awareness. Besides it there are three other sets of complementary information, such as a diagram of the elements and their qualities, in black ink, where it is visible that the artist made a base with a pencil before applying the ink.	0	0	1	1	0
17	a4ddd32c-1a51-43ba-892a-69b12af17a3f	99ef26218250d2dbf86fc853eb800e656a92d2c69061c739e1b174b30f5fbfd5	Consanguinity diagram	Additional 15603, f. 93	c. 1150-1200 AD	Genealogy/Consanguinity/Kinship/Affinity Tree/Pyramid/Chart	Genealogy	One of the subjects in Book IX of Isidore’s Etymologies are family relationships and their degrees. The manuscript contains a full-page framed diagram of the degree of consanguinity that shall be read like this: a family arises with the father and ends with the great-great-great-great-grandfather. The ascending line of lineal ancestry runs thus: pater (father), avus (grandfather), proavus (great-grandfather), abavus (great-great-grandfather), atavus (great-great-great-grandfather), tritavus (great-great-great-great-grandfather). Tritavus is the last name given to this line of kinship. The diagram assumes geometric and foliate decoration, including roundels with a queen and a king, besides other human figures and hybrid creatures.	0	1	0	0	0
18	547af8f8-f6d2-4607-8030-99cf16527c4d	8fbb08e412d34182de1d2060179006024957fcaf5eec430ec56617f1832e7007	Square of opposition	Latin 18514, f. 8r	c. 1300 AD	Square of Opposition	Music Theory	Arranged in a square of opposition, the mathematics of musical intervals can be seen: the numerals XII, IX, VIII and VI in its corners are the four basic intervals of musical theory. The ratio of 12 to 6 is that of the octave or diapason. The ratio of 12 to 9 or 8 to 6 gives the interval of a fourth or diatessaron. Two sesquialtern (sesqualter) ratios (12:8 and 9:6) are diapente consonant intervals: the 12 to 8 and 9 to 6 gives the fifth or the diapente. The ratio of 9 to 8 is a tone (tonus). Musical intervals can therefore be expressed as numerical ratios. Two human figures tell the myth of the origin of music: Tubalcain (a biblical character) and Pythagoras (the pagan equivalent). The Book of Genesis attributes to Jubal the invention of music and to his half-brother Tubalcain the working of metals; nevertheless, in the Middle Ages, the latter was considered the inventor of music. In the image, a blacksmith can be seen with Pythagoras creating sounds by hitting a piece of metal with four hammers. Pythagoras, studying the ratios between the different tones generated by the hammers and their respective weight, established the consonances of musical harmony.	0	1	0	0	0
19	a72bd2ef-f261-49b0-9586-6152e880db20	25ecc9495ea875a63ae6054b516d1cc68182cc1b3c4ecae87b2d785d59949d54	Christ Lineage Tree	B.15.4, f. 3r	c. 1200-1250 AD	Genealogy/Consanguinity/Kinship/Affinity Tree/Pyramid/Chart	Christian Doctrine	Christ's lineage tree is commonly found in Biblical History manuscripts and was particularly popular in the Carolingian era, having made its presence well into the sixteenth century. In this work, a later copy of Peter Comestor's Historia Scholastica, the diagram assumes an organising chart form, heavily commented, developing vertically and downwards throughout eleven folios. The diagram accompanies the biblical periods' chronicle, starting from Adam and Eve and subsequent descendants, to Christ, inserted in multi-coloured circles that in turn run across lines with different colours. On the first folio, by Noa's label there is an ark with its various floors/levels, and in them, their occupants are described. On the second folio, the lines of lineage start to diverge into other trunks; the main one is always painted red. The series of illustrated folios ends with a full-page drawing of a menorah.	0	0	0	1	0
20	aa42facf-4aa9-4833-9967-4f2c3826e6c1	ee9bd0b90cc77c07a9e07b98578cde0bd52f426f0d52726ca583e97ecc0239e2	Porphyrian Tree	Latin 16611, f. 8v	c. 1200-1300 AD	Porphyrian Tree | Scala Praedicamentalis	Logic	Large tree diagram occupying a full folio (f. 8v), in black, red and green ink, described in the work Summulae logicales by Peter of Spain. Porphyrian trees (also Scale of Being or Scala Praedicamentalis) visually express Aristotle's categories and Porphyry's inquiries into the 'differentiae' of species within a 'genus.' These arboreal compositions have been popular since Boethius' translation of the work and were used to identify the characteristics of all things using a standard terminology. The roots of the tree are supported by two dragons; 'homo' is placed directly above the roots and the tree grows upwards in a total of six levels (homo; rationale animal; animal; anima tum corpus; corpus; substantia), and sideways (the opposing 'species specialis forma').	0	0	0	0	0
21	6ef7229e-888a-4466-9295-87b738b63d52	4ced071690782d2535b28e3777894c381491e69187274de1dc7948037165007b	Consanguinity Chart	Clm 13031, f. 102v	c. 1150-1200 AD	Genealogy/Consanguinity/Kinship/Affinity Tree/Pyramid/Chart	Genealogy	The consanguinity chart is located on f. 102v, at the end the VII part of Liber 9 of this Etymologiae manuscript, made in parchment and in brown and red ink, in a Romanesque style. It is preceded by a list of agnates and cognates relationships, and succeeded by a textual explanation of the consanguinity chart. The diagram is laid out in a very symmetrical rigidity, stripped of ornaments, to demonstrate various degrees of affinity, forming a geometrical body that ascends towards the head of Christ. In the centre, Mother and Father irradiate vertical layers (ascending and descending) depicting direct lines of consanguinity, while horizontal layers are used to present subsequent degrees of kinship. This type of charts was often used to help solve matters of marriage or inheritance. By the sides of the composition, inside circles (on top) and inverted triangles (bellow), the text concludes that generations gradually diverge until the last step is a sixth degree apart from the centre (father and mother), and these are connected to the six ages of the world, and thus, in a triangular shape, the body of Christ makes its presence, with open arms.	0	0	0	0	0
22	b2e77159-51d1-4ea5-87ea-5b5b640110e7	905ce879dec474ccaa94f9edc501e5bb7f56caeb6eec1d8731549ae55afe899a	Spanish Tree	INVENT/80056	1622 AD	Genealogy/Consanguinity/Kinship/Affinity Tree/Pyramid/Chart	Genealogy	Very large tree diagram etching print of the genealogy of the Spanish monarchy by Juan Schorquens, a Flemish intaglio engraver active in Madrid during the reign of Filipe III and Filipe IV. The composition is an exemplar of Baroque's aesthetic flavours: very fine and organic etched lines give life to a forest of tall trees (each associated to a nobility house, fifteen in total) with extending branches, creating a interwoven pattern similar to a dense tapestry. In the centre, the tree with the straightest trunk corresponds to the House of Austria and represents the direct line to King Filipe IV.	0	0	0	0	0
23	b6299645-edad-4ab1-b412-4c1e00120031	390a8ce46bfb25cb023456a03fb66375153867b0c3590c0f284627613e980a0f	Arbor scientiae	R. Llull, 69, f. front cover	1515 AD	Tree of Science | Tree of Knowledge	Science	In the illustration, one sees Ramon Lull (Raymundus) talking to a monk (monachus) beneath the “Tree of science”, which has in its roots the following ideas: bonitas, magnitudo, duratio, potestas, sapientia, voluntas, virtus, veritas, gloria, differentia, concordantia, contrarietas, principium, medium, finis, maioritas, aequalitas, minoritas. The branches show the classification of all human knowledge in sixteen categories, such as elements, senses, imagination, humanity, morality, law, church, astronomy, angels, paradise, hell, the Virgin Mary, Jesus Christ and theology. The tree is an educational device. Each science is represented by a tree with roots, trunk, branches, leaves and fruits. The roots represent the basic principles of each science; the trunk is the structure; the branches, the genres; the leaves, the species; and the fruits, the individual and their acts and finalities.	0	0	1	0	0
24	b7ee71e2-98f1-427f-a0f5-a2d906bd1cdd	13bb424cdee1931207f3bddbf9bf9a44d923473c5ad6d7a9e27667cadc3d1415	Wheel of Vices	Royal 14 B IX	c. 1200 AD	Tree of Virtues | Tree of Vices	Christian Doctrine	This copy of Peter of Poitiers' Compendium is a parchment manuscript composed of leaves forming a more than six-meter-long scroll, containing sixteen multi-coloured illuminations and diagrams, which presents the biblical history from Adam and Eve to Christ. The diagram of Vices is circular, divided into eight parts (the top one being Christ and the other are personifications of the seven vices) and six layers (from the centre to the outer edge, each layer contains information inside small circles, in different number, according to the particular vice) presenting the relationship between beatitudes, virtues and sins. Around it, forming a quadrangular composition, there are four roundels in the corners (Christ Judge, God Creator, the Resurrection and the Nativity), text in brown and red highlighted sentences. The wheel of vices diagram can also be found also in the manuscript BL, Cotton Roll XIV.12 as 'Septenarium Pictum', in the BL, MS. Lyell 84 or in the HL, MS. Typ. 584, for example.	1	0	0	0	0
25	bfb2fc61-b854-4a99-8485-83f7a8102e6a	78fae9c43ff956453569ece228d296f43109054dd954ed538175fac4e67b69a6	Arbor porphyriana	Codex 315(605), f. 35r	c. 0900 AD		Logic	This codex contains In Isagogen Porphyrii Commentorum Editio secunda (ed. Brandt 1906). The codex was written by numerous hands, including those of both Cologne and Einsiedeln origins; the nature of the collaboration has not been determined.	0	0	0	0	0
26	1dc9c745-09b8-4115-b749-8d840d36aa63	f7524e0739c34204bbc590b0e56a58251a89063400d348d3191da6cc5d6a76fa	Porphyrian tree	Res/4 Ph.sp. 147#Beibd.2, f. 1r	1503 AD	Porphyrian Tree | Scala Praedicamentalis	Logic	"Augustinus Triumphus contested the validity of the Porphyrian tree and the image shows an axe-swinging monk attacking Porphyry’s Tree (at first glance, the image may not look like a tree, yet it is one, as perceived from the roots at the bottom). The Porphyrian Tree is a classic diagrammatic representation of a ""scale of being"". The idea of dividing genera into species via differentiae is found in Porphyry’s Isagoge, coming from Aristotle's classification of categories. This Porphyrian tree consists of three columns of words: the central column (the trunk of the tree) contains the series of genera and species and the extremes (the terms that jut out to the left and right), containing the differentiae (the branches of the tree). The tree is filled with categories coming from substantia (the highest genus), being corporea or incorporea (two species of the genus substance), the corpus being animatus or inanimatus, the corpus animatus being sensibile or insensibile, the animal being rationale or irrationale, the animal rationale being mortale or imortale, and last, homo (the lowest species in this diagram) being Socrates or Plato (mere particular humans, individuals). The logical process starts and continues until the lowest species is reached. The scheme therefore shows a set of branches forking downward from the genus to its species and subspecies and thence to individuals."	0	0	0	1	0
27	c5c999af-6608-4e19-8657-0fe1e57ae16f	2f7948ccad9d17ed26d1fdbc8e0b4371302b6dadaea39c2e9c5269d615045bd9	Tree of Virtues	res-261-v, flyleaf	1563 AD	Tree of Virtues | Tree of Vices	Ethics	Large woodcut printed on a single sheet, folded to fit the 4o format, illustrating moral virtues and vices as a Tree Diagram. The author based his theory and his design of the tree on Aristothle, more precisely through Jacques Lefevre D'Etaples coments in Artificialis introductio per modum Epitomatis, printed in the turn of the sixteenth century. At the bottom, a male human body stretches his limbs merging them with the roots of the Tree. Each limb symbolises a Principle of the Soul: spontaneum; consultations; elections; voluntarium. From the base of the trunk a small child emerges: Free-will. Further up, the trunk contains twelve iconographic images of virtues, of which the top four are the Cardinal Virtues, in the following order: Comitas; Affabilitas; Veritas; Mansuetudo; Modestia; Magnanimitas; Magnificentia; Liberalitas; Temperantia; Fortitudo; Iustitia; and Prudentia. Twenty-four vices’ branches spring from the trunk, twelve to the left and twelve to the right; two vices per virtue: to the left, vices performed by an excess of virtue, and to the right those performed by a defect of virtuous conduct. The top of the trunk culminates with the three theological virtues, Fides, Charitas and Spes, that are being coronated by an angel representing Human Happiness.	0	0	0	0	0
28	4369612a-f3ef-4af3-831a-b5192411e810	a878696ce7e25f606ab45d629b7b1773d8bfb044984d96179d18847f3b49eaf3	Tree of consanguinity and affinity	Arundel 381, f. 173v	c. 1200-1300 AD	Genealogy/Consanguinity/Kinship/Affinity Tree/Pyramid/Chart	Genealogy	Tree of consanguinity and affinity added at the end of the 'Tabula theologie'. The tree, whose intertwines suggest an initial rooting, is framed by a king and a queen represented in coloured drawings at the base of the tree. The degree of relative consanguinity is illustrated with a tree filled with rows, depicting the ties between family members, presenting the biological link between different persons and reconstructing the ordered sequence of generations within a family group.	0	0	0	0	0
29	cdc5b252-a95e-4d52-b14a-b93e58a95131	c4a1125b7cad4a64bb395672e743aefaa61ca31a59428451ff6e2b1d95b444bd	Geomancy Diagrams	Arundel 66, f. 270v	1490 AD		Geomancy	The manuscript includes Alpharinus’s Liber arenalis scientiae, translated by Plato Tiburtinus (Plato of Tivoli), and one sees in the folio some geomancy diagrams. Geomancy’s method – one of the most popular forms of divination during the Middle Ages – allows to interpret the meanings of patterns drawn on the ground or other flat surface by means of tossed handfuls of sand or similar granular materials (like soil and rocks). The technique requires introspection (to read the figure's energy) and consists of discovering the past, the present and the future by interpreting figures of even or odd points placed in particular locations in a shield chart, formed by a randomized process. There are sixteen geomantic figures and each can be interpreted in various ways, depending on the question and the method used to generate the tables of points. Each figure or pattern has a name, associations with the elements (and each figure has a ruling element, which can be more or less difficult to assign) and planets, good or bad qualities, stable or mobile quality, etc. As shown in the diagrams, each figure is composed of four lines containing either one or two points. Each line represents one of the four classical elements: from top to bottom, the lines represent fire, air, water, and earth. The elements can be combined differently and the element is active if the line has a single point, and passive if there’s two points.	0	0	1	0	0
30	d9216576-f37a-46cb-964a-8470571dc4ce	fdcf05276e5b8f2e20c7caf200a49ab87615118142e95c6354d7e1d1798080a7	Musical Tapestry	VITR/14/3, f. 27r	c. 0800 AD		Music Theory	In Isidoro's Etymologiae the first three books are dedicated to the 'seven liberal arts.' On Liber III, on Music Theory, it is common to find diagrams depicting harmonical relationships between musical notes. On this 9th century copy of Etymologiae, illustrations and diagrams are rare. This particular manuscript is written in a visigothic minuscule hand, in two columns, occupying more than 160 folios and containing annotations in Arabic scripture (including the inclusion of a T-O map). In addition, many of the folios are roughly crafted parchment pieces. The diagram of the harmony of musical intervals occupies an entire page and was drawn in brown, yellow, red and green. It is an intricate composition of arches and vertical paths (with labels) that develops symmetrically from top to bottom. It was not, however, carefully designed: there are some errors, and visually it is extremely unbalanced. Curiously, four centuries later, the same diagram appears on another copy of the Etymologiae (manuscript 26138 (Alcobaça 446), from Biblioteca Nacional de Portugal), but it is radically better planned from an aesthetical point of view.	0	0	0	1	0
