commission_step	event_id	page	record	statement_id	statement_position	owner_action	owner_noun_de	master_dictation_de	component_recipe	lesson_source	lesson_anchor	recipe_address	lookup_result	allowed_card_nos	selected_card_no	allowed_surfaces	copied_surface	likely_master_correction	readback_de
23	E106	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN	OL	RECURRENT_FAMILY	OL	A097	CHOOSE_LOCAL_CARD_VARIANT	PROC013|PROC115	PROC013	cheol|chol|ol|qol|sol|tol; ls	ol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN
24	E107	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	ZUDOSIEREN · PORTION	K+AIN	RECURRENT_FAMILY	K+AIN	A041	DIRECT_CARD	PROC069	PROC069	chkain|kain	kain	MASS_VS_PORTION+COPY_SURFACE_DO_NOT_REGULARIZE	ZUDOSIEREN · PORTION
25	E108	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN · ZUDOSIEREN · PORTION	OL+K+AIN	RECURRENT_FAMILY	OL+K+AIN	A103	DIRECT_CARD	PROC070	PROC070	olkain|qolkain	olkain	MASS_VS_PORTION+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN · ZUDOSIEREN · PORTION
26	E109	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	ZIEL	AL	RECURRENT_FAMILY	AL	A004	DIRECT_CARD	PROC055	PROC055	al|chal|cheal|dal|sal|tal	al	SOURCE_VS_TARGET+COPY_SURFACE_DO_NOT_REGULARIZE	ZIEL
27	E110	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN	OL	RECURRENT_FAMILY	OL	A097	CHOOSE_LOCAL_CARD_VARIANT	PROC013|PROC115	PROC013	cheol|chol|ol|qol|sol|tol; ls	ol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN
28	E111	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	KUEHLEN · FORTSETZEN	R+OL	KNOWN_ROOT_TRAY_EXTENSION	R	A127	DIRECT_CARD	PROC071	PROC071	rol	rol	COPY_EXACT_NO_SEMANTIC_REPAIR	KUEHLEN · FORTSETZEN
29	E112	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	WEITERLEITEN	L	RECURRENT_FAMILY	L	A051	DIRECT_CARD	PROC072	PROC072	dl	dl	COPY_EXACT_NO_SEMANTIC_REPAIR	WEITERLEITEN
30	E113	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN · ANSATZ	OL+OR	RECURRENT_FAMILY	OL+OR	A099	DIRECT_CARD	PROC022	PROC022	cholor|olor	olor	COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN · ANSATZ
31	E114	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN	OL	RECURRENT_FAMILY	OL	A097	CHOOSE_LOCAL_CARD_VARIANT	PROC013|PROC115	PROC013	cheol|chol|ol|qol|sol|tol; ls	ol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN
32	E115	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	HALTEN · KURZ · DURCHLASS · ZIEL	SH+E+CKH+AL	RECURRENT_SAME_HEAD_ANCHOR	SH+CKH+E+DY	A141	DIRECT_CARD	PROC073	PROC073	sheckhal	sheckhal	SOURCE_VS_TARGET	HALTEN · KURZ · DURCHLASS · ZIEL
33	E116	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	MASS	AIIN	RECURRENT_FAMILY	AIIN	A001	DIRECT_CARD	PROC009	PROC009	aiin|chaiin|daiin|saiin|taiin	daiin	MASS_VS_PORTION+COPY_SURFACE_DO_NOT_REGULARIZE	MASS
34	E117	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	ANSETZEN · LANG · ZIEL	OK+EE+AL	RECURRENT_SAME_HEAD_ANCHOR	OK+AL	A088	DIRECT_CARD	PROC074	PROC074	qokeedal	qokeedal	SOURCE_VS_TARGET	ANSETZEN · LANG · ZIEL
35	E118	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	MASS	AIIN	RECURRENT_FAMILY	AIIN	A001	DIRECT_CARD	PROC009	PROC009	aiin|chaiin|daiin|saiin|taiin	daiin	MASS_VS_PORTION+COPY_SURFACE_DO_NOT_REGULARIZE	MASS
36	E119	f81v	B1	B1-S002	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	DURCHLASS · DIES	CKH+Y	RECURRENT_FAMILY	CKH+Y	A026	DIRECT_CARD	PROC075	PROC075	chckhy|shckhy	chckhy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	DURCHLASS · DIES
37	E120	f81v	B1	B1-S002	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	UMSETZEN · SCHLUSS	CHD+DY	RECURRENT_FAMILY	CHD+DY	A021	CHOOSE_LOCAL_CARD_VARIANT	PROC076|PROC094	PROC076	dchedy|schedy|tchedy; dchdy	schedy	OPEN_DIES_VS_CLOSE+LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	UMSETZEN · SCHLUSS
38	E121	f81v	B1	B1-S003	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	FORTSETZEN	OL	RECURRENT_FAMILY	OL	A097	CHOOSE_LOCAL_CARD_VARIANT	PROC013|PROC115	PROC013	cheol|chol|ol|qol|sol|tol; ls	qol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN
39	E122	f81v	B1	B1-S003	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	SH+K+CHD+DY	RECURRENT_SAME_HEAD_ANCHOR	SH+CKH+E+DY	A144	DIRECT_CARD	PROC077	PROC077	sshkchdy	sshkchdy	OPEN_DIES_VS_CLOSE	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS
40	E123	f81v	B1	B1-S004	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	UMSETZEN · DIES	CHD+Y	RECURRENT_FAMILY	CHD+Y	A022	CHOOSE_LOCAL_CARD_VARIANT	PROC042|PROC133	PROC042	chdy|chedy; chedchy	chedy	OPEN_DIES_VS_CLOSE+LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	UMSETZEN · DIES
41	E124	f81v	B1	B1-S004	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN	OL	RECURRENT_FAMILY	OL	A097	CHOOSE_LOCAL_CARD_VARIANT	PROC013|PROC115	PROC013	cheol|chol|ol|qol|sol|tol; ls	ol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN
42	E125	f81v	B1	B1-S004	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	ABSETZEN · SCHLUSS	SHED+DY	RECURRENT_FAMILY	SHED+DY	A148	DIRECT_CARD	PROC078	PROC078	cheedy|shedy|tedy	shedy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	ABSETZEN · SCHLUSS
43	E126	f81v	B1	B1-S005	ONLY	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	FORTSETZEN · UMSETZEN · SCHLUSS	OL+CHD+DY	RECURRENT_FAMILY	OL+CHD+DY	A102	DIRECT_CARD	PROC079	PROC079	olchedy|qolchedy	qolchedy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN · UMSETZEN · SCHLUSS
44	E127	f81v	B1	B1-S006	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	ANSETZEN · PORTION	OK+AIN	RECURRENT_FAMILY	OK+AIN	A078	DIRECT_CARD	PROC080	PROC080	okain|qokain	qokain	MASS_VS_PORTION+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · PORTION
45	E128	f81v	B1	B1-S006	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	DURCHLASS · DIES	CKH+Y	RECURRENT_FAMILY	CKH+Y	A026	DIRECT_CARD	PROC075	PROC075	chckhy|shckhy	shckhy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	DURCHLASS · DIES
46	E129	f81v	B1	B1-S006	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	WEITERLEITEN	L	RECURRENT_FAMILY	L	A051	DIRECT_CARD	PROC072	PROC072	dl	dl	COPY_EXACT_NO_SEMANTIC_REPAIR	WEITERLEITEN
47	E130	f81v	B1	B1-S006	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	KUEHLEN · ZIEL	R+AL	KNOWN_ROOT_TRAY_EXTENSION	R	A126	DIRECT_CARD	PROC081	PROC081	ral	ral	SOURCE_VS_TARGET	KUEHLEN · ZIEL
48	E131	f81v	B1	B1-S007	ONLY	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	ANSETZEN · UMSETZEN · SCHLUSS	OK+CHD+DY	RECURRENT_FAMILY	OK+CHD+DY	A085	CHOOSE_LOCAL_CARD_VARIANT	PROC082|PROC091	PROC082	qokchdy; okchedy|qokchedy	qokchdy	OPEN_DIES_VS_CLOSE+LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · UMSETZEN · SCHLUSS
49	E132	f81v	B1	B1-S008	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	DIES	Y	RECURRENT_FAMILY	Y	A159	DIRECT_CARD	PROC019	PROC019	chey|chy|dy|shy|sy|y	chey	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	DIES
50	E133	f81v	B1	B1-S008	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN	OL	RECURRENT_FAMILY	OL	A097	CHOOSE_LOCAL_CARD_VARIANT	PROC013|PROC115	PROC013	cheol|chol|ol|qol|sol|tol; ls	ol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN
51	E134	f81v	B1	B1-S008	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	WAERMEN · KURZ · DIES	CHK+E+Y	RECURRENT_FAMILY	CHK+E+Y	A023	DIRECT_CARD	PROC083	PROC083	cheky	cheky	OPEN_DIES_VS_CLOSE	WAERMEN · KURZ · DIES
52	E135	f81v	B1	B1-S008	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN	OL	RECURRENT_FAMILY	OL	A097	CHOOSE_LOCAL_CARD_VARIANT	PROC013|PROC115	PROC013	cheol|chol|ol|qol|sol|tol; ls	ol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN
53	E136	f81v	B1	B1-S008	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	ABSETZEN · SCHLUSS	SHED+DY	RECURRENT_FAMILY	SHED+DY	A148	DIRECT_CARD	PROC078	PROC078	cheedy|shedy|tedy	shedy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	ABSETZEN · SCHLUSS
54	E137	f81v	B1	B1-S009	ONLY	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	ANSETZEN · KURZ · SCHLUSS	OK+E+DY	RECURRENT_FAMILY	OK+E+DY	A086	DIRECT_CARD	PROC067	PROC067	qokedy	qokedy	OPEN_DIES_VS_CLOSE	ANSETZEN · KURZ · SCHLUSS
55	E138	f81v	B1	B1-S010	ONLY	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	ANSETZEN · KURZ · SCHLUSS	OK+E+DY	RECURRENT_FAMILY	OK+E+DY	A086	DIRECT_CARD	PROC067	PROC067	qokedy	qokedy	OPEN_DIES_VS_CLOSE	ANSETZEN · KURZ · SCHLUSS
56	E139	f81v	B1	B1-S011	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	DURCHLASS · DIES	CKH+Y	RECURRENT_FAMILY	CKH+Y	A026	DIRECT_CARD	PROC075	PROC075	chckhy|shckhy	chckhy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	DURCHLASS · DIES
57	E140	f81v	B1	B1-S011	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	ANSETZEN · DIES	OK+Y	RECURRENT_FAMILY	OK+Y	A083	CHOOSE_LOCAL_CARD_VARIANT	PROC008|PROC011	PROC008	choky|oky|qoky; chokchy|okchy|qokchy	qoky	OPEN_DIES_VS_CLOSE+LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · DIES
58	E141	f81v	B1	B1-S012	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	WASCHEN · GANG	LSH+O	RECURRENT_SAME_HEAD_ANCHOR	LSH+E+DY	A069	DIRECT_CARD	PROC084	PROC084	lsho	lsho	COPY_EXACT_NO_SEMANTIC_REPAIR	WASCHEN · GANG
59	E142	f81v	B1	B1-S012	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	ANSETZEN · KURZ · DIES	OK+E+Y	RECURRENT_FAMILY	OK+E+Y	A087	DIRECT_CARD	PROC085	PROC085	okey|qokey	qokey	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · KURZ · DIES
60	E143	f81v	B1	B1-S012	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	WASCHEN · KURZ · SCHLUSS	LSH+E+DY	RECURRENT_FAMILY	LSH+E+DY	A070	DIRECT_CARD	PROC086	PROC086	lshedy	lshedy	OPEN_DIES_VS_CLOSE	WASCHEN · KURZ · SCHLUSS
61	E144	f81v	B1	B1-S013	ONLY	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	WASCHEN · KURZ · SCHLUSS	LSH+E+DY	RECURRENT_FAMILY	LSH+E+DY	A070	DIRECT_CARD	PROC086	PROC086	lshedy	lshedy	OPEN_DIES_VS_CLOSE	WASCHEN · KURZ · SCHLUSS
62	E145	f81v	B1	B1-S014	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	UMSETZEN · DIES	CHD+Y	RECURRENT_FAMILY	CHD+Y	A022	CHOOSE_LOCAL_CARD_VARIANT	PROC042|PROC133	PROC042	chdy|chedy; chedchy	chedy	OPEN_DIES_VS_CLOSE+LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	UMSETZEN · DIES
63	E146	f81v	B1	B1-S014	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	AUFFANGEN · DIES	SOLK+Y	RECURRENT_SAME_HEAD_ANCHOR	SOLK+EE+DY	A150	DIRECT_CARD	PROC087	PROC087	qolky	qolky	OPEN_DIES_VS_CLOSE	AUFFANGEN · DIES
64	E147	f81v	B1	B1-S014	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	WEITERLEITEN · UMSETZEN · ZIEL	L+CHD+AL	RECURRENT_SAME_HEAD_ANCHOR	L+CHD+DY	A061	DIRECT_CARD	PROC088	PROC088	lchedal	lchedal	SOURCE_VS_TARGET	WEITERLEITEN · UMSETZEN · ZIEL
65	E148	f81v	B1	B1-S014	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN	OL	RECURRENT_FAMILY	OL	A097	CHOOSE_LOCAL_CARD_VARIANT	PROC013|PROC115	PROC013	cheol|chol|ol|qol|sol|tol; ls	qol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN
66	E149	f81v	B1	B1-S014	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	DANACH · QUELLE	OT+AR	RECURRENT_SAME_HEAD_ANCHOR	OT+AIIN	A111	DIRECT_CARD	PROC089	PROC089	otar	otar	SOURCE_VS_TARGET	DANACH · QUELLE
67	E150	f81v	B1	B1-S015	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	EINTRAGEN · KURZ · DIES	T+E+Y	RECURRENT_SAME_HEAD_ANCHOR	T+Y	A155	DIRECT_CARD	PROC090	PROC090	ytey	ytey	OPEN_DIES_VS_CLOSE	EINTRAGEN · KURZ · DIES
68	E151	f81v	B1	B1-S015	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	ANSETZEN · UMSETZEN · SCHLUSS	OK+CHD+DY	RECURRENT_FAMILY	OK+CHD+DY	A085	CHOOSE_LOCAL_CARD_VARIANT	PROC082|PROC091	PROC091	qokchdy; okchedy|qokchedy	okchedy	OPEN_DIES_VS_CLOSE+LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · UMSETZEN · SCHLUSS
69	E152	f81v	B1	B1-S016	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	ANSETZEN · ZIEL	OK+AL	RECURRENT_FAMILY	OK+AL	A080	DIRECT_CARD	PROC048	PROC048	okal|qokal	qokal	SOURCE_VS_TARGET+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · ZIEL
70	E153	f81v	B1	B1-S016	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	ANSETZEN · LANG · DIES	OK+EE+Y	RECURRENT_FAMILY	OK+EE+Y	A091	DIRECT_CARD	PROC092	PROC092	okeey|qokeey	okeey	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	ANSETZEN · LANG · DIES
71	E154	f81v	B1	B1-S016	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	FORTSETZEN	OL	RECURRENT_FAMILY	OL	A097	CHOOSE_LOCAL_CARD_VARIANT	PROC013|PROC115	PROC013	cheol|chol|ol|qol|sol|tol; ls	qol	LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	FORTSETZEN
72	E155	f81v	B1	B1-S016	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	ABSETZEN · SCHLUSS	SHED+DY	RECURRENT_FAMILY	SHED+DY	A148	DIRECT_CARD	PROC078	PROC078	cheedy|shedy|tedy	cheedy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	ABSETZEN · SCHLUSS
73	E156	f81v	B1	B1-S017	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	ZIEL	AL	RECURRENT_FAMILY	AL	A004	DIRECT_CARD	PROC055	PROC055	al|chal|cheal|dal|sal|tal	sal	SOURCE_VS_TARGET+COPY_SURFACE_DO_NOT_REGULARIZE	ZIEL
