unified_serial	domain	page	unit_id	local_address	visible_identity	owner_or_namespace	construction_or_event	short_form_reading	concrete_unit_reading_de	unit_program_word_ids	unit_program_words_de	anchor_mix	provenance_warning
24	HERBAL_RECIPE	f10r	H2	H2-S002	qotchor	H2	C02	Danach oder in demselben Gang: Folgeansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
25	HERBAL_RECIPE	f10r	H2	H2-S002	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
26	HERBAL_RECIPE	f10r	H2	H2-S002	otol	H2	C02	Danach oder in demselben Gang: danach fortsetzen.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
27	HERBAL_RECIPE	f10r	H2	H2-S002	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
28	HERBAL_RECIPE	f10r	H2	H2-S002	cholor	H2	C02	Danach oder in demselben Gang: Fortsetzungsansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
29	HERBAL_RECIPE	f10r	H2	H2-S002	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
30	HERBAL_RECIPE	f10r	H2	H2-S002	daiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
31	HERBAL_RECIPE	f10r	H2	H2-S002	dar	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
32	HERBAL_RECIPE	f10r	H2	H2-S003	oykchor	H2	C05	Führe es aus dem Vorrat oder am Ansatz aus: aktuellen Ansatz bearbeiten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
33	HERBAL_RECIPE	f10r	H2	H2-S003	shor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
34	HERBAL_RECIPE	f10r	H2	H2-S003	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
35	HERBAL_RECIPE	f10r	H2	H2-S003	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
36	HERBAL_RECIPE	f10r	H2	H2-S003	kaiiin	H2	C10	Setze Maß, Portion oder Stufe: Weichstufe.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
37	HERBAL_RECIPE	f10r	H2	H2-S003	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
38	HERBAL_RECIPE	f10r	H2	H2-S003	chodaiin	H2	C01	Setze die gelernte Fachkarte: Zutatenmaß.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Öl im Gefäß zur Salbe ansetzen. Eine örtliche Portion als Auflage verwenden.	H_R03;H_R07;H_R10;H_R11	Öl;Salbe;Auflage;Tuch	MASTER_PROGRAM_ONLY=3;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
39	HERBAL_RECIPE	f11r	H3	H3-S001	tshol	H3	C01	Setze die gelernte Fachkarte: Zutat entnehmen.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
40	HERBAL_RECIPE	f11r	H3	H3-S001	schoal	H3	C01	Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
41	HERBAL_RECIPE	f11r	H3	H3-S001	cfhy	H3	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
42	HERBAL_RECIPE	f11r	H3	H3-S001	shfydaiin	H3	C06	Führe es in der angegebenen Portion oder Stufe aus: Standmaß.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
43	HERBAL_RECIPE	f11r	H3	H3-S001	cphy	H3	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
44	HERBAL_RECIPE	f11r	H3	H3-S001	shey	H3	C01	Setze die gelernte Fachkarte: klarer Auszug.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
45	HERBAL_RECIPE	f11r	H3	H3-S001	tchody	H3	C01	Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
46	HERBAL_RECIPE	f11r	H3	H3-S002	shoyty	H3	C01	Setze die gelernte Fachkarte: Zutatenteil.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
47	HERBAL_RECIPE	f11r	H3	H3-S003	dchol	H3	C02	Danach oder in demselben Gang: vorigen Posten fortsetzen.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
48	HERBAL_RECIPE	f11r	H3	H3-S003	chy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
49	HERBAL_RECIPE	f11r	H3	H3-S003	kchy	H3	C07	Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
50	HERBAL_RECIPE	f11r	H3	H3-S003	dy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
51	HERBAL_RECIPE	f11r	H3	H3-S003	daiin	H3	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
52	HERBAL_RECIPE	f11r	H3	H3-S004	qotchy	H3	C02	Danach oder in demselben Gang: anschließender Arbeitsposten.	Blüte und Blatt in Wein ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als Trank verwenden; den übrigen Auszug mit Öl als Einreibung ansetzen.	H_R02;H_R03;H_R06;H_R08;H_R11	Wein;Öl;Trank;Einreibung;Tuch	MASTER_PROGRAM_ONLY=4;RECURRING_CARD_ANCHORED=1	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
