example_id	strip_no	component_id	value_de	host_card_no	host_surfaces	highlighted_parse	event_id	statement_id	record	page	owner_code	procedure_tokens	literal_host_reading_de
STRIP13_EX1	13	T	OPERATION: eintragen	PROC004	chety|chty	[T]+Y	E004	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	ACTIVATE_CHARGE	eintragen · dies
STRIP13_EX2	13	T	OPERATION: eintragen	PROC026	tshol	[T]+SH+OL	E039	H3-S001	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	HOLD_STATE	eintragen · halten · fortsetzen
STRIP13_EX3	13	T	OPERATION: eintragen	PROC049	oltchy	OL+[T]+Y	E070	H4-S004	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ACTIVATE_CHARGE	fortsetzen · eintragen · dies
STRIP14_EX1	14	CHK	OPERATION: waermen	PROC083	cheky	[CHK]+E+Y	E134	B1-S008	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE	wärmen · kurz · dies
STRIP14_EX2	14	CHK	OPERATION: waermen	PROC046	cheeky	[CHK]+EE+Y	E066	H4-S003	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ACTIVATE_CHARGE	wärmen · länger · dies
STRIP14_EX3	14	CHK	OPERATION: waermen	PROC107	chkeey	[CHK]+EE+Y	E183	B2-S005	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	ACTIVATE_CHARGE	wärmen · länger · dies
STRIP15_EX1	15	SOLK	OPERATION: auffangen	PROC098	olkeedy|solkeedy	[SOLK]+EE+DY	E162	B1-S018	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE>CLOSE	auffangen · länger · Schluss
STRIP15_EX2	15	SOLK	OPERATION: auffangen	PROC105	solkaiin	[SOLK]+AIIN	E178	B2-S005	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	METER_CHECK	auffangen · Maß
STRIP15_EX3	15	SOLK	OPERATION: auffangen	PROC164	solkey	[SOLK]+E+Y	E356	B4-S015	B4	f83r	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	HOLD_STATE	auffangen · kurz · dies
STRIP16_EX1	16	R	OPERATION: abkuehlen	PROC071	rol	[R]+OL	E111	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE	abkühlen · fortsetzen
STRIP16_EX2	16	R	OPERATION: abkuehlen	PROC126	rsheal	[R]+SH+E+AL	E222	B2-S017	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	HOLD_STATE	abkühlen · halten · kurz · Zielstelle
STRIP16_EX3	16	R	OPERATION: abkuehlen	PROC148	chealror	AL+[R]+OR	E290	B3-S026	B3	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	ACTIVATE_CHARGE	Zielstelle · abkühlen · Ansatz
STRIP17_EX1	17	AIR	ARGUMENT: Lauf	PROC006	chair	CH+[AIR]	E006	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SOURCE_DRAW	abziehen · Lauf
STRIP17_EX2	17	AIR	ARGUMENT: Lauf	PROC068	kair	K+[AIR]	E103	B1-S002	B1	f81v	B1_SHARED_TWO_ROW_POOL	MOVE_PASS	zuführen · Lauf
STRIP17_EX3	17	AIR	ARGUMENT: Lauf	PROC138	okair	OK+[AIR]	E260	B3-S014	B3	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	MOVE_PASS	ansetzen · Lauf
STRIP18_EX1	18	IIN	ARGUMENT: Sollstufe	PROC097	oiiin|soiiin	O+[IIN]	E161	B1-S018	B1	f81v	B1_SHARED_TWO_ROW_POOL	METER_CHECK	Arbeitsgang · Sollstufe
STRIP18_EX2	18	IIN	ARGUMENT: Sollstufe	PROC024	kaiiin	K+[IIN]	E036	H2-S003	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	METER_CHECK	zuführen · Sollstufe
STRIP18_EX3	18	IIN	ARGUMENT: Sollstufe	PROC169	daiiin	[IIN]+GRADE_II	E371	B5-S003	B5	f83r	B5_LEFT_OPEN_FRINGE_STATION	METER_CHECK	Sollstufe · zweite
STRIP19_EX1	19	LSH	OPERATION: Waschgang	PROC086	lshedy	[LSH]+E+DY	E143	B1-S012	B1	f81v	B1_SHARED_TWO_ROW_POOL	HOLD_STATE>CLOSE	Waschgang · kurz · Schluss
STRIP19_EX2	19	LSH	OPERATION: Waschgang	PROC084	lsho	[LSH]+O	E141	B1-S012	B1	f81v	B1_SHARED_TWO_ROW_POOL	CONTINUE_USE	Waschgang · Arbeitsgang
STRIP20_EX1	20	P	OPERATION: hinein	PROC030	cphy	[P]+Y	E043	H3-S001	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	MOVE_PASS	hinein · dies
STRIP20_EX2	20	P	OPERATION: hinein	PROC125	pchedy	[P]+CHD+DY	E221	B2-S016	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	MOVE_PASS>CLOSE	hinein · umsetzen · Schluss
STRIP20_EX3	20	P	OPERATION: hinein	PROC134	pchedal	[P]+CHD+AL	E248	B3-S010	B3	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	TARGET_HANDOFF	hinein · umsetzen · Zielstelle
STRIP21_EX1	21	EEE	GRADE: vollstaendig	PROC119	qokeeedy	OK+[EEE]+DY	E209	B2-S012	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	HOLD_STATE>CLOSE	ansetzen · vollständig · Schluss
STRIP21_EX2	21	EEE	GRADE: vollstaendig	PROC149	cheeety	[EEE]+T+Y	E296	B3-S029	B3	f83r	B3_MAIN_ARCH_LINKED_PAIR	HOLD_STATE	vollständig · eintragen · dies
STRIP22_EX1	22	LDDY	ENDPOINT: befestigen und schliessen	PROC155	qokylddy	OK+Y+[LDDY]	E326	B4-S004	B4	f83r	B4_MAIN_ARCH_LINKED_PAIR	ACTIVATE_CHARGE>CLOSE	ansetzen · dies · befestigen; Schluss
