lesson_no	exact_card_id	component_recipe	surface	generated_by	short_meaning_de	example_command_de	same_card_and_meaning
7	PROC052	HO	sho	S3_Q_SH	ZUTAT	Die Zutat nehmen.	YES
8	PROC008	OK+Y	choky	S2_CH	ANSETZEN · POSTEN	Diesen Posten ansetzen.	YES
8	PROC008	OK+Y	oky	S1_BARE|S4_D_T	ANSETZEN · POSTEN	Diesen Posten ansetzen.	YES
8	PROC008	OK+Y	qoky	S3_Q_SH	ANSETZEN · POSTEN	Diesen Posten ansetzen.	YES
9	PROC038	OK+AIIN	okaiin	S1_BARE|S2_CH|S4_D_T	ANSETZEN · SOLLMASS	Nach Sollmaß ansetzen.	YES
9	PROC038	OK+AIIN	qokaiin	S3_Q_SH	ANSETZEN · SOLLMASS	Nach Sollmaß ansetzen.	YES
10	PROC014	CTH+Y	checthy	S2_CH	BEREITEN · POSTEN	Diesen Posten bereiten.	YES
10	PROC014	CTH+Y	cthy	S1_BARE|S4_D_T	BEREITEN · POSTEN	Diesen Posten bereiten.	YES
10	PROC014	CTH+Y	shcthy	S3_Q_SH	BEREITEN · POSTEN	Diesen Posten bereiten.	YES
11	PROC031	SH+EE+Y	cheey	S2_CH	HALTEN · LANG · POSTEN	Diesen Posten länger halten.	YES
11	PROC031	SH+EE+Y	shey	S1_BARE|S3_Q_SH|S4_D_T	HALTEN · LANG · POSTEN	Diesen Posten länger halten.	YES
12	PROC078	SHED+DY	cheedy	S2_CH	STEHENLASSEN · SCHLUSS	Stehen lassen; Schritt schließen.	YES
12	PROC078	SHED+DY	shedy	S3_Q_SH	STEHENLASSEN · SCHLUSS	Stehen lassen; Schritt schließen.	YES
12	PROC078	SHED+DY	tedy	S1_BARE|S4_D_T	STEHENLASSEN · SCHLUSS	Stehen lassen; Schritt schließen.	YES
13	PROC076	CHD+DY	dchedy	S1_BARE|S2_CH|S4_D_T	UMSETZEN · SCHLUSS	Umsetzen; Schritt schließen.	YES
13	PROC076	CHD+DY	schedy	S3_Q_SH	UMSETZEN · SCHLUSS	Umsetzen; Schritt schließen.	YES
13	PROC076	CHD+DY	tchedy	S4_D_TO_T	UMSETZEN · SCHLUSS	Umsetzen; Schritt schließen.	YES
14	PROC006	CH+AIR	chair	S1_BARE|S2_CH|S3_Q_SH|S4_D_T	ENTNEHMEN · WASSER	Wasser entnehmen.	YES
15	PROC034	RESUME_CARD	dchol	S1_BARE|S2_CH|S4_D_T	DAVON	Davon nehmen.	YES
15	PROC034	RESUME_CARD	schol	S3_Q_SH	DAVON	Davon nehmen.	YES
16	PROC005	OS	os	S1_BARE|S2_CH|S3_Q_SH|S4_D_T	DAZU	Dazu geben.	YES
