statement_id	record_unit_id	register	page	event_count	microcycle_count	slot_sequence	atomic_sequence	owner_sequence	generated_reading_de
H4-S002	H4	HERBAL	f55v	3	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S6_BEREIT_ABSCHLUSS	Sollmaß → Umsetzen → Verwahren	Blattmaterial der abgebildeten Pflanze	Überführe die abgemessene Menge und verwahre sie.
H4-S003	H4	HERBAL	f55v	4	2	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S1_BEZUG_FOLGE	Postensollmaß → Auszugnahme → Langwärme → Fortschluss	Blattmaterial der abgebildeten Pflanze	Nimm das Sollmaß des Postens aus dem gewonnenen Auszug, halte es länger warm und schließe den fortgesetzten Schritt.
H4-S004	H4	HERBAL	f55v	6	2	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Sollmaß → Zieleinsatz → Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	Blattmaterial der abgebildeten Pflanze	Setze das Sollmaß an der bezeichneten Stelle ein. Führe die Zubereitung dort weiter, halte den Ansatz als aktuellen Posten und verwende eine Ansatzportion.
H5-S001	H5	HERBAL	f56r	9	3	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S5_ZIEL_ANWENDUNG	Zutatenansatz → Zutat → Zutatstelle → Sollmaß → Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle	Stängel-/Pflanzenteil der abgebildeten Pflanze	Richte einen Zutatenansatz her. Setze eine weitere Zutat an die bezeichnete Stelle, miss sie und führe sie gebunden weiter. Eröffne danach den Folgeansatz, setze ihn ein und bringe ihn an die Stelle.
H5-S002	H5	HERBAL	f56r	4	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S6_BEREIT_ABSCHLUSS	Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss	Stängel-/Pflanzenteil der abgebildeten Pflanze	Nimm die Fortsetzung des vorigen Postens, setze die Zutat ein, trage sie auf und schließe den Schritt.
H5-S003	H5	HERBAL	f56r	4	2	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S5_ZIEL_ANWENDUNG	Pflanzenteil → Zutat → Kurzbindeposten → Wiedereinsatz	Stängel-/Pflanzenteil der abgebildeten Pflanze	Nimm einen Teil der abgebildeten Pflanze und die Zutat, binde den Posten kurz und setze ihn erneut ein.
H5-S004	H5	HERBAL	f56r	3	2	S5_ZIEL_ANWENDUNG → S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Einsetzen → Auszugzugabe → Zielbindung	Stängel-/Pflanzenteil der abgebildeten Pflanze	Setze den Posten ein, gib Auszug hinzu und binde beides an der Zielstelle.
H5-S005	H5	HERBAL	f56r	4	2	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Zutat → Einsetzen → Quellenzutatbindung → Gebrauchen	Stängel-/Pflanzenteil der abgebildeten Pflanze	Gib die Zutat hinzu, setze sie ein, binde die Zutat aus der bezeichneten Quelle und gebrauche den Posten.
H5-S006	H5	HERBAL	f56r	3	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Folgeposten → Kurzbindefortsetzung → Sollmaß	Stängel-/Pflanzenteil der abgebildeten Pflanze	Nimm den Folgeposten, führe ihn kurz gebunden weiter und prüfe das Sollmaß.
B1-S001	B1	BIO	f81v	1	1	S4_DAUER_ZUSTAND	Kurzkontakt	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.
B1-S002	B1	BIO	f81v	19	6	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz → Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Sollmaß ein; dann führe durch den Beckenlauf; dann setze an der Zielstelle ein; dann nimm aus der bezeichneten Quelle; dann führe den laufenden Gang fort; dann nimm eine Portion; dann nimm einen weiteren Anteil; dann binde die bezeichnete Stelle; dann führe den laufenden Gang fort; dann schließe am nächsten Abschnitt an; dann gib den Zusatz zu; dann führe denselben Ansatz weiter; dann führe den laufenden Gang fort; dann führe ihn kurz durch die Zielpassage; dann arbeite nach dem vorgeschriebenen Maß; dann setze ihn lange am Ziel ein; dann arbeite nach dem vorgeschriebenen Maß; dann leite den Posten hindurch; dann führe den Posten über.
B1-S003	B1	BIO	f81v	2	1	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Fortsetzung → Umsetzschluss	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe den laufenden Gang fort; dann setze um und schließe den Schritt.
B1-S004	B1	BIO	f81v	3	2	S3_PROZESS_TRANSFER → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Umsetzen → Fortsetzung → Kurzabsetzung	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.
B1-S005	B1	BIO	f81v	1	1	S1_BEZUG_FOLGE	weiterführen	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe ihn weiter.
B1-S006	B1	BIO	f81v	4	2	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Zugabe → durchleiten → Zusatz → Zielmarke	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Gib einen Anteil zu; dann leite den Posten hindurch; dann gib den Zusatz zu; dann halte die Zielmarke ein.
B1-S007	B1	BIO	f81v	1	1	S5_ZIEL_ANWENDUNG	Neueinsatz	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze einen neuen Posten ein.
B1-S008	B1	BIO	f81v	5	2	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Halte diesen Posten aktiv; dann führe den laufenden Gang fort; dann wärme ihn kurz; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.
B1-S009	B1	BIO	f81v	1	1	S4_DAUER_ZUSTAND	Kurzkontakt	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.
B1-S010	B1	BIO	f81v	1	1	S4_DAUER_ZUSTAND	Kurzkontakt	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.
B1-S011	B1	BIO	f81v	2	1	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	durchleiten → Einsetzen	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Leite den Posten hindurch; dann setze den Posten ein.
B1-S012	B1	BIO	f81v	3	2	S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S3_PROZESS_TRANSFER	Waschgang → Kurzkontakt → Waschgang	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus; dann lass ihn kurz einwirken; dann führe einen Waschgang aus.
B1-S013	B1	BIO	f81v	1	1	S3_PROZESS_TRANSFER	Waschgang	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus.
B1-S014	B1	BIO	f81v	5	3	S3_PROZESS_TRANSFER → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE	Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe auf dem Weg weiter; dann führe ihn am Ziel ab; dann führe den laufenden Gang fort; dann wechsle zur folgenden Quelle.
B1-S015	B1	BIO	f81v	2	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Kurzteil → Rücktransfer	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Nimm einen kleinen Teil; dann führe den vorigen Posten über.
B1-S016	B1	BIO	f81v	4	3	S5_ZIEL_ANWENDUNG → S4_DAUER_ZUSTAND → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze an der Zielstelle ein; dann lass ihn länger einwirken; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.
B1-S017	B1	BIO	f81v	3	2	S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Stelle → Kurzfortgang → Transfer	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle; dann führe ihn kurz weiter; dann führe ihn über.
B1-S018	B1	BIO	f81v	4	2	S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Auffanggefäß bereit; dann halte ihn kurz; dann stelle die Arbeitsstufe ein; dann sammle ihn lange.
B1-S019	B1	BIO	f81v	1	1	S3_PROZESS_TRANSFER	Kurzabsetzung	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz absetzen.
B1-S020	B1	BIO	f81v	2	2	S4_DAUER_ZUSTAND → S3_PROZESS_TRANSFER	Kurzwärme → durchlassen	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Wärme ihn kurz; dann lass ihn hindurch.
B1-S021	B1	BIO	f81v	1	1	S5_ZIEL_ANWENDUNG	Stelle	B1_SHARED_TWO_ROW_POOL	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle.
B2-S001	B2	BIO	f82r	1	1	S3_PROZESS_TRANSFER	überführen	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe den Posten über.
B2-S002	B2	BIO	f82r	1	1	S1_BEZUG_FOLGE	weiterführen	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe ihn weiter.
B2-S003	B2	BIO	f82r	3	2	S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	Zugabe → Diesposten → Langkontakt	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Bei PAARBECKEN_MIT_MITTELZYLINDER: Gib einen Anteil zu; dann halte diesen Posten aktiv; dann lass ihn lange einwirken.
B2-S004	B2	BIO	f82r	5	3	S5_ZIEL_ANWENDUNG → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S3_PROZESS_TRANSFER	Zieleinsatz → Abführpassage → Abführung → Langkontakt → Trennabzug	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Bei PAARBECKEN_MIT_MITTELZYLINDER: Setze an der Zielstelle ein; dann führe ihn durch die Abführpassage; dann führe ihn ab; dann lass ihn länger einwirken; dann ziehe die getrennte Fraktion ab.
B2-S005	B2	BIO	f82r	8	5	S5_ZIEL_ANWENDUNG → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND → S3_PROZESS_TRANSFER	Zieleinsatz → Sollsammlung → durchleiten → Sollstellung → Sollstellung → Folgevorbereitung → Langwärmen → abziehen	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Bei PAARBECKEN_MIT_MITTELZYLINDER: Setze an der Zielstelle ein; dann sammle ihn bis zur Sollmenge; dann leite den Posten hindurch; dann stelle das Sollmaß ein; dann stelle das Sollmaß ein; dann setze den nächsten Durchgang an; dann wärme ihn lange; dann ziehe ihn ab.
B2-S006	B2	BIO	f82r	4	2	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	Langfolge → Zieleinsatz → Kurzpassage → Einsetzen	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe ihn länger im Folgegang weiter; dann setze an der Zielstelle ein; dann führe ihn kurz hindurch; dann setze den Posten ein.
B2-S007	B2	BIO	f82r	1	1	S3_PROZESS_TRANSFER	Vorabsetzschluss	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Bei ZWISCHENGERAET_MIT_KNOTEN: Setze den vorigen Posten ab und schließe.
B2-S008	B2	BIO	f82r	3	2	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG → S3_PROZESS_TRANSFER	Folgemaß → Quelleinsatz → Kurzabsetzung	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Bei ZWISCHENGERAET_MIT_KNOTEN: Arbeite danach nach dem nächsten Maß; dann setze den Quellposten ein; dann lass ihn kurz absetzen.
B2-S009	B2	BIO	f82r	1	1	S3_PROZESS_TRANSFER	Folgeabsetzen	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Bei ZWISCHENGERAET_MIT_KNOTEN: Lass danach den nächsten Posten absetzen.
B2-S010	B2	BIO	f82r	4	2	S4_DAUER_ZUSTAND → S5_ZIEL_ANWENDUNG → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Langkontakt → Einsetzen → Auslass → Klarauszug	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	Bei ZWISCHENGERAET_MIT_KNOTEN: Lass ihn länger einwirken; dann setze den Posten ein; dann führe zum Auslass; dann nimm den Klarauszug.
B2-S011	B2	BIO	f82r	4	2	S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND	Zugabe → Quelle → Zugabe → Langkontakt	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	Bei AMBIGUER_RECHTER_POSTEN: Gib einen Anteil zu; dann nimm aus der bezeichneten Quelle; dann gib einen Anteil zu; dann lass ihn lange einwirken.
B2-S012	B2	BIO	f82r	8	4	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S4_DAUER_ZUSTAND → S3_PROZESS_TRANSFER → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Abführgut → Klarauszug → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → Diesposten → Volleinsatz	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	Bei AMBIGUER_RECHTER_POSTEN: Nimm das abzuführende Gut. Neuer lokaler Posten: Bei MEHRPLATZ_BADBECKEN: Nimm den Klarauszug; dann bereite ihn kurz vor; dann lass ihn länger einwirken; dann ziehe den klaren Anteil ab; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann setze ihn vollständig ein.
B2-S013	B2	BIO	f82r	1	1	S3_PROZESS_TRANSFER	abführen	B2_LOWER_GREEN_MULTI_FIGURE_POOL	Bei MEHRPLATZ_BADBECKEN: Führe ihn ab.
B2-S014	B2	BIO	f82r	1	1	S3_PROZESS_TRANSFER	Quellabzug	B2_LOWER_GREEN_MULTI_FIGURE_POOL	Bei MEHRPLATZ_BADBECKEN: Ziehe ihn aus der Quelle ab.
B2-S015	B2	BIO	f82r	2	1	S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	Folgeklarlauf → Langkontakt	B2_LOWER_POOL_EDGE_STATIONS	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Nimm danach den klaren Ablauf; dann lass ihn lange einwirken.
B2-S016	B2	BIO	f82r	8	5	S5_ZIEL_ANWENDUNG → S3_PROZESS_TRANSFER → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND → S3_PROZESS_TRANSFER	Stelle → Quellabführung → teilen → Sollmaß → Langfolge → Sollstellung → Kurzkontakt → Zuführung	B2_LOWER_POOL_EDGE_STATIONS	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Binde die bezeichnete Stelle; dann führe ihn von der Quelle ab; dann teile den Posten; dann arbeite nach dem vorgeschriebenen Maß; dann führe ihn länger im Folgegang weiter; dann stelle das Sollmaß ein; dann lass ihn kurz einwirken; dann führe ihn zu.
B2-S017	B2	BIO	f82r	2	1	S4_DAUER_ZUSTAND → S5_ZIEL_ANWENDUNG	Zielkurzhalt → Zielschluss	B2_LOWER_POOL_EDGE_STATIONS	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Halte den zugeführten Posten kurz am Ziel; dann schließe den Schritt am Ziel ab.
B2-S018	B2	BIO	f82r	1	1	S4_DAUER_ZUSTAND	Langkontakt	B2_LOWER_POOL_EDGE_STATIONS	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Lass ihn lange einwirken.
B2-S019	B2	BIO	f82r	1	1	S3_PROZESS_TRANSFER	Absetzschluss	B2_LOWER_POOL_EDGE_STATIONS	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Setze ab und schließe.
B2-S020	B2	BIO	f82r	1	1	S1_BEZUG_FOLGE	Langfolgestufe	B2_LOWER_POOL_EDGE_STATIONS	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Führe die lange Folgestufe aus.
B2-S021	B2	BIO	f82r	1	1	S4_DAUER_ZUSTAND	Langkontakt	B2_LOWER_POOL_EDGE_STATIONS	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Lass ihn lange einwirken.
B2-S022	B2	BIO	f82r	1	1	S3_PROZESS_TRANSFER	Abführung	B2_LOWER_POOL_EDGE_STATIONS	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Führe ihn ab.
B3-S001	B3	BIO	f83r	1	1	S3_PROZESS_TRANSFER	Langsammlung	B3_UPPER_MARGIN_OPEN_FAN_STATION	Bei OFFENER_FAECHERZULAUF: Sammle ihn lange.
B3-S002	B3	BIO	f83r	2	2	S5_ZIEL_ANWENDUNG → S4_DAUER_ZUSTAND	Folgeziel → Langwärmen	B3_UPPER_MARGIN_OPEN_FAN_STATION	Bei OFFENER_FAECHERZULAUF: Führe ihn danach dorthin; dann wärme ihn lange.
B3-S003	B3	BIO	f83r	4	2	S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Diesposten → Sollmaß → Diesposten → abführen	B3_UPPER_MARGIN_OPEN_FAN_STATION	Bei OFFENER_FAECHERZULAUF: Halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann führe ihn ab.
B3-S004	B3	BIO	f83r	3	2	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE	Sollstellung → Folgeziel → Quelle	B3_UPPER_MARGIN_OPEN_FAN_STATION	Bei OFFENER_FAECHERZULAUF: Stelle das Sollmaß ein; dann führe ihn danach dorthin; dann nimm aus der bezeichneten Quelle.
B3-S005	B3	BIO	f83r	1	1	S3_PROZESS_TRANSFER	überführen	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	Bei RUNDE_ZWISCHENSTATION: Führe den Posten über.
B3-S006	B3	BIO	f83r	3	2	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE	Postentransfer → Zieleinsatz → weiterführen	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	Bei RUNDE_ZWISCHENSTATION: Führe den aktuellen Posten über; dann setze an der Zielstelle ein; dann führe ihn weiter.
B3-S007	B3	BIO	f83r	3	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND	Sollstellung → Umsetzen → Langkontakt	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	Bei RUNDE_ZWISCHENSTATION: Stelle das Sollmaß ein; dann setze den laufenden Posten um; dann lass ihn lange einwirken.
B3-S008	B3	BIO	f83r	1	1	S3_PROZESS_TRANSFER	abführen	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	Bei RUNDE_ZWISCHENSTATION: Führe ihn ab.
B3-S009	B3	BIO	f83r	1	1	S5_ZIEL_ANWENDUNG	Einsetzen	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	Bei RUNDE_ZWISCHENSTATION: Setze den Posten ein.
