statement_id	record_unit_id	register	microcycle	slot_sequence	atomic_sequence	event_count
H5-S004	H5	HERBAL	2	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Auszugzugabe → Zielbindung	2
H5-S005	H5	HERBAL	1	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Zutat → Einsetzen	2
H5-S005	H5	HERBAL	2	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Quellenzutatbindung → Gebrauchen	2
H5-S006	H5	HERBAL	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Folgeposten → Kurzbindefortsetzung → Sollmaß	3
B1-S001	B1	BIO	1	S4_DAUER_ZUSTAND	Kurzkontakt	1
B1-S002	B1	BIO	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	Sollstellung → Beckenlauf → Zieleinsatz	3
B1-S002	B1	BIO	2	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Quelle → Fortsetzung → Portion → Folgeportion → Stelle	5
B1-S002	B1	BIO	3	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Fortsetzung → Anschluss → Zusatz	3
B1-S002	B1	BIO	4	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Fortsetzungsansatz → Fortsetzung → Zielkurzpassage	3
B1-S002	B1	BIO	5	S2_MATERIAL_MASS → S4_DAUER_ZUSTAND	Sollmaß → Ziellanghalt	2
B1-S002	B1	BIO	6	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Sollmaß → durchleiten → überführen	3
B1-S003	B1	BIO	1	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Fortsetzung → Umsetzschluss	2
B1-S004	B1	BIO	1	S3_PROZESS_TRANSFER	Umsetzen	1
B1-S004	B1	BIO	2	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Fortsetzung → Kurzabsetzung	2
B1-S005	B1	BIO	1	S1_BEZUG_FOLGE	weiterführen	1
B1-S006	B1	BIO	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Zugabe → durchleiten	2
B1-S006	B1	BIO	2	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Zusatz → Zielmarke	2
B1-S007	B1	BIO	1	S5_ZIEL_ANWENDUNG	Neueinsatz	1
B1-S008	B1	BIO	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	Diesposten → Fortsetzung → Kurzwärme	3
B1-S008	B1	BIO	2	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Fortsetzung → Kurzabsetzung	2
B1-S009	B1	BIO	1	S4_DAUER_ZUSTAND	Kurzkontakt	1
B1-S010	B1	BIO	1	S4_DAUER_ZUSTAND	Kurzkontakt	1
B1-S011	B1	BIO	1	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	durchleiten → Einsetzen	2
B1-S012	B1	BIO	1	S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND	Waschgang → Kurzkontakt	2
B1-S012	B1	BIO	2	S3_PROZESS_TRANSFER	Waschgang	1
B1-S013	B1	BIO	1	S3_PROZESS_TRANSFER	Waschgang	1
B1-S014	B1	BIO	1	S3_PROZESS_TRANSFER	Umsetzen	1
B1-S014	B1	BIO	2	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Weiterweg → Zielabführung	2
B1-S014	B1	BIO	3	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE	Fortsetzung → Folgequelle	2
B1-S015	B1	BIO	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Kurzteil → Rücktransfer	2
B1-S016	B1	BIO	1	S5_ZIEL_ANWENDUNG	Zieleinsatz	1
B1-S016	B1	BIO	2	S4_DAUER_ZUSTAND	Langkontakt	1
B1-S016	B1	BIO	3	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Fortsetzung → Kurzabsetzung	2
B1-S017	B1	BIO	1	S5_ZIEL_ANWENDUNG	Stelle	1
B1-S017	B1	BIO	2	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Kurzfortgang → Transfer	2
B1-S018	B1	BIO	1	S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND	Auffanggefäß → Kurzhalt	2
B1-S018	B1	BIO	2	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Arbeitsstufe → Langsammlung	2
B1-S019	B1	BIO	1	S3_PROZESS_TRANSFER	Kurzabsetzung	1
B1-S020	B1	BIO	1	S4_DAUER_ZUSTAND	Kurzwärme	1
B1-S020	B1	BIO	2	S3_PROZESS_TRANSFER	durchlassen	1
B1-S021	B1	BIO	1	S5_ZIEL_ANWENDUNG	Stelle	1
B2-S001	B2	BIO	1	S3_PROZESS_TRANSFER	überführen	1
B2-S002	B2	BIO	1	S1_BEZUG_FOLGE	weiterführen	1
B2-S003	B2	BIO	1	S2_MATERIAL_MASS	Zugabe	1
B2-S003	B2	BIO	2	S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	Diesposten → Langkontakt	2
B2-S004	B2	BIO	1	S5_ZIEL_ANWENDUNG	Zieleinsatz	1
B2-S004	B2	BIO	2	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND	Abführpassage → Abführung → Langkontakt	3
B2-S004	B2	BIO	3	S3_PROZESS_TRANSFER	Trennabzug	1
B2-S005	B2	BIO	1	S5_ZIEL_ANWENDUNG	Zieleinsatz	1
B2-S005	B2	BIO	2	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Sollsammlung → durchleiten	2
B2-S005	B2	BIO	3	S2_MATERIAL_MASS → S2_MATERIAL_MASS	Sollstellung → Sollstellung	2
B2-S005	B2	BIO	4	S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	Folgevorbereitung → Langwärmen	2
B2-S005	B2	BIO	5	S3_PROZESS_TRANSFER	abziehen	1
B2-S006	B2	BIO	1	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Langfolge → Zieleinsatz	2
B2-S006	B2	BIO	2	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	Kurzpassage → Einsetzen	2
B2-S007	B2	BIO	1	S3_PROZESS_TRANSFER	Vorabsetzschluss	1
B2-S008	B2	BIO	1	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Folgemaß → Quelleinsatz	2
B2-S008	B2	BIO	2	S3_PROZESS_TRANSFER	Kurzabsetzung	1
B2-S009	B2	BIO	1	S3_PROZESS_TRANSFER	Folgeabsetzen	1
B2-S010	B2	BIO	1	S4_DAUER_ZUSTAND → S5_ZIEL_ANWENDUNG	Langkontakt → Einsetzen	2
B2-S010	B2	BIO	2	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Auslass → Klarauszug	2
B2-S011	B2	BIO	1	S2_MATERIAL_MASS	Zugabe	1
B2-S011	B2	BIO	2	S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND	Quelle → Zugabe → Langkontakt	3
B2-S012	B2	BIO	1	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S4_DAUER_ZUSTAND	Abführgut → Klarauszug → Kurzvorbereitung → Langkontakt	4
B2-S012	B2	BIO	2	S3_PROZESS_TRANSFER	Klarabzug	1
B2-S012	B2	BIO	3	S2_MATERIAL_MASS	Sollmaß	1
B2-S012	B2	BIO	4	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Diesposten → Volleinsatz	2
B2-S013	B2	BIO	1	S3_PROZESS_TRANSFER	abführen	1
B2-S014	B2	BIO	1	S3_PROZESS_TRANSFER	Quellabzug	1
B2-S015	B2	BIO	1	S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND	Folgeklarlauf → Langkontakt	2
B2-S016	B2	BIO	1	S5_ZIEL_ANWENDUNG	Stelle	1
B2-S016	B2	BIO	2	S3_PROZESS_TRANSFER	Quellabführung	1
B2-S016	B2	BIO	3	S2_MATERIAL_MASS → S2_MATERIAL_MASS	teilen → Sollmaß	2
B2-S016	B2	BIO	4	S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND	Langfolge → Sollstellung → Kurzkontakt	3
B2-S016	B2	BIO	5	S3_PROZESS_TRANSFER	Zuführung	1
B2-S017	B2	BIO	1	S4_DAUER_ZUSTAND → S5_ZIEL_ANWENDUNG	Zielkurzhalt → Zielschluss	2
B2-S018	B2	BIO	1	S4_DAUER_ZUSTAND	Langkontakt	1
B2-S019	B2	BIO	1	S3_PROZESS_TRANSFER	Absetzschluss	1
B2-S020	B2	BIO	1	S1_BEZUG_FOLGE	Langfolgestufe	1
B2-S021	B2	BIO	1	S4_DAUER_ZUSTAND	Langkontakt	1
B2-S022	B2	BIO	1	S3_PROZESS_TRANSFER	Abführung	1
B3-S001	B3	BIO	1	S3_PROZESS_TRANSFER	Langsammlung	1
B3-S002	B3	BIO	1	S5_ZIEL_ANWENDUNG	Folgeziel	1
B3-S002	B3	BIO	2	S4_DAUER_ZUSTAND	Langwärmen	1
B3-S003	B3	BIO	1	S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Diesposten → Sollmaß	2
B3-S003	B3	BIO	2	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Diesposten → abführen	2
B3-S004	B3	BIO	1	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Sollstellung → Folgeziel	2
B3-S004	B3	BIO	2	S1_BEZUG_FOLGE	Quelle	1
B3-S005	B3	BIO	1	S3_PROZESS_TRANSFER	überführen	1
B3-S006	B3	BIO	1	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	Postentransfer → Zieleinsatz	2
B3-S006	B3	BIO	2	S1_BEZUG_FOLGE	weiterführen	1
B3-S007	B3	BIO	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND	Sollstellung → Umsetzen → Langkontakt	3
B3-S008	B3	BIO	1	S3_PROZESS_TRANSFER	abführen	1
B3-S009	B3	BIO	1	S5_ZIEL_ANWENDUNG	Einsetzen	1
B3-S010	B3	BIO	1	S3_PROZESS_TRANSFER	Zielzuführung	1
B3-S010	B3	BIO	2	S1_BEZUG_FOLGE	Kurzfolge	1
B3-S011	B3	BIO	1	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	Vorbereitungstransfer → Einsetzen	2
B3-S011	B3	BIO	2	S3_PROZESS_TRANSFER	Umsetzen	1
B3-S011	B3	BIO	3	S1_BEZUG_FOLGE	Quellposten	1
B3-S012	B3	BIO	1	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Ansatz → Kurzabsetzung	2
B3-S013	B3	BIO	1	S2_MATERIAL_MASS → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND → S4_DAUER_ZUSTAND	Sollstellung → Portion → Kurzvorbereitung → Kurzkontakt	4
B3-S014	B3	BIO	1	S5_ZIEL_ANWENDUNG	Laufeinsatz	1
B3-S014	B3	BIO	2	S3_PROZESS_TRANSFER	Langabsetzen	1
B3-S015	B3	BIO	1	S3_PROZESS_TRANSFER	abführen	1
B3-S016	B3	BIO	1	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Abzug → Rücktransfer	2
B3-S017	B3	BIO	1	S4_DAUER_ZUSTAND	Langkontakt	1
B3-S018	B3	BIO	1	S3_PROZESS_TRANSFER	Kurzabsetzung	1
B3-S019	B3	BIO	1	S3_PROZESS_TRANSFER	Einsatzabsetzen	1
B3-S020	B3	BIO	1	S5_ZIEL_ANWENDUNG	Stelle	1
B3-S020	B3	BIO	2	S3_PROZESS_TRANSFER	abführen	1
B3-S021	B3	BIO	1	S2_MATERIAL_MASS → S6_BEREIT_ABSCHLUSS	Sollstellung → Bereit	2
B3-S021	B3	BIO	2	S5_ZIEL_ANWENDUNG	Stelle	1
B3-S021	B3	BIO	3	S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND	Diesposten → Sollmaß → Zielabsetzung → Kurzvorbereitung	4
B3-S021	B3	BIO	4	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S6_BEREIT_ABSCHLUSS	Diesposten → Stelle → Bereit	3
B3-S021	B3	BIO	5	S3_PROZESS_TRANSFER	Zieltransfer	1
B3-S022	B3	BIO	1	S3_PROZESS_TRANSFER	Folgetransfer	1
B3-S023	B3	BIO	1	S3_PROZESS_TRANSFER	abführen	1
B3-S024	B3	BIO	1	S3_PROZESS_TRANSFER	überführen	1
B3-S025	B3	BIO	1	S5_ZIEL_ANWENDUNG	Neueinsatz	1
B3-S026	B3	BIO	1	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Quelltransfer → Sollabsetzung → Umsetzen	3
B3-S026	B3	BIO	2	S2_MATERIAL_MASS → S6_BEREIT_ABSCHLUSS	Zugabe → Bereit	2
B3-S026	B3	BIO	3	S5_ZIEL_ANWENDUNG	Zielbereitung	1
B3-S026	B3	BIO	4	S3_PROZESS_TRANSFER	Langsammlung	1
B3-S027	B3	BIO	1	S1_BEZUG_FOLGE	Langfolgestufe	1
B3-S028	B3	BIO	1	S4_DAUER_ZUSTAND → S4_DAUER_ZUSTAND	Langkontakt → Kurzkontakt	2
B3-S029	B3	BIO	1	S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND	Fortsetzung → Vollteil → Kurzkontakt	3
B3-S030	B3	BIO	1	S5_ZIEL_ANWENDUNG	Einsetzen	1
B3-S030	B3	BIO	2	S2_MATERIAL_MASS	Sollmaß	1
B3-S030	B3	BIO	3	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Weiterlauf → Folgetransfer	2
B3-S031	B3	BIO	1	S4_DAUER_ZUSTAND	Langkontakt	1
B3-S032	B3	BIO	1	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Anteilstransfer → Umsetzen	2
B3-S032	B3	BIO	2	S2_MATERIAL_MASS → S2_MATERIAL_MASS	Kurzsoll → Folgemaß	2
B3-S032	B3	BIO	3	S1_BEZUG_FOLGE	Kurzfolge	1
B3-S033	B3	BIO	1	S3_PROZESS_TRANSFER	abziehen	1
B3-S034	B3	BIO	1	S2_MATERIAL_MASS → S6_BEREIT_ABSCHLUSS	Arbeitsstufe → Bereit	2
B3-S034	B3	BIO	2	S2_MATERIAL_MASS → S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Zerkleinern → Folgemaß → Zwischenziel	3
B3-S034	B3	BIO	3	S3_PROZESS_TRANSFER	Kurzabsetzung	1
B4-S001	B4	BIO	1	S4_DAUER_ZUSTAND	Langkontakt	1
B4-S002	B4	BIO	1	S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND → S4_DAUER_ZUSTAND	Weiterposten → Langkontakt → Kurzkontakt	3
B4-S003	B4	BIO	1	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	Umsetzen → Folgeziel	2
B4-S003	B4	BIO	2	S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND → S5_ZIEL_ANWENDUNG	Folgeposten → Langkontakt → Einsetzen	3
B4-S003	B4	BIO	3	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Fortsetzung → Kurzabsetzung	2
B4-S004	B4	BIO	1	S6_BEREIT_ABSCHLUSS	befestigen	1
B4-S005	B4	BIO	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND	Einlage → Umsetzen → Langkontakt	3
B4-S006	B4	BIO	1	S3_PROZESS_TRANSFER	durchlassen	1
B4-S007	B4	BIO	1	S3_PROZESS_TRANSFER	durchlassen	1
B4-S008	B4	BIO	1	S2_MATERIAL_MASS → S4_DAUER_ZUSTAND → S4_DAUER_ZUSTAND → S4_DAUER_ZUSTAND	Sollmaß → Langwärme → Langhalt → Kurzkontakt	4
B4-S009	B4	BIO	1	S3_PROZESS_TRANSFER	Kurzabsetzung	1
B4-S010	B4	BIO	1	S1_BEZUG_FOLGE	Fortschluss	1
B4-S011	B4	BIO	1	S2_MATERIAL_MASS → S4_DAUER_ZUSTAND	Sollmaß → Kurzwärme	2
B4-S011	B4	BIO	2	S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Langfortsetzung → Zugabe → Umsetzen	3
B4-S011	B4	BIO	3	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	Fortsetzung → Kurzabzugsschluss	2
B4-S012	B4	BIO	1	S3_PROZESS_TRANSFER	abführen	1
B4-S013	B4	BIO	1	S5_ZIEL_ANWENDUNG	Wiedereinsatz	1
B4-S013	B4	BIO	2	S3_PROZESS_TRANSFER	Kurzabsetzung	1
B4-S014	B4	BIO	1	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Ansatz → Diesposten → Kurzdurchgang → Laufschluss	4
B4-S015	B4	BIO	1	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Zugabe → Klarauszug	2
B4-S015	B4	BIO	2	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Portion → Zielpassage → Kurzsammlung → abführen	4
B4-S016	B4	BIO	1	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	Folgeportion → Stelle	2
B4-S016	B4	BIO	2	S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Quellausguss → Kurzabsetzung	2
B5-S001	B5	BIO	1	S3_PROZESS_TRANSFER	Nachtransfer	1
B5-S002	B5	BIO	1	S5_ZIEL_ANWENDUNG	Neueinsatz	1
B5-S003	B5	BIO	1	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	Zielabsetzung → Stelle	2
B5-S003	B5	BIO	2	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	Fortsetzung → Weiterabzug → Zieltransfer	3
B5-S003	B5	BIO	3	S2_MATERIAL_MASS	Sollmaß	1
B5-S003	B5	BIO	4	S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	Fortsetzung → Endstufe → Umsetzen	3
B6-S001	B6	BIO	1	S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S6_BEREIT_ABSCHLUSS	Langsammlung → Kurzbearbeitung → Endposten	3
B6-S001	B6	BIO	2	S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Fortsetzung → Sollmaß	2
B6-S001	B6	BIO	3	S1_BEZUG_FOLGE → S2_MATERIAL_MASS	Fortsetzung → Einlage	2
B6-S001	B6	BIO	4	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	Diesposten → Endziel	2
