edge_id	occurrence_id	cohort_id	locus	page	target_mask_id	target_ordinal	side	edge_type	neighbor_node_id	neighbor_roles	null_penalty	target_derived
G770-L005:O10:LEFT:AMOUNT	G770-L005:T10:TM-N5K6	G770-L005	f86v5.13	f86v5	TM-N5K6	10	LEFT	AMOUNT	G759-S0101	AMOUNT|VALUE	4	0
G770-L005:O10:RIGHT:VALUE	G770-L005:T10:TM-N5K6	G770-L005	f86v5.13	f86v5	TM-N5K6	10	RIGHT	VALUE	G770-L005:T11	FIELD|VALUE	4	0
G770-L005:O10:BOTH:FIELD_EDGE	G770-L005:T10:TM-N5K6	G770-L005	f86v5.13	f86v5	TM-N5K6	10	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
G770-L006:O06:LEFT:PATIENT	G770-L006:T06:TM-N5K6	G770-L006	f75r.43	f75r	TM-N5K6	6	LEFT	PATIENT	G770-L006:T05	FIELD|MATERIAL|PATIENT	4	0
G770-L006:O06:RIGHT:RESULT	G770-L006:T06:TM-N5K6	G770-L006	f75r.43	f75r	TM-N5K6	6	RIGHT	RESULT	G770-L006:T07	CLOSE|ENDPOINT|FIELD|PRODUCT|RESULT	4	0
G770-L006:O06:BOTH:FIELD_EDGE	G770-L006:T06:TM-N5K6	G770-L006	f75r.43	f75r	TM-N5K6	6	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
G770-L007:O04:LEFT:RESULT	G770-L007:T04:TM-N5K6	G770-L007	f115v.5	f115v	TM-N5K6	4	LEFT	RESULT	G770-L007:T03	ENDPOINT|FIELD	4	0
G770-L007:O04:BOTH:FIELD_EDGE	G770-L007:T04:TM-N5K6	G770-L007	f115v.5	f115v	TM-N5K6	4	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
G770-L008:O09:BOTH:FIELD_EDGE	G770-L008:T09:TM-Q7M2	G770-L008	f58r.13	f58r	TM-Q7M2	9	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
G770-L009:O02:LEFT:PATIENT	G770-L009:T02:TM-Q7M2	G770-L009	f3r.19	f3r	TM-Q7M2	2	LEFT	PATIENT	G770-L009:T01	FIELD|MATERIAL|PATIENT|PREPARATION	4	0
G770-L009:O02:RIGHT:PATIENT	G770-L009:T02:TM-Q7M2	G770-L009	f3r.19	f3r	TM-Q7M2	2	RIGHT	PATIENT	G770-L009:T03	FIELD|MATERIAL|PATIENT	4	0
G770-L009:O02:BOTH:FIELD_EDGE	G770-L009:T02:TM-Q7M2	G770-L009	f3r.19	f3r	TM-Q7M2	2	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
G770-L010:O06:LEFT:PATIENT	G770-L010:T06:TM-V4C9	G770-L010	f17v.5	f17v	TM-V4C9	6	LEFT	PATIENT	G770-L010:T05	FIELD|MATERIAL|PATIENT	4	0
G770-L012:O02:RIGHT:AMOUNT	G770-L012:T02:TM-Q7M2	G770-L012	f55v.10	f55v	TM-Q7M2	2	RIGHT	AMOUNT	G759-S0085	AMOUNT	4	0
G770-L012:O02:BOTH:FIELD_EDGE	G770-L012:T02:TM-Q7M2	G770-L012	f55v.10	f55v	TM-Q7M2	2	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
G770-L012:O08:LEFT:VALUE	G770-L012:T08:TM-N5K6	G770-L012	f55v.10	f55v	TM-N5K6	8	LEFT	VALUE	G770-L012:T07	ENDPOINT|FIELD|VALUE	4	0
G770-L012:O12:LEFT:PATIENT	G770-L012:T12:TM-Q7M2	G770-L012	f55v.10	f55v	TM-Q7M2	12	LEFT	PATIENT	G770-L012:T11	FIELD|MATERIAL|PATIENT	4	0
G770-L013:O02:RIGHT:AMOUNT	G770-L013:T02:TM-Q7M2	G770-L013	f78r.37	f78r	TM-Q7M2	2	RIGHT	AMOUNT	G759-S0091	AMOUNT	4	0
G770-L013:O02:BOTH:FIELD_EDGE	G770-L013:T02:TM-Q7M2	G770-L013	f78r.37	f78r	TM-Q7M2	2	BOTH	FIELD_EDGE	LEFT_AND_RIGHT	TWO_TYPED_EXACT_SIDES	4	0
G770-L014:O08:LEFT:PATIENT	G770-L014:T08:TM-H8R1	G770-L014	f15v.7	f15v	TM-H8R1	8	LEFT	PATIENT	G770-L014:T07	FIELD|MATERIAL|PATIENT	4	0
