unit_id	page	owner_class	template_id	surface_sequence	card_reading_de	content_phrase_ids	fixed_generated_prose_de	previous_fluent_working_reading_de	sentence_specific_lexical_insertions	generation_layers
H4-S002	f55v	PLANT_BATCH	T02	daiin chedy talam	Sollmaß; laufenden Posten umsetzen; am Ziel verwahren	AUSZUG|ANSATZ|PORTION	Bildbesitzer: diese Bildpflanze. Kartenfolge: Sollmaß; laufenden Posten umsetzen; am Ziel verwahren. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; eine abgeteilte Portion.	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H4-S003	f55v	PLANT_BATCH	T02	ykaiin cheoar cheeky oldy	Postenmaß; Auszug entnehmen; länger erwärmen und offen halten; Fortsetzung abschließen	AUSZUG	Bildbesitzer: diese Bildpflanze. Kartenfolge: Postenmaß; Auszug entnehmen; länger erwärmen und offen halten; Fortsetzung abschließen. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs.	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H4-S004	f55v	PLANT_BATCH	T02	aiin okal oltchy or y orain	Sollmaß; dort ansetzen; bereiten Posten weiterführen; Ansatz; dieser Posten; Ansatzportion	ANSATZ|STELLE|MASS	Bildbesitzer: diese Bildpflanze. Kartenfolge: Sollmaß; dort ansetzen; bereiten Posten weiterführen; Ansatz; dieser Posten; Ansatzportion. Der Pflanzenartikel setzt dabei voraus: der laufende Arbeitsansatz; die bezeichnete örtliche Stelle; das örtliche Sollmaß.	Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H5-S001	f56r	PLANT_BATCH	T02	chochor cho chodaly daiin sho kchol otchor choky dal	Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat; weiter bearbeiten; Folgeansatz; aktuellen Posten ansetzen; dorthin	PFLANZE|BLUETE|KRAUT|STELLE|MASS	Bildbesitzer: diese Bildpflanze. Kartenfolge: Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat; weiter bearbeiten; Folgeansatz; aktuellen Posten ansetzen; dorthin. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; der aktuell verarbeitete Pflanzenposten; die bezeichnete örtliche Stelle; das örtliche Sollmaß.	Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H5-S002	f56r	PLANT_BATCH	T02	schol choy choky cheeckhody	vorigen Posten fortsetzen; diese Zutat; aktuellen Posten ansetzen; länger auftragen; Schluss	WASSER|STELLE	Bildbesitzer: diese Bildpflanze. Kartenfolge: vorigen Posten fortsetzen; diese Zutat; aktuellen Posten ansetzen; länger auftragen; Schluss. Der Pflanzenartikel setzt dabei voraus: das für den Gang vorgesehene Wasser; die bezeichnete örtliche Stelle.	Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H5-S003	f56r	PLANT_BATCH	T02	sh cho kchey qokokchy	halten; Eingangsposten oder Zutat; diesen Posten kurz bearbeiten; erneut ansetzen	KRAUT	Bildbesitzer: diese Bildpflanze. Kartenfolge: halten; Eingangsposten oder Zutat; diesen Posten kurz bearbeiten; erneut ansetzen. Der Pflanzenartikel setzt dabei voraus: der aktuell verarbeitete Pflanzenposten.	Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H5-S004	f56r	PLANT_BATCH	T02	okchy chokcheo kchal	Posten zur Weiterbearbeitung ansetzen; Auszug zugeben; an der Zielstelle bearbeiten	WEIN|AUSZUG|TUCH	Bildbesitzer: diese Bildpflanze. Kartenfolge: Posten zur Weiterbearbeitung ansetzen; Auszug zugeben; an der Zielstelle bearbeiten. Der Pflanzenartikel setzt dabei voraus: das im Rezept vorgesehene Weinmedium; das Ergebnis des gerade geführten Auszugsgangs; das für den Durchgang vorgesehene Tuch.	Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H5-S005	f56r	PLANT_BATCH	T02	sho chokchy kchoar sotodan	Zutat; Posten zur Weiterbearbeitung ansetzen; Auszug daraus; danach anwenden	AUSZUG	Bildbesitzer: diese Bildpflanze. Kartenfolge: Zutat; Posten zur Weiterbearbeitung ansetzen; Auszug daraus; danach anwenden. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs.	Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
H5-S006	f56r	PLANT_BATCH	T02	otchey keol daiin	nächster Teilposten; kurz weiterbearbeiten; Sollmaß	TEIL|MASS	Bildbesitzer: diese Bildpflanze. Kartenfolge: nächster Teilposten; kurz weiterbearbeiten; Sollmaß. Der Pflanzenartikel setzt dabei voraus: der abgeteilte Teil; das örtliche Sollmaß.	Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S001	f81v	BASIN_STATION	T04	qokedy	kurz ansetzen; Schluss	BECKEN|STELLE	Stationsbesitzer: diese Station. Kartenfolge: kurz ansetzen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; die bezeichnete örtliche Stelle.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S002	f81v	BASIN_STATION	T04	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss	ANSATZ|BECKEN|GEFAESS|TEIL	Stationsbesitzer: diese Station. Kartenfolge: auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss. Die gezeichnete Station setzt dabei voraus: der laufende Arbeitsansatz; das sichtbar adressierte Becken; das sichtbare oder gelernte Arbeitsgefäß; der abgeteilte Teil.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S003	f81v	BASIN_STATION	T04	qol sshkchdy	fortsetzen; im Arbeitsgang schwenken; Schluss	BECKEN	Stationsbesitzer: diese Station. Kartenfolge: fortsetzen; im Arbeitsgang schwenken; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S004	f81v	BASIN_STATION	T04	chedy ol shedy	laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss	BECKEN	Stationsbesitzer: diese Station. Kartenfolge: laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S005	f81v	BASIN_STATION	T04	qolchedy	weiterüberführen; Schluss	BECKEN|GEFAESS|STELLE	Stationsbesitzer: diese Station. Kartenfolge: weiterüberführen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; das sichtbare oder gelernte Arbeitsgefäß; die bezeichnete örtliche Stelle.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S006	f81v	BASIN_STATION	T04	qokain shckhy dl ral	eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle	BECKEN|GEFAESS|TEIL	Stationsbesitzer: diese Station. Kartenfolge: eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; das sichtbare oder gelernte Arbeitsgefäß; der abgeteilte Teil.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S007	f81v	BASIN_STATION	T04	qokchdy	Umsetzung ansetzen; Schluss	BECKEN	Stationsbesitzer: diese Station. Kartenfolge: Umsetzung ansetzen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S008	f81v	BASIN_STATION	T04	chey ol cheky ol shedy	dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss	BECKEN|PORTION	Stationsbesitzer: diese Station. Kartenfolge: dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; eine abgeteilte Portion.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S009	f81v	BASIN_STATION	T04	qokedy	kurz ansetzen; Schluss	BECKEN|STELLE	Stationsbesitzer: diese Station. Kartenfolge: kurz ansetzen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; die bezeichnete örtliche Stelle.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S010	f81v	BASIN_STATION	T04	qokedy	kurz ansetzen; Schluss	BECKEN|STELLE	Stationsbesitzer: diese Station. Kartenfolge: kurz ansetzen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; die bezeichnete örtliche Stelle.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S011	f81v	BASIN_STATION	T04	chckhy qoky	durchleiten; aktuellen Posten ansetzen	BECKEN	Stationsbesitzer: diese Station. Kartenfolge: durchleiten; aktuellen Posten ansetzen. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S012	f81v	BASIN_STATION	T04	lsho qokey lshedy	Waschgang beginnen; kurz ansetzen; waschen; Schluss	WASSER|BECKEN	Stationsbesitzer: diese Station. Kartenfolge: Waschgang beginnen; kurz ansetzen; waschen; Schluss. Die gezeichnete Station setzt dabei voraus: das für den Gang vorgesehene Wasser; das sichtbar adressierte Becken.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S013	f81v	BASIN_STATION	T04	lshedy	waschen; Schluss	BECKEN	Stationsbesitzer: diese Station. Kartenfolge: waschen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S014	f81v	BASIN_STATION	T04	chedy qolky lchedal qol otar	laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort	BECKEN|ABLAUF|STELLE	Stationsbesitzer: diese Station. Kartenfolge: laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; der lokale sichtbare Auslauf; die bezeichnete örtliche Stelle.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S015	f81v	BASIN_STATION	T04	ytey okchedy	kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss	BECKEN|GEFAESS	Stationsbesitzer: diese Station. Kartenfolge: kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; das sichtbare oder gelernte Arbeitsgefäß.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S016	f81v	BASIN_STATION	T04	qokal okeey qol cheedy	dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss	BECKEN	Stationsbesitzer: diese Station. Kartenfolge: dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
B1-S017	f81v	BASIN_STATION	T04	sal teol dchdy	dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss	BECKEN|OEFFNUNG	Stationsbesitzer: diese Station. Kartenfolge: dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss. Die gezeichnete Station setzt dabei voraus: das sichtbar adressierte Becken; die sichtbar bezeichnete Öffnung.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.	0	VISIBLE_OWNER|CARD_READING|FIXED_CONTENT_PHRASE
