master_card_id	master_form	registered_surfaces	portable_core_de	local_prose_expansion_de	component_parse	dictionary_layer	syntactic_type	prose_event_count	records	relation_stems	relation_skeleton_de	composition_reading_de
MC018	qotedaiin	qotedaiin	Kurzsoll	Kurzsoll	OT_FOLLOW+E_SHORT+AIIN_MEASURE	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B3	OT	DANACH_NAECHSTER	Kurzsoll
MC019	oldy	oldy	fertig	fertig	OL_CONTINUE+DY_CLOSE	KNOWN_FROM_BIOLOGICAL	TERMINAL_STATE	2	B4|H4	OL	WEITER_GLEICHER_FORTGANG	fertig
MC020	solkeey	solkeey	Langsammlung	Langsammlung	SOLK_COLLECT+EE_LONG+Y_ITEM	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B6	Y	DIES_AKTUELLER_POSTEN	Langsammlung
MC021	oltchy	oltchy	die laufende Bereitung fortsetzen	die laufende Bereitung fortsetzen	OL + TCH + Y	PARTIAL_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	H4	OL|Y	WEITER_GLEICHER_FORTGANG + DIES_AKTUELLER_POSTEN	die laufende Bereitung fortsetzen
MC022	chckhal	chckhal	Zielpassage	Zielpassage	CKH_THROUGH+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_PATH	1	B4	AL	ZU_ZIEL	Zielpassage
MC024	qokol	qokol	Weiter einsetzen	Weiter einsetzen	OK_SET+OL_CONTINUE	PRODUCTIVE_COMPOSITION	LEARNED_ORDER_OR_LINK	1	B4	OL	WEITER_GLEICHER_FORTGANG	Weiter einsetzen
MC026	choky	choky|oky|qoky	einsetzen	einsetzen	OK_SET+Y_CURRENT_ITEM	KNOWN_FROM_BIOLOGICAL	ACTION	10	B1|B2|B3|B4|H1|H5	Y	DIES_AKTUELLER_POSTEN	einsetzen
MC027	oykchor	oykchor	Gefäß für den Ansatz	Gefäß für den Ansatz	OYK + OR	PARTIAL_COMPOSITION	LEARNED_OBJECT	1	H2	OR	ANSATZ_AKTIVER_SATZ	Gefäß für den Ansatz
MC028	olchedy	olchedy|qolchedy	weiterführen; Schluss	weiterführen; Schluss	OL_CONTINUE+CHED_TRANSFER+TERMINAL_CLOSE	PRODUCTIVE_COMPOSITION	TERMINAL_ACTION	3	B1|B2|B3	OL	WEITER_GLEICHER_FORTGANG	weiterführen; Schluss
MC029	lar	lar	Quellabzug	Quellabzug	L_OUT+AR_FROM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B2	AR	VON_QUELLE	Quellabzug
MC031	dalchdy	dalchdy	Zieltransfer; Schluss	Zieltransfer; Schluss	D+AL_TO+CHD_TRANSFER+CLOSE	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B3	AL	ZU_ZIEL	Zieltransfer; Schluss
MC032	cheeky	cheeky	länger bearbeiten	länger bearbeiten	CHK_WARM+GRADE_2+Y_CURRENT_ITEM	KNOWN_FROM_BIOLOGICAL	DURATIVE_ACTION	2	B4|H4	Y	DIES_AKTUELLER_POSTEN	länger bearbeiten
MC035	chckhy	chckhy|shckhy	durchleiten	durchleiten	CKH_THROUGH+Y_ITEM	PRODUCTIVE_COMPOSITION	ACTION	4	B1|B2	Y	DIES_AKTUELLER_POSTEN	durchleiten
MC040	okal	okal|qokal	dorthin einsetzen	dorthin einsetzen	OK_SET+AL_TO	KNOWN_FROM_BIOLOGICAL	TARGET_ACTION	6	B1|B2|B3|H4	AL	ZU_ZIEL	dorthin einsetzen
MC041	okchol	okchol	die Fortsetzung einsetzen	die Fortsetzung einsetzen	OK + OL	FULL_COMPOSITION	LEARNED_ORDER_OR_LINK	1	H3	OL	WEITER_GLEICHER_FORTGANG	die Fortsetzung einsetzen
MC042	cheedar	cheedar	Quelltransfer	Quelltransfer	CHED_TRANSFER+AR_FROM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B3	AR	VON_QUELLE	Quelltransfer
MC043	shecthedchy	shecthedchy	Vorbereitungstransfer	Vorbereitungstransfer	CTH_READY+CHED_TRANSFER+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B3	Y	DIES_AKTUELLER_POSTEN	Vorbereitungstransfer
MC044	qokar	qokar	Quelleinsatz	Quelleinsatz	OK_SET+AR_FROM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B2	AR	VON_QUELLE	Quelleinsatz
MC046	raly	raly	Endposten	Endposten	AL_TO+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B6	AL|Y	ZU_ZIEL + DIES_AKTUELLER_POSTEN	Endposten
MC047	ykain	ykain	erste Portion	erste Portion	Y + K + AIN	PARTIAL_COMPOSITION	LEARNED_QUANTITY_OR_STAGE	1	H4	Y	DIES_AKTUELLER_POSTEN	erste Portion
MC050	solkey	solkey	Kurzsammlung	Kurzsammlung	SOLK_COLLECT+E_SHORT+Y_ITEM	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B4	Y	DIES_AKTUELLER_POSTEN	Kurzsammlung
MC051	lchedal	lchedal	Zielabführung	Zielabführung	L_OUT+CHED_TRANSFER+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B1	AL	ZU_ZIEL	Zielabführung
MC053	otol	otol	DANACH_WEITER	anschließend fortsetzen	OT + OL	FULL_COMPOSITION	LEARNED_ORDER_OR_LINK	1	H2	OL|OT	WEITER_GLEICHER_FORTGANG + DANACH_NAECHSTER	DANACH_WEITER
MC054	qokaly	qokaly	Zieleinsatz	Zieleinsatz	OK_SET+AL_TO+Y_ITEM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B2	AL|Y	ZU_ZIEL + DIES_AKTUELLER_POSTEN	Zieleinsatz
MC055	char	char|dar|sar	davon	davon	AR_FROM	KNOWN_FROM_BIOLOGICAL	SOURCE_ANAPHOR	5	B1|B2|B3|H1|H2	AR	VON_QUELLE	davon
MC056	ral	ral	Zielmarke	Zielmarke	R_FRAME+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B1	AL	ZU_ZIEL	Zielmarke
MC057	otchedy	otchedy|qotchedy	Folgetransfer; Schluss	Folgetransfer; Schluss	OT_FOLLOW+CHED_TRANSFER+TERMINAL_CLOSE	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	2	B3	OT	DANACH_NAECHSTER	Folgetransfer; Schluss
MC058	sheckhal	sheckhal	Kurze Zielpassage	Kurze Zielpassage	CKH_THROUGH+E_SHORT+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_PATH	1	B1	AL	ZU_ZIEL	Kurze Zielpassage
MC060	otaiin	otaiin|sotaiin	Folgemaß	Folgemaß	OT_FOLLOW+AIIN_MEASURE	PRODUCTIVE_COMPOSITION	ORDERED_QUANTITY	3	B2|B3	OT	DANACH_NAECHSTER	Folgemaß
MC063	oteey	oteey	Langfolge	Langfolge	OT_FOLLOW+GRADE_2+Y_ITEM	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	2	B2	OT|Y	DANACH_NAECHSTER + DIES_AKTUELLER_POSTEN	Langfolge
MC064	chedchy	chedchy	Postentransfer	Postentransfer	CHED_TRANSFER+CHY_ITEM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B3	Y	DIES_AKTUELLER_POSTEN	Postentransfer
MC067	otchdy	otchdy	Nachtransfer; Schluss	Nachtransfer; Schluss	OT_FOLLOW+CHD_TRANSFER+TERMINAL_CLOSE	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B5	OT	DANACH_NAECHSTER	Nachtransfer; Schluss
MC069	otytchol	otytchol	Folgeteil	Folgeteil	OT + YTY + OL	PARTIAL_COMPOSITION	LEARNED_QUANTITY_OR_STAGE	1	H1	OL|OT	WEITER_GLEICHER_FORTGANG + DANACH_NAECHSTER	Folgeteil
MC072	orain	orain	Bereitungsanteil	Bereitungsanteil	OR + AIN	FULL_COMPOSITION	LEARNED_OBJECT	1	H4	OR	ANSATZ_AKTIVER_SATZ	Bereitungsanteil
MC073	qcthey	qcthey|shcthey	kurz vorbereiten	kurz vorbereiten	CTH_READY+GRADE_1+Y_CURRENT	PRODUCTIVE_COMPOSITION	SHORT_PREPARATION_ACTION	2	B2|B3	Y	DIES_AKTUELLER_POSTEN	kurz vorbereiten
MC074	chdy	chdy|chedy	überführen	überführen	CHD~CHED_TRANSFER+Y_ITEM	KNOWN_FROM_BIOLOGICAL	ACTION	11	B1|B3|B4|B5|H4	Y	DIES_AKTUELLER_POSTEN	überführen
MC075	ycheor	ycheor	aktueller Auszugsansatz	aktueller Auszugsansatz	Y + CHEO + OR	FULL_COMPOSITION	LEARNED_OBJECT	1	H2	OR|Y	ANSATZ_AKTIVER_SATZ + DIES_AKTUELLER_POSTEN	aktueller Auszugsansatz
MC076	dsheol	dsheol	Kurzhalt	Kurzhalt	SH_REST+E_SHORT+OL_CONTINUE	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B1	OL	WEITER_GLEICHER_FORTGANG	Kurzhalt
MC077	kchal	kchal	an der Zielstelle bearbeiten	an der Zielstelle bearbeiten	K + AL	FULL_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	H5	AL	ZU_ZIEL	an der Zielstelle bearbeiten
MC078	olsaly	olsaly	Zwischenziel	Zwischenziel	OLS_BELOW+AL_TO+Y_ITEM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B3	AL|Y	ZU_ZIEL + DIES_AKTUELLER_POSTEN	Zwischenziel
MC079	daldy	daldy	Zielschluss	Zielschluss	D_SIDE_FRAME+AL_TO+CLOSE_EXACT	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B2	AL	ZU_ZIEL	Zielschluss
MC080	chor	chor|or|shor|sor	Ansatz	Ansatz	OR_BATCH	KNOWN_FROM_BIOLOGICAL	OBJECT	7	B3|B4|H2|H4	OR	ANSATZ_AKTIVER_SATZ	Ansatz
MC085	cheoar	cheoar	Auszug aus der Quelle	Auszug aus der Quelle	CHEO + AR	FULL_COMPOSITION	LEARNED_OBJECT	1	H4	AR	VON_QUELLE	Auszug aus der Quelle
MC089	skar	skar	Quellausguss	Quellausguss	SK_POUR+AR_FROM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B4	AR	VON_QUELLE	Quellausguss
MC090	kchol	kchol	weiter bearbeiten	weiter bearbeiten	K + OL	FULL_COMPOSITION	LEARNED_ORDER_OR_LINK	1	H5	OL	WEITER_GLEICHER_FORTGANG	weiter bearbeiten
MC091	dairydy	dairydy	Laufschluss	Laufschluss	D_TERMINAL_FRAME+AIR_WATER+Y_ITEM+CLOSE_EXACT	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B4	Y	DIES_AKTUELLER_POSTEN	Laufschluss
MC092	lol	lol	Weiterabzug	Weiterabzug	L_OUT+OL_CONTINUE	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B5	OL	WEITER_GLEICHER_FORTGANG	Weiterabzug
MC093	otal	otal|qotal	danach dorthin	danach dorthin	OT_NEXT+AL_TO	PRODUCTIVE_COMPOSITION	TARGET_ANAPHOR	3	B3|B4	AL|OT	ZU_ZIEL + DANACH_NAECHSTER	danach dorthin
MC095	sheey	sheey	Langhalt	Langhalt	SH_REST+EE_LONG+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B4	Y	DIES_AKTUELLER_POSTEN	Langhalt
MC096	qokeedal	qokeedal	Langer Zieleinsatz	Langer Zieleinsatz	OK_SET+EE_HOLD+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B1	AL	ZU_ZIEL	Langer Zieleinsatz
MC097	olkain	olkain|qolkain	weiterer Anteil	weiterer Anteil	OL_CONTINUE+AIN_PORTION	PRODUCTIVE_COMPOSITION	CONTINUED_QUANTITY_OBJECT	2	B1|B4	OL	WEITER_GLEICHER_FORTGANG	weiterer Anteil
MC101	ldalor	ldalor	Endziel	Endziel	LD_END+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B6	AL	ZU_ZIEL	Endziel
MC102	rsheal	rsheal	Kurzhalt am Ziel	Kurzhalt am Ziel	R_FRAME+SH_REST+E_SHORT+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B2	AL	ZU_ZIEL	Kurzhalt am Ziel
MC103	chokchy	chokchy|okchy|qokchy	den laufenden Posten einsetzen und weiterbearbeiten	den laufenden Posten einsetzen und weiterbearbeiten	OK + Y	FULL_COMPOSITION	ACTION	3	H1|H5	Y	DIES_AKTUELLER_POSTEN	den laufenden Posten einsetzen und weiterbearbeiten
MC104	keol	keol	kurz weiterbearbeiten	kurz weiterbearbeiten	K + E + OL	FULL_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	H5	OL	WEITER_GLEICHER_FORTGANG	kurz weiterbearbeiten
MC106	teol	teol	kurz weiterführen	kurz weiterführen	E_SHORT+OL_CONTINUE	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B1	OL	WEITER_GLEICHER_FORTGANG	kurz weiterführen
MC107	qotchy	qotchy	zum nächsten Posten wechseln	zum nächsten Posten wechseln	OT + Y	FULL_COMPOSITION	LEARNED_ORDER_OR_LINK	1	H3	OT|Y	DANACH_NAECHSTER + DIES_AKTUELLER_POSTEN	zum nächsten Posten wechseln
MC112	octheol	octheol	Fortsetzung vorbereiten	Fortsetzung vorbereiten	CTH_READY+OL_CONTINUE	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B2	OL	WEITER_GLEICHER_FORTGANG	Fortsetzung vorbereiten
MC113	shedal	shedal	am Ziel absetzen	am Ziel absetzen	SHED_SETTLE+AL_TO	PRODUCTIVE_COMPOSITION	TARGET_STATE_ACTION	2	B3|B5	AL	ZU_ZIEL	am Ziel absetzen
MC115	qoctholy	qoctholy	den bereiten Folgeposten wählen	den bereiten Folgeposten wählen	OT + OL + Y	FULL_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	H2	OL|OT|Y	WEITER_GLEICHER_FORTGANG + DANACH_NAECHSTER + DIES_AKTUELLER_POSTEN	den bereiten Folgeposten wählen
MC117	kchy	kchy	den laufenden Posten bearbeiten	den laufenden Posten bearbeiten	K + Y	FULL_COMPOSITION	LEARNED_LOCAL_ACTION	1	H3	Y	DIES_AKTUELLER_POSTEN	den laufenden Posten bearbeiten
MC121	otar	otar	Folgequelle	Folgequelle	OT_NEXT+AR_FROM	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B1	AR|OT	VON_QUELLE + DANACH_NAECHSTER	Folgequelle
MC122	kchey	kchey	den laufenden Posten kurz bearbeiten	den laufenden Posten kurz bearbeiten	K + E + Y	FULL_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	H5	Y	DIES_AKTUELLER_POSTEN	den laufenden Posten kurz bearbeiten
MC123	chey	chey|chy|dy|shy|sy|y	dies	dies	Y_CURRENT_ITEM_CARD	KNOWN_FROM_BIOLOGICAL	ITEM_ANAPHOR	18	B1|B2|B3|B4|B6|H2|H3|H4	Y	DIES_AKTUELLER_POSTEN	dies
MC125	chochor	chochor	Zugabeansatz	Zugabeansatz	CHO + OR	FULL_COMPOSITION	LEARNED_OBJECT	1	H5	OR	ANSATZ_AKTIVER_SATZ	Zugabeansatz
MC126	pchedal	pchedal	Zielzuführung	Zielzuführung	P_IN+CHED_TRANSFER+AL_TO	PRODUCTIVE_COMPOSITION	LEARNED_TRANSFER_OR_ADDRESS	1	B3	AL	ZU_ZIEL	Zielzuführung
MC131	choy	choy	aktuelle Zutat	aktuelle Zutat	CHO + Y	FULL_COMPOSITION	LEARNED_OBJECT	1	H5	Y	DIES_AKTUELLER_POSTEN	aktuelle Zutat
MC132	sheckhy	sheckhy	Kurzpassage	Kurzpassage	CKH_THROUGH+E_SHORT+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_PATH	1	B2	Y	DIES_AKTUELLER_POSTEN	Kurzpassage
MC134	qolky	qolky	Weiterweg	Weiterweg	Q_FRAME+OL_CONTINUE+KY_PATH	PRODUCTIVE_COMPOSITION	LEARNED_ORDER_OR_LINK	1	B1	OL	WEITER_GLEICHER_FORTGANG	Weiterweg
MC135	otedy	otedy	Kurzfolge; Schluss	Kurzfolge; Schluss	OT_FOLLOW+GRADE_1+CLOSE	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	2	B3	OT	DANACH_NAECHSTER	Kurzfolge; Schluss
MC136	kchoar	kchoar	bearbeiteter Quellauszug	bearbeiteter Quellauszug	K + CHO + AR	PARTIAL_COMPOSITION	LEARNED_OBJECT	1	H5	AR	VON_QUELLE	bearbeiteter Quellauszug
MC137	shecthy	shecthy	Kurzvorbereitung	Kurzvorbereitung	CTH_READY+E_SHORT+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B3	Y	DIES_AKTUELLER_POSTEN	Kurzvorbereitung
MC142	dchol	dchol|schol	vom vorigen Arbeitsgang nehmen	vom vorigen Arbeitsgang nehmen	D + OL	PARTIAL_COMPOSITION	SOURCE_ANAPHOR	2	H3|H5	OL	WEITER_GLEICHER_FORTGANG	vom vorigen Arbeitsgang nehmen
MC146	chealror	chealror	Zielbereitung	Zielbereitung	AL_TO+R_FRAME+OR_BATCH	PRODUCTIVE_COMPOSITION	LEARNED_OBJECT	1	B3	AL|OR	ZU_ZIEL + ANSATZ_AKTIVER_SATZ	Zielbereitung
MC147	cheky	cheky	kurz wärmen	kurz wärmen	CHK_WARM+GRADE_1+Y_CURRENT_ITEM	PRODUCTIVE_COMPOSITION	ACTION	3	B1|B4	Y	DIES_AKTUELLER_POSTEN	kurz wärmen
MC148	ykan	ykan	zweite Portion	zweite Portion	Y + K + AN	PARTIAL_COMPOSITION	LEARNED_QUANTITY_OR_STAGE	1	H4	Y	DIES_AKTUELLER_POSTEN	zweite Portion
MC149	solshedy	solshedy	Folgeabsetzen; Schluss	Folgeabsetzen; Schluss	OL_CONTINUE+SHED_SETTLE+CLOSE	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B2	OL	WEITER_GLEICHER_FORTGANG	Folgeabsetzen; Schluss
MC150	okeeol	okeeol	Langfortsetzung	Langfortsetzung	OK_SET+GRADE_2+OL_CONTINUE	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B4	OL	WEITER_GLEICHER_FORTGANG	Langfortsetzung
MC153	cheol	cheol|chol|ol|qol|sol|tol	weiter	weiter	OL_CONTINUE	KNOWN_FROM_BIOLOGICAL	CONTINUATION_LINK	19	B1|B3|B4|B5|B6|H1|H2	OL	WEITER_GLEICHER_FORTGANG	weiter
MC154	al	al|chal|cheal|dal|sal|tal	dorthin	dorthin	AL_TO	KNOWN_FROM_BIOLOGICAL	TARGET_ANAPHOR	10	B1|B2|B3|B4|B5|H5	AL	ZU_ZIEL	dorthin
MC157	cholor	cholor|olor	derselbe Ansatz	derselbe Ansatz	OL_CONTINUE+OR_BATCH	KNOWN_FROM_BIOLOGICAL	CARRIED_PREPARATION	2	B1|H2	OL|OR	WEITER_GLEICHER_FORTGANG + ANSATZ_AKTIVER_SATZ	derselbe Ansatz
MC158	cthoor	cthoor	den Ansatz bereitstellen	den Ansatz bereitstellen	CTH + OR	FULL_COMPOSITION	LEARNED_OBJECT	1	H1	OR	ANSATZ_AKTIVER_SATZ	den Ansatz bereitstellen
MC161	checthy	checthy|cthy|shcthy	bereit	bereit	CTH_READY+Y_CURRENT	KNOWN_FROM_BIOLOGICAL	STATE	7	B3|H1|H2|H3	Y	DIES_AKTUELLER_POSTEN	bereit
MC162	qolchey	qolchey	Weiterposten	Weiterposten	OL_CONTINUE+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_ORDER_OR_LINK	1	B4	OL|Y	WEITER_GLEICHER_FORTGANG + DIES_AKTUELLER_POSTEN	Weiterposten
MC163	qotchol	qotchol	DANACH_WEITER	den Folgegang fortsetzen	OT + OL	FULL_COMPOSITION	LEARNED_ORDER_OR_LINK	1	H1	OL|OT	WEITER_GLEICHER_FORTGANG + DANACH_NAECHSTER	DANACH_WEITER
MC164	qokylddy	qokylddy	befestigen; Schluss	befestigen; Schluss	OK+Y_ITEM+LDDY_FASTEN_CLOSE	MEMORIZED_WHOLE_CARD	LEARNED_APPLICATION_ACTION	1	B4	Y	DIES_AKTUELLER_POSTEN	befestigen; Schluss
MC165	qockhey	qockhey	Kurzdurchgang	Kurzdurchgang	OK_SET+CKH_THROUGH+E_SHORT+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_PATH	1	B4	Y	DIES_AKTUELLER_POSTEN	Kurzdurchgang
MC166	chkeey	chkeey	Langwärmen	Langwärmen	CHK_WARM+GRADE_2+Y_CURRENT	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_STATE	1	B2	Y	DIES_AKTUELLER_POSTEN	Langwärmen
MC168	lcheckhy	lcheckhy	Abführpassage	Abführpassage	L_OUT+CKH_THROUGH+Y_ITEM	PRODUCTIVE_COMPOSITION	LEARNED_PROCESS_OR_PATH	1	B2	Y	DIES_AKTUELLER_POSTEN	Abführpassage
MC170	ykaiin	ykaiin	Sollportion	Sollportion	Y + K + AIIN	PARTIAL_COMPOSITION	LEARNED_QUANTITY_OR_STAGE	1	H4	Y	DIES_AKTUELLER_POSTEN	Sollportion
MC171	otchey	otchey	das nächste	das nächste	OT_FOLLOW+Y_CURRENT_ITEM	KNOWN_FROM_BIOLOGICAL	ORDER_ANAPHOR	2	B4|H5	OT|Y	DANACH_NAECHSTER + DIES_AKTUELLER_POSTEN	das nächste
MC173	qoteedy	qoteedy	lange Folgestufe; Schluss	lange Folgestufe; Schluss	OT_FOLLOW+GRADE_2+CLOSE	PRODUCTIVE_COMPOSITION	TERMINAL_ORDERED_STATE	2	B2|B3	OT	DANACH_NAECHSTER	lange Folgestufe; Schluss
