group_serial	page	locus	visible_owner	namespace_id	visible_surface	master_card_id	relation_stems	relation_skeleton_de	portable_prose_value_de	diagram_local_reading_de
331	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	choky	MC026	Y	DIES_AKTUELLER_POSTEN	einsetzen	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten setzen.
333	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	chey	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
337	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	chdy	MC074	Y	DIES_AKTUELLER_POSTEN	überführen	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: auf den bezeichneten Diagrammplatz uebertragen.
340	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	chy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
358	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	chey	MC123	Y	DIES_AKTUELLER_POSTEN	dies	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
360	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	dal	MC154	AL	ZU_ZIEL	dorthin	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.
361	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	oteey	MC063	OT|Y	DANACH_NAECHSTER + DIES_AKTUELLER_POSTEN	Langfolge	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Diagrammposten in langer Stufe.
362	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	oteey	MC063	OT|Y	DANACH_NAECHSTER + DIES_AKTUELLER_POSTEN	Langfolge	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Diagrammposten in langer Stufe.
363	f69v	f69v.4	A3_LEFT_RADIAL_SLOT_01	F69_LEFT_WHEEL_NS	okeey	MC002	Y	DIES_AKTUELLER_POSTEN	lange einwirken	Radstelle A3_LEFT_RADIAL_SLOT_01: in langer Stufe setzen.
364	f69v	f69v.4	A3_LEFT_RADIAL_SLOT_01	F69_LEFT_WHEEL_NS	sar	MC055	AR	VON_QUELLE	davon	Radstelle A3_LEFT_RADIAL_SLOT_01: vom bezeichneten Ausgangsplatz.
366	f69v	f69v.5	A3_LEFT_RADIAL_SLOT_02	F69_LEFT_WHEEL_NS	dy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Radstelle A3_LEFT_RADIAL_SLOT_02: dieser lokale Diagrammposten.
386	f69v	f69v.25	A3_LEFT_RADIAL_SLOT_22	F69_LEFT_WHEEL_NS	okeey	MC002	Y	DIES_AKTUELLER_POSTEN	lange einwirken	Radstelle A3_LEFT_RADIAL_SLOT_22: in langer Stufe setzen.
387	f69v	f69v.25	A3_LEFT_RADIAL_SLOT_22	F69_LEFT_WHEEL_NS	dy	MC123	Y	DIES_AKTUELLER_POSTEN	dies	Radstelle A3_LEFT_RADIAL_SLOT_22: dieser lokale Diagrammposten.
388	f69v	f69v.26	A3_LEFT_RADIAL_SLOT_23	F69_LEFT_WHEEL_NS	okey	MC007	Y	DIES_AKTUELLER_POSTEN	kurz einwirken	Radstelle A3_LEFT_RADIAL_SLOT_23: in kurzer Stufe setzen.
