template_id	component_recipe	portable_composed_value_de	default_surface	allowed_observed_surfaces	observed_events	observed_pages	scribe_prediction_rule_de
T14	OK+EE+Y	SETZEN · LÄNGER · DIES	qokeey	qokeey|okeey|chokeey	30	f56r|f68r1|f69v|f75r|f81v|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T15	OK+E+DY	SETZEN · KURZ · SCHLIESSEN	qokedy	qokedy|okedy	45	f69v|f75r|f81v|f82r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T16	OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	qokeedy	qokeedy|okeedy	45	f55v|f75r|f81v|f82r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T17	OT+AL	DANACH · ZIEL	otal	otal|qotal	11	f70v|f82r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T18	OT+AR	DANACH · QUELLE	otar	otar|qotar	19	f10r|f55v|f67r2|f70v|f75r|f81v|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T19	OT+AIIN	DANACH · SOLLWERT	otaiin	otaiin|qotaiin	8	f70v|f82r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T20	S+AIIN	AUSWÄHLEN · SOLLWERT	saiin	saiin|saii	10	f67r2|f70v|f75r|f81v|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T21	S+AL	AUSWÄHLEN · ZIEL	sal	sal	7	f67r2|f70v|f75r|f81v|f82r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T22	CHEO+L	AUSZUG · LEITEN	cheol	cheol	13	f81v|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T23	CKH+Y	DURCHLASS · DIES	chckhy	chckhy|ckhy|qckhsy	13	f10r|f13r|f55v|f75r|f81v|f82r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T24	L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	lchedy	lchedy	20	f75r|f81v|f82r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T25	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLIESSEN	pchedy	pchedy	5	f75r|f81v|f82r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T26	OL+DY	FORTSETZEN · SCHLIESSEN	oldy	oldy|qoldy	14	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T27	SH+E+Y	HALTEN · KURZ · DIES	shey	shey|tshey	26	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T28	SH+EE+Y	HALTEN · LÄNGER · DIES	cheey	cheey|sheey	21	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T29	CTH+Y	BEREIT · DIES	cthy	cthy|checthy	10	f10r|f11r|f56r|f75r|f83r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
T30	D_ADDR+AR	TEIL · QUELLE	dar	dar	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
