value_cell_id	root	portable_default_de	structural_category	register	owner_local_expansion_de	mention_count	event_count	page_count	owner_count	source_atlas	observed_old_value_cell
G493-V12	AIIN	WERT	ARGUMENT	HERBAL	ARBEITSWERT	100	100	9	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V13	AIIN	WERT	ARGUMENT	BIOLOGICAL	STATIONSWERT	162	162	7	17	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V14	AIIN	WERT	ARGUMENT	CELESTIAL	POSITIONSWERT	70	70	3	14	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V15	AIIN	WERT	ARGUMENT	PHARMA	MENGENWERT	73	73	3	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V16	AIN	ANTEIL	ARGUMENT	SOURCE_SECTION_T	TEILWERT	15	15	1	4	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V17	AIN	ANTEIL	ARGUMENT	HERBAL	MATERIALANTEIL	39	39	7	7	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V18	AIN	ANTEIL	ARGUMENT	BIOLOGICAL	STATIONSANTEIL	160	160	7	19	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V19	AIN	ANTEIL	ARGUMENT	CELESTIAL	SEKTORANTEIL	8	8	2	2	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V20	AIN	ANTEIL	ARGUMENT	PHARMA	DROGENANTEIL	18	18	3	7	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V21	AL	ZIELORT	BEZIEHUNG	SOURCE_SECTION_T	ZIELSPALTE	7	7	1	3	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V22	AL	ZIELORT	BEZIEHUNG	HERBAL	ZIELSTELLE	50	50	9	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V23	AL	ZIELORT	BEZIEHUNG	BIOLOGICAL	ZIELSTATION	178	177	7	20	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V24	AL	ZIELORT	BEZIEHUNG	CELESTIAL	ZIELPOSITION	72	71	4	14	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V25	AL	ZIELORT	BEZIEHUNG	PHARMA	ZIELGEFÄSS	45	43	3	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V26	Y	POSTEN	ARGUMENT	SOURCE_SECTION_T	LAUFENDER EINTRAG	74	70	1	4	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V27	Y	POSTEN	ARGUMENT	HERBAL	PFLANZENPOSTEN	333	307	9	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V28	Y	POSTEN	ARGUMENT	BIOLOGICAL	STATIONSPOSTEN	817	804	7	20	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V29	Y	POSTEN	ARGUMENT	CELESTIAL	POSITIONSPOSTEN	182	168	4	15	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V30	Y	POSTEN	ARGUMENT	PHARMA	DROGENPOSTEN	205	196	3	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V31	CH	NEHMEN	HANDLUNG	SOURCE_SECTION_T	ENTNEHMEN	58	57	1	4	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V32	CH	NEHMEN	HANDLUNG	HERBAL	PFLANZENTEIL NEHMEN	235	215	9	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V33	CH	NEHMEN	HANDLUNG	BIOLOGICAL	POSTEN ENTNEHMEN	290	255	7	20	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V34	CH	NEHMEN	HANDLUNG	CELESTIAL	POSITION AUFNEHMEN	100	92	4	15	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V35	CH	NEHMEN	HANDLUNG	PHARMA	DROGENPOSTEN NEHMEN	160	151	3	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V36	E	GRAD I	GRADE	SOURCE_SECTION_T	GRAD I	32	32	1	4	GDT413_COMPONENT_PLUS_GDT416_CARRIERS	YES
G493-V37	E	GRAD I	GRADE	HERBAL	GRAD I	81	75	9	9	GDT413_COMPONENT_PLUS_GDT416_CARRIERS	YES
G493-V38	E	GRAD I	GRADE	BIOLOGICAL	GRAD I	566	548	7	20	GDT413_COMPONENT_PLUS_GDT416_CARRIERS	YES
G493-V39	E	GRAD I	GRADE	CELESTIAL	GRAD I	127	121	4	14	GDT413_COMPONENT_PLUS_GDT416_CARRIERS	YES
G493-V40	E	GRAD I	GRADE	PHARMA	GRAD I	193	189	3	9	GDT413_COMPONENT_PLUS_GDT416_CARRIERS	YES
G493-V41	CHD	BEARBEITEN	HANDLUNG	SOURCE_SECTION_T	EINTRAG BEARBEITEN	1	1	1	1	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V42	CHD	BEARBEITEN	HANDLUNG	HERBAL	MATERIAL BEARBEITEN	29	29	4	4	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V43	CHD	BEARBEITEN	HANDLUNG	BIOLOGICAL	POSTEN BEARBEITEN	259	259	7	19	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V44	CHD	BEARBEITEN	HANDLUNG	CELESTIAL	EINTRAG BEARBEITEN	7	7	2	6	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V45	CHD	BEARBEITEN	HANDLUNG	PHARMA	ANSATZ BEARBEITEN	5	5	2	5	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V46	OL	FORTSETZEN	REIHENFOLGE	SOURCE_SECTION_T	WEITERFÜHREN	26	26	1	4	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V47	OL	FORTSETZEN	REIHENFOLGE	HERBAL	PFLANZENBEHANDLUNG FORTSETZEN	109	109	9	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V48	OL	FORTSETZEN	REIHENFOLGE	BIOLOGICAL	STATION WEITERFÜHREN	372	365	7	20	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V49	OL	FORTSETZEN	REIHENFOLGE	CELESTIAL	RINGFOLGE FORTSETZEN	62	59	4	14	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V50	OL	FORTSETZEN	REIHENFOLGE	PHARMA	ANSATZ FORTSETZEN	119	118	3	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V51	OR	EINHEIT	ARGUMENT	SOURCE_SECTION_T	EINTRAGSEINHEIT	11	11	1	4	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V52	OR	EINHEIT	ARGUMENT	HERBAL	ARBEITSEINHEIT	97	95	9	9	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V53	OR	EINHEIT	ARGUMENT	BIOLOGICAL	STATIONSEINHEIT	80	79	7	16	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V54	OR	EINHEIT	ARGUMENT	CELESTIAL	POSITIONSEINHEIT	30	30	4	11	GDT415_REGISTER_EXPANSION_ATLAS	YES
G493-V55	OR	EINHEIT	ARGUMENT	PHARMA	ANSATZEINHEIT	48	47	3	7	GDT415_REGISTER_EXPANSION_ATLAS	YES
